,term,score
0,lou,1353.8561522225941
1,linny,217.96168107687942
2,hannie,217.8987726490907
3,mary,192.98429411782948
4,karen,147.6220384258572
5,david,121.49920340746823
6,michael,121.49920340746823
7,papadakis,94.64417364613571
8,emily,94.57328026908272
9,cokie,90.14463299022553
10,claudia,87.24379541722243
11,jessi,87.23031083173564
12,ball,66.64693320199508
13,shannon,64.18558886083584
14,stacey,57.453231128414764
15,michelle,57.30014614480706
16,kristy,50.22781269242231
17,nancy,47.973764720796204
18,puppy,45.007509820479875
19,andrew,36.99447580294593
20,boo,33.982839110142535
21,ben,33.463203858687905
22,nannie,32.37905239567059
23,pink,30.689453709551888
24,bsc,29.065172314340757
25,mallory,26.933223185381976
26,soccer,26.022027089183943
27,sweater,24.244163533341702
28,watson,23.990827140877144
29,homework,23.21872139212274
30,sitters,22.342923216605744
31,logan,22.196969853287467
32,grace,21.556649776834227
33,famous,20.60485152451765
34,purple,20.492522866578028
35,brewer,19.46445299512785
36,wow,19.077699756312235
37,mal,19.030822118683187
38,den,19.021058287474567
39,dog,18.24792468293236
40,although,17.955482123587984
41,game,17.2512119569196
42,yard,16.77827169653976
43,bottle,15.607225949106137
44,bag,15.16195687399355
45,shrugged,14.96147612114707
46,ms,14.788925766629816
47,noise,14.327953055410838
48,pizza,14.262281218559297
49,sms,14.187131215323252
50,jacket,14.165886933268268
51,milk,13.835823968586567
52,neat,13.206685714480875
53,dumb,13.145895253717052
54,explained,12.710914002754329
55,kinds,12.629296462116253
56,mail,12.568935301916104
57,leaned,12.126565059708764
58,claud,12.00179174193961
59,sitter,11.965978266076084
60,track,11.947883255590845
61,backyard,11.946250512920649
62,houses,11.888488529132754
63,student,11.886017143032788
64,barn,11.867302456691815
65,street,11.651671169191468
66,exclaimed,11.526768402089578
67,families,11.353317300519812
68,party,11.322679685777505
69,green,11.172300912132101
70,staring,11.172300912132101
71,president,10.975250201338778
72,waved,10.926588304827048
73,barrett,10.714836066255899
74,admit,10.686768657962194
75,nose,10.327818966376853
76,island,10.320327800879218
77,pow,10.28154959024891
78,letter,10.252955591697177
79,andrea,10.12803768464659
80,gotten,10.05507082091889
81,arnold,9.948591002144862
82,smart,9.910011591841606
83,wonder,9.8777251812049
84,york,9.833929474344343
85,hate,9.79034585406225
86,favorite,9.746972276138711
87,listen,9.746972276138711
88,shouted,9.703806725767276
89,class,9.57553852140246
90,super,9.505579763717234
91,above,9.505579763717234
92,rules,9.244680000136611
93,horse,9.091561325003138
94,beside,9.075997139083189
95,screamed,9.047280681217403
96,child,9.034453990444486
97,stared,8.977741061793992
98,muttered,8.952100099387382
99,catch,8.93784072970568
100,carefully,8.898138414968649
101,joined,8.819320043424556
102,hundred,8.790243177441402
103,anybody,8.790243177441402
104,earrings,8.78824765002615
105,bent,8.746142214074272
106,prezzioso,8.745713978700106
107,paint,8.704330198177711
108,sam,8.671260142861405
109,california,8.663975356567743
110,surprise,8.6256059784598
111,color,8.593047038674529
112,air,8.549414926369755
113,excited,8.511589796802188
114,brown,8.473942668502886
115,taken,8.436471874003475
116,dollars,8.421682754388954
117,bowl,8.379926870556057
118,pushed,8.288651255096358
119,uncle,8.154033458393616
120,charlie,8.1049136725718
121,chocolate,8.034783805726937
122,direction,8.034783805726937
123,movie,8.032748084959774
124,downstairs,7.996942380292381
125,list,7.9258757800442545
126,math,7.855523429069743
127,somehow,7.855523429069743
128,lunch,7.82061063849247
129,grinned,7.7169050379964865
130,apple,7.650929355252661
131,rolled,7.648611813378933
132,quite,7.6147134420484175
133,threw,7.6147134420484175
134,announced,7.6147134420484175
135,junk,7.6147134420484175
136,folded,7.6034604286470415
137,box,7.580978436996775
138,beautiful,7.547405231152325
139,piece,7.547405231152325
140,breakfast,7.5003060254048055
141,dinner,7.381912889753041
142,calling,7.381912889753041
143,louie,7.350729257160491
144,jump,7.288451845061893
145,scary,7.253608498481427
146,cake,7.1822487439520595
147,murmured,7.150512062467747
148,pleased,7.116613627540854
149,slid,7.082943466634134
150,silence,7.072727905275862
151,strong,7.016275812286807
