,term,score
0,shea,470.44667245827145
1,stacey,231.94082196285962
2,kristy,173.12565225898754
3,jackie,150.1270793606766
4,mary,129.71075506280343
5,archie,91.21742295362318
6,rodowsky,76.23044834409038
7,bart,59.21240709489958
8,michael,51.40350913392887
9,david,51.40350913392887
10,claudia,51.069538780813126
11,emily,46.0422548678429
12,test,43.91813258987473
13,mallory,43.76648767624571
14,english,43.107851326918485
15,jessi,38.90000347901724
16,bsc,36.33146539292595
17,janine,33.7567787665724
18,dance,32.1184140555506
19,ball,30.65758927291774
20,cards,28.338061738820663
21,notes,27.963727068988238
22,matt,26.829740243575024
23,secret,26.81352218911704
24,note,25.547094556105304
25,art,24.799063840051456
26,sitters,24.47082066580629
27,homework,24.440759360129203
28,dumb,22.34802193131899
29,ben,22.308802572458603
30,wrote,21.9008599639702
31,stupid,19.64125037411321
32,envelope,19.203041204006986
33,cokie,19.121588816108446
34,desk,18.492875502117585
35,pencil,18.415653013248747
36,basement,17.761441001309134
37,logan,17.52392356838484
38,sam,17.34252028572281
39,grinned,16.53622508142104
40,handed,16.38988245724057
41,nannie,16.189526197835296
42,letter,16.111787358381278
43,clock,15.818384763756516
44,michelle,15.007181133163755
45,practice,14.594632783120758
46,grace,14.37109985122282
47,junk,14.141610678089918
48,susan,14.120652965504485
49,haley,13.845186199473785
50,study,13.504986660997448
51,carolyn,13.476886376259891
52,brewer,13.381811434150396
53,dog,13.381811434150396
54,shannon,13.321537310739513
55,student,13.206685714480875
56,ghost,13.06434605192192
57,bag,12.995963034851615
58,lights,12.932355398075545
59,krushers,12.802027469337991
60,water,12.454947654355257
61,milk,12.45224157172791
62,letters,12.278602745315798
63,claud,12.00179174193961
64,surprise,11.860208220382226
65,melody,11.819196385890237
66,notebook,11.807702154102987
67,stace,11.790355856144533
68,hannie,11.714987776832832
69,scary,11.605773597570282
70,twenty,11.526768402089578
71,extra,11.322679685777505
72,marilyn,11.154401286229302
73,less,10.926588304827048
74,hit,10.878162060069167
75,uh,10.686768657962194
76,watson,10.281783060375918
77,muttered,10.230971542157008
78,numbers,10.137947238196055
79,math,10.099958694518241
80,meetings,9.965961182074487
81,wondered,9.965961182074487
