,term,score
0,jeff,338.1791455715948
1,richard,284.52970266134304
2,mary,222.51194567684166
3,barrett,148.22189891653994
4,suzi,120.25356720712647
5,buddy,113.83967586165686
6,lindsey,51.9050658778588
7,marnie,49.7563421500775
8,kristy,48.09045896082987
9,mallory,47.13314057441846
10,dewitt,42.144256299420924
11,dinner,36.9095644487652
12,claud,33.605016877430906
13,taylor,30.207236280120494
14,children,24.908929150132263
15,stacey,24.47082066580629
16,trip,24.111984833266003
17,tigger,22.63119536354641
18,claudia,22.342923216605744
19,bsc,21.798879235755567
20,bus,20.533239184389195
21,game,20.485814198842025
22,boat,20.394671906915157
23,park,20.317766166719345
24,shannon,19.376781542893838
25,museum,18.60952349640148
26,porch,18.272342391856498
27,picnic,17.95562185988015
28,shot,16.429152979565195
29,pack,15.881813825368827
30,raced,15.775074304460464
31,movie,14.917960729211009
32,mal,14.273116589012389
33,soccer,14.011860740329816
34,baseball,13.966544784260096
35,water,13.587215622933007
36,green,13.40676109455852
37,closet,13.381811434150396
38,stairs,13.170300241606533
39,vacation,13.06434605192192
40,favorite,12.995963034851615
41,hurried,12.932355398075545
42,ride,12.736292914041401
43,visit,12.736292914041401
44,cheese,12.424004390533629
45,couch,12.393988941177353
46,giggled,12.387514489802008
47,shouted,11.860208220382226
48,jessi,11.787879842126436
49,pizza,11.669139178821244
50,triplets,11.669139178821244
51,several,11.424203400417687
52,hot,11.373312705342975
53,round,11.332709546614614
54,garden,11.013405123610283
55,acting,10.813046376416434
56,window,10.73427468554817
57,ball,10.663509312319214
58,angry,10.514354141030905
59,folded,10.137947238196055
60,barn,9.889418713909846
61,seat,9.833929474344343
62,california,9.746972276138711
63,forward,9.660847216993353
64,fight,9.601433393551687
65,changed,9.57553852140246
66,loud,9.346092569805249
67,extra,9.058143748622005
68,plan,8.93784072970568
69,ground,8.790243177441402
70,tea,8.785479525801094
71,upstairs,8.741270643861638
72,tears,8.702529648055334
73,notebook,8.587419748438537
74,murmured,8.580614474961298
75,spent,8.549414926369755
76,games,8.477341925016054
77,stepped,8.473942668502886
78,explained,8.473942668502886
79,street,8.473942668502886
80,bike,8.249251874033106
81,gets,8.14127739071153
82,nose,8.032748084959774
83,jeans,8.032748084959774
84,tv,7.961318893740082
85,clean,7.961318893740082
86,forgot,7.9258757800442545
87,joke,7.887537152230232
88,snapped,7.887537152230232
89,married,7.855523429069743
90,lunch,7.82061063849247
91,restaurant,7.803612974553069
92,pow,7.7111621926866825
93,sports,7.673228656617756
94,muttered,7.673228656617756
95,hit,7.6147134420484175
96,box,7.580978436996775
97,bag,7.580978436996775
98,picture,7.580978436996775
99,horse,7.576301104169282
100,beautiful,7.547405231152325
101,dressed,7.51399227988372
102,spend,7.480738060573535
103,barely,7.447641072201915
104,terrible,7.398895160589185
105,adam,7.288451845061893
106,bathroom,7.2335954499798
107,yelled,7.10455821865402
108,jacket,7.082943466634134
109,shoes,7.072727905275862
110,bought,7.072727905275862
111,video,7.06629859645905
112,softball,7.016275812286807
113,john,6.953615088592265
114,exclaimed,6.916061041253746
115,song,6.885549411765196
116,party,6.7936078114665035
117,himself,6.7936078114665035
118,daddy,6.737346203511162
119,silly,6.733305796345494
120,pike,6.70338054727926
121,loves,6.673603811226487
122,mad,6.673603811226487
123,eating,6.614490032568417
124,neat,6.603342857240437
125,raised,6.585150120803267
126,kits,6.572947626858526
127,cry,6.555952982896228
128,announced,6.526897236041501
129,hate,6.526897236041501
130,threw,6.526897236041501
131,outfit,6.512705934277654
132,kit,6.4989778147021795
133,guy,6.497981517425807
134,sheet,6.466055818156118
135,plate,6.453181421746061
136,space,6.453181421746061
137,light,6.440564811328903
138,man,6.440564811328903
139,organized,6.423682811110121
140,shrugged,6.412061194777316
141,air,6.412061194777316
142,excited,6.383692347601641
143,sitters,6.383692347601641
144,helped,6.3554570013771645
145,appeared,6.278745126743859
146,board,6.120743484202128
147,pointing,6.082641560977454
148,road,5.9731252564603246
149,excellent,5.915570306651927
150,nearly,5.867554635558998
151,byron,5.8588317666841006
152,played,5.841307856128281
153,logan,5.841307856128281
154,jordan,5.830761476049514
155,scary,5.802886798785141
156,bunch,5.789224051837001
157,finish,5.763384201044789
158,bedroom,5.737677203542696
159,dress,5.737677203542696
160,heading,5.720409649974198
161,supplies,5.693290902032683
162,tired,5.686656352671488
163,area,5.666354773307307
164,glasses,5.636150872738968
165,drew,5.636150872738968
166,stared,5.611088163621245
167,staring,5.586150456066051
168,burst,5.536645101152493
169,joined,5.512075027140347
170,grinned,5.512075027140347
171,starting,5.512075027140347
172,its,5.487625100669389
173,spier,5.487625100669389
174,handed,5.463294152413524
175,sharon,5.446094439852583
176,sitter,5.4390810300345835
177,movies,5.431759864981276
178,brothers,5.41498459785484
179,giggling,5.406523188208217
180,chocolate,5.3565225371512915
181,sighed,5.319743623001367
182,edge,5.307139193862094
183,bet,5.296214167814304
184,mirror,5.28267428579235
185,clock,5.272794921252172
186,eight,5.272794921252172
187,practically,5.272794921252172
188,band,5.271287715480657
189,planning,5.210164747422123
190,lap,5.210164747422123
191,gasped,5.186284079476108
192,throw,5.162545137396849
193,yard,5.162545137396849
194,cleared,5.138946248888097
195,heads,5.138946248888097
196,feelings,5.115485771078504
197,grin,5.115485771078504
198,decide,5.092162089835331
199,oldest,5.092162089835331
200,crowd,5.068973619098028
201,families,5.045918800231028
202,toys,5.000204016936537
203,plans,5.000204016936537
204,breakfast,5.000204016936537
205,amazing,4.932596773726123
206,pink,4.910312593528302
207,color,4.910312593528302
208,ourselves,4.888151872025841
209,sigh,4.888151872025841
210,cold,4.888151872025841
211,faces,4.8223969666532005
212,throat,4.8223969666532005
213,planned,4.7151519368505745
214,tiny,4.7151519368505745
215,step,4.7151519368505745
216,dogs,4.705514206058007
217,tonight,4.694043708447198
218,written,4.652158508978017
219,wild,4.652158508978017
220,clear,4.631379241469601
221,ate,4.610707360835831
222,kidding,4.610707360835831
223,loudly,4.610707360835831
224,hang,4.610707360835831
225,junior,4.590141762834157
226,single,4.590141762834157
227,shut,4.569681360167075
228,entire,4.569681360167075
229,downstairs,4.569681360167075
230,completely,4.569681360167075
231,sisters,4.488870530896996
232,catch,4.46892036485284
233,ben,4.46176051449172
234,newspaper,4.436677729988945
235,sick,4.409660021712278
236,plenty,4.409660021712278
237,filled,4.409660021712278
238,upset,4.409660021712278
239,wonder,4.390100080535511
240,pikes,4.373071107037136
241,rolled,4.370635321930819
242,doors,4.352165099088856
243,nine,4.351264824027667
244,others,4.3319876782838715
245,waited,4.3319876782838715
246,ahead,4.3128029892299
247,surprise,4.3128029892299
248,boyfriend,4.293709874219268
249,spoke,4.293709874219268
250,sang,4.290307237480649
251,impressed,4.290307237480649
252,king,4.287737760512461
253,imagine,4.274707463184877
254,mumbled,4.269968176524513
255,liked,4.255794898401094
256,grabbed,4.255794898401094
257,hat,4.24976607998048
258,bags,4.24976607998048
259,obviously,4.24976607998048
260,mine,4.236971334251443
261,carried,4.22969911552809
262,bored,4.209765487372085
263,luckily,4.189963435278028
264,carrot,4.127652345165388
265,building,4.1120369760682465
266,groaned,4.092867581771933
267,history,4.092867581771933
268,hugged,4.073819898735957
269,cream,4.054892391156162
270,camera,4.052171689199694
271,pocket,4.017391902863468
272,tossed,3.998815992119705
273,leaning,3.998815992119705
274,pictures,3.943768576115116
275,candy,3.9076235605665923
276,center,3.9076235605665923
277,sunday,3.889713059607081
278,crossed,3.836614328308878
279,mood,3.836614328308878
280,drove,3.8191215673764987
281,asleep,3.8191215673764987
282,loved,3.7844391001732705
283,seconds,3.7844391001732705
284,plastic,3.7844391001732705
285,carrying,3.7844391001732705
286,hundred,3.7672470760463153
287,climbed,3.7501530127024028
288,ballet,3.7501530127024028
289,spread,3.7501530127024028
290,confused,3.7331558000953704
291,happening,3.7331558000953704
292,war,3.6916480415378063
293,scared,3.6827344451462265
294,spot,3.649584936586472
295,bruno,3.6331465392925946
296,hug,3.6167977249899
297,sight,3.6167977249899
298,mail,3.5911243719760297
