,term,score
0,mary,119.16516522029909
1,charlotte,69.19798845086618
2,claudia,67.02876964981722
3,class,61.70902602681586
4,kristy,59.84590448458828
5,stacey,45.74979515781176
6,jamie,43.92253633337503
7,dance,37.2573603044387
8,math,35.91096424717597
9,jessi,35.36363952637931
10,marnie,33.924778738689206
11,barn,33.624023627293475
12,nicky,33.51970748222423
13,buddy,31.3471571213258
14,mal,30.92508594286018
15,teacher,28.23429741278774
16,bsc,27.854123467909893
17,vanessa,27.80194155759701
18,claud,26.40394183226714
19,suzi,26.23714193610032
20,newton,25.697945288423995
21,barrett,25.001284154597098
22,uh,24.579567913313046
23,claire,22.76522078289299
24,margo,22.241553246077608
25,homework,21.996683424116284
26,johanssen,19.011037107849695
27,adam,18.949974797160923
28,sitters,18.08712831820465
29,yard,16.77827169653976
30,um,16.50303177897701
31,neighborhood,16.50303177897701
32,desk,16.31724309010375
33,garage,16.165139545390296
34,sam,16.10376883674261
35,question,14.763825779506082
36,jordan,14.576903690123785
37,envelope,14.40228090300524
38,weeks,13.832122082507492
39,mallory,13.466611592690988
40,yelled,13.025023400865704
41,logan,12.850877283482218
42,cute,12.793435899689547
43,erica,12.498792533071827
44,bell,12.387514489802008
45,eye,11.912966115280646
46,guy,11.912966115280646
47,student,11.886017143032788
48,stace,11.790355856144533
49,feelings,11.509842984926633
50,brain,11.120776623038804
51,became,11.073290202304985
52,york,10.926588304827048
53,pen,10.871003841716925
54,trip,10.850393174969701
55,lucy,10.789275611154853
56,poor,10.609091857913793
57,charges,10.503878514109127
58,matt,10.31913086291347
59,dr,10.266028787759712
60,staring,10.05507082091889
61,dancing,10.010716887454846
62,thursday,10.000408033873073
63,boys,9.8777251812049
64,repeated,9.8777251812049
65,favorite,9.746972276138711
66,expression,9.730679545158953
67,shouted,9.703806725767276
68,song,9.639769176471274
69,thomas,9.57553852140246
70,gorgeous,9.550024357467844
71,problems,9.515411059341593
72,super,9.505579763717234
73,date,9.430303873701149
74,loud,9.346092569805249
75,jenny,9.30476174820074
76,schafer,9.09865016427438
77,byron,8.78824765002615
78,jobs,8.780200161071022
79,sweet,8.75035702963894
80,nine,8.702529648055334
81,huh,8.671260142861405
82,becca,8.662807541110269
83,beautiful,8.6256059784598
84,makeup,8.621570265383696
85,boyfriend,8.587419748438537
86,tomorrow,8.549414926369755
87,figure,8.549414926369755
88,besides,8.473942668502886
89,students,8.421682754388954
90,kinds,8.41953097474417
91,hallway,8.379926870556057
92,interesting,8.068737881462704
93,haley,7.911534971127877
94,cheese,7.765002744083517
95,leaving,7.682675140937144
96,blood,7.650929355252661
97,handed,7.648611813378933
98,seat,7.648611813378933
99,drove,7.638243134752997
100,junk,7.6147134420484175
101,children,7.580978436996775
102,likes,7.547405231152325
103,ground,7.5344941520926305
104,air,7.480738060573535
105,liked,7.447641072201915
106,younger,7.447641072201915
107,street,7.414699834940025
108,clock,7.381912889753041
109,sigh,7.332227808038761
110,welcome,7.299169873172944
111,pulling,7.299169873172944
112,college,7.253608498481427
113,picnic,7.1822487439520595
114,tea,7.028383620640875
115,strong,7.016275812286807
116,pull,7.009569427353936
117,twenty,6.916061041253746
118,wrote,6.916061041253746
119,ear,6.823987623205785
120,usual,6.70338054727926
121,pike,6.70338054727926
122,loves,6.673603811226487
123,carefully,6.673603811226487
124,sense,6.643974121382992
125,ended,6.643974121382992
126,spier,6.585150120803267
127,raced,6.572947626858526
128,driveway,6.572947626858526
129,record,6.555952982896228
130,sitter,6.526897236041501
131,fill,6.512705934277654
132,outfit,6.512705934277654
133,mcgill,6.497981517425807
