,term,score
0,buddy,143.53698260817603
1,nicky,139.66544784260094
2,vanessa,94.52660129582983
3,kristy,90.83753359267864
4,claudia,87.24379541722243
5,logan,78.27352527211896
6,mal,76.12328847473275
7,tea,72.04093211156898
8,carolyn,71.87672734005275
9,mary,71.71001092902954
10,stacey,70.22061582361805
11,marilyn,64.69552746012994
12,jessi,63.654551147482756
13,cookies,56.04020672499403
14,porch,41.112770381677116
15,suzi,37.16928440947545
16,pow,33.41503616830896
17,bsc,32.69831885363335
18,becca,31.763627650737654
19,byron,30.758866775091526
20,charlotte,30.754661533718306
21,barrett,28.5728961766824
22,lessons,27.14184204365221
23,sharon,25.41510738597872
24,class,24.47082066580629
25,although,23.56657028720923
26,claire,22.76522078289299
27,garden,22.026810247220567
28,picnic,21.54674623185618
29,california,20.57694147184839
30,sitters,20.215025767405194
31,chocolate,20.086959514317343
32,visit,19.683361776245803
33,water,19.24855546582176
34,road,17.919375769380974
35,pike,17.87568145941136
36,haley,17.800953685037722
37,cabin,16.42520391671568
38,marnie,15.831563411388297
39,janine,15.672790141622901
40,emergency,15.65654998058988
41,cheese,15.530005488167035
42,junk,15.229426884096835
43,sun,15.219406365445224
44,box,15.16195687399355
45,explained,14.82939966988005
46,jordan,14.576903690123785
47,wonderful,14.26782526174041
48,margo,13.900970778798506
49,flowers,13.771672839454789
50,hardly,13.287948242765983
51,twins,13.26688851579624
52,lake,13.181726826770124
53,adam,13.119213321111408
54,waved,13.111905965792456
55,eye,12.995963034851615
56,bag,12.995963034851615
57,window,12.881129622657806
58,uh,12.824122389554631
59,stairs,12.072775221472655
60,surprise,11.860208220382226
61,bent,11.661522952099029
62,needs,11.526768402089578
63,hurried,11.495427020511595
64,doorbell,11.495427020511595
65,settled,11.475354407085392
66,french,11.373211175728814
67,raised,10.975250201338778
68,beautiful,10.782007473074751
69,liked,10.639487246002734
70,summer,10.614278387724188
71,machine,10.606821545836995
72,headed,10.545589842504343
73,clock,10.545589842504343
74,wall,10.37409156188062
75,hot,10.235981434808677
76,rose,10.106019305266743
77,mallory,10.099958694518241
78,families,10.091837600462055
79,lunch,10.05507082091889
80,carefully,10.010405716839731
81,burst,9.965961182074487
82,pleased,9.963259078557195
83,filled,9.921735048852625
84,jeff,9.910011591841606
85,kit,9.74846672205327
86,closed,9.746972276138711
87,listen,9.746972276138711
88,stepped,9.533185502065747
89,calling,9.49103085825391
90,war,9.229120103844515
91,hospital,9.22639846011549
92,wondered,8.858632161843989
93,notice,8.858632161843989
94,afraid,8.858632161843989
95,spier,8.780200161071022
96,president,8.780200161071022
97,pikes,8.746142214074272
98,less,8.741270643861638
99,quite,8.702529648055334
100,ways,8.671260142861405
101,huh,8.671260142861405
102,notebook,8.587419748438537
103,brown,8.473942668502886
104,softly,8.401254219357726
105,helping,8.325984676923895
106,angry,8.177830998579593
107,fortunately,8.1652162824512
108,tigger,8.082569772695148
109,broken,8.072167104230754
110,arnold,7.95887280171589
111,lifted,7.924011428688525
112,awesome,7.9212654616040385
113,green,7.82061063849247
114,led,7.785871113097568
115,listened,7.785871113097568
116,triplets,7.779426119214162
117,plate,7.743817706095274
118,suppose,7.688665383429576
119,boys,7.682675140937144
120,lately,7.638243134752997
121,asleep,7.638243134752997
122,sitter,7.6147134420484175
123,brothers,7.580978436996775
124,piece,7.547405231152325
125,present,7.539400567681169
126,sugar,7.5344941520926305
127,thursday,7.5003060254048055
128,tomorrow,7.480738060573535
129,spend,7.480738060573535
130,large,7.432508693881204
131,tape,7.430305330707972
132,besides,7.414699834940025
133,mine,7.414699834940025
134,glass,7.398895160589185
135,ramsey,7.299169873172944
136,rain,7.261459253136778
137,store,7.2335954499798
138,learn,7.2335954499798
139,keeping,7.2335954499798
140,kinds,7.016275812286807
141,expected,7.009569427353936
142,quick,6.978237763467026
143,den,6.916748468172569
144,begin,6.885212644251235
145,reach,6.854522040250613
146,several,6.854522040250613
147,grew,6.854522040250613
148,tired,6.823987623205785
149,join,6.7936078114665035
150,tree,6.789699831226596
151,usual,6.70338054727926
152,style,6.664693320199508
153,flew,6.633923992327617
154,nervous,6.614490032568417
155,joined,6.614490032568417
156,leaned,6.614490032568417
157,eating,6.614490032568417
158,backpack,6.5994014992264844
159,its,6.585150120803267
160,jobs,6.585150120803267
161,known,6.585150120803267
162,driveway,6.572947626858526
163,record,6.555952982896228
164,others,6.497981517425807
165,schedule,6.453181421746061
166,forward,6.440564811328903
167,organized,6.423682811110121
168,heads,6.423682811110121
169,worked,6.383692347601641
170,grabbed,6.383692347601641
171,younger,6.383692347601641
172,warm,6.365202612294164
173,folded,6.336217023872535
174,dinner,6.327353905502607
175,spread,6.250255021170671
176,ears,6.193757244901004
177,foot,6.165745967157655
178,stories,6.110189840032301
179,shaking,6.082641560977454
180,dog,6.082641560977454
181,shannon,6.055244232154324
182,library,6.031520454144935
183,steps,6.027996208316501
184,chips,6.002216293776644
185,claud,6.000895870969805
186,pushed,5.920465182211684
187,excellent,5.915570306651927
188,accident,5.802886798785141
189,example,5.775205027406846
190,wrote,5.763384201044789
191,finish,5.763384201044789
192,sang,5.720409649974198
193,chairs,5.720409649974198
194,forgotten,5.686656352671488
195,waving,5.666354773307307
196,obviously,5.666354773307307
197,pencil,5.666354773307307
198,pair,5.6613398428887525
199,extra,5.6613398428887525
200,reminded,5.636150872738968
201,longer,5.611088163621245
202,missed,5.611088163621245
203,age,5.586150456066051
204,plan,5.586150456066051
205,neither,5.561336509355406
206,meetings,5.536645101152493
207,plenty,5.512075027140347
208,song,5.508439529412157
209,pale,5.508439529412157
210,clue,5.506702561805142
211,repeated,5.487625100669389
212,ideas,5.487625100669389
213,guilty,5.482715968090995
214,handed,5.463294152413524
215,slightly,5.4571567756959105
216,movies,5.431759864981276
217,favorite,5.41498459785484
218,picture,5.41498459785484
219,deal,5.3910037365373755
220,windows,5.381444736153836
221,man,5.367137342774085
222,definitely,5.367137342774085
223,slipped,5.3565225371512915
224,shrugged,5.343384328981097
225,leaning,5.331754656159607
226,pay,5.319743623001367
227,sighed,5.319743623001367
228,comes,5.296214167814304
229,helped,5.296214167814304
230,beach,5.271287715480657
231,raced,5.258358101486821
232,kits,5.258358101486821
233,gasped,5.186284079476108
234,cleared,5.138946248888097
235,sunny,5.000834424497764
236,involved,4.955005795920803
237,dues,4.910312593528302
238,forever,4.888151872025841
239,lying,4.888151872025841
240,welcome,4.8661132487819625
241,closet,4.8661132487819625
242,using,4.8661132487819625
243,information,4.844195385723459
244,shy,4.779153302236338
245,tiny,4.7151519368505745
246,poor,4.7151519368505745
247,step,4.7151519368505745
248,pen,4.659001646450111
249,wild,4.652158508978017
250,babies,4.636013028213403
251,ride,4.631379241469601
252,possible,4.610707360835831
253,awhile,4.610707360835831
254,blood,4.590557613151596
255,movie,4.590141762834157
256,bedroom,4.590141762834157
257,buy,4.590141762834157
258,clean,4.54932508213719
259,seeing,4.54932508213719
260,hanging,4.54932508213719
261,dear,4.545780662501569
262,names,4.488870530896996
263,wow,4.488870530896996
264,married,4.488870530896996
265,somehow,4.488870530896996
266,station,4.479843942345243
267,gotten,4.46892036485284
268,catch,4.46892036485284
269,ended,4.4293160809219945
270,notes,4.415325326682353
271,papadakis,4.4020545881923585
272,regular,4.390100080535511
273,drawing,4.373071107037136
274,rolled,4.370635321930819
275,checked,4.351264824027667
276,nine,4.351264824027667
277,kishi,4.3319876782838715
278,waited,4.3319876782838715
279,guy,4.3319876782838715
280,children,4.3319876782838715
281,ahead,4.3128029892299
282,become,4.3128029892299
283,impressed,4.290307237480649
284,air,4.274707463184877
285,changed,4.255794898401094
286,street,4.236971334251443
287,taken,4.2182359370017375
288,artist,4.209765487372085
289,checking,4.209765487372085
290,bowl,4.189963435278028
291,brain,4.170291233639551
292,milk,4.15074719057597
293,building,4.1120369760682465
294,groaned,4.092867581771933
295,familiar,4.092867581771933
296,tough,4.092867581771933
297,super,4.073819898735957
298,major,4.054892391156162
299,cream,4.054892391156162
300,direction,4.017391902863468
301,skin,3.9803543953965703
302,officers,3.9803543953965703
303,pet,3.979436400857945
304,dumb,3.943768576115116
305,snack,3.9076235605665923
306,earlier,3.889713059607081
307,happily,3.871908853047637
308,feelings,3.836614328308878
309,thoughts,3.836614328308878
310,hungry,3.8017302143235208
311,disappeared,3.7844391001732705
312,anybody,3.7672470760463153
313,sweet,3.7501530127024028
314,plans,3.7501530127024028
