,term,score
0,mary,199.31164802333208
1,richard,169.12604703646267
2,kristy,156.02682240624802
3,claudia,98.94723138782543
4,jessi,75.44243098960919
5,stacey,60.64507730221559
6,jamie,51.561238304396774
7,mal,44.00877614945487
8,papadakis,39.618491293731225
9,linny,38.322932936594185
10,bsc,32.69831885363335
11,carol,32.483555190815736
12,lucy,32.36782683346456
13,jeff,32.20753767348522
14,adam,32.06918811827233
15,california,31.40691066755807
16,team,31.345580283245802
17,months,31.26098848453274
18,uh,25.648244779109262
19,claire,25.443482051468635
20,jordan,24.780736273210437
21,buddy,24.747755622099316
22,logan,24.53349299573878
23,nicky,23.74312613324216
24,becca,21.657018852775675
25,vanessa,20.851456168197757
26,ball,19.994079960598526
27,charlotte,19.990529996916898
28,shannon,19.376781542893838
29,member,18.741055092277183
30,trip,18.0839886249495
31,thanksgiving,17.919286768722838
32,decision,17.90242847058951
33,huh,17.34252028572281
34,dinner,16.87294374800695
35,pants,16.759853741112114
36,margo,16.681164934558204
37,war,16.61241618692013
38,families,16.39923610075084
39,byron,16.111787358381278
40,games,15.743635003601243
41,mallory,15.711046858139486
42,screamed,15.078801135362339
43,window,15.02798455976744
44,sitters,14.89528214440383
45,melody,14.773995482362796
46,party,14.719483591510757
47,contest,14.628611612901686
48,pike,14.523991185771731
49,cake,14.364497487904119
50,spier,14.26782526174041
51,hannie,14.057985332199399
52,arnold,13.928027403002806
53,list,13.587215622933007
54,became,13.287948242765983
55,figure,12.824122389554631
56,barrett,12.500642077298549
57,chocolate,12.052175708590406
58,chips,12.004432587553287
59,charges,12.004432587553287
60,claud,12.00179174193961
61,shouted,11.860208220382226
62,visit,11.578448103674003
63,field,11.315597681773205
64,breakfast,11.250459038107207
65,newton,11.013405123610283
66,regular,10.975250201338778
67,suzi,10.932142473375134
68,sharon,10.892188879705166
69,nine,10.878162060069167
70,dressed,10.73427468554817
71,yelled,10.65683732798103
72,news,10.592428335628608
73,michael,10.514354141030905
74,david,10.514354141030905
75,whoa,10.420329494844246
76,finish,10.37409156188062
77,dance,10.277892497776193
78,laine,10.12803768464659
79,insisted,10.091837600462055
80,managed,10.010405716839731
81,bike,9.899102248839727
82,forward,9.660847216993353
83,karen,9.601433393551687
84,eight,9.49103085825391
85,sms,9.458087476882167
86,weekend,9.430303873701149
87,practice,9.287493589258665
88,garden,9.17783760300857
89,downstairs,9.13936272033415
90,schafer,9.09865016427438
91,yard,9.034453990444486
92,math,8.977741061793992
93,ended,8.858632161843989
94,beach,8.785479525801094
95,leaving,8.780200161071022
96,bag,8.663975356567743
97,andrew,8.632044354020715
98,imagine,8.549414926369755
99,excited,8.511589796802188
100,grabbed,8.511589796802188
101,bags,8.49953215996096
102,round,8.49953215996096
103,explained,8.473942668502886
104,clock,8.436471874003475
105,strong,8.41953097474417
106,dying,8.379926870556057
107,brain,8.340582467279102
108,bill,8.340582467279102
109,sun,8.30149438115194
110,um,8.251515889488505
111,mention,8.214576489782598
112,angry,8.177830998579593
113,stomach,8.177830998579593
114,weeks,8.068737881462704
115,moving,8.068737881462704
116,sad,8.032748084959774
117,water,7.9258757800442545
118,driveway,7.887537152230232
119,named,7.82061063849247
120,green,7.82061063849247
121,meetings,7.751303141613491
122,suppose,7.688665383429576
123,explain,7.682675140937144
124,rolled,7.648611813378933
125,warm,7.638243134752997
126,threw,7.6147134420484175
127,announced,7.6147134420484175
128,ground,7.5344941520926305
129,shrugged,7.480738060573535
130,street,7.414699834940025
131,practically,7.381912889753041
132,ones,7.381912889753041
133,janine,7.2335954499798
134,cookies,7.1846418878197476
135,picnic,7.1822487439520595
136,dancing,7.150512062467747
137,pushed,7.10455821865402
138,bought,7.072727905275862
139,juice,7.016275812286807
140,expected,7.009569427353936
141,charlie,6.947068862204401
142,clear,6.947068862204401
143,official,6.9179119842932835
144,seventh,6.885549411765196
145,watson,6.854522040250613
146,fall,6.7936078114665035
147,pair,6.7936078114665035
148,super,6.789699831226596
149,horrible,6.758153985260272
150,stace,6.737346203511162
151,somehow,6.733305796345494
152,conversation,6.733305796345494
