,term,score
0,kristy,158.16417613784046
1,mary,134.9835499840556
2,suzi,133.37213817517662
3,margo,120.938445775547
4,mallory,109.9773280069764
5,claudia,82.98800051882132
6,stacey,78.73220562042023
7,buddy,75.89311724110458
8,snow,68.8869187163948
9,vanessa,65.33456266035297
10,mal,61.85017188572036
11,video,54.76381412255763
12,squirt,51.50384563205026
13,pike,49.15812401338124
14,marnie,47.49469023416489
15,jessi,45.9727313842931
16,barrett,44.645150276066246
17,becca,41.870236448699636
18,bsc,31.487270007202486
19,sitter,30.45885376819367
20,shannon,27.854123467909893
21,haley,27.69037239894757
22,sitters,27.66266683960711
23,adam,24.780736273210437
24,matt,22.702087898409633
25,cecelia,22.151973272088362
26,stephie,21.11655210968033
27,spoke,19.321694433986707
28,member,18.741055092277183
29,logan,18.692185139610498
30,marilyn,17.84704205796688
31,jobs,17.560400322142044
32,costume,17.376318057783415
33,nicky,16.759853741112114
34,kuhn,16.389933270950095
35,aunt,16.111787358381278
36,explained,15.888642503442911
37,jacket,15.582475626595095
38,boys,15.365350281874289
39,upstairs,15.297223626757866
40,plastic,15.137756400693082
41,game,15.09481046230465
42,california,14.078959954422583
43,ballet,13.750561046575475
44,rodowsky,13.682388164323914
45,carolyn,13.476886376259891
46,claire,13.391306342878229
47,doctor,13.374549595274349
48,store,13.261591658296302
49,mirror,13.206685714480875
50,checked,13.053794472083002
51,rosie,12.96992467569736
52,ring,12.850877283482218
53,brown,12.710914002754329
54,eight,12.654707811005213
55,sick,12.126565059708764
56,stairs,12.072775221472655
57,tired,11.373312705342975
58,halloween,11.230738646883243
59,carol,10.827851730271913
60,suppose,10.764131536801406
61,mama,10.73146152395567
62,sighed,10.639487246002734
63,pikes,10.20383258308665
64,insisted,10.091837600462055
65,green,10.05507082091889
66,usual,10.05507082091889
67,secret,10.05507082091889
68,meetings,9.965961182074487
69,hat,9.916120853287788
70,handed,9.833929474344343
71,eye,9.746972276138711
72,braddock,9.659493147700731
73,tomorrow,9.618091792165973
74,pay,9.57553852140246
75,calling,9.49103085825391
76,beside,9.075997139083189
77,party,9.058143748622005
78,papadakis,8.804109176384717
79,brothers,8.663975356567743
80,admitted,8.580614474961298
81,offered,8.401254219357726
82,super,8.147639797471914
83,terrific,8.14127739071153
84,bedroom,8.032748084959774
85,downstairs,7.996942380292381
86,arnold,7.95887280171589
87,although,7.855523429069743
88,pizza,7.779426119214162
89,filled,7.7169050379964865
90,promise,7.708419373332145
91,board,7.650929355252661
92,wore,7.638243134752997
93,hit,7.6147134420484175
94,deal,7.547405231152325
95,headed,7.381912889753041
96,byron,7.323539708355126
97,letter,7.323539708355126
98,information,7.266293078585189
99,hurried,7.1846418878197476
100,scene,7.1846418878197476
101,jenny,6.978571311150555
102,needs,6.916061041253746
103,thinks,6.916061041253746
104,wrote,6.916061041253746
105,couch,6.885549411765196
106,nose,6.885212644251235
107,dr,6.8440191918398074
108,schafer,6.823987623205785
109,reminded,6.763381047286761
110,pocket,6.6956531714391145
111,mad,6.673603811226487
112,sunny,6.667779232663685
113,sense,6.643974121382992
114,joined,6.614490032568417
115,spier,6.585150120803267
116,record,6.555952982896228
117,tears,6.526897236041501
118,nine,6.526897236041501
119,listen,6.497981517425807
120,waited,6.497981517425807
121,box,6.497981517425807
122,shouted,6.46920448384485
123,schedule,6.453181421746061
124,asleep,6.365202612294164
125,taken,6.327353905502607
126,shoulders,6.221926333492283
127,jeff,6.193757244901004
128,large,6.193757244901004
129,ears,6.193757244901004
130,terrible,6.165745967157655
131,seriously,6.165745967157655
132,apple,6.120743484202128
133,touch,6.110189840032301
134,pointing,6.082641560977454
135,camera,6.078257533799541
136,strange,6.027996208316501
137,lawn,5.9731252564603246
138,fair,5.920465182211684
139,fifteen,5.920465182211684
140,pushed,5.920465182211684
141,nearly,5.867554635558998
142,expected,5.841307856128281
143,jordan,5.830761476049514
144,gets,5.815198136222522
145,fashion,5.802886798785141
146,twenty,5.763384201044789
147,junior,5.737677203542696
148,pool,5.729026478266308
149,sang,5.720409649974198
150,watson,5.7121017002088434
151,shut,5.7121017002088434
152,emergency,5.693290902032683
153,clean,5.686656352671488
154,hanging,5.686656352671488
155,tv,5.686656352671488
156,forgot,5.6613398428887525
157,speak,5.6613398428887525
158,plenty,5.512075027140347
159,less,5.463294152413524
160,rolled,5.463294152413524
161,announced,5.4390810300345835
162,earth,5.431759864981276
163,lips,5.431759864981276
164,likes,5.3910037365373755
165,notebook,5.367137342774085
166,dressed,5.367137342774085
167,chocolate,5.3565225371512915
168,shrugged,5.343384328981097
169,younger,5.319743623001367
170,worked,5.319743623001367
171,excited,5.319743623001367
172,class,5.319743623001367
173,summer,5.307139193862094
174,bet,5.296214167814304
175,rules,5.28267428579235
176,clock,5.272794921252172
177,beach,5.271287715480657
178,raced,5.258358101486821
179,happily,5.162545137396849
180,classes,5.162545137396849
181,pow,5.140774795124455
182,lately,5.092162089835331
183,ha,5.079441541679836
184,dollars,5.053009652633372
185,cards,5.000834424497764
186,officer,4.977541066793827
187,huh,4.955005795920803
188,bike,4.949551124419863
189,associate,4.932596773726123
190,truth,4.910312593528302
191,pink,4.910312593528302
192,lying,4.888151872025841
193,sigh,4.888151872025841
194,signed,4.874233361026635
195,spot,4.8661132487819625
196,fit,4.844195385723459
197,tuesday,4.8223969666532005
198,trip,4.8223969666532005
199,throat,4.8223969666532005
200,wide,4.800716696775844
201,mostly,4.757705529670797
202,johanssen,4.752759276962424
203,yelled,4.736372145769347
204,crying,4.7151519368505745
205,played,4.673046284902624
206,works,4.652158508978017
207,sleeping,4.636013028213403
208,clear,4.631379241469601
209,charlotte,4.613199230057745
210,finish,4.610707360835831
211,kiss,4.590557613151596
212,jeans,4.590141762834157
213,hot,4.54932508213719
214,horse,4.545780662501569
215,list,4.529071874311002
216,join,4.529071874311002
217,young,4.508920698191174
218,chips,4.5016622203324825
219,longer,4.488870530896996
220,sisters,4.488870530896996
221,married,4.488870530896996
222,takes,4.46892036485284
223,charge,4.46892036485284
224,houses,4.458183198424782
225,wondered,4.4293160809219945
226,starting,4.409660021712278
227,leaving,4.390100080535511
228,president,4.390100080535511
229,cry,4.370635321930819
230,drive,4.370635321930819
231,junk,4.351264824027667
232,picture,4.3319876782838715
233,others,4.3319876782838715
234,energy,4.331403770555134
235,turning,4.3128029892299
236,putting,4.274707463184877
237,air,4.274707463184877
238,mumbled,4.269968176524513
239,obviously,4.24976607998048
240,comes,4.236971334251443
241,mine,4.236971334251443
242,monday,4.2182359370017375
243,official,4.15074719057597
244,roll,4.1120369760682465
245,thrilled,4.092867581771933
246,giggling,4.054892391156162
247,spotted,4.017391902863468
248,dead,4.017391902863468
249,project,3.9620057143442624
250,kits,3.943768576115116
251,ice,3.943768576115116
252,send,3.943768576115116
253,return,3.9256416327472277
254,months,3.9076235605665923
255,responsible,3.889713059607081
256,yesterday,3.871908853047637
257,hasn,3.871908853047637
258,organized,3.8542096866660724
259,mood,3.836614328308878
260,crossed,3.836614328308878
261,count,3.836614328308878
262,anybody,3.7672470760463153
263,ground,3.7672470760463153
264,sweet,3.7501530127024028
265,invited,3.7331558000953704
266,promised,3.6661139040193804
267,homework,3.6661139040193804
268,using,3.649584936586472
269,rain,3.630729626568389
270,immediately,3.6167977249899
271,keeping,3.6167977249899
272,learned,3.6005375225818828
273,relieved,3.6005375225818828
274,office,3.6005375225818828
275,track,3.5843649766772536
276,yourself,3.5843649766772536
277,gently,3.5682791472530972
278,fingers,3.55227910932701
279,shouldn,3.55227910932701
280,neighborhood,3.536363952637931
281,um,3.536363952637931
282,silence,3.536363952637931
283,handle,3.536363952637931
284,calm,3.536363952637931
285,shot,3.520532781335399
286,band,3.5141918103204377
287,angry,3.504784713676968
288,loud,3.504784713676968
289,blonde,3.504784713676968
290,pull,3.504784713676968
291,quick,3.489118881733513
292,covered,3.489118881733513
293,wondering,3.489118881733513
294,john,3.4768075442961326
295,mentioned,3.4735344311022005
296,possible,3.458030520626873
297,kidding,3.458030520626873
298,whether,3.458030520626873
299,single,3.4426063221256173
300,buy,3.4426063221256173
301,settled,3.4426063221256173
302,body,3.4426063221256173
303,sad,3.4426063221256173
304,grew,3.4272610201253064
305,completely,3.4272610201253064
306,totally,3.3968039057332517
307,grown,3.3816905236433805
308,empty,3.3816905236433805
309,daddy,3.368673101755581
310,writing,3.366652898172747
311,age,3.35169027363963
312,named,3.35169027363963
313,lived,3.35169027363963
314,puppy,3.3338896163318426
315,became,3.321987060691496
316,ended,3.321987060691496
317,afraid,3.321987060691496
318,burst,3.321987060691496
319,twins,3.31672212894906
320,evening,3.3072450162842086
321,backpack,3.2997007496132422
322,wonderful,3.2925750604016333
323,regular,3.2925750604016333
324,divorced,3.2925750604016333
325,jill,3.285040783343136
326,animals,3.282823012321513
327,waved,3.277976491448114
328,hate,3.2634486180207505
329,often,3.2634486180207505
330,group,3.2634486180207505
331,quite,3.2634486180207505
332,favorite,3.2489907587129037
333,bag,3.2489907587129037
334,mcgill,3.2489907587129037
335,guy,3.2489907587129037
336,break,3.234602241922425
337,surprise,3.234602241922425
338,forward,3.2202824056644515
339,sign,3.206030597388658
340,uh,3.206030597388658
341,grabbed,3.1918461738008204
342,besides,3.1777285006885823
343,coat,3.1685061846416156
344,dinner,3.1636769527513033
345,purple,3.152695825627389
346,bottle,3.1214451898212277
347,blood,3.060371742101064
348,stamford,3.0157602270724677
349,lessons,3.0157602270724677
350,screamed,3.0157602270724677
351,greeted,2.9865626282301623
352,orange,2.9577851533259634
353,fire,2.9435502177882356
354,scary,2.9014433993925706
355,jake,2.8941744746561247
356,makeup,2.873856755127899
357,heading,2.860204824987099
358,share,2.81979941035206
359,maggie,2.8096170866280614
360,stuffed,2.806510324914723
361,however,2.793308956852019
362,pants,2.793308956852019
363,dying,2.793308956852019
364,expression,2.780194155759701
365,concerned,2.780194155759701
366,slow,2.7671647937173134
367,seventh,2.7542197647060784
368,pale,2.7542197647060784
369,tough,2.7285783878479553
370,michelle,2.7285783878479553
371,slightly,2.7285783878479553
372,everywhere,2.715879932490638
373,above,2.715879932490638
374,movies,2.715879932490638
375,tree,2.715879932490638
376,broken,2.690722368076918
377,rather,2.690722368076918
