,term,score
0,thanksgiving,197.1121544559512
1,jessi,150.88486197921839
2,kristy,130.37857762713875
3,margo,101.47708668522908
4,stacey,92.56353904022379
5,vanessa,87.57611590643059
6,nicky,85.19592318398658
7,claire,81.6869686915572
8,charlotte,76.88665383429576
9,parade,70.57455775655309
10,mary,66.43721600777737
11,mallory,56.110881636212454
12,claudia,47.87769260701231
13,buddy,42.89610974497215
14,bsc,42.38670962508027
15,dr,32.509091161239084
16,mal,30.92508594286018
17,couch,28.919307529413825
18,becca,28.876025137034233
19,project,27.734040000409838
20,york,25.13115310110221
21,adam,24.780736273210437
22,barn,23.73460491338363
23,murmured,22.881638599896792
24,sick,20.94588510313332
25,byron,20.505911183394353
26,claud,20.403045961297337
27,tired,19.334631599083057
28,list,19.24855546582176
29,news,19.066371004131494
30,jordan,18.949974797160923
31,dollars,18.527702059655695
32,uncle,18.346575281385636
33,promise,17.986311871108338
34,marilyn,17.84704205796688
35,doctor,17.83273279369913
36,suzi,17.491427957400212
37,chocolate,17.408698245741697
38,homework,17.10853155209044
39,logan,16.355661997159185
40,michael,16.355661997159185
41,david,16.355661997159185
42,brothers,16.24495379356452
43,barrett,16.072254099383848
44,carolyn,15.72303410563654
45,member,15.433810075992973
46,stairs,15.365350281874289
47,bill,15.291067856678355
48,bag,15.16195687399355
49,party,14.719483591510757
50,karen,14.402150090327531
51,triplets,14.262281218559297
52,song,13.771098823530393
53,clock,13.709266795255648
54,tv,13.64797524641157
55,halloween,13.476886376259891
56,sisters,13.466611592690988
57,christmas,12.993307654631147
58,gasped,12.965710198690271
59,shouted,12.9384089676897
60,cookies,12.932355398075545
61,window,12.881129622657806
62,sitters,12.767384695203281
63,visit,12.736292914041401
64,extra,12.454947654355257
65,terrible,12.33149193431531
66,store,12.055992416633002
67,throat,12.055992416633002
68,announced,11.965978266076084
69,arnold,11.938309202573834
70,others,11.912966115280646
71,ring,11.682615712256561
72,weeks,11.526768402089578
73,breakfast,11.250459038107207
74,stared,11.22217632724249
75,filled,11.024150054280694
76,grinned,11.024150054280694
77,wonderful,10.975250201338778
78,month,10.914313551391821
79,shopping,10.713045074302583
80,explained,10.592428335628608
81,monday,10.545589842504343
82,continued,10.545589842504343
83,pictures,10.516716202973642
84,shop,10.302425762258824
85,ear,10.235981434808677
86,anybody,10.045992202790174
87,hundred,10.045992202790174
88,cards,10.001668848995529
89,jobs,9.8777251812049
90,tears,9.79034585406225
91,group,9.79034585406225
92,lying,9.776303744051681
93,eye,9.746972276138711
94,shannon,9.688390771446919
95,official,9.685076778010597
96,spent,9.618091792165973
97,johanssen,9.505518553924848
98,cheese,9.318003292900222
99,lay,9.244680000136611
100,bedroom,9.180283525668314
101,buy,9.180283525668314
102,downstairs,9.13936272033415
103,shut,9.13936272033415
104,marnie,9.046607663650455
105,dance,8.993155935554169
106,melody,8.864397289417678
107,appeared,8.790243177441402
108,earrings,8.78824765002615
109,repeated,8.780200161071022
110,listen,8.663975356567743
111,dressed,8.587419748438537
112,shrugged,8.549414926369755
113,pay,8.511589796802188
114,tiffany,8.511048182448528
115,waving,8.49953215996096
116,calling,8.436471874003475
117,nearly,8.214576489782598
118,tough,8.185735163543866
119,lips,8.147639797471914
120,ew,8.082569772695148
