,term,score
0,robert,282.05991051412934
1,tiffany,252.49442941263965
2,kristy,131.44725449293497
3,maria,123.6231518116347
4,claudia,97.88328266322516
5,mary,72.76456991327997
6,jessi,67.19091510012069
7,stacey,48.94164133161258
8,gym,44.80709614268297
9,sms,40.985045733156056
10,bsc,38.753563085787675
11,uh,34.19765970547902
12,shannon,33.909367700064216
13,group,29.371037562186753
14,team,26.523183316592604
15,coach,24.825781405820667
16,game,23.720416440764453
17,huh,23.536277530623813
18,movie,20.655637932753706
19,date,16.50303177897701
20,snow,16.208686756798777
21,teacher,15.958515928966982
22,homework,15.886493584083983
23,logan,15.187400425933529
24,coat,14.25827783088727
25,couch,13.771098823530393
26,watson,13.709044080501226
27,stace,13.474692407022324
28,wow,13.466611592690988
29,lunch,13.40676109455852
30,practice,13.267847984655234
31,teachers,13.119213321111408
32,bag,12.995963034851615
33,conversation,12.34439395996674
34,locker,11.914252895840338
35,shrugged,11.755445523758413
36,outfit,11.722870681699778
37,sitters,11.703435970603008
38,mall,11.373211175728814
39,hallway,11.173235827408076
40,decision,11.016879058824314
41,ball,10.663509312319214
42,class,10.639487246002734
43,shot,10.561598344006196
44,chips,10.503878514109127
45,exclaimed,10.37409156188062
46,body,10.327818966376853
47,tall,10.325090274793698
48,sisters,10.099958694518241
49,burst,9.965961182074487
50,plenty,9.921735048852625
51,smart,9.910011591841606
52,desk,9.79034585406225
53,dying,9.776581348982067
54,expression,9.730679545158953
55,calm,9.430303873701149
56,rules,9.244680000136611
57,pizza,9.075997139083189
58,dance,8.993155935554169
59,mallory,8.977741061793992
60,math,8.977741061793992
61,led,8.898138414968649
62,final,8.87335545997789
63,row,8.78824765002615
64,boys,8.780200161071022
65,hate,8.702529648055334
66,guy,8.663975356567743
67,others,8.663975356567743
68,legs,8.632044354020715
69,english,8.621570265383696
70,makeup,8.621570265383696
71,luck,8.4391946916431
72,practically,8.436471874003475
73,claud,8.401254219357726
74,um,8.251515889488505
75,mention,8.214576489782598
76,gorgeous,8.185735163543866
77,stomach,8.177830998579593
78,expected,8.177830998579593
79,movies,8.147639797471914
80,diabetes,8.072167104230754
81,art,7.890611221834554
82,staring,7.82061063849247
83,wednesday,7.785871113097568
84,nervous,7.7169050379964865
85,sports,7.673228656617756
86,asking,7.6147134420484175
87,sitter,7.6147134420484175
88,crowd,7.6034604286470415
89,mcgill,7.580978436996775
90,shouted,7.547405231152325
91,grabbed,7.447641072201915
92,salad,7.430305330707972
93,ms,7.394462883314908
94,truth,7.365468890292453
95,seats,7.358875544470589
96,garden,7.342270082406856
97,sigh,7.332227808038761
98,closer,7.299169873172944
99,note,7.299169873172944
100,games,7.266293078585189
101,steps,7.2335954499798
102,mal,7.1365582945061945
103,bored,7.016275812286807
104,loud,7.009569427353936
105,cute,6.978237763467026
106,brain,6.950485389399253
107,slow,6.9179119842932835
108,twenty,6.916061041253746
109,whether,6.916061041253746
110,coffee,6.885549411765196
111,interested,6.854522040250613
112,grew,6.854522040250613
113,tv,6.823987623205785
114,ear,6.823987623205785
115,list,6.7936078114665035
116,prepared,6.789699831226596
117,empty,6.763381047286761
118,missed,6.733305796345494
119,star,6.7268059201922945
120,eating,6.614490032568417
121,pictures,6.572947626858526
122,dumb,6.572947626858526
123,painting,6.565646024643026
124,york,6.555952982896228
125,announced,6.526897236041501
126,threw,6.526897236041501
127,hit,6.526897236041501
128,whoa,6.512705934277654
129,eye,6.497981517425807
130,rosie,6.48496233784868
131,earlier,6.4828550993451355
132,disappointed,6.453181421746061
133,definitely,6.440564811328903
134,thomas,6.383692347601641
135,news,6.3554570013771645
136,besides,6.3554570013771645
137,taken,6.327353905502607
138,ground,6.278745126743859
139,subject,6.193757244901004
140,win,6.1813507042845375
141,terrible,6.165745967157655
142,silent,6.165745967157655
143,receiver,6.150932306743661
144,flowers,6.120743484202128
145,learned,6.000895870969805
146,including,5.920465182211684
147,newspaper,5.915570306651927
148,shop,5.887100435576471
149,pull,5.841307856128281
150,jump,5.830761476049514
151,laughter,5.802886798785141
152,eighth,5.737677203542696
153,impressed,5.720409649974198
154,forgot,5.6613398428887525
155,strong,5.613020649829446
