,term,score
0,pow,197.9198296122915
1,stacey,157.46441124084046
2,suzi,124.6264241964765
3,mary,120.21972420454952
4,barrett,119.64900273985755
5,buddy,92.39162098917078
6,marnie,85.94277280467932
7,kristy,76.94473433732779
8,emily,70.92996020181204
9,guy,70.39479977211292
10,letter,70.3059812002092
11,sean,65.54495591078273
12,shannon,64.18558886083584
13,claudia,57.453231128414764
14,letters,54.571567756959105
15,mal,36.87221785494867
16,alan,35.75179705751158
17,rock,34.34547022464687
18,dog,31.629736117082757
19,pike,29.047982371543462
20,list,26.042163277288264
21,bsc,24.220976928617297
22,office,24.00358348387922
23,logan,23.365231424513123
24,art,22.544603490955872
25,suppose,21.52826307360281
26,date,21.218183715827585
27,box,20.57694147184839
28,writing,19.077699756312235
29,jessi,18.860607747402298
30,although,17.955482123587984
31,dr,17.110047979599518
32,nancy,16.448147904272986
33,boyfriend,16.101412028322255
34,pikes,16.034594059136165
35,boys,15.365350281874289
36,written,15.119515154178556
37,tough,15.007181133163755
38,newspaper,13.310033189966836
39,sense,13.287948242765983
40,fashion,13.056495297266567
41,insisted,12.61479700057757
42,sms,12.610783302509557
43,nicky,12.569890305834086
44,history,12.278602745315798
45,desk,11.965978266076084
46,liked,11.703435970603008
47,explained,11.651671169191468
48,interesting,11.526768402089578
49,bart,11.387001364403766
50,dewitt,11.238468346512246
51,named,11.172300912132101
52,tears,10.878162060069167
53,shy,10.75309493003176
54,yourself,10.75309493003176
55,claire,10.713045074302583
56,video,10.599447894688575
57,clock,10.545589842504343
58,wrote,10.37409156188062
59,space,10.325090274793698
60,rose,10.106019305266743
61,lunch,10.05507082091889
62,admitted,10.010716887454846
63,richard,9.948591002144862
64,stairs,9.8777251812049
65,expression,9.730679545158953
66,robert,9.726203810832047
67,poor,9.430303873701149
68,war,9.229120103844515
69,movie,9.180283525668314
70,entire,9.13936272033415
71,seeing,9.09865016427438
72,reminded,9.017841396382348
73,feelings,8.952100099387382
74,gotten,8.93784072970568
75,starting,8.819320043424556
76,jordan,8.746142214074272
77,laughter,8.704330198177711
78,junk,8.702529648055334
79,using,8.515698185368434
80,jacket,8.49953215996096
81,fit,8.477341925016054
82,brown,8.473942668502886
83,tuesday,8.4391946916431
84,team,8.4391946916431
85,eight,8.436471874003475
86,beat,8.379926870556057
87,luckily,8.379926870556057
88,track,8.363518278913592
89,fair,8.288651255096358
90,handle,8.251515889488505
91,absolutely,8.14127739071153
92,hang,8.068737881462704
93,watson,7.996942380292381
94,interested,7.996942380292381
95,pet,7.95887280171589
96,himself,7.9258757800442545
97,drew,7.890611221834554
98,dumb,7.887537152230232
99,dogs,7.842523676763344
100,takes,7.82061063849247
101,jobs,7.682675140937144
102,sports,7.673228656617756
103,discovered,7.673228656617756
104,crossed,7.673228656617756
105,decide,7.638243134752997
106,hit,7.6147134420484175
107,sitter,7.6147134420484175
108,quite,7.6147134420484175
109,gray,7.568878200346541
110,notebook,7.51399227988372
111,sitters,7.447641072201915
112,helped,7.414699834940025
113,monday,7.381912889753041
114,mail,7.1822487439520595
115,artist,7.016275812286807
116,hoped,7.009569427353936
117,expected,7.009569427353936
118,blonde,7.009569427353936
119,wild,6.978237763467026
120,visit,6.947068862204401
121,woman,6.947068862204401
122,seventh,6.885549411765196
123,sad,6.885212644251235
124,several,6.854522040250613
125,lucky,6.823987623205785
126,totally,6.7936078114665035
127,mallory,6.733305796345494
128,wow,6.733305796345494
129,longer,6.733305796345494
130,simple,6.6956531714391145
131,wednesday,6.673603811226487
132,meetings,6.643974121382992
133,third,6.614490032568417
134,nervous,6.614490032568417
135,lay,6.603342857240437
136,explain,6.585150120803267
137,divorced,6.585150120803267
138,known,6.585150120803267
139,wonderful,6.585150120803267
140,animals,6.565646024643026
141,rolled,6.555952982896228
142,upstairs,6.555952982896228
143,handed,6.555952982896228
144,bag,6.497981517425807
145,california,6.497981517425807
146,shouted,6.46920448384485
147,game,6.46920448384485
148,deal,6.46920448384485
149,happily,6.453181421746061
150,tall,6.453181421746061
151,definitely,6.440564811328903
152,imagine,6.412061194777316
153,grabbed,6.383692347601641
154,taken,6.327353905502607
155,large,6.193757244901004
156,american,6.193757244901004
157,pink,6.137890741910378
158,board,6.120743484202128
159,genius,6.082641560977454
160,spot,6.082641560977454
161,library,6.031520454144935
162,immediately,6.027996208316501
163,strange,6.027996208316501
164,company,5.973941627795423
165,page,5.9731252564603246
166,crying,5.893939921063218
167,nearly,5.867554635558998
168,loud,5.841307856128281
169,paint,5.802886798785141
170,bunch,5.789224051837001
171,twenty,5.763384201044789
172,thinks,5.763384201044789
173,single,5.737677203542696
174,eighth,5.737677203542696
175,completely,5.7121017002088434
176,schafer,5.686656352671488
177,extra,5.6613398428887525
178,seems,5.586150456066051
179,neither,5.561336509355406
180,mad,5.561336509355406
181,burst,5.536645101152493
182,notice,5.536645101152493
183,upset,5.512075027140347
184,leaving,5.487625100669389
185,regular,5.487625100669389
186,guilty,5.482715968090995
187,york,5.463294152413524
188,drive,5.463294152413524
189,thrilled,5.4571567756959105
190,hate,5.4390810300345835
191,above,5.431759864981276
192,brothers,5.41498459785484
193,horrible,5.406523188208217
194,spoke,5.367137342774085
195,chocolate,5.3565225371512915
196,spent,5.343384328981097
197,tomorrow,5.343384328981097
198,changed,5.319743623001367
199,stepped,5.296214167814304
200,practically,5.272794921252172
201,lose,5.258358101486821
202,born,5.23418884366297
203,classes,5.162545137396849
204,loved,5.045918800231028
205,appeared,5.022996101395087
206,realize,5.022996101395087
207,feels,5.000204016936537
208,sent,4.955005795920803
209,smart,4.955005795920803
210,painting,4.92423451848227
211,ew,4.849541863617088
212,proud,4.844195385723459
213,janine,4.8223969666532005
214,keeping,4.8223969666532005
215,envelope,4.8007603010017466
216,offered,4.800716696775844
217,mostly,4.757705529670797
218,gently,4.757705529670797
219,purple,4.729043738441083
220,lines,4.729043738441083
221,keeps,4.7151519368505745
222,weekend,4.7151519368505745
223,test,4.705514206058007
224,museum,4.65238087410037
225,gets,4.652158508978017
226,quick,4.652158508978017
227,terrific,4.652158508978017
228,works,4.652158508978017
