,term,score
0,stephie,430.77766303747876
1,carol,216.55703460543828
2,sunny,166.69448081659212
3,maggie,134.86162015814693
4,jill,118.2614682003529
5,jeff,104.05512171433686
6,kristy,68.39531941095804
7,mary,48.50971327551998
8,dewitt,44.95387338604898
9,nicky,43.2962888312063
10,bsc,42.38670962508027
11,mal,30.92508594286018
12,uh,26.716921644905483
13,tv,26.15861922228884
14,jessi,24.754547668465516
15,california,19.493944552277423
16,ms,19.225603496618763
17,news,19.066371004131494
18,adam,18.949974797160923
19,huh,18.581271734703012
20,video,17.665746491147626
21,tape,16.34667172755754
22,stacey,15.959230869004102
23,dinner,15.818384763756516
24,connecticut,15.64122127698494
25,fortunately,14.69738930841216
26,joke,14.460484779088757
27,letter,13.182371475039226
28,boys,13.170300241606533
29,claudia,12.767384695203281
30,sitters,12.767384695203281
31,clock,12.654707811005213
32,mallory,12.34439395996674
33,married,12.34439395996674
34,secret,12.28953100334531
35,camera,12.156515067599083
36,jobs,12.072775221472655
37,trip,12.055992416633002
38,bag,11.912966115280646
39,rules,11.886017143032788
40,byron,11.717663533368201
41,jordan,11.661522952099029
42,named,11.172300912132101
43,vanessa,11.120776623038804
44,group,10.878162060069167
45,eight,10.545589842504343
46,bedroom,10.327818966376853
47,feelings,10.230971542157008
48,member,9.921735048852625
49,record,9.833929474344343
50,gets,9.304317017956034
51,woman,9.262758482939201
52,mentioned,9.262758482939201
53,wrote,9.221414721671662
54,wedding,9.12707574568848
55,rain,9.076824066420972
56,chips,9.003324440664965
57,station,8.959687884690487
58,became,8.858632161843989
59,insisted,8.830357900404298
60,stupid,8.593047038674529
61,note,8.515698185368434
62,barely,8.511589796802188
63,shannon,8.477341925016054
64,brown,8.473942668502886
65,hug,8.4391946916431
66,coffee,8.262659294118235
67,blonde,8.177830998579593
68,angry,8.177830998579593
69,snow,8.104343378399388
70,claire,8.034783805726937
71,dress,8.032748084959774
72,ball,7.99763198423941
73,schafer,7.961318893740082
74,speak,7.9258757800442545
75,coat,7.9212654616040385
76,whoa,7.815247121133185
77,weather,7.765002744083517
78,eating,7.7169050379964865
79,glanced,7.648611813378933
80,upstairs,7.648611813378933
81,tears,7.6147134420484175
82,beautiful,7.547405231152325
83,shouted,7.547405231152325
84,deal,7.547405231152325
85,tomorrow,7.480738060573535
