,term,score
0,jenny,816.4928434046149
1,andrea,297.0891054162999
2,prezzioso,284.23570430775345
3,adam,86.00373177173033
4,mallory,83.04410482159443
5,kristy,68.39531941095804
6,team,61.4855613248283
7,jessi,49.50909533693103
8,ball,47.98579190543646
9,shannon,47.23090501080373
10,claudia,43.621897708611215
11,claire,42.85218029721033
12,stacey,41.49400025941066
13,nicky,40.502979874354274
14,mal,40.440497002201774
15,dress,40.163740424798874
16,haley,39.557674855639384
17,bsc,38.753563085787675
18,claud,38.40573357420675
19,triplets,37.60055957620178
20,margo,36.14252402487611
21,jordan,34.98456885629709
22,buddy,34.646857870939044
23,pow,30.84464877074673
24,byron,30.758866775091526
25,pike,30.16521246275667
26,mommy,29.206642386203136
27,game,28.03321942999435
28,children,27.074922989274196
29,babies,26.270740493209285
30,suzi,26.23714193610032
31,mess,23.365231424513123
32,matt,22.702087898409633
33,juice,21.04882743686042
34,logan,21.02870828206181
35,clean,20.471962869617354
36,camera,20.260858445998473
37,shouted,19.40761345153455
38,mary,18.98206171650782
39,director,18.661141296558625
40,beach,17.570959051602188
41,wonderful,17.560400322142044
42,sitter,17.405059296110668
43,sitters,17.023179593604375
44,robert,17.020856668956082
45,round,16.99906431992192
46,cry,16.38988245724057
47,stairs,15.365350281874289
48,jobs,15.365350281874289
49,ms,14.788925766629816
50,spot,14.598339746345887
51,filled,14.331395070564904
52,schedule,14.196999127841336
53,covered,13.956475526934051
54,vanessa,13.900970778798506
55,braddock,13.523290406781022
56,dog,13.381811434150396
57,boys,13.170300241606533
58,checked,13.053794472083002
59,field,12.932111636312236
60,shrugged,12.824122389554631
61,brown,12.710914002754329
62,barrett,12.500642077298549
63,chips,12.004432587553287
64,rules,11.886017143032788
65,handle,11.787879842126436
66,becca,11.550410054813693
67,bike,11.548952623646347
68,water,11.322679685777505
69,appeared,11.301741228138946
70,glass,11.098342740883778
71,upstairs,10.926588304827048
72,sharon,10.892188879705166
73,group,10.878162060069167
74,bathroom,10.850393174969701
75,store,10.850393174969701
76,box,10.82996919570968
77,office,10.801612567745648
78,forward,10.73427468554817
79,problems,10.704837441759292
80,grabbed,10.639487246002734
81,explained,10.592428335628608
82,street,10.592428335628608
83,outfit,10.420329494844246
84,folded,10.137947238196055
85,hurried,10.058498642947646
86,starting,9.921735048852625
87,pink,9.820625187056605
88,brothers,9.746972276138711
89,bag,9.746972276138711
90,closet,9.732226497563925
91,couch,9.639769176471274
92,air,9.618091792165973
93,news,9.533185502065747
94,neighborhood,9.430303873701149
95,shot,9.388087416894397
96,bus,9.333290538358725
97,woman,9.262758482939201
98,raced,9.202126677601937
99,several,9.13936272033415
100,dear,9.091561325003138
101,counter,9.091561325003138
102,stared,8.977741061793992
103,plastic,8.830357900404298
104,thursday,8.75035702963894
105,pikes,8.746142214074272
106,tears,8.702529648055334
107,announced,8.702529648055334
108,sam,8.671260142861405
109,waited,8.663975356567743
110,deal,8.6256059784598
111,man,8.587419748438537
112,murmured,8.580614474961298
113,clock,8.436471874003475
114,monday,8.436471874003475
115,baseball,8.379926870556057
116,luckily,8.379926870556057
117,daughter,8.30149438115194
118,everywhere,8.147639797471914
119,carol,8.120888797703934
120,weeks,8.068737881462704
121,practice,7.960708790793141
122,edge,7.960708790793141
123,bear,7.842523676763344
124,charge,7.82061063849247
125,dining,7.765002744083517
126,throw,7.743817706095274
127,apple,7.650929355252661
128,flowers,7.650929355252661
129,jamie,7.638701971021744
130,wore,7.638243134752997
131,quite,7.6147134420484175
132,california,7.580978436996775
133,ahead,7.547405231152325
134,ground,7.5344941520926305
135,uh,7.480738060573535
136,act,7.466311600190741
137,ears,7.432508693881204
138,terrible,7.398895160589185
139,headed,7.381912889753041
140,louie,7.350729257160491
141,paint,7.253608498481427
142,drop,7.168729953354507
143,shoes,7.072727905275862
144,carried,7.04949852588015
145,band,7.028383620640875
146,stomach,7.009569427353936
147,nobody,7.009569427353936
148,decision,6.885549411765196
149,song,6.885549411765196
150,pale,6.885549411765196
151,sad,6.885212644251235
152,nose,6.885212644251235
153,completely,6.854522040250613
154,acting,6.758153985260272
155,gotten,6.70338054727926
156,wednesday,6.673603811226487
157,managed,6.673603811226487
158,wondered,6.643974121382992
159,meetings,6.643974121382992
160,flew,6.633923992327617
161,sick,6.614490032568417
162,neat,6.603342857240437
163,mirror,6.603342857240437
164,leaving,6.585150120803267
165,regular,6.585150120803267
166,pictures,6.572947626858526
167,waved,6.555952982896228
168,glanced,6.555952982896228
169,hit,6.526897236041501
170,kit,6.4989778147021795
171,beside,6.4828550993451355
172,picking,6.4828550993451355
173,break,6.46920448384485
174,ew,6.466055818156118
175,happily,6.453181421746061
176,definitely,6.440564811328903
177,dance,6.423682811110121
178,changed,6.383692347601641
179,sighed,6.383692347601641
180,stepped,6.3554570013771645
181,carrying,6.307398500288785
182,anybody,6.278745126743859
183,wears,6.250255021170671
184,giggled,6.193757244901004
185,sigh,6.110189840032301
186,porch,6.090780797285499
187,strange,6.027996208316501
188,hoping,6.027996208316501
189,hug,6.027996208316501
190,normal,6.000895870969805
191,fair,5.920465182211684
192,fifteen,5.920465182211684
193,famous,5.887100435576471
194,nearly,5.867554635558998
195,loud,5.841307856128281
196,gets,5.815198136222522
197,cute,5.815198136222522
198,accident,5.802886798785141
199,twenty,5.763384201044789
200,kidding,5.763384201044789
201,needs,5.763384201044789
202,lights,5.747713510255798
203,watson,5.7121017002088434
204,reach,5.7121017002088434
205,ear,5.686656352671488
206,tired,5.686656352671488
207,tiffany,5.674032121632352
208,join,5.6613398428887525
209,forgot,5.6613398428887525
210,extra,5.6613398428887525
211,glasses,5.636150872738968
212,checking,5.613020649829446
213,bowl,5.586617913704038
214,named,5.586150456066051
215,carefully,5.561336509355406
216,concerned,5.560388311519402
217,notice,5.536645101152493
218,hardly,5.536645101152493
219,sun,5.534329587434627
220,upset,5.512075027140347
221,whose,5.482715968090995
222,nope,5.482715968090995
223,building,5.482715968090995
224,record,5.463294152413524
225,handed,5.463294152413524
226,seat,5.463294152413524
227,rolled,5.463294152413524
228,desk,5.4390810300345835
229,picture,5.41498459785484
230,cream,5.406523188208217
231,become,5.3910037365373755
232,star,5.381444736153836
233,window,5.367137342774085
234,notebook,5.367137342774085
235,spotted,5.3565225371512915
236,spent,5.343384328981097
237,tossed,5.331754656159607
238,bet,5.296214167814304
239,town,5.296214167814304
240,dinner,5.272794921252172
241,ice,5.258358101486821
242,snapped,5.258358101486821
243,parade,5.227745019003932
244,gasped,5.186284079476108
245,yard,5.162545137396849
246,child,5.162545137396849
247,yellow,5.138946248888097
248,promise,5.138946248888097
249,crossed,5.115485771078504
250,grin,5.115485771078504
251,muttered,5.115485771078504
252,careful,5.022996101395087
253,amazing,4.932596773726123
254,lying,4.888151872025841
255,touch,4.888151872025841
256,ramsey,4.8661132487819625
257,tigger,4.849541863617088
258,steps,4.8223969666532005
259,krushers,4.8007603010017466
260,clients,4.800716696775844
261,silence,4.7151519368505745
262,crying,4.7151519368505745
263,planned,4.7151519368505745
264,step,4.7151519368505745
265,dogs,4.705514206058007
