,term,score
0,karen,158.42365099360285
1,claudia,142.56912909643665
2,team,141.0551112746061
3,mary,132.87443201555473
4,coach,118.39988055083704
5,stacey,100.0111801124257
6,practice,82.26065750486245
7,softball,71.56601328532544
8,kristy,64.12061194777316
9,sms,56.748524861293006
10,krushers,49.60785644368472
11,ball,49.318730569476365
12,fire,45.62502837571765
13,bsc,41.1756607786494
14,field,38.79633490893671
15,paint,36.26804249240713
16,andrew,33.29502822265133
17,logan,32.71132399431837
18,shannon,31.487270007202486
19,locker,30.63665030358944
20,bus,27.999871615076174
21,jackie,26.022027089183943
22,charlie,25.472585828082803
23,baseball,25.139780611668172
24,notes,20.60485152451765
25,david,19.860446710836154
26,michael,19.860446710836154
27,jessi,18.860607747402298
28,bat,17.695689327169003
29,nannie,17.661301306729413
30,member,17.63864008684911
31,sam,17.34252028572281
32,note,17.031396370736868
33,class,17.023179593604375
34,claud,16.802508438715453
35,plate,16.77827169653976
36,michelle,15.007181133163755
37,uh,14.96147612114707
38,emily,14.932623200381482
39,watson,14.851464420542994
40,although,14.588829225415237
41,usual,14.523991185771731
42,mal,14.273116589012389
43,tired,13.64797524641157
44,listen,12.995963034851615
45,hat,12.74929823994144
46,news,12.710914002754329
47,matt,12.382957035496165
48,louie,12.251215428600819
49,throat,12.055992416633002
50,waved,12.019247135309753
51,game,11.860208220382226
52,pop,11.659189108764476
53,paused,11.562629059998217
54,buddy,11.548952623646347
55,slid,11.332709546614614
56,boo,11.32761303671418
57,green,11.172300912132101
58,radio,11.074944124613419
59,guilty,10.96543193618199
60,boyfriend,10.73427468554817
61,claire,10.713045074302583
62,beside,10.372568158952216
63,tall,10.325090274793698
64,yellow,10.277892497776193
65,cleared,10.277892497776193
66,count,10.230971542157008
67,worse,10.190411717199755
68,mallory,10.099958694518241
69,rodowsky,9.77313440308851
70,games,9.688390771446919
71,air,9.618091792165973
72,tough,9.550024357467844
73,super,9.505579763717234
74,headed,9.49103085825391
75,practically,9.49103085825391
76,played,9.346092569805249
77,garden,9.17783760300857
78,screamed,9.047280681217403
79,grown,9.017841396382348
80,cake,8.977810929940075
81,lunch,8.93784072970568
82,ben,8.92352102898344
83,warm,8.911283657211829
84,raised,8.780200161071022
85,junk,8.702529648055334
86,hit,8.702529648055334
87,group,8.702529648055334
88,ears,8.671260142861405
89,california,8.663975356567743
90,pack,8.662807541110269
91,shouted,8.6256059784598
92,forward,8.587419748438537
93,lying,8.55426577604522
94,shrugged,8.549414926369755
95,sitters,8.511589796802188
96,brown,8.473942668502886
97,mystery,8.37801435454518
98,puppy,8.334724040829606
99,weekend,8.251515889488505
100,ghost,8.1652162824512
101,kidding,8.068737881462704
102,style,7.99763198423941
103,glasses,7.890611221834554
104,secret,7.82061063849247
105,gasped,7.779426119214162
106,weather,7.765002744083517
107,sick,7.7169050379964865
108,organized,7.708419373332145
109,repeated,7.682675140937144
110,thoughts,7.673228656617756
111,rolled,7.648611813378933
112,jamie,7.638701971021744
113,crowd,7.6034604286470415
114,kishi,7.580978436996775
115,anybody,7.5344941520926305
116,man,7.51399227988372
117,grabbed,7.447641072201915
118,color,7.365468890292453
119,sixth,7.365468890292453
120,homework,7.332227808038761
121,brewer,7.299169873172944
122,dog,7.299169873172944
123,softly,7.2010750451637655
124,emergency,7.116613627540854
125,fair,7.10455821865402
126,listening,7.072727905275862
127,neck,6.9179119842932835
128,loudly,6.916061041253746
129,possible,6.916061041253746
130,schafer,6.823987623205785
131,party,6.7936078114665035
132,join,6.7936078114665035
133,dollars,6.737346203511162
134,math,6.733305796345494
135,wow,6.733305796345494
136,pocket,6.6956531714391145
137,third,6.614490032568417
138,joined,6.614490032568417
139,backpack,6.5994014992264844
140,spier,6.585150120803267
141,boys,6.585150120803267
142,ice,6.572947626858526
143,york,6.555952982896228
144,bag,6.497981517425807
145,schedule,6.453181421746061
146,definitely,6.440564811328903
