,term,score
0,becca,79.40906912684413
1,mama,75.12023066768968
2,ms,73.94462883314908
3,stacey,68.0927183744175
4,kristy,64.12061194777316
5,class,56.38928240381449
6,mary,48.50971327551998
7,maria,47.76349047267704
8,charlotte,46.13199230057746
9,jessi,43.61515541586782
10,claudia,42.557948984010935
11,cecelia,42.29013079216869
12,daddy,40.42407722106697
13,bsc,39.96461193221854
14,squirt,32.77517449312289
15,mal,32.11451232527788
16,teachers,32.06918811827233
17,aunt,30.758866775091526
18,teacher,25.779141116023588
19,uh,25.648244779109262
20,vanessa,25.02174740183731
21,jamie,24.825781405820667
22,huh,23.536277530623813
23,sixth,23.323984819259437
24,dance,23.125258119996435
25,pike,22.344601824264203
26,screamed,21.110321589507272
27,haley,19.778837427819692
28,takes,18.99291155062457
29,singing,18.859382096051707
30,hallway,18.156508219538125
31,ben,17.84704205796688
32,sms,17.33982704095064
33,margo,16.681164934558204
34,audience,16.61241618692013
35,song,16.52531858823647
36,stage,16.00253433667249
37,gym,16.00253433667249
38,sitters,15.959230869004102
39,john,15.645633949332597
40,suzi,15.304999462725185
41,buddy,14.848653373259591
42,laughter,14.507216996962853
43,johanssen,14.25827783088727
44,yelled,14.20911643730804
45,barn,13.845186199473785
46,students,13.474692407022324
47,marilyn,13.38528154347516
48,adam,13.119213321111408
49,pikes,13.119213321111408
50,shouted,12.9384089676897
51,ballet,12.500510042341341
52,board,12.241486968404256
53,chips,12.004432587553287
54,desk,11.965978266076084
55,group,11.965978266076084
56,monday,11.600148826754777
57,insisted,11.353317300519812
58,johnson,11.348064243264703
59,carolyn,11.230738646883243
60,burst,11.073290202304985
61,nervous,11.024150054280694
62,ramsey,10.948754809759416
63,shannon,10.899439617877784
64,throat,10.850393174969701
65,shy,10.75309493003176
66,letter,10.252955591697177
67,mallory,10.099958694518241
68,writing,10.099958694518241
69,jobs,9.8777251812049
70,guy,9.746972276138711
71,official,9.685076778010597
72,rehearsal,9.580733234148546
73,clock,9.49103085825391
74,giggling,9.46141557936438
75,stomach,9.346092569805249
76,style,9.330570648279313
77,ear,9.09865016427438
78,rain,9.076824066420972
79,himself,9.058143748622005
80,ashley,8.959643384361419
81,music,8.952100099387382
82,video,8.832873245573813
83,jordan,8.746142214074272
84,note,8.515698185368434
85,claud,8.401254219357726
86,backpack,8.249251874033106
87,fortunately,8.1652162824512
88,exclaimed,8.068737881462704
89,pocket,8.034783805726937
90,nose,8.032748084959774
91,million,7.960708790793141
92,flew,7.960708790793141
93,arnold,7.95887280171589
94,glasses,7.890611221834554
95,raced,7.887537152230232
96,triplets,7.779426119214162
97,yard,7.743817706095274
98,joined,7.7169050379964865
99,worst,7.708419373332145
100,its,7.682675140937144
101,hit,7.6147134420484175
102,announced,7.6147134420484175
103,stamford,7.539400567681169
104,shrugged,7.480738060573535
105,bell,7.432508693881204
106,tape,7.430305330707972
107,sigh,7.332227808038761
108,byron,7.323539708355126
109,pulling,7.299169873172944
110,welcome,7.299169873172944
111,makeup,7.1846418878197476
112,sang,7.150512062467747
113,chairs,7.150512062467747
114,total,7.04949852588015
115,played,7.009569427353936
116,logan,7.009569427353936
117,loud,7.009569427353936
118,pieces,6.983272392130048
119,dr,6.8440191918398074
120,bart,6.83220081864226
121,locker,6.808144511908765
122,worse,6.7936078114665035
123,marnie,6.7849557477378415
124,horrible,6.758153985260272
125,ball,6.664693320199508
126,sense,6.643974121382992
127,raised,6.585150120803267
128,spier,6.585150120803267
129,joke,6.572947626858526
130,seat,6.555952982896228
131,costume,6.516119271668781
132,noise,6.512705934277654
133,whoa,6.512705934277654
134,man,6.440564811328903
135,mark,6.431606640768692
136,stepped,6.3554570013771645
137,mine,6.3554570013771645
138,besides,6.3554570013771645
139,awful,6.327353905502607
140,alan,6.309140657207926
141,ground,6.278745126743859
142,thursday,6.250255021170671
143,giggled,6.193757244901004
144,matt,6.191478517748083
145,stupid,6.137890741910378
146,places,6.082641560977454
147,fit,6.055244232154324
148,strange,6.027996208316501
149,steps,6.027996208316501
150,office,6.000895870969805
151,gently,5.947131912088496
152,fifteen,5.920465182211684
153,poor,5.893939921063218
154,seats,5.887100435576471
155,gets,5.815198136222522
156,braddock,5.795695888620438
157,bunch,5.789224051837001
158,mentioned,5.789224051837001
159,twenty,5.763384201044789
160,lights,5.747713510255798
161,single,5.737677203542696
162,entire,5.7121017002088434
163,pencil,5.666354773307307
164,speak,5.6613398428887525
165,young,5.636150872738968
166,stuffed,5.613020649829446
167,conversation,5.611088163621245
168,sisters,5.611088163621245
169,nicky,5.586617913704038
170,dying,5.586617913704038
171,mad,5.561336509355406
172,ended,5.536645101152493
173,smell,5.508439529412157
174,repeated,5.487625100669389
175,president,5.487625100669389
176,rushed,5.4571567756959105
177,threw,5.4390810300345835
178,above,5.431759864981276
179,california,5.41498459785484
180,waited,5.41498459785484
181,eye,5.41498459785484
182,cream,5.406523188208217
183,turning,5.3910037365373755
184,forward,5.367137342774085
185,slipped,5.3565225371512915
186,forth,5.3565225371512915
187,teeth,5.3565225371512915
188,simple,5.3565225371512915
189,sign,5.343384328981097
190,imagine,5.343384328981097
191,main,5.331754656159607
192,sighed,5.319743623001367
193,town,5.296214167814304
194,street,5.296214167814304
195,student,5.28267428579235
196,ice,5.258358101486821
197,snapped,5.258358101486821
198,plastic,5.045918800231028
199,gray,5.045918800231028
200,involved,4.955005795920803
201,amazing,4.932596773726123
202,low,4.932596773726123
203,seriously,4.932596773726123
204,truth,4.910312593528302
205,kit,4.874233361026635
206,sheet,4.849541863617088
207,immediately,4.8223969666532005
208,learned,4.800716696775844
209,helping,4.757705529670797
210,gathered,4.757705529670797
211,including,4.736372145769347
212,lines,4.729043738441083
213,step,4.7151519368505745
214,um,4.7151519368505745
215,blonde,4.673046284902624
216,written,4.652158508978017
217,wondering,4.652158508978017
218,cute,4.652158508978017
219,awhile,4.610707360835831
220,apple,4.590557613151596
221,grew,4.569681360167075
222,interested,4.569681360167075
223,tv,4.54932508213719
224,charges,4.5016622203324825
225,somehow,4.488870530896996
226,staring,4.46892036485284
227,secret,4.46892036485284
228,plan,4.46892036485284
229,gotten,4.46892036485284
230,lunch,4.46892036485284
231,wednesday,4.4490692074843246
232,meetings,4.4293160809219945
233,notes,4.415325326682353
234,leaned,4.409660021712278
235,plenty,4.409660021712278
236,stayed,4.409660021712278
237,member,4.409660021712278
238,questions,4.409660021712278
239,third,4.409660021712278
240,row,4.394123825013075
241,explain,4.390100080535511
242,known,4.390100080535511
243,boys,4.390100080535511
244,leaving,4.390100080535511
245,rolled,4.370635321930819
246,others,4.3319876782838715
247,listen,4.3319876782838715
248,closed,4.3319876782838715
249,heading,4.290307237480649
250,admit,4.274707463184877
251,thomas,4.255794898401094
252,excited,4.255794898401094
253,grabbed,4.255794898401094
254,liked,4.255794898401094
255,barely,4.255794898401094
256,explained,4.236971334251443
257,brown,4.236971334251443
258,comes,4.236971334251443
259,helped,4.236971334251443
260,dinner,4.2182359370017375
261,practically,4.2182359370017375
262,eight,4.2182359370017375
263,bowl,4.189963435278028
264,brain,4.170291233639551
265,seventh,4.131329647059117
266,star,4.036083552115377
267,jumping,4.036083552115377
268,taylor,4.027631504016066
269,mistake,3.9620057143442624
270,dumb,3.943768576115116
271,driveway,3.943768576115116
272,outfit,3.9076235605665923
273,center,3.9076235605665923
274,candy,3.9076235605665923
275,picking,3.889713059607081
276,classes,3.871908853047637
277,friendly,3.871908853047637
278,organized,3.8542096866660724
279,grinning,3.836614328308878
280,sports,3.836614328308878
281,mood,3.836614328308878
282,feelings,3.836614328308878
283,pool,3.819350985510872
284,drove,3.8191215673764987
285,carrying,3.7844391001732705
286,disappeared,3.7844391001732705
287,seconds,3.7844391001732705
288,embarrassed,3.7844391001732705
289,boo,3.77587101223806
290,sugar,3.7672470760463153
291,spread,3.7501530127024028
292,wears,3.7501530127024028
293,breakfast,3.7501530127024028
294,shoulders,3.7331558000953704
295,american,3.716254346940602
296,sent,3.716254346940602
297,terrible,3.6994475802945925
298,homework,3.6661139040193804
299,bottom,3.6661139040193804
300,cold,3.6661139040193804
301,wedding,3.650830298275392
302,bruno,3.6331465392925946
303,barrett,3.5716120220853
304,mostly,3.5682791472530972
305,handle,3.536363952637931
306,weekend,3.536363952637931
307,planned,3.536363952637931
308,shoes,3.536363952637931
309,hoped,3.504784713676968
310,terrific,3.489118881733513
311,birthday,3.4768075442961326
312,visit,3.4735344311022005
313,den,3.4583742340862846
314,possible,3.458030520626873
315,weeks,3.458030520626873
