,term,score
0,robert,474.1524357780623
1,claudia,318.1206686554818
2,haley,217.56721170601662
3,vanessa,125.10873700918654
4,mary,98.07398553529039
5,kristy,81.21944180051267
6,jessi,67.19091510012069
7,mal,59.47131912088496
8,beach,57.98416487028722
9,boat,56.08534774401668
10,shannon,52.07510039652719
11,parade,41.82196015203146
12,vacation,39.19303815576576
13,costume,34.75263611556683
14,island,32.68103803611752
15,stacey,30.85451301340793
16,suit,30.157602270724677
17,weekend,28.290911621103447
18,rain,27.230472199262916
19,park,25.39720770839918
20,spend,23.510891047516825
21,camp,21.03046885735975
22,bsc,20.5878303893247
23,matt,18.574435553244246
24,claud,16.802508438715453
25,train,16.669448081659212
26,station,16.426094455265893
27,summer,15.921417581586281
28,hurried,15.806212153203443
29,store,15.672790141622901
30,feelings,15.346457313235511
31,tonight,15.255642052453394
32,bag,15.16195687399355
33,insisted,15.137756400693082
34,weeks,14.98479892271645
35,headed,14.763825779506082
36,eight,14.763825779506082
37,monday,14.763825779506082
38,fire,14.717751088941178
39,team,14.4671908999596
40,sunday,14.262281218559297
41,happily,14.196999127841336
42,bags,14.165886933268268
43,weather,13.977004939350332
44,braddock,13.523290406781022
45,pool,13.367728449288052
46,california,12.995963034851615
47,picture,12.995963034851615
48,guy,12.995963034851615
49,pow,12.851936987811136
50,apartment,12.780453348743368
51,mallory,12.34439395996674
52,lying,12.220379680064601
53,pulling,12.165283121954907
54,leaving,12.072775221472655
55,jobs,12.072775221472655
56,spotted,12.052175708590406
57,office,12.00179174193961
58,woman,11.578448103674003
59,watson,11.424203400417687
60,hungry,11.405190642970563
61,card,11.386581804065367
62,seeing,11.373312705342975
63,signed,11.373211175728814
64,pair,11.322679685777505
65,water,11.322679685777505
66,green,11.172300912132101
67,large,11.148763040821807
68,guilty,10.96543193618199
69,york,10.926588304827048
70,super,10.863519729962553
71,tree,10.863519729962553
72,spent,10.686768657962194
73,frowned,10.614278387724188
74,brown,10.592428335628608
75,bedroom,10.327818966376853
76,mood,10.230971542157008
77,locker,10.212216767863147
78,decide,10.184324179670663
79,appeared,10.045992202790174
80,starting,9.921735048852625
81,wonderful,9.8777251812049
82,handed,9.833929474344343
83,shouted,9.703806725767276
84,light,9.660847216993353
85,sign,9.618091792165973
86,sighed,9.57553852140246
87,gorgeous,9.550024357467844
88,explained,9.533185502065747
89,dinner,9.49103085825391
90,pushed,9.472744291538694
91,restaurant,9.364335569463684
92,suppose,9.22639846011549
93,board,9.181115226303191
94,completely,9.13936272033415
95,yellow,8.993155935554169
96,catch,8.93784072970568
97,evening,8.819320043424556
98,filled,8.819320043424556
99,upset,8.819320043424556
100,plans,8.75035702963894
101,dream,8.746142214074272
102,drawing,8.746142214074272
103,glass,8.632044354020715
104,beautiful,8.6256059784598
105,surprise,8.6256059784598
106,dressed,8.587419748438537
107,admitted,8.580614474961298
108,putting,8.549414926369755
109,tomorrow,8.549414926369755
110,changed,8.511589796802188
111,area,8.49953215996096
112,stepped,8.473942668502886
113,street,8.473942668502886
114,helped,8.473942668502886
115,tuesday,8.4391946916431
116,trip,8.4391946916431
117,sun,8.30149438115194
118,slow,8.30149438115194
119,shouldn,8.288651255096358
120,fifteen,8.288651255096358
121,neighborhood,8.251515889488505
122,bought,8.251515889488505
123,nearly,8.214576489782598
124,cute,8.14127739071153
125,camera,8.104343378399388
126,diabetes,8.072167104230754
127,twenty,8.068737881462704
128,moving,8.068737881462704
129,envelope,8.001267168336245
130,several,7.996942380292381
131,young,7.890611221834554
132,somehow,7.855523429069743
133,named,7.82061063849247
134,outfit,7.815247121133185
135,mad,7.785871113097568
136,beside,7.779426119214162
137,tall,7.743817706095274
138,fault,7.743817706095274
139,its,7.682675140937144
140,kiss,7.650929355252661
141,waved,7.648611813378933
142,hit,7.6147134420484175
143,nine,7.6147134420484175
144,group,7.6147134420484175
145,waited,7.580978436996775
146,break,7.547405231152325
147,window,7.51399227988372
148,man,7.51399227988372
149,sam,7.432508693881204
150,town,7.414699834940025
151,bet,7.414699834940025
152,terrible,7.398895160589185
153,clock,7.381912889753041
154,continued,7.381912889753041
155,taken,7.381912889753041
156,color,7.365468890292453
157,information,7.266293078585189
158,company,7.168729953354507
159,shot,7.041065562670798
160,expression,6.950485389399253
161,ride,6.947068862204401
162,finish,6.916061041253746
163,dress,6.885212644251235
164,enjoy,6.853394960113743
165,building,6.853394960113743
166,worse,6.7936078114665035
167,join,6.7936078114665035
168,pike,6.70338054727926
169,secret,6.70338054727926
170,plan,6.70338054727926
171,pocket,6.6956531714391145
172,style,6.664693320199508
173,doorway,6.633923992327617
174,member,6.614490032568417
175,lifted,6.603342857240437
176,bike,6.5994014992264844
177,divorced,6.585150120803267
178,snapped,6.572947626858526
179,tears,6.526897236041501
180,center,6.512705934277654
181,paid,6.512705934277654
182,picking,6.4828550993451355
183,piece,6.46920448384485
184,spoke,6.440564811328903
185,notebook,6.440564811328903
186,liked,6.383692347601641
187,worked,6.383692347601641
188,folded,6.336217023872535
189,loved,6.307398500288785
190,purple,6.305391651254778
191,breakfast,6.250255021170671
192,legs,6.165745967157655
193,stupid,6.137890741910378
194,dues,6.137890741910378
195,counter,6.0610408833354255
196,steps,6.027996208316501
197,offered,6.000895870969805
198,clients,6.000895870969805
199,page,5.9731252564603246
200,date,5.893939921063218
201,blonde,5.841307856128281
202,pikes,5.830761476049514
203,adam,5.830761476049514
204,clear,5.789224051837001
205,pack,5.775205027406846
206,buy,5.737677203542696
207,booth,5.729026478266308
208,heading,5.720409649974198
209,hanging,5.686656352671488
210,drew,5.636150872738968
211,reminded,5.636150872738968
212,art,5.636150872738968
213,bored,5.613020649829446
214,although,5.611088163621245
215,missed,5.611088163621245
216,usual,5.586150456066051
217,lunch,5.586150456066051
218,loves,5.561336509355406
219,bill,5.560388311519402
220,war,5.537472062306709
221,meetings,5.536645101152493
222,neck,5.534329587434627
223,stayed,5.512075027140347
224,leaned,5.512075027140347
225,sick,5.512075027140347
226,decision,5.508439529412157
227,regular,5.487625100669389
228,nancy,5.482715968090995
229,seat,5.463294152413524
230,others,5.41498459785484
231,rather,5.381444736153836
232,definitely,5.367137342774085
233,forward,5.367137342774085
234,boyfriend,5.367137342774085
235,air,5.343384328981097
236,uh,5.343384328981097
237,ball,5.331754656159607
238,main,5.331754656159607
239,grabbed,5.319743623001367
240,younger,5.319743623001367
241,sitters,5.319743623001367
242,project,5.28267428579235
243,awful,5.272794921252172
244,send,5.258358101486821
245,lose,5.258358101486821
246,pictures,5.258358101486821
247,planning,5.210164747422123
248,pizza,5.186284079476108
249,promise,5.138946248888097
250,heads,5.138946248888097
251,wore,5.092162089835331
252,warm,5.092162089835331
253,stace,5.053009652633372
254,dollars,5.053009652633372
255,carrying,5.045918800231028
256,excuse,5.000204016936537
257,thursday,5.000204016936537
258,low,4.932596773726123
259,truth,4.910312593528302
260,themselves,4.888151872025841
261,mall,4.874233361026635
262,spot,4.8661132487819625
263,closet,4.8661132487819625
264,closer,4.8661132487819625
265,missing,4.800716696775844
266,wide,4.800716696775844
267,gathered,4.757705529670797
268,poor,4.7151519368505745
269,mention,4.694043708447198
270,logan,4.673046284902624
271,written,4.652158508978017
272,mentioned,4.631379241469601
273,awhile,4.610707360835831
274,sleep,4.610707360835831
275,flowers,4.590557613151596
276,bright,4.590141762834157
277,machine,4.545780662501569
278,speak,4.529071874311002
279,present,4.523640340608702
280,rooms,4.523640340608702
281,writing,4.488870530896996
282,greeted,4.479843942345243
283,age,4.46892036485284
284,seems,4.46892036485284
285,houses,4.458183198424782
286,orange,4.436677729988945
287,excellent,4.436677729988945
288,sense,4.4293160809219945
289,hardly,4.4293160809219945
290,safe,4.415325326682353
291,joined,4.409660021712278
292,eating,4.409660021712278
293,private,4.409660021712278
294,letter,4.394123825013075
295,stairs,4.390100080535511
296,known,4.390100080535511
297,glanced,4.370635321930819
298,record,4.370635321930819
299,junk,4.351264824027667
300,favorite,4.3319876782838715
301,closed,4.3319876782838715
302,listen,4.3319876782838715
303,example,4.331403770555134
304,turning,4.3128029892299
305,ahead,4.3128029892299
306,admit,4.274707463184877
307,pleased,4.269968176524513
308,mumbled,4.269968176524513
309,hat,4.24976607998048
310,besides,4.236971334251443
311,artist,4.209765487372085
312,nicky,4.189963435278028
313,luckily,4.189963435278028
314,margo,4.170291233639551
315,nearby,4.1120369760682465
316,month,4.092867581771933
317,history,4.092867581771933
318,hugged,4.073819898735957
319,acting,4.054892391156162
320,cream,4.054892391156162
321,horrible,4.054892391156162
322,honest,4.036083552115377
323,slipped,4.017391902863468
324,follow,3.998815992119705
325,leaning,3.998815992119705
326,lay,3.9620057143442624
327,pass,3.9620057143442624
328,kits,3.943768576115116
329,ice,3.943768576115116
330,sea,3.932375406037556
331,excitement,3.9256416327472277
332,cover,3.9076235605665923
333,snack,3.9076235605665923
334,schedule,3.871908853047637
335,worst,3.8542096866660724
336,crossed,3.836614328308878
337,crowd,3.8017302143235208
338,ground,3.7672470760463153
339,wears,3.7501530127024028
340,shoulders,3.7331558000953704
341,american,3.716254346940602
342,sent,3.716254346940602
343,seriously,3.6994475802945925
344,pink,3.6827344451462265
345,clue,3.671135041203428
346,touch,3.6661139040193804
347,forever,3.6661139040193804
348,homework,3.6661139040193804
349,sight,3.6167977249899
350,hug,3.6167977249899
351,fight,3.6005375225818828
352,relieved,3.6005375225818828
353,learned,3.6005375225818828
354,picnic,3.5911243719760297
355,shy,3.5843649766772536
356,barrett,3.5716120220853
357,mostly,3.5682791472530972
358,whenever,3.55227910932701
359,tiny,3.536363952637931
360,happens,3.536363952637931
361,handle,3.536363952637931
362,mansion,3.504784713676968
363,hoped,3.504784713676968
364,mess,3.504784713676968
365,expected,3.504784713676968
366,absolutely,3.489118881733513
367,birthday,3.4768075442961326
368,charlie,3.4735344311022005
369,whether,3.458030520626873
370,hang,3.458030520626873
371,ate,3.458030520626873
372,movie,3.4426063221256173
373,jeans,3.4426063221256173
374,junior,3.4426063221256173
375,nose,3.4426063221256173
376,sad,3.4426063221256173
377,entire,3.4272610201253064
378,shut,3.4272610201253064
379,schafer,3.4119938116028923
380,extra,3.3968039057332517
381,totally,3.3968039057332517
382,fall,3.3968039057332517
383,empty,3.3816905236433805
384,stared,3.366652898172747
385,staring,3.35169027363963
386,none,3.35169027363963
387,takes,3.35169027363963
388,carefully,3.3368019056132434
389,cards,3.3338896163318426
390,became,3.321987060691496
391,spier,3.2925750604016333
392,rolled,3.277976491448114
393,quite,3.2634486180207505
394,threw,3.2634486180207505
395,french,3.2494889073510898
396,broke,3.2489907587129037
397,kishi,3.2489907587129037
398,mcgill,3.2489907587129037
399,children,3.2489907587129037
400,box,3.2489907587129037
401,deal,3.234602241922425
402,shrugged,3.206030597388658
403,thomas,3.1918461738008204
404,excited,3.1918461738008204
405,pay,3.1918461738008204
406,report,3.1844425239399694
407,comes,3.1777285006885823
408,news,3.1777285006885823
409,mine,3.1777285006885823
410,awesome,3.1685061846416156
411,coat,3.1685061846416156
412,blood,3.060371742101064
413,soda,3.0453903986427493
414,porch,3.0453903986427493
415,lawn,2.9865626282301623
416,rock,2.9865626282301623
417,road,2.9865626282301623
418,ms,2.9577851533259634
419,shop,2.9435502177882356
420,famous,2.9435502177882356
421,jump,2.915380738024757
422,laughter,2.9014433993925706
423,fashion,2.9014433993925706
424,becca,2.887602513703423
425,lights,2.873856755127899
426,makeup,2.873856755127899
427,tiffany,2.837016060816176
428,exciting,2.8331773866536536
429,obviously,2.8331773866536536
430,slid,2.8331773866536536
431,share,2.81979941035206
432,total,2.81979941035206
433,maria,2.8096170866280614
434,strong,2.806510324914723
435,pieces,2.793308956852019
436,pants,2.793308956852019
437,daughter,2.7671647937173134
438,official,2.7671647937173134
439,pale,2.7542197647060784
440,coffee,2.7542197647060784
441,whose,2.7413579840454974
442,thrilled,2.7285783878479553
443,earth,2.715879932490638
444,prepared,2.715879932490638
445,lips,2.715879932490638
446,above,2.715879932490638
447,star,2.690722368076918
448,windows,2.690722368076918
449,glance,2.6782612685756457
450,following,2.6782612685756457
451,direction,2.6782612685756457
452,tossed,2.6658773280798034
453,hide,2.653569596931047
454,skin,2.653569596931047
455,fill,2.6050823737110615
456,certainly,2.593142039738054
457,space,2.5812725686984246
458,friendly,2.5812725686984246
459,disappointed,2.5812725686984246
460,entered,2.5812725686984246
461,letting,2.5694731244440483
462,muttered,2.557742885539252
463,apart,2.557742885539252
464,lately,2.5460810449176656
465,asleep,2.5460810449176656
466,stick,2.534486809549014
467,sugar,2.5114980506975435
468,realize,2.5114980506975435
469,spread,2.5001020084682684
470,act,2.4887705333969135
471,happening,2.4887705333969135
472,officer,2.4887705333969135
473,invited,2.4887705333969135
474,subject,2.4775028979604015
475,jeff,2.4775028979604015
476,smart,2.4775028979604015
477,foot,2.4662983868630617
478,associate,2.4662983868630617
479,expect,2.455156296764151
480,dog,2.4330566243909812
481,genius,2.4330566243909812
482,note,2.4330566243909812
483,shaking,2.4330566243909812
484,ramsey,2.4330566243909812
485,fit,2.4220976928617297
486,bruno,2.4220976928617297
487,immediately,2.4111984833266003
488,faces,2.4111984833266003
489,strange,2.4111984833266003
490,bathroom,2.4111984833266003
491,janine,2.4111984833266003
492,keeping,2.4111984833266003
493,rehearsal,2.3951833085371366
494,drop,2.389576651118169
495,yourself,2.389576651118169
496,gently,2.3788527648353983
497,treasurer,2.3788527648353983
498,fingers,2.3681860728846735
499,fair,2.3681860728846735
500,yelled,2.3681860728846735
501,keeps,2.3575759684252873
502,um,2.3575759684252873
503,crying,2.3575759684252873
504,listening,2.3575759684252873
505,shoes,2.3575759684252873
506,angry,2.336523142451312
507,michael,2.336523142451312
508,unless,2.336523142451312
509,played,2.336523142451312
510,david,2.336523142451312
511,museum,2.326190437050185
512,quick,2.3260792544890085
513,wondering,2.3260792544890085
514,visit,2.3156896207348003
515,bunch,2.3156896207348003
516,speaking,2.3156896207348003
517,interesting,2.3053536804179156
518,possible,2.3053536804179156
519,wall,2.3053536804179156
520,begin,2.2950708814170784
521,settled,2.2950708814170784
522,downstairs,2.2848406800835375
523,grew,2.2848406800835375
524,reach,2.2848406800835375
525,interested,2.2848406800835375
526,hot,2.274662541068595
527,list,2.264535937155501
528,thirteen,2.264535937155501
529,himself,2.264535937155501
530,marnie,2.261651915912614
531,glasses,2.254460349095587
532,halloween,2.2461477293766485
533,married,2.244435265448498
534,wow,2.244435265448498
535,longer,2.244435265448498
536,math,2.244435265448498
537,silly,2.244435265448498
538,gotten,2.23446018242642
539,neither,2.2245346037421623
540,managed,2.2245346037421623
541,wednesday,2.2245346037421623
542,led,2.2245346037421623
543,notice,2.2146580404609972
544,wondered,2.2146580404609972
545,plenty,2.204830010856139
546,questions,2.204830010856139
547,wonder,2.1950500402677555
548,president,2.1950500402677555
549,ideas,2.1950500402677555
550,less,2.1853176609654095
551,upstairs,2.1853176609654095
552,drive,2.1853176609654095
553,checked,2.1756324120138335
554,announced,2.1756324120138335
555,sitter,2.1756324120138335
556,eye,2.1659938391419358
557,brothers,2.1659938391419358
558,game,2.15640149461495
559,become,2.15640149461495
560,king,2.1438688802562305
561,ones,2.1091179685008687
562,contest,2.089801658985955
563,carrot,2.063826172582694
564,uncle,2.038508364598404
565,snow,2.026085844599847
566,cecelia,2.013815752008033
567,pet,1.9897182004289724
568,barn,1.9778837427819693
569,coach,1.909675492755436
570,garden,1.835567520601714
571,wedding,1.825415149137696
572,mail,1.7955621859880149
573,video,1.7665746491147625
574,john,1.7384037721480663
575,police,1.6843365508777906
576,backpack,1.6498503748066211
577,kit,1.6247444536755449
578,sheet,1.6165139545390295
579,field,1.6165139545390295
580,lines,1.5763479128136946
581,bear,1.5685047353526689
582,test,1.5685047353526689
583,squirt,1.5607225949106138
584,cars,1.530185871050532
585,apple,1.530185871050532
586,sweater,1.5152602208338564
587,stamford,1.5078801135362339
588,screamed,1.5078801135362339
589,lessons,1.5078801135362339
590,study,1.500554073444161
591,chips,1.500554073444161
592,charges,1.500554073444161
593,backyard,1.4932813141150811
594,tape,1.4860610661415943
595,doctor,1.4860610661415943
596,seats,1.4717751088941178
597,lit,1.4647079416710251
598,earrings,1.4647079416710251
599,row,1.4647079416710251
600,aunt,1.4647079416710251
601,byron,1.4647079416710251
602,jordan,1.4576903690123786
603,college,1.4507216996962853
604,accident,1.4507216996962853
605,woke,1.4438012568517116
606,scene,1.4369283775639494
607,doorbell,1.4369283775639494
608,chairs,1.4301024124935495
609,impressed,1.4301024124935495
610,murmured,1.4301024124935495
611,supplies,1.4233227255081708
612,round,1.4165886933268268
613,jacket,1.4165886933268268
614,waving,1.4165886933268268
615,checking,1.4032551624573615
616,softball,1.4032551624573615
617,juice,1.4032551624573615
618,stuffed,1.4032551624573615
619,beat,1.3966544784260095
620,bowl,1.3966544784260095
621,concerned,1.3900970778798505
622,driving,1.3900970778798505
623,brain,1.3900970778798505
624,smell,1.3771098823530392
625,seventh,1.3771098823530392
626,roll,1.3706789920227487
627,yup,1.3706789920227487
628,honey,1.3642891939239776
629,michelle,1.3642891939239776
630,groaned,1.3642891939239776
631,tough,1.3642891939239776
632,rushed,1.3642891939239776
633,slightly,1.3642891939239776
634,major,1.3516307970520542
635,giggling,1.3516307970520542
636,sounding,1.345361184038459
637,jumping,1.345361184038459
638,claire,1.3391306342878229
639,simple,1.3391306342878229
640,dead,1.3391306342878229
641,crowded,1.3391306342878229
642,director,1.3329386640399017
643,jewelry,1.3329386640399017
644,twice,1.3267847984655234
645,million,1.3267847984655234
646,edge,1.3267847984655234
647,flew,1.3267847984655234
648,officers,1.3267847984655234
649,rules,1.3206685714480875
650,opening,1.3206685714480875
651,mistake,1.3206685714480875
652,raced,1.3145895253717053
653,joke,1.3145895253717053
654,born,1.3085472109157426
655,return,1.3085472109157426
656,months,1.3025411868555308
657,noise,1.3025411868555308
658,gasped,1.296571019869027
659,earlier,1.296571019869027
660,triplets,1.296571019869027
661,responsible,1.296571019869027
662,hasn,1.2906362843492123
663,throw,1.2906362843492123
664,classes,1.2906362843492123
665,recently,1.2906362843492123
666,control,1.2847365622220241
667,discovered,1.278871442769626
668,grin,1.278871442769626
669,thoughts,1.278871442769626
670,sports,1.278871442769626
