,term,score
0,whitney,1484.6539624966179
1,jeff,165.9926941633469
2,sunny,148.35808792676698
3,carol,102.86459143758317
4,suzi,102.76213924972625
5,barrett,96.4335245963031
6,buddy,87.44206986475092
7,dewitt,64.62119299244542
8,mary,64.3280980392765
9,jill,55.84569331683331
10,lindsey,54.95830504714462
11,maggie,42.144256299420924
12,kristy,40.609720900256335
13,taylor,40.276315040160654
14,claudia,34.04635918720875
15,marnie,33.924778738689206
16,bsc,33.909367700064216
17,stacey,29.79056428880766
18,grown,24.799063840051456
19,date,23.575759684252873
20,dinner,23.200297653509555
21,sitter,22.84414032614525
22,wedding,21.904981789652354
23,california,21.65993839141936
24,cream,21.626092752832868
25,ice,21.033432405947284
26,picnic,19.751184045868165
27,game,17.2512119569196
28,pleased,17.07987270609805
29,water,16.98401952866626
30,earrings,16.111787358381278
31,dog,15.814868058541379
32,shannon,15.743635003601243
33,green,15.64122127698494
34,salad,14.860610661415944
35,throat,14.4671908999596
36,music,14.067585870465885
37,baseball,13.966544784260096
38,forward,13.954557091212623
39,headed,13.709266795255648
40,although,13.466611592690988
41,summer,13.267847984655234
42,evening,13.228980065136835
43,member,13.228980065136835
44,children,12.995963034851615
45,chairs,12.870921712441946
46,sitters,12.767384695203281
47,grabbed,12.767384695203281
48,popcorn,12.233943153672657
49,leaned,12.126565059708764
50,den,12.104309819301996
51,store,12.055992416633002
52,frowned,11.94106318618971
53,park,11.852030263919618
54,beside,11.669139178821244
55,mall,11.373211175728814
56,list,11.322679685777505
57,bottle,10.925058164374297
58,games,10.899439617877784
59,cheese,10.871003841716925
60,cars,10.711301097353724
61,flowers,10.711301097353724
62,counter,10.606821545836995
63,brown,10.592428335628608
64,camp,10.515234428679875
65,blonde,10.514354141030905
66,backyard,10.452969198805569
67,responsible,10.372568158952216
68,van,10.31913086291347
69,join,10.190411717199755
70,ha,10.158883083359672
71,carefully,10.010405716839731
72,ears,9.910011591841606
73,backpack,9.899102248839727
74,animals,9.84846903696454
75,waved,9.833929474344343
76,shouted,9.703806725767276
77,sun,9.685076778010597
78,window,9.660847216993353
79,sign,9.618091792165973
80,normal,9.601433393551687
81,mine,9.533185502065747
82,tree,9.505579763717234
83,handle,9.430303873701149
84,exclaimed,9.221414721671662
85,candy,9.117788307988715
86,himself,9.058143748622005
87,cleared,8.993155935554169
88,paused,8.993155935554169
89,connecticut,8.93784072970568
90,burst,8.858632161843989
91,record,8.741270643861638
92,happening,8.710696866889197
93,pink,8.593047038674529
94,forever,8.55426577604522
95,explained,8.473942668502886
96,share,8.45939823105618
97,immediately,8.4391946916431
98,expression,8.340582467279102
99,shrieked,8.224073952136493
100,super,8.147639797471914
101,woman,8.1049136725718
102,movie,8.032748084959774
103,hot,7.961318893740082
104,ear,7.961318893740082
105,seeing,7.961318893740082
106,raced,7.887537152230232
107,stared,7.855523429069743
108,staring,7.82061063849247
109,restaurant,7.803612974553069
110,gasped,7.779426119214162
111,notice,7.751303141613491
112,organized,7.708419373332145
113,leaving,7.682675140937144
114,booth,7.638701971021744
115,crowd,7.6034604286470415
116,ahead,7.547405231152325
117,suit,7.539400567681169
118,sweet,7.5003060254048055
119,ways,7.432508693881204
120,terrible,7.398895160589185
121,practically,7.381912889753041
122,pointing,7.299169873172944
123,round,7.082943466634134
124,jacket,7.082943466634134
125,juice,7.016275812286807
126,ride,6.947068862204401
127,interesting,6.916061041253746
128,smell,6.885549411765196
129,bright,6.885212644251235
130,tired,6.823987623205785
131,party,6.7936078114665035
132,prepared,6.789699831226596
133,wow,6.733305796345494
134,mallory,6.733305796345494
135,gotten,6.70338054727926
136,forth,6.6956531714391145
137,leaning,6.664693320199508
138,wondered,6.643974121382992
139,meetings,6.643974121382992
140,rules,6.603342857240437
141,repeated,6.585150120803267
142,wonderful,6.585150120803267
143,known,6.585150120803267
144,jobs,6.585150120803267
145,joke,6.572947626858526
146,bag,6.497981517425807
147,beautiful,6.46920448384485
148,surprise,6.46920448384485
149,liked,6.383692347601641
150,oldest,6.365202612294164
151,street,6.3554570013771645
152,plastic,6.307398500288785
153,careful,6.278745126743859
154,sugar,6.278745126743859
155,anybody,6.278745126743859
156,dogs,6.2740189414106755
157,spread,6.250255021170671
158,giggled,6.193757244901004
159,win,6.1813507042845375
160,color,6.137890741910378
161,touch,6.110189840032301
162,closet,6.082641560977454
163,keeping,6.027996208316501
164,charges,6.002216293776644
165,softly,6.000895870969805
166,jessi,5.893939921063218
167,poor,5.893939921063218
168,neighborhood,5.893939921063218
169,seats,5.887100435576471
170,pop,5.829594554382238
171,gets,5.815198136222522
172,cute,5.815198136222522
173,laughter,5.802886798785141
174,visit,5.789224051837001
175,loudly,5.763384201044789
176,makeup,5.747713510255798
177,pool,5.729026478266308
178,impressed,5.720409649974198
179,schafer,5.686656352671488
180,slid,5.666354773307307
181,kinds,5.613020649829446
182,silly,5.611088163621245
183,bowl,5.586617913704038
184,listened,5.561336509355406
185,raised,5.487625100669389
186,less,5.463294152413524
187,rushed,5.4571567756959105
188,group,5.4390810300345835
189,quite,5.4390810300345835
190,closed,5.41498459785484
191,acting,5.406523188208217
192,piece,5.3910037365373755
193,direction,5.3565225371512915
194,putting,5.343384328981097
195,spent,5.343384328981097
196,style,5.331754656159607
197,sighed,5.319743623001367
198,worked,5.319743623001367
