,term,score
0,peaches,688.4089768151097
1,stacey,109.58671863382817
2,mary,93.85574959828865
3,shannon,72.6629307858519
4,jessi,61.29697517905747
5,kristy,44.88442836344121
6,janine,34.9623780082357
7,bear,34.50710417775871
8,becca,33.20742890758937
9,claudia,32.98241046260848
10,homework,31.772987168167965
11,claud,30.004479354849025
12,charlotte,29.216928457032388
13,jump,27.69611701123519
14,mimi,27.364776328647828
15,list,24.909895308710514
16,rosie,22.69736818247038
17,ball,22.659957288678328
18,bsc,21.798879235755567
19,pizza,20.745136317904432
20,dinner,18.98206171650782
21,bag,17.327950713135486
22,several,17.13630510062653
23,sitters,17.023179593604375
24,news,16.947885337005772
25,favorite,16.24495379356452
26,shopping,16.069567611453873
27,class,15.959230869004102
28,art,15.781222443669108
29,mal,15.46254297143009
30,margo,15.291067856678355
31,shouted,15.09481046230465
32,explained,14.82939966988005
33,monday,14.763825779506082
34,chocolate,14.730436977166052
35,robert,14.58930571624807
36,karen,14.402150090327531
37,wonderful,14.26782526174041
38,tiny,14.145455810551724
39,corrie,14.120652965504485
40,boxes,14.003445747047161
41,science,13.90723017718453
42,den,13.833496936345139
43,pink,13.503359632202832
44,kit,12.997955629404359
45,garage,12.932111636312236
46,murmured,12.870921712441946
47,month,12.278602745315798
48,grinned,12.126565059708764
49,aunt,11.717663533368201
50,street,11.651671169191468
51,classes,11.61572655914291
52,nose,11.475354407085392
53,supplies,11.386581804065367
54,james,11.30825957956307
55,sweet,11.250459038107207
56,large,11.148763040821807
57,filled,11.024150054280694
58,company,10.75309493003176
59,definitely,10.73427468554817
60,air,10.686768657962194
61,tossed,10.663509312319214
62,neighborhood,10.609091857913793
63,besides,10.592428335628608
64,driveway,10.516716202973642
65,loud,10.514354141030905
66,rock,10.452969198805569
67,fault,10.325090274793698
68,hungry,10.137947238196055
69,raised,9.8777251812049
70,note,9.732226497563925
71,store,9.644793933306401
72,couch,9.639769176471274
73,movies,9.505579763717234
74,lips,9.505579763717234
75,clock,9.49103085825391
76,project,9.244680000136611
77,hospital,9.22639846011549
78,sad,9.180283525668314
79,porch,9.136171195928249
80,feelings,8.952100099387382
81,seat,8.741270643861638
82,announced,8.702529648055334
83,game,8.6256059784598
84,shrugged,8.549414926369755
85,closet,8.515698185368434
