,term,score
0,jake,654.0834312722842
1,kuhn,240.38568797393475
2,logan,205.61403653571548
3,buddy,133.63788035933632
4,kristy,125.03519329815767
5,stacey,73.41246199741887
6,claudia,73.41246199741887
7,haley,65.27016351180498
8,nicky,64.24610600759644
9,vanessa,58.38407727095372
10,marilyn,58.002886688392365
11,shannon,50.86405155009632
12,carolyn,47.169102316909616
13,mary,43.23691835426781
14,matt,33.021218761323105
15,robert,31.610162385204152
16,sitters,29.79056428880766
17,bsc,29.065172314340757
18,den,27.666993872690277
19,jessi,27.112123636890804
20,halloween,26.953772752519782
21,basement,26.6421615019637
22,ball,25.325834616758133
23,mal,23.788527648353984
24,ha,23.704060527839236
25,marnie,22.61651915912614
26,soccer,22.018638306232567
27,twins,21.55869383816889
28,mallory,21.32213502176073
29,huh,21.05877463266341
30,barrett,19.64386612146915
31,uh,19.236183584331947
32,alan,18.927421971623776
33,insisted,18.922195500866355
34,arnold,17.90746380386075
35,plastic,16.39923610075084
36,sheet,16.165139545390296
37,receiver,15.377330766859153
38,suzi,15.304999462725185
39,scary,14.507216996962853
40,makeup,14.369283775639495
41,box,14.078959954422583
42,shouted,14.016609714997175
43,margo,13.900970778798506
44,announced,13.053794472083002
45,costume,13.032238543337561
46,candy,13.025411868555308
47,sharon,12.70755369298936
48,continued,12.654707811005213
49,giggling,12.164677173468489
50,screamed,12.06304090828987
51,nina,11.946191179148558
52,window,11.807702154102987
53,laughter,11.605773597570282
54,papadakis,11.005136470480895
55,record,10.926588304827048
56,light,10.73427468554817
57,clock,10.545589842504343
58,member,9.921735048852625
59,hat,9.916120853287788
60,jobs,9.8777251812049
61,truth,9.820625187056605
62,sitter,9.79034585406225
63,dying,9.776581348982067
64,boyfriend,9.660847216993353
65,practice,9.287493589258665
66,pizza,9.075997139083189
67,conversation,8.977741061793992
68,mad,8.898138414968649
69,burst,8.858632161843989
70,lights,8.621570265383696
71,homework,8.55426577604522
72,shrugged,8.549414926369755
73,thomas,8.511589796802188
74,bags,8.49953215996096
75,bathroom,8.4391946916431
76,team,8.4391946916431
77,monday,8.436471874003475
78,dewitt,8.428851259884183
79,wall,8.068737881462704
80,thinks,8.068737881462704
81,dead,8.034783805726937
82,bedroom,8.032748084959774
83,downstairs,7.996942380292381
84,boys,7.682675140937144
85,raised,7.682675140937144
86,bag,7.580978436996775
87,game,7.547405231152325
88,dressed,7.51399227988372
89,excuse,7.5003060254048055
90,admit,7.480738060573535
91,air,7.480738060573535
92,tape,7.430305330707972
93,salad,7.430305330707972
94,helped,7.414699834940025
95,explained,7.414699834940025
96,eight,7.381912889753041
97,scared,7.365468890292453
98,missing,7.2010750451637655
99,sang,7.150512062467747
100,mumbled,7.116613627540854
101,angry,7.009569427353936
102,above,6.789699831226596
103,sisters,6.733305796345494
104,pike,6.70338054727926
105,staring,6.70338054727926
106,managed,6.673603811226487
107,afraid,6.643974121382992
108,ended,6.643974121382992
109,sense,6.643974121382992
110,stairs,6.585150120803267
111,snapped,6.572947626858526
112,dumb,6.572947626858526
113,born,6.542736054578713
114,tears,6.526897236041501
115,guy,6.497981517425807
116,garage,6.466055818156118
117,friendly,6.453181421746061
118,king,6.431606640768692
119,sign,6.412061194777316
120,muttered,6.39435721384813
121,johanssen,6.337012369283231
122,gray,6.307398500288785
123,large,6.193757244901004
124,foot,6.165745967157655
125,charlotte,6.150932306743661
126,clients,6.000895870969805
127,normal,6.000895870969805
128,backyard,5.9731252564603246
129,gently,5.947131912088496
130,bat,5.898563109056334
131,poor,5.893939921063218
132,um,5.893939921063218
133,wild,5.815198136222522
134,braddock,5.795695888620438
135,ride,5.789224051837001
136,awhile,5.763384201044789
137,twenty,5.763384201044789
138,doorbell,5.747713510255798
139,english,5.747713510255798
140,body,5.737677203542696
141,coach,5.729026478266308
142,hanging,5.686656352671488
143,tiffany,5.674032121632352
144,jacket,5.666354773307307
145,himself,5.6613398428887525
146,maria,5.619234173256123
147,juice,5.613020649829446
148,math,5.611088163621245
149,bowl,5.586617913704038
150,pants,5.586617913704038
151,lived,5.586150456066051
152,wednesday,5.561336509355406
153,hardly,5.536645101152493
154,became,5.536645101152493
155,official,5.534329587434627
156,stayed,5.512075027140347
157,evening,5.512075027140347
158,its,5.487625100669389
159,wedding,5.476245447413088
