,term,score
0,ms,235.14391968941408
1,danielle,214.7819928104147
2,haley,94.93841965353452
3,vanessa,76.45533928339178
4,mallory,68.45527559617919
5,jessi,67.19091510012069
6,letter,64.44714943352511
7,kristy,63.05193508197694
8,claudia,58.51717985301504
9,stage,46.40734957635022
10,jill,45.99057096680391
11,project,44.902731429234976
12,writing,43.76648767624571
13,becca,43.31403770555135
14,stacey,41.49400025941066
15,road,37.33203285287703
16,mary,30.582210543262597
17,written,30.239030308357112
18,charlotte,29.216928457032388
19,lines,28.374262430646503
20,buddy,24.747755622099316
21,pow,23.133486578060047
22,bsc,21.798879235755567
23,wrote,20.74818312376124
24,nicky,18.156508219538125
25,margo,18.071262012438055
26,pike,17.87568145941136
27,letters,17.73575952101171
28,envelope,17.602787770339738
29,ideas,17.560400322142044
30,brothers,17.327950713135486
31,kishi,16.24495379356452
32,picture,16.24495379356452
33,barrett,16.072254099383848
34,brown,15.888642503442911
35,shannon,15.743635003601243
36,page,14.932813141150811
37,class,14.89528214440383
38,rehearsal,14.37109985122282
39,admitted,14.301024124935495
40,changed,13.831333419803554
41,sisters,13.466611592690988
42,learn,13.261591658296302
43,sick,13.228980065136835
44,bike,13.198802998452969
45,byron,13.182371475039226
46,scene,12.932355398075545
47,audience,12.920768145382322
48,report,12.737770095759878
49,movie,12.622889847793932
50,questions,12.126565059708764
51,library,12.06304090828987
52,claire,12.052175708590406
53,mal,11.894263824176992
54,liked,11.703435970603008
55,jordan,11.661522952099029
56,wore,11.457364702129496
57,expression,11.120776623038804
58,wonderful,10.975250201338778
59,others,10.82996919570968
60,learned,10.801612567745648
61,younger,10.639487246002734
62,opening,10.5653485715847
63,stamford,10.555160794753636
64,interesting,10.37409156188062
65,adam,10.20383258308665
66,although,10.099958694518241
67,english,10.058498642947646
68,lived,10.05507082091889
69,sense,9.965961182074487
70,member,9.921735048852625
71,ways,9.910011591841606
72,large,9.910011591841606
73,stepped,9.533185502065747
74,acting,9.46141557936438
75,expected,9.346092569805249
76,wild,9.304317017956034
77,dear,9.091561325003138
78,reminded,9.017841396382348
79,yellow,8.993155935554169
80,mad,8.898138414968649
81,filled,8.819320043424556
82,costume,8.688159028891707
83,subject,8.671260142861405
84,explained,8.473942668502886
85,question,8.436471874003475
86,headed,8.436471874003475
87,office,8.401254219357726
88,terrific,8.14127739071153
89,director,7.99763198423941
90,shut,7.996942380292381
91,interested,7.996942380292381
92,hot,7.961318893740082
93,young,7.890611221834554
94,named,7.82061063849247
95,braddock,7.7275945181605845
96,nervous,7.7169050379964865
97,desk,7.6147134420484175
98,insisted,7.568878200346541
99,window,7.51399227988372
