,term,score
0,nannie,285.52437112545886
1,watson,243.33553242889673
2,tyler,153.48950562988713
3,emily,118.2166003363534
4,karen,100.81505063229272
5,nina,98.5560772279756
6,michael,98.13397198295512
7,david,98.13397198295512
8,charlie,85.68051596718762
9,mary,84.36471874003475
10,sam,66.89257824493085
11,andrew,65.35690725187114
12,stacey,54.261384954613945
13,michelle,53.207278563035125
14,hospital,50.7451915306352
15,jessi,47.151519368505745
16,kristy,44.88442836344121
17,snow,42.547802736596786
18,mal,40.440497002201774
19,mallory,38.15539951262447
20,pizza,37.60055957620178
21,claudia,35.11030791180902
22,stairs,34.02327562415021
23,dinner,31.63676952751303
24,shannon,30.27622116077162
25,apartment,27.69098225561063
26,juice,25.258592924232506
27,porch,24.363123189141994
28,office,24.00358348387922
29,drive,22.9458354401368
30,hurried,21.553925663459243
31,sitters,21.278974492005467
32,den,20.750245404517706
33,claud,20.403045961297337
34,coat,19.011037107849695
35,bsc,18.165732696462975
36,street,18.007128170568635
37,upstairs,17.482541287723276
38,shouted,17.2512119569196
39,downstairs,17.13630510062653
40,boo,16.991419555071268
41,hit,15.229426884096835
42,sitter,15.229426884096835
43,quick,15.119515154178556
44,library,15.078801135362339
45,needs,14.98479892271645
46,brewer,14.598339746345887
47,bathroom,14.4671908999596
48,raced,14.460484779088757
49,evening,14.331395070564904
50,bear,14.11654261817402
51,carried,14.0989970517603
52,children,14.078959954422583
53,explained,13.77015683631719
54,tv,13.64797524641157
55,tears,13.053794472083002
56,stepped,12.710914002754329
57,water,12.454947654355257
58,cheese,12.424004390533629
59,faces,12.055992416633002
60,game,11.860208220382226
61,daddy,11.790355856144533
62,tomorrow,11.755445523758413
63,dress,11.475354407085392
64,murmured,11.440819299948396
65,kit,11.373211175728814
66,forgot,11.322679685777505
67,catch,11.172300912132101
68,glass,11.098342740883778
69,month,10.914313551391821
70,steps,10.850393174969701
71,class,10.639487246002734
72,grabbed,10.639487246002734
73,handle,10.609091857913793
74,susan,10.590489724128364
75,mirror,10.5653485715847
76,moving,10.37409156188062
77,plate,10.325090274793698
78,van,10.31913086291347
79,jump,10.20383258308665
80,totally,10.190411717199755
81,list,10.190411717199755
82,appeared,10.045992202790174
83,grinned,9.921735048852625
84,filled,9.921735048852625
85,raised,9.8777251812049
86,dressed,9.660847216993353
87,couch,9.639769176471274
88,crying,9.430303873701149
89,bus,9.333290538358725
90,send,9.202126677601937
91,bedroom,9.180283525668314
92,wedding,9.12707574568848
93,clean,9.09865016427438
94,beside,9.075997139083189
95,sports,8.952100099387382
96,doctor,8.916366396849565
97,meetings,8.858632161843989
98,starting,8.819320043424556
99,boys,8.780200161071022
100,thursday,8.75035702963894
101,checked,8.702529648055334
102,announced,8.702529648055334
103,box,8.663975356567743
104,california,8.663975356567743
105,terrible,8.632044354020715
106,pink,8.593047038674529
107,bottom,8.55426577604522
108,pulling,8.515698185368434
109,thomas,8.511589796802188
110,news,8.473942668502886
111,hug,8.4391946916431
112,taken,8.436471874003475
113,driving,8.340582467279102
114,milk,8.30149438115194
115,including,8.288651255096358
116,decision,8.262659294118235
117,tonight,8.214576489782598
118,everywhere,8.147639797471914
119,major,8.109784782312325
120,finish,8.068737881462704
121,taylor,8.055263008032131
122,entire,7.996942380292381
123,tired,7.961318893740082
124,hide,7.960708790793141
125,practice,7.960708790793141
126,missed,7.855523429069743
127,stared,7.855523429069743
128,carefully,7.785871113097568
129,dining,7.765002744083517
130,control,7.708419373332145
131,its,7.682675140937144
132,apple,7.650929355252661
133,blood,7.650929355252661
134,cry,7.648611813378933
135,wore,7.638243134752997
136,warm,7.638243134752997
137,drove,7.638243134752997
138,favorite,7.580978436996775
139,counter,7.576301104169282
140,breakfast,7.5003060254048055
141,air,7.480738060573535
142,admit,7.480738060573535
143,pay,7.447641072201915
144,mommy,7.301660596550784
145,yourself,7.168729953354507
146,emergency,7.116613627540854
147,poor,7.072727905275862
148,tea,7.028383620640875
149,played,7.009569427353936
150,loud,7.009569427353936
151,jenny,6.978571311150555
152,visit,6.947068862204401
153,coffee,6.885549411765196
154,bright,6.885212644251235
155,nose,6.885212644251235
156,tough,6.821445969619888
157,party,6.7936078114665035
158,super,6.789699831226596
159,cat,6.789699831226596
160,glasses,6.763381047286761
161,plan,6.70338054727926
162,led,6.673603811226487
163,notice,6.643974121382992
164,upset,6.614490032568417
165,eating,6.614490032568417
166,opening,6.603342857240437
167,wonderful,6.585150120803267
168,driveway,6.572947626858526
169,pictures,6.572947626858526
170,waved,6.555952982896228
171,threw,6.526897236041501
172,paid,6.512705934277654
173,brothers,6.497981517425807
174,gasped,6.4828550993451355
175,become,6.46920448384485
176,surprise,6.46920448384485
177,deal,6.46920448384485
178,ew,6.466055818156118
179,friendly,6.453181421746061
180,schedule,6.453181421746061
181,window,6.440564811328903
182,spend,6.412061194777316
183,shrugged,6.412061194777316
184,putting,6.412061194777316
185,count,6.39435721384813
186,grin,6.39435721384813
187,worked,6.383692347601641
188,helped,6.3554570013771645
189,besides,6.3554570013771645
190,continued,6.327353905502607
191,carrot,6.191478517748083
192,board,6.120743484202128
193,homework,6.110189840032301
194,team,6.027996208316501
195,tuesday,6.027996208316501
196,clients,6.000895870969805
197,wide,6.000895870969805
198,row,5.8588317666841006
199,expected,5.841307856128281
200,wild,5.815198136222522
201,covered,5.815198136222522
202,terrific,5.815198136222522
203,gets,5.815198136222522
204,scary,5.802886798785141
205,speaking,5.789224051837001
206,ride,5.789224051837001
207,ate,5.763384201044789
208,kidding,5.763384201044789
209,loudly,5.763384201044789
210,makeup,5.747713510255798
211,coach,5.729026478266308
212,reach,5.7121017002088434
213,several,5.7121017002088434
214,supplies,5.693290902032683
215,waving,5.666354773307307
216,join,5.6613398428887525
217,extra,5.6613398428887525
218,math,5.611088163621245
219,lunch,5.586150456066051
220,wednesday,5.561336509355406
221,mad,5.561336509355406
222,concerned,5.560388311519402
223,afraid,5.536645101152493
224,became,5.536645101152493
225,sick,5.512075027140347
226,grandmother,5.512075027140347
227,garden,5.506702561805142
228,jobs,5.487625100669389
229,leaving,5.487625100669389
230,somebody,5.482715968090995
231,rolled,5.463294152413524
232,rushed,5.4571567756959105
233,sharon,5.446094439852583
234,desk,5.4390810300345835
235,hate,5.4390810300345835
236,hugged,5.431759864981276
237,waited,5.41498459785484
238,eye,5.41498459785484
239,picture,5.41498459785484
240,carol,5.4139258651359565
241,star,5.381444736153836
242,chocolate,5.3565225371512915
243,slipped,5.3565225371512915
244,following,5.3565225371512915
245,spent,5.343384328981097
246,follow,5.331754656159607
247,key,5.328432300392739
248,changed,5.319743623001367
249,edge,5.307139193862094
250,bet,5.296214167814304
251,lay,5.28267428579235
252,pile,5.28267428579235
253,kits,5.258358101486821
254,return,5.23418884366297
255,months,5.210164747422123
256,snack,5.210164747422123
257,noise,5.210164747422123
258,sunday,5.186284079476108
259,picking,5.186284079476108
260,entered,5.162545137396849
261,relief,5.115485771078504
262,discovered,5.115485771078504
263,asleep,5.092162089835331
264,loved,5.045918800231028
265,careful,5.022996101395087
266,excuse,5.000204016936537
267,confused,4.977541066793827
268,ears,4.955005795920803
269,sent,4.955005795920803
270,bell,4.955005795920803
271,low,4.932596773726123
272,cold,4.888151872025841
273,robert,4.863101905416023
274,tigger,4.849541863617088
275,proud,4.844195385723459
276,trip,4.8223969666532005
277,krushers,4.8007603010017466
278,normal,4.800716696775844
279,relieved,4.800716696775844
280,track,4.779153302236338
281,gathered,4.757705529670797
282,helping,4.757705529670797
283,shouldn,4.736372145769347
284,fair,4.736372145769347
285,fingers,4.736372145769347
286,yelled,4.736372145769347
287,lines,4.729043738441083
288,tiny,4.7151519368505745
289,um,4.7151519368505745
290,calm,4.7151519368505745
291,step,4.7151519368505745
292,hannie,4.685995110733133
293,logan,4.673046284902624
294,quietly,4.631379241469601
295,pete,4.61932227019795
296,twenty,4.610707360835831
297,sleep,4.610707360835831
298,bart,4.554800545761506
299,schafer,4.54932508213719
300,machine,4.545780662501569
301,worse,4.529071874311002
302,suit,4.523640340608702
303,screamed,4.523640340608702
304,reminded,4.508920698191174
305,grown,4.508920698191174
306,chips,4.5016622203324825
307,married,4.488870530896996
308,rock,4.479843942345243
309,greeted,4.479843942345243
310,gotten,4.46892036485284
311,green,4.46892036485284
312,lived,4.46892036485284
313,connecticut,4.46892036485284
314,managed,4.4490692074843246
315,orange,4.436677729988945
316,hardly,4.4293160809219945
317,famous,4.415325326682353
318,safe,4.415325326682353
319,leaned,4.409660021712278
320,plenty,4.409660021712278
321,regular,4.390100080535511
322,repeated,4.390100080535511
323,spier,4.390100080535511
324,known,4.390100080535511
325,president,4.390100080535511
326,prezzioso,4.372856989350053
327,seat,4.370635321930819
328,york,4.370635321930819
329,quite,4.351264824027667
330,kishi,4.3319876782838715
331,bag,4.3319876782838715
332,broke,4.3319876782838715
333,ahead,4.3128029892299
334,english,4.310785132691848
335,definitely,4.293709874219268
336,heading,4.290307237480649
337,king,4.287737760512461
338,barely,4.255794898401094
339,hat,4.24976607998048
340,comes,4.236971334251443
341,total,4.22969911552809
342,monday,4.2182359370017375
343,practically,4.2182359370017375
344,clock,4.2182359370017375
345,softball,4.209765487372085
346,however,4.189963435278028
347,luckily,4.189963435278028
348,moments,4.189963435278028
349,bowl,4.189963435278028
350,yup,4.1120369760682465
351,building,4.1120369760682465
352,honey,4.092867581771933
353,prepared,4.073819898735957
354,camera,4.052171689199694
355,shopping,4.017391902863468
356,pocket,4.017391902863468
357,richard,3.979436400857945
358,ice,3.943768576115116
359,snapped,3.943768576115116
360,planning,3.9076235605665923
361,lap,3.9076235605665923
362,pop,3.8863963695881587
363,organized,3.8542096866660724
364,dance,3.8542096866660724
365,paused,3.8542096866660724
366,muttered,3.836614328308878
367,music,3.836614328308878
368,mood,3.836614328308878
369,apart,3.836614328308878
370,lately,3.8191215673764987
371,folded,3.8017302143235208
372,insisted,3.7844391001732705
373,plastic,3.7844391001732705
374,realize,3.7672470760463153
375,sugar,3.7672470760463153
376,wears,3.7501530127024028
377,toys,3.7501530127024028
378,ballet,3.7501530127024028
379,plans,3.7501530127024028
380,climbed,3.7501530127024028
381,happening,3.7331558000953704
382,large,3.716254346940602
383,giggled,3.716254346940602
384,legs,3.6994475802945925
385,expect,3.6827344451462265
386,scared,3.6827344451462265
387,dues,3.6827344451462265
388,lying,3.6661139040193804
389,promised,3.6661139040193804
390,forever,3.6661139040193804
391,shaking,3.649584936586472
392,using,3.649584936586472
393,closet,3.649584936586472
394,welcome,3.649584936586472
395,note,3.649584936586472
396,games,3.6331465392925946
397,store,3.6167977249899
398,immediately,3.6167977249899
399,strange,3.6167977249899
400,company,3.5843649766772536
401,barrett,3.5716120220853
402,problems,3.5682791472530972
403,pushed,3.55227910932701
404,neighborhood,3.536363952637931
405,planned,3.536363952637931
406,mention,3.520532781335399
407,nearly,3.520532781335399
408,angry,3.504784713676968
409,pull,3.504784713676968
410,nobody,3.504784713676968
411,ring,3.504784713676968
412,vice,3.504784713676968
413,mansion,3.504784713676968
414,cute,3.489118881733513
415,clear,3.4735344311022005
416,wall,3.458030520626873
417,possible,3.458030520626873
418,body,3.4426063221256173
419,single,3.4426063221256173
420,settled,3.4426063221256173
421,completely,3.4272610201253064
422,hot,3.4119938116028923
423,forgotten,3.4119938116028923
424,art,3.3816905236433805
425,young,3.3816905236433805
426,silly,3.366652898172747
427,wow,3.366652898172747
428,somehow,3.366652898172747
429,names,3.366652898172747
430,charge,3.35169027363963
431,named,3.35169027363963
432,none,3.35169027363963
433,sunny,3.3338896163318426
434,cards,3.3338896163318426
435,burst,3.321987060691496
436,stayed,3.3072450162842086
437,member,3.3072450162842086
438,joined,3.3072450162842086
439,wonder,3.2925750604016333
440,handed,3.277976491448114
441,junk,3.2634486180207505
442,french,3.2494889073510898
443,others,3.2489907587129037
444,turning,3.234602241922425
445,break,3.234602241922425
446,piece,3.234602241922425
447,light,3.2202824056644515
448,forward,3.2202824056644515
449,spoke,3.2202824056644515
450,man,3.2202824056644515
451,gym,3.200506867334498
452,younger,3.1918461738008204
453,report,3.1844425239399694
454,awful,3.1636769527513033
455,headed,3.1636769527513033
456,ones,3.1636769527513033
457,squirt,3.1214451898212277
458,sleeping,3.0906753521422687
459,flowers,3.060371742101064
460,kiss,3.060371742101064
461,horse,3.0305204416677127
462,final,2.9577851533259634
463,lit,2.9294158833420503
464,drawing,2.915380738024757
465,paint,2.9014433993925706
466,accident,2.9014433993925706
467,doorbell,2.873856755127899
468,lights,2.873856755127899
469,impressed,2.860204824987099
470,chairs,2.860204824987099
471,admitted,2.860204824987099
472,sang,2.860204824987099
473,bags,2.8331773866536536
474,slid,2.8331773866536536
475,pencil,2.8331773866536536
476,stuffed,2.806510324914723
477,artist,2.806510324914723
478,strong,2.806510324914723
479,pants,2.793308956852019
480,official,2.7671647937173134
481,neck,2.7671647937173134
482,pale,2.7542197647060784
483,letters,2.7285783878479553
484,thrilled,2.7285783878479553
485,gorgeous,2.7285783878479553
486,movies,2.715879932490638
487,lips,2.715879932490638
488,windows,2.690722368076918
489,forth,2.6782612685756457
490,finger,2.6658773280798034
491,main,2.6658773280798034
492,director,2.6658773280798034
493,skin,2.653569596931047
494,project,2.641337142896175
495,certain,2.6050823737110615
496,candy,2.6050823737110615
497,triplets,2.593142039738054
498,certainly,2.593142039738054
499,fault,2.5812725686984246
500,hasn,2.5812725686984246
501,happily,2.5812725686984246
502,throw,2.5812725686984246
503,classes,2.5812725686984246
504,cleared,2.5694731244440483
505,crossed,2.557742885539252
506,oldest,2.5460810449176656
507,stick,2.534486809549014
508,seconds,2.522959400115514
509,gray,2.522959400115514
510,hundred,2.5114980506975435
511,anybody,2.5114980506975435
512,feels,2.5001020084682684
513,officer,2.4887705333969135
514,involved,2.4775028979604015
515,subject,2.4775028979604015
516,huh,2.4775028979604015
517,jeff,2.4775028979604015
518,seriously,2.4662983868630617
519,foot,2.4662983868630617
520,associate,2.4662983868630617
521,color,2.455156296764151
522,ourselves,2.4440759360129203
523,stories,2.4440759360129203
524,sigh,2.4440759360129203
525,dog,2.4330566243909812
526,ramsey,2.4330566243909812
527,henry,2.4315509527080117
528,keeping,2.4111984833266003
529,allowed,2.400358348387922
530,missing,2.400358348387922
531,offered,2.400358348387922
532,rehearsal,2.3951833085371366
533,shy,2.389576651118169
534,treasurer,2.3788527648353983
535,gently,2.3788527648353983
536,fifteen,2.3681860728846735
537,listening,2.3575759684252873
538,keeps,2.3575759684252873
539,date,2.3575759684252873
540,silence,2.3575759684252873
541,weekend,2.3575759684252873
542,shot,2.347021854223599
543,mess,2.336523142451312
544,blonde,2.336523142451312
545,wondering,2.3260792544890085
546,written,2.3260792544890085
547,mentioned,2.3156896207348003
548,wrote,2.3053536804179156
549,exclaimed,2.3053536804179156
550,thinks,2.3053536804179156
551,hang,2.3053536804179156
552,whether,2.3053536804179156
553,junior,2.2950708814170784
554,buy,2.2950708814170784
555,interested,2.2848406800835375
556,shut,2.2848406800835375
557,seeing,2.274662541068595
558,lucky,2.274662541068595
559,secretary,2.264535937155501
560,thirteen,2.264535937155501
561,himself,2.264535937155501
562,empty,2.254460349095587
563,writing,2.244435265448498
564,longer,2.244435265448498
565,staring,2.23446018242642
566,seems,2.23446018242642
567,age,2.23446018242642
568,pike,2.23446018242642
569,listened,2.2245346037421623
570,wondered,2.2146580404609972
571,sense,2.2146580404609972
572,papadakis,2.2010272940961793
573,ideas,2.1950500402677555
574,less,2.1853176609654095
575,record,2.1853176609654095
576,costume,2.172039757222927
577,listen,2.1659938391419358
578,guy,2.1659938391419358
579,mcgill,2.1659938391419358
580,beautiful,2.15640149461495
581,notebook,2.146854937109634
582,uh,2.1373537315924387
583,sighed,2.127897449200547
584,excited,2.127897449200547
585,town,2.1184856671257215
586,mine,2.1184856671257215
587,calling,2.1091179685008687
588,eight,2.1091179685008687
589,arnold,1.9897182004289724
590,pool,1.909675492755436
591,war,1.8458240207689032
592,audience,1.8458240207689032
593,picnic,1.7955621859880149
594,popcorn,1.7477061648103795
595,science,1.7384037721480663
596,john,1.7384037721480663
597,puppy,1.6669448081659213
598,twins,1.65836106447453
599,bike,1.6498503748066211
600,animals,1.6414115061607566
601,ghost,1.63304325649024
602,stage,1.600253433667249
603,awesome,1.5842530923208078
604,sms,1.5763479128136946
605,bottle,1.5607225949106138
606,restaurant,1.5607225949106138
607,pen,1.5530005488167036
608,babies,1.5453376760711344
