,term,score
0,danielle,863.6025960918757
1,cecelia,225.5473642248997
2,becca,219.45779104146015
3,aunt,169.90612123383892
4,kristy,143.2027000166934
5,wedding,120.47739984308794
6,stacey,101.07512883702597
7,mary,91.74663162978779
8,squirt,63.989626391335165
9,claudia,61.70902602681586
10,mama,59.02303838175618
11,vanessa,55.60388311519402
12,haley,55.38074479789514
13,major,54.06523188208217
14,bsc,47.23090501080373
15,charlotte,43.05652614720562
16,mal,38.06164423736637
17,mallory,37.03318187990022
18,jessi,34.18485154216667
19,daddy,26.94938481404465
20,basement,24.866017401832785
21,hospital,18.45279692023098
22,coat,17.426784015528884
23,sitter,17.405059296110668
24,married,16.833264490863733
25,kit,16.24744453675545
26,snow,16.208686756798777
27,dinner,15.818384763756516
28,bathroom,15.672790141622901
29,closed,15.16195687399355
30,super,14.93733962869851
31,doctor,14.860610661415944
32,eye,14.078959954422583
33,ballet,13.750561046575475
34,hot,13.64797524641157
35,water,13.587215622933007
36,gotten,13.40676109455852
37,shopping,13.391306342878229
38,mall,12.997955629404359
39,responsible,12.965710198690271
40,sms,12.610783302509557
41,present,12.06304090828987
42,frowned,11.94106318618971
43,mirror,11.886017143032788
44,police,11.790355856144533
45,dress,11.475354407085392
46,pool,11.458052956532615
47,juice,11.226041299658892
48,grinned,11.024150054280694
49,cold,10.998341712058142
50,cat,10.863519729962553
51,chocolate,10.713045074302583
52,class,10.639487246002734
53,suit,10.555160794753636
54,headed,10.545589842504343
55,driveway,10.516716202973642
56,den,10.375122702258853
57,dr,10.266028787759712
58,grin,10.230971542157008
59,numbers,10.137947238196055
60,energy,10.10660879796198
61,secret,10.05507082091889
62,ideas,9.8777251812049
63,stairs,9.8777251812049
64,record,9.833929474344343
65,junk,9.79034585406225
66,rodowsky,9.77313440308851
67,sitters,9.57553852140246
68,comes,9.533185502065747
69,pair,9.058143748622005
70,dance,8.993155935554169
71,yellow,8.993155935554169
72,writing,8.977741061793992
73,shop,8.830650653364707
74,quite,8.702529648055334
75,listen,8.663975356567743
76,surprise,8.6256059784598
77,doorbell,8.621570265383696
78,cookies,8.621570265383696
79,homework,8.55426577604522
80,shannon,8.477341925016054
81,besides,8.473942668502886
82,logan,8.177830998579593
83,cute,8.14127739071153
84,jackie,8.006777565902752
85,downstairs,7.996942380292381
86,awesome,7.9212654616040385
87,glasses,7.890611221834554
88,gasped,7.779426119214162
89,sick,7.7169050379964865
90,grinning,7.673228656617756
91,less,7.648611813378933
92,bag,7.580978436996775
93,notebook,7.51399227988372
94,forward,7.51399227988372
95,orange,7.394462883314908
96,trip,7.2335954499798
97,store,7.2335954499798
98,hurried,7.1846418878197476
99,picnic,7.1822487439520595
100,pleased,7.116613627540854
101,emergency,7.116613627540854
102,wall,6.916061041253746
103,bedroom,6.885212644251235
104,yup,6.853394960113743
105,ear,6.823987623205785
106,forgotten,6.823987623205785
107,tired,6.823987623205785
108,lunch,6.70338054727926
109,plan,6.70338054727926
110,charge,6.70338054727926
111,cards,6.667779232663685
112,burst,6.643974121382992
113,meetings,6.643974121382992
114,president,6.585150120803267
115,dressed,6.440564811328903
116,man,6.440564811328903
117,worked,6.383692347601641
118,asleep,6.365202612294164
119,brown,6.3554570013771645
120,helped,6.3554570013771645
121,sugar,6.278745126743859
122,weather,6.212002195266814
123,involved,6.193757244901004
124,giggled,6.193757244901004
125,terrible,6.165745967157655
126,sixth,6.137890741910378
127,counter,6.0610408833354255
128,throat,6.027996208316501
129,clients,6.000895870969805
130,ashley,5.973095589574279
131,including,5.920465182211684
132,keeps,5.893939921063218
133,date,5.893939921063218
134,written,5.815198136222522
135,accident,5.802886798785141
136,nose,5.737677203542696
137,jeans,5.737677203542696
138,sang,5.720409649974198
139,hat,5.666354773307307
140,list,5.6613398428887525
141,drew,5.636150872738968
142,strong,5.613020649829446
143,kinds,5.613020649829446
144,pieces,5.586617913704038
145,beat,5.586617913704038
146,pike,5.586150456066051
147,neither,5.561336509355406
148,driving,5.560388311519402
149,wondered,5.536645101152493
150,hardly,5.536645101152493
151,member,5.512075027140347
152,filled,5.512075027140347
153,pale,5.508439529412157
154,jobs,5.487625100669389
155,known,5.487625100669389
156,shrieked,5.482715968090995
157,nancy,5.482715968090995
158,cry,5.463294152413524
159,tough,5.4571567756959105
160,nine,5.4390810300345835
161,hit,5.4390810300345835
162,brothers,5.41498459785484
163,giggling,5.406523188208217
164,beautiful,5.3910037365373755
165,turning,5.3910037365373755
166,uh,5.343384328981097
167,key,5.328432300392739
168,edge,5.307139193862094
169,explained,5.296214167814304
170,news,5.296214167814304
171,mistake,5.28267428579235
172,student,5.28267428579235
173,band,5.271287715480657
174,snack,5.210164747422123
175,happily,5.162545137396849
