,term,score
0,robert,286.9230124195454
1,kristy,143.2027000166934
2,claudia,125.54594950283227
3,mary,123.38340115730082
4,alex,98.82657565110662
5,charlotte,95.33945075452674
6,jamie,72.56766872470656
7,stacey,60.64507730221559
8,linny,59.87958271342841
9,bsc,59.341393475112376
10,maria,53.382724645933166
11,party,38.49711093164352
12,uh,35.26633657127524
13,mallory,34.78874661445172
14,adam,29.15380738024757
15,hannie,28.115970664398798
16,jessi,25.93333565267816
17,pizza,25.931420397380542
18,sitters,23.406871941206017
19,cheese,23.295008232250552
20,barn,21.75672117060166
21,huh,21.05877463266341
22,song,20.656648235295588
23,johanssen,20.595290200170503
24,dance,20.555784995552386
25,claud,20.403045961297337
26,um,20.039395731614942
27,mal,19.030822118683187
28,den,19.021058287474567
29,sweet,18.750765063512013
30,newton,18.35567520601714
31,pike,17.87568145941136
32,david,17.52392356838484
33,michael,17.52392356838484
34,claire,17.408698245741697
35,logan,16.355661997159185
36,emily,16.177008467079936
37,stace,15.159028957900116
38,painting,14.77270355544681
39,shopping,14.730436977166052
40,jordan,14.576903690123785
41,margo,13.900970778798506
42,vanessa,13.900970778798506
43,bathroom,13.261591658296302
44,nicky,12.569890305834086
45,bottle,12.48578075928491
46,act,12.443852666984567
47,burst,12.180619222535485
48,upstairs,12.019247135309753
49,dr,11.977033585719663
50,mcgill,11.912966115280646
51,byron,11.717663533368201
52,pikes,11.661522952099029
53,town,11.651671169191468
54,music,11.509842984926633
55,sigh,10.998341712058142
56,kuhn,10.926622180633398
57,michelle,10.914313551391821
58,lucy,10.789275611154853
59,basement,10.656864600785479
60,clock,10.545589842504343
61,continued,10.545589842504343
62,singing,10.155051897873998
63,staring,10.05507082091889
64,dancing,10.010716887454846
65,evening,9.921735048852625
66,buddy,9.899102248839727
67,fortunately,9.79825953894144
68,announced,9.79034585406225
69,sitter,9.79034585406225
70,homework,9.776303744051681
71,boyfriend,9.660847216993353
72,smell,9.639769176471274
73,coat,9.505518553924848
74,tonight,9.388087416894397
75,audience,9.229120103844515
76,receiver,9.22639846011549
77,bedroom,9.180283525668314
78,downstairs,9.13936272033415
79,schafer,9.09865016427438
80,chips,9.003324440664965
81,hungry,8.870703833421548
82,melody,8.864397289417678
83,excuse,8.75035702963894
84,sang,8.580614474961298
85,guilty,8.224073952136493
86,month,8.185735163543866
87,angry,8.177830998579593
88,stomach,8.177830998579593
89,super,8.147639797471914
90,sad,8.032748084959774
91,mistake,7.924011428688525
92,raced,7.887537152230232
93,conversation,7.855523429069743
94,meetings,7.751303141613491
95,plate,7.743817706095274
96,member,7.7169050379964865
97,often,7.6147134420484175
98,hate,7.6147134420484175
99,bag,7.580978436996775
100,eye,7.580978436996775
101,figure,7.480738060573535
102,invited,7.466311600190741
103,tape,7.430305330707972
104,street,7.414699834940025
105,stupid,7.365468890292453
106,truth,7.365468890292453
107,trip,7.2335954499798
108,barrett,7.1432240441706
109,mumbled,7.116613627540854
110,card,7.116613627540854
111,fair,7.10455821865402
112,neighborhood,7.072727905275862
113,video,7.06629859645905
114,carried,7.04949852588015
115,eighth,6.885212644251235
116,nose,6.885212644251235
117,gorgeous,6.821445969619888
118,giggling,6.758153985260272
119,missed,6.733305796345494
120,practice,6.633923992327617
121,papadakis,6.603081882288538
122,jobs,6.585150120803267
123,repeated,6.585150120803267
124,stairs,6.585150120803267
125,spier,6.585150120803267
126,snapped,6.572947626858526
127,planning,6.512705934277654
128,box,6.497981517425807
129,guy,6.497981517425807
130,explained,6.3554570013771645
131,monday,6.327353905502607
132,insisted,6.307398500288785
133,disappeared,6.307398500288785
134,plans,6.250255021170671
135,babies,6.1813507042845375
136,dues,6.137890741910378
137,scared,6.137890741910378
138,road,5.9731252564603246
139,fifteen,5.920465182211684
140,shoes,5.893939921063218
141,fire,5.887100435576471
142,shot,5.867554635558998
143,mention,5.867554635558998
144,hoped,5.841307856128281
145,quick,5.815198136222522
146,covered,5.815198136222522
147,jake,5.788348949312249
148,ate,5.763384201044789
149,wall,5.763384201044789
150,doorbell,5.747713510255798
151,booth,5.729026478266308
152,chairs,5.720409649974198
153,supplies,5.693290902032683
154,clean,5.686656352671488
155,hat,5.666354773307307
156,forgot,5.6613398428887525
157,stared,5.611088163621245
158,pants,5.586617913704038
159,pieces,5.586617913704038
160,hallway,5.586617913704038
161,none,5.586150456066051
162,secret,5.586150456066051
163,bill,5.560388311519402
164,notice,5.536645101152493
165,ended,5.536645101152493
166,became,5.536645101152493
167,official,5.534329587434627
168,eating,5.512075027140347
169,nervous,5.512075027140347
