,term,score
0,mary,246.76680231460165
1,dewitt,188.24434480408013
2,month,133.7003410045498
3,lindsey,128.2360451100041
4,claudia,114.90646225682953
5,kristy,104.73033284802949
6,taylor,92.6355245923695
7,buddy,72.59341649149133
8,logan,61.91786327495977
9,yellow,59.097881862213114
10,mallory,58.35531690166095
11,shannon,56.91929578225065
12,sms,52.01948112285192
13,jessi,50.68788332114367
14,suzi,45.914998388175555
15,students,40.42407722106697
16,richard,39.79436400857945
17,locker,35.74275868752102
18,team,32.5511795249091
19,mimi,31.274030089883233
20,emily,31.109631667461418
21,baseball,30.72639852537221
22,mal,26.16738041318938
23,game,25.8768179353794
24,marnie,24.87817107503875
25,stacey,23.406871941206017
26,bsc,21.798879235755567
27,shouted,21.564014946149502
28,alan,21.03046885735975
29,color,18.413672225731133
30,news,18.007128170568635
31,barrett,17.8580601104265
32,gym,17.602787770339738
33,teacher,15.958515928966982
34,ms,14.788925766629816
35,shea,14.701458514320983
36,robert,14.58930571624807
37,stairs,14.26782526174041
38,upstairs,14.20456479627516
39,camera,14.182600912198929
40,dressed,13.954557091212623
41,toys,13.750561046575475
42,study,13.504986660997448
43,california,12.995963034851615
44,schedule,12.906362843492122
45,rain,12.70755369298936
46,stuffed,12.629296462116253
47,party,12.454947654355257
48,handed,12.019247135309753
49,spoke,11.807702154102987
50,brown,11.651671169191468
51,paint,11.605773597570282
52,dress,11.475354407085392
53,tv,11.373312705342975
54,mad,11.122673018710811
55,man,10.73427468554817
56,sign,10.686768657962194
57,class,10.639487246002734
58,student,10.5653485715847
59,headed,10.545589842504343
60,science,10.430422632888398
61,van,10.31913086291347
62,forgot,10.190411717199755
63,gray,10.091837600462055
64,hurried,10.058498642947646
65,lunch,10.05507082091889
66,named,10.05507082091889
67,obviously,9.916120853287788
68,large,9.910011591841606
69,grace,9.580733234148546
70,sitters,9.57553852140246
71,super,9.505579763717234
72,suppose,9.22639846011549
73,moving,9.221414721671662
74,dumb,9.202126677601937
75,clean,9.09865016427438
76,rooms,9.047280681217403
77,basement,8.880720500654567
78,teachers,8.746142214074272
79,record,8.741270643861638
80,seat,8.741270643861638
81,others,8.663975356567743
82,bag,8.663975356567743
83,terrible,8.632044354020715
84,worked,8.511589796802188
85,daddy,8.421682754388954
86,office,8.401254219357726
87,bowl,8.379926870556057
88,spotted,8.034783805726937
89,stage,8.001267168336245
90,ball,7.99763198423941
91,downstairs,7.996942380292381
92,entire,7.996942380292381
93,snapped,7.887537152230232
94,writing,7.855523429069743
