,term,score
0,ashley,477.8476471659423
1,kristy,228.69684928039095
2,radio,73.83296083075612
3,claudia,62.772974751416136
4,carolyn,49.41525004628627
5,marilyn,49.07936565940892
6,station,46.291720737567516
7,mary,41.12780038576694
8,buddy,36.29670824574566
9,bsc,33.909367700064216
10,dewitt,33.71540503953673
11,song,31.673527294119904
12,uh,29.92295224229414
13,suzi,26.23714193610032
14,mallory,25.811005552657726
15,stacey,24.47082066580629
16,mal,22.599101265936284
17,ben,22.308802572458603
18,claire,21.426090148605166
19,peaches,21.135363323270912
20,contest,20.89801658985955
21,taylor,20.138157520080327
22,kishi,18.410947632706453
23,lindsey,18.319435015714873
24,jackie,18.01524952328119
25,sheet,17.781653499929323
26,jessi,17.681819763189655
27,um,17.681819763189655
28,huh,17.34252028572281
29,air,17.09882985273951
30,art,16.908452618216902
31,alan,16.8243750858878
32,margo,16.681164934558204
33,barrett,16.072254099383848
34,sang,15.731126537429045
35,dr,15.399043181639566
36,thomas,14.89528214440383
37,listening,14.145455810551724
38,shannon,13.321537310739513
39,twins,13.26688851579624
40,janine,13.261591658296302
41,announced,13.053794472083002
42,written,12.793435899689547
43,music,12.78871442769626
44,lines,12.610783302509557
45,month,12.278602745315798
46,machine,12.122081766670851
47,jeremy,12.067919179421747
48,tape,11.888488529132754
49,list,11.322679685777505
50,lunch,11.172300912132101
51,pike,11.172300912132101
52,sms,11.034435389695862
53,questions,11.024150054280694
54,pen,10.871003841716925
55,luck,10.850393174969701
56,claud,10.801612567745648
57,sitters,10.639487246002734
58,mentioned,10.420603293306602
59,charlie,10.420603293306602
60,sports,10.230971542157008
61,ha,10.158883083359672
62,named,10.05507082091889
63,desk,9.79034585406225
64,mimi,9.77313440308851
65,guy,9.746972276138711
66,robert,9.726203810832047
67,office,9.601433393551687
68,grabbed,9.57553852140246
69,news,9.533185502065747
70,explained,9.533185502065747
71,clock,9.49103085825391
72,giggling,9.46141557936438
73,became,8.858632161843989
74,gray,8.830357900404298
75,ideas,8.780200161071022
76,singing,8.704330198177711
77,den,8.645935585215712
78,shouted,8.6256059784598
79,stupid,8.593047038674529
80,light,8.587419748438537
81,shrugged,8.549414926369755
82,liked,8.511589796802188
83,eight,8.436471874003475
84,monday,8.436471874003475
85,nicky,8.379926870556057
86,hallway,8.379926870556057
87,track,8.363518278913592
88,vanessa,8.340582467279102
89,fifteen,8.288651255096358
90,fortunately,8.1652162824512
91,movies,8.147639797471914
92,wrote,8.068737881462704
93,movie,8.032748084959774
94,bedroom,8.032748084959774
95,schafer,7.961318893740082
96,twice,7.960708790793141
97,planning,7.815247121133185
98,whoa,7.815247121133185
99,listened,7.785871113097568
100,listen,7.580978436996775
101,bag,7.580978436996775
102,favorite,7.580978436996775
103,insisted,7.568878200346541
104,game,7.547405231152325
105,screamed,7.539400567681169
106,man,7.51399227988372
107,thursday,7.5003060254048055
108,act,7.466311600190741
109,worked,7.447641072201915
110,notes,7.358875544470589
111,byron,7.323539708355126
112,note,7.299169873172944
113,welcome,7.299169873172944
114,jordan,7.288451845061893
115,pikes,7.288451845061893
116,adam,7.288451845061893
117,laughter,7.253608498481427
118,jacket,7.082943466634134
119,artist,7.016275812286807
120,dying,6.983272392130048
121,quietly,6.947068862204401
122,ear,6.823987623205785
123,marnie,6.7849557477378415
124,glasses,6.763381047286761
125,carefully,6.673603811226487
126,wednesday,6.673603811226487
127,upset,6.614490032568417
128,junk,6.526897236041501
129,hate,6.526897236041501
130,box,6.497981517425807
131,rosie,6.48496233784868
132,entered,6.453181421746061
133,window,6.440564811328903
134,boyfriend,6.440564811328903
135,calling,6.327353905502607
136,continued,6.327353905502607
137,dinner,6.327353905502607
138,question,6.327353905502607
139,hundred,6.278745126743859
140,anybody,6.278745126743859
141,glass,6.165745967157655
142,low,6.165745967157655
143,receiver,6.150932306743661
144,homework,6.110189840032301
145,dear,6.0610408833354255
146,tuesday,6.027996208316501
147,rock,5.9731252564603246
148,newspaper,5.915570306651927
149,poor,5.893939921063218
150,lit,5.8588317666841006
151,david,5.841307856128281
152,played,5.841307856128281
153,fashion,5.802886798785141
154,speaking,5.789224051837001
155,jake,5.788348949312249
156,english,5.747713510255798
157,sad,5.737677203542696
158,single,5.737677203542696
159,eighth,5.737677203542696
160,coach,5.729026478266308
161,speak,5.6613398428887525
162,kinds,5.613020649829446
163,wow,5.611088163621245
164,lived,5.586150456066051
165,takes,5.586150456066051
166,usual,5.586150456066051
167,neither,5.561336509355406
168,bill,5.560388311519402
169,brain,5.560388311519402
170,burst,5.536645101152493
171,sense,5.536645101152493
172,meetings,5.536645101152493
173,filled,5.512075027140347
174,nervous,5.512075027140347
175,member,5.512075027140347
176,seat,5.463294152413524
177,rolled,5.463294152413524
178,waved,5.463294152413524
179,gorgeous,5.4571567756959105
180,wished,5.431759864981276
181,earth,5.431759864981276
182,children,5.41498459785484
183,deal,5.3910037365373755
184,become,5.3910037365373755
185,picnic,5.386686557964045
186,star,5.381444736153836
187,ball,5.331754656159607
188,barely,5.319743623001367
189,changed,5.319743623001367
190,town,5.296214167814304
191,neat,5.28267428579235
192,joke,5.258358101486821
193,science,5.215211316444199
194,outfit,5.210164747422123
195,plate,5.162545137396849
196,grinning,5.115485771078504
197,grin,5.115485771078504
198,drove,5.092162089835331
199,stace,5.053009652633372
200,loved,5.045918800231028
201,seconds,5.045918800231028
202,excuse,5.000204016936537
203,subject,4.955005795920803
204,stories,4.888151872025841
205,places,4.8661132487819625
206,strange,4.8223969666532005
207,throat,4.8223969666532005
208,team,4.8223969666532005
209,immediately,4.8223969666532005
210,normal,4.800716696775844
211,pushed,4.736372145769347
212,including,4.736372145769347
213,bought,4.7151519368505745
214,silence,4.7151519368505745
215,nearly,4.694043708447198
216,shot,4.694043708447198
217,vice,4.673046284902624
218,absolutely,4.652158508978017
219,wild,4.652158508978017
220,pete,4.61932227019795
221,sleep,4.610707360835831
222,interesting,4.610707360835831
223,ate,4.610707360835831
224,nose,4.590141762834157
225,junior,4.590141762834157
226,clean,4.54932508213719
227,water,4.529071874311002
228,pair,4.529071874311002
229,library,4.523640340608702
230,reminded,4.508920698191174
231,eleven,4.508920698191174
232,young,4.508920698191174
233,staring,4.46892036485284
234,famous,4.415325326682353
235,eating,4.409660021712278
236,third,4.409660021712278
237,row,4.394123825013075
238,raised,4.390100080535511
239,repeated,4.390100080535511
240,boys,4.390100080535511
241,less,4.370635321930819
242,picture,4.3319876782838715
243,california,4.3319876782838715
244,waited,4.3319876782838715
245,lucy,4.3157102444619415
246,surprise,4.3128029892299
247,spoke,4.293709874219268
248,heading,4.290307237480649
249,mark,4.287737760512461
250,king,4.287737760512461
251,imagine,4.274707463184877
252,excited,4.255794898401094
253,street,4.236971334251443
254,mine,4.236971334251443
255,headed,4.2182359370017375
256,practically,4.2182359370017375
257,camp,4.20609377147195
258,baseball,4.189963435278028
259,milk,4.15074719057597
260,seventh,4.131329647059117
261,yup,4.1120369760682465
262,rushed,4.092867581771933
263,above,4.073819898735957
264,super,4.073819898735957
265,cream,4.054892391156162
266,dead,4.017391902863468
267,teeth,4.017391902863468
268,doorway,3.9803543953965703
269,arnold,3.979436400857945
270,snapped,3.943768576115116
271,dumb,3.943768576115116
272,born,3.9256416327472277
273,paid,3.9076235605665923
274,boring,3.9076235605665923
275,recently,3.871908853047637
276,cleared,3.8542096866660724
277,dance,3.8542096866660724
278,muttered,3.836614328308878
279,warm,3.8191215673764987
280,wore,3.8191215673764987
281,boxes,3.8191215673764987
282,smart,3.716254346940602
283,ears,3.716254346940602
284,american,3.716254346940602
285,seriously,3.6994475802945925
286,sixth,3.6827344451462265
287,teacher,3.6827344451462265
288,expect,3.6827344451462265
289,ourselves,3.6661139040193804
