,term,score
0,camp,218.7168761165414
1,sharon,159.7521035690091
2,kristy,148.5460843456745
3,logan,95.7974488405038
4,mal,93.96468421099823
5,claudia,92.56353904022379
6,bsc,92.03971232874574
7,karen,91.21361723874102
8,hannie,72.63292421636356
9,barn,67.24804725458695
10,claire,56.24348664008856
11,jamie,55.38058928990765
12,shannon,49.65300270366546
13,pow,48.837360553682316
14,jessi,44.79394340008046
15,park,44.021826694558584
16,nancy,42.49104875270521
17,ghost,40.826081412256
18,linny,38.322932936594185
19,mary,33.7458874960139
20,vanessa,33.36232986911641
21,act,31.109631667461418
22,ball,30.65758927291774
23,carolyn,26.953772752519782
24,marilyn,26.77056308695032
25,animals,26.262584098572106
26,wild,25.586871799379093
27,braddock,25.1146821840219
28,matt,24.76591407099233
29,becca,24.544621366479095
30,david,24.53349299573878
31,michael,24.53349299573878
32,jackie,24.020332697708255
33,summer,23.88212637237942
34,charlotte,23.06599615028873
35,haley,21.75672117060166
36,stories,20.774645456109823
37,dog,20.68098130732334
38,mommy,20.079566640514656
39,margo,19.461359090317906
40,popcorn,19.224767812914173
41,dogs,18.82205682423203
42,costume,17.376318057783415
43,board,16.832044581555852
44,carrot,16.510609380661553
45,bent,16.034594059136165
46,video,15.899171842032862
47,lunch,15.64122127698494
48,pike,15.64122127698494
49,grinned,15.433810075992973
50,dance,15.41683874666429
51,ring,15.187400425933529
52,sitters,14.89528214440383
53,andrew,14.79779032117837
54,pikes,14.576903690123785
55,nicky,13.966544784260096
56,richard,13.928027403002806
57,super,13.579399662453191
58,throat,13.261591658296302
59,trip,13.261591658296302
60,stayed,13.228980065136835
61,papadakis,13.206163764577076
62,field,12.932111636312236
63,organized,12.847365622220241
64,helped,12.710914002754329
65,hot,12.510643975877272
66,extra,12.454947654355257
67,dr,11.977033585719663
68,announced,11.965978266076084
69,group,11.965978266076084
70,neat,11.886017143032788
71,dumb,11.831305728345347
72,pizza,11.669139178821244
73,brown,11.651671169191468
74,juice,11.226041299658892
75,although,11.22217632724249
76,audience,11.074944124613419
77,hit,10.878162060069167
78,immediately,10.850393174969701
79,california,10.82996919570968
80,eye,10.82996919570968
81,box,10.82996919570968
82,stacey,10.639487246002734
83,eight,10.545589842504343
84,excellent,10.352248036640871
85,cleared,10.277892497776193
86,scary,10.155051897873998
87,missed,10.099958694518241
88,emergency,9.963259078557195
89,member,9.921735048852625
90,raised,9.8777251812049
91,legs,9.865193547452247
92,junk,9.79034585406225
93,bowl,9.776581348982067
94,game,9.703806725767276
95,shouted,9.703806725767276
96,tigger,9.699083727234177
97,tomorrow,9.618091792165973
98,clients,9.601433393551687
99,shrieked,9.594752944159241
100,rehearsal,9.580733234148546
101,explained,9.533185502065747
102,single,9.180283525668314
103,movie,9.180283525668314
104,center,9.117788307988715
105,join,9.058143748622005
106,road,8.959687884690487
107,afraid,8.858632161843989
108,fire,8.830650653364707
109,lit,8.78824765002615
110,jobs,8.780200161071022
111,ballet,8.75035702963894
112,rolled,8.741270643861638
113,often,8.702529648055334
114,sitter,8.702529648055334
115,foot,8.632044354020715
116,forward,8.587419748438537
117,sang,8.580614474961298
118,slid,8.49953215996096
119,dinner,8.436471874003475
120,buddy,8.249251874033106
121,nearby,8.224073952136493
122,vacation,8.1652162824512
