,term,score
0,robert,170.20856668956083
1,mary,94.91030858253909
2,claudia,60.64507730221559
3,stacey,52.1334875054134
4,bsc,43.597758471511135
5,kristy,37.40369030286768
6,richard,33.82520940729253
7,center,27.353364923966147
8,sharon,21.784377759410333
9,store,19.289587866612802
10,train,18.336392889825134
11,uh,18.16750671853573
12,bike,18.14835412287283
13,video,17.665746491147626
14,chips,16.50609480788577
15,summer,15.921417581586281
16,clock,15.818384763756516
17,woman,15.051982534776203
18,ms,14.788925766629816
19,bottle,14.046503354195524
20,sitters,13.831333419803554
21,shopping,13.391306342878229
22,sunny,13.33555846532737
23,painting,13.131292049286053
24,york,13.111905965792456
25,mall,12.997955629404359
26,daughter,12.45224157172791
27,young,12.399531920025728
28,alex,12.353321956388328
29,camera,12.156515067599083
30,claud,12.00179174193961
31,others,11.912966115280646
32,stace,11.790355856144533
33,bought,11.787879842126436
34,pizza,11.669139178821244
35,exclaimed,11.526768402089578
36,drove,11.457364702129496
37,kit,11.373211175728814
38,insisted,11.353317300519812
39,stage,11.201774035670743
40,sigh,10.998341712058142
41,tears,10.878162060069167
42,mcgill,10.82996919570968
43,track,10.75309493003176
44,pay,10.639487246002734
45,sweater,10.606821545836995
46,monday,10.545589842504343
47,seats,10.302425762258824
48,music,10.230971542157008
49,paint,10.155051897873998
50,age,10.05507082091889
51,named,10.05507082091889
52,lunch,10.05507082091889
53,excuse,10.000408033873073
54,member,9.921735048852625
55,office,9.601433393551687
56,shot,9.388087416894397
57,loud,9.346092569805249
58,expected,9.346092569805249
59,visit,9.262758482939201
60,rules,9.244680000136611
61,hanging,9.09865016427438
62,join,9.058143748622005
63,empty,9.017841396382348
64,burst,8.858632161843989
65,starting,8.819320043424556
66,sweet,8.75035702963894
67,sitter,8.702529648055334
68,hit,8.702529648055334
69,group,8.702529648055334
70,huh,8.671260142861405
71,california,8.663975356567743
72,guy,8.663975356567743
73,bag,8.663975356567743
74,likes,8.6256059784598
75,shrugged,8.549414926369755
76,grabbed,8.511589796802188
77,trip,8.4391946916431
78,song,8.262659294118235
79,enjoy,8.224073952136493
80,logan,8.177830998579593
81,uncle,8.154033458393616
82,ride,8.1049136725718
83,ate,8.068737881462704
84,buy,8.032748084959774
85,dress,8.032748084959774
86,clean,7.961318893740082
87,art,7.890611221834554
88,bat,7.864750812075112
89,restaurant,7.803612974553069
90,managed,7.785871113097568
91,ended,7.751303141613491
92,meetings,7.751303141613491
93,third,7.7169050379964865
94,muttered,7.673228656617756
95,upstairs,7.648611813378933
96,hate,7.6147134420484175
97,dear,7.576301104169282
98,plastic,7.568878200346541
99,man,7.51399227988372
100,station,7.466406570575406
101,besides,7.414699834940025
102,headed,7.381912889753041
103,closet,7.299169873172944
104,dream,7.288451845061893
105,faces,7.2335954499798
106,sang,7.150512062467747
107,fifteen,7.10455821865402
108,including,7.10455821865402
109,area,7.082943466634134
110,juice,7.016275812286807
111,museum,6.978571311150555
112,schafer,6.823987623205785
113,ear,6.823987623205785
114,giggling,6.758153985260272
115,cream,6.758153985260272
116,wednesday,6.673603811226487
117,neither,6.673603811226487
118,carefully,6.673603811226487
119,hardly,6.643974121382992
120,million,6.633923992327617
121,joined,6.614490032568417
122,lifted,6.603342857240437
123,boys,6.585150120803267
124,rolled,6.555952982896228
125,cry,6.555952982896228
126,threw,6.526897236041501
127,junk,6.526897236041501
128,whoa,6.512705934277654
129,outfit,6.512705934277654
130,children,6.497981517425807
131,turning,6.46920448384485
132,sheet,6.466055818156118
133,friendly,6.453181421746061
134,boyfriend,6.440564811328903
135,control,6.423682811110121
136,grin,6.39435721384813
137,sighed,6.383692347601641
138,barely,6.383692347601641
139,report,6.368885047879939
140,warm,6.365202612294164
141,brown,6.3554570013771645
142,calling,6.327353905502607
143,sugar,6.278745126743859
144,jeff,6.193757244901004
145,low,6.165745967157655
146,scared,6.137890741910378
147,closer,6.082641560977454
148,stamford,6.031520454144935
149,company,5.973941627795423
150,lawn,5.9731252564603246
151,mal,5.947131912088496
152,gently,5.947131912088496
153,houses,5.944244264566377
154,barn,5.933651228345908
155,silence,5.893939921063218
156,um,5.893939921063218
157,jessi,5.893939921063218
158,mimi,5.863880641853106
159,aunt,5.8588317666841006
160,row,5.8588317666841006
161,stomach,5.841307856128281
162,mess,5.841307856128281
163,singing,5.802886798785141
164,clear,5.789224051837001
165,twenty,5.763384201044789
166,wall,5.763384201044789
167,nose,5.737677203542696
168,bedroom,5.737677203542696
169,entire,5.7121017002088434
170,mumbled,5.693290902032683
171,list,5.6613398428887525
172,party,5.6613398428887525
173,total,5.63959882070412
174,grown,5.636150872738968
175,missed,5.611088163621245
176,secret,5.586150456066051
177,leaned,5.512075027140347
178,nervous,5.512075027140347
179,its,5.487625100669389
180,spier,5.487625100669389
181,jobs,5.487625100669389
182,wedding,5.476245447413088
183,kuhn,5.463311090316699
184,record,5.463294152413524
185,drive,5.463294152413524
186,groaned,5.4571567756959105
187,checked,5.4390810300345835
188,wished,5.431759864981276
189,closed,5.41498459785484
190,kishi,5.41498459785484
191,shouted,5.3910037365373755
192,simple,5.3565225371512915
193,sign,5.343384328981097
194,hide,5.307139193862094
195,comes,5.296214167814304
196,mine,5.296214167814304
197,practically,5.272794921252172
198,dinner,5.272794921252172
199,band,5.271287715480657
200,return,5.23418884366297
201,fill,5.210164747422123
202,den,5.1875613511294265
203,organized,5.138946248888097
204,grinning,5.115485771078504
205,ha,5.079441541679836
206,police,5.053009652633372
207,toys,5.000204016936537
208,spread,5.000204016936537
209,thursday,5.000204016936537
210,officer,4.977541066793827
211,twins,4.97508319342359
212,stupid,4.910312593528302
213,truth,4.910312593528302
214,vacation,4.89912976947072
215,touch,4.888151872025841
216,signed,4.874233361026635
217,using,4.8661132487819625
218,garage,4.849541863617088
219,team,4.8223969666532005
220,tuesday,4.8223969666532005
221,luck,4.8223969666532005
222,envelope,4.8007603010017466
223,yelled,4.736372145769347
224,date,4.7151519368505745
225,step,4.7151519368505745
226,poor,4.7151519368505745
227,cheese,4.659001646450111
228,absolutely,4.652158508978017
229,babies,4.636013028213403
230,receiver,4.613199230057745
231,hang,4.610707360835831
232,awhile,4.610707360835831
233,sleep,4.610707360835831
234,jeans,4.590141762834157
235,junior,4.590141762834157
236,single,4.590141762834157
237,sad,4.590141762834157
238,completely,4.569681360167075
239,downstairs,4.569681360167075
240,shut,4.569681360167075
241,interested,4.569681360167075
242,tv,4.54932508213719
243,lucky,4.54932508213719
