,term,score
0,mary,255.20327418860512
1,kristy,133.58460822452741
2,james,104.03598813198023
3,ben,95.92785106157199
4,claudia,89.37169286642298
5,stacey,82.98800051882132
6,mallory,81.92188718887017
7,richard,63.67098241372712
8,christmas,63.110351465351286
9,shannon,53.286149242958054
10,margo,41.702912336395514
11,barn,41.53555859842135
12,jessi,40.078791463229884
13,california,38.987889104554846
14,sunny,35.005840971484346
15,bsc,32.69831885363335
16,carol,32.483555190815736
17,summer,30.516050364707038
18,party,29.438967183021514
19,jenny,27.91428524460222
20,logan,25.701754566964436
21,robert,24.315509527080117
22,nicky,23.74312613324216
23,mal,22.599101265936284
24,whitney,21.70546728796225
25,jeff,19.82002318368321
26,boxes,19.095607836882493
27,tape,17.83273279369913
28,offered,16.802508438715453
29,cookies,15.806212153203443
30,member,15.433810075992973
31,group,15.229426884096835
32,tears,15.229426884096835
33,happening,14.932623200381482
34,van,14.446783208078859
35,leaving,14.26782526174041
36,box,14.078959954422583
37,feelings,14.067585870465885
38,news,13.77015683631719
39,archie,13.414326904944588
40,claire,13.391306342878229
41,pizza,12.965710198690271
42,surprise,12.9384089676897
43,plate,12.906362843492122
44,beach,12.299671336121532
45,hugged,12.221459696207871
46,lindsey,12.212956677143248
47,snow,12.156515067599083
48,evening,12.126565059708764
49,taylor,12.082894512048197
50,salad,11.888488529132754
51,clock,11.600148826754777
52,carolyn,11.230738646883243
53,although,11.22217632724249
54,marilyn,11.154401286229302
55,vanessa,11.120776623038804
56,cold,10.998341712058142
57,explain,10.975250201338778
58,prezzioso,10.932142473375134
59,suzi,10.932142473375134
60,tree,10.863519729962553
61,tuesday,10.850393174969701
62,mirror,10.5653485715847
63,dinner,10.545589842504343
64,matt,10.31913086291347
65,shut,10.281783060375918
66,singing,10.155051897873998
67,missed,10.099958694518241
68,secret,10.05507082091889
69,soccer,10.00847195737844
70,cards,10.001668848995529
71,wondered,9.965961182074487
72,haley,9.889418713909846
73,jobs,9.8777251812049
74,quite,9.79034585406225
75,bag,9.746972276138711
76,expression,9.730679545158953
77,younger,9.57553852140246
78,pool,9.54837746377718
79,brown,9.533185502065747
80,ball,9.330570648279313
81,suppose,9.22639846011549
82,hospital,9.22639846011549
83,nose,9.180283525668314
84,buy,9.180283525668314
85,cake,8.977810929940075
86,greeted,8.959687884690487
