,term,score
0,abby,286.519420861772
1,anna,139.68701380049566
2,linny,98.2025156500226
3,shannon,85.9844680965914
4,michael,80.61004841457027
5,david,80.61004841457027
6,hannie,74.97592177173013
7,team,69.9247560164714
8,ball,67.97987186603498
9,practice,66.33923992327617
10,krushers,59.20937704568821
11,mary,56.94618514952346
12,matt,55.72330665973274
13,stacey,54.261384954613945
14,game,52.831836618066276
15,claudia,46.813743882412034
16,field,45.26239072709282
17,kristy,44.88442836344121
18,jake,43.41261711984187
19,bsc,41.1756607786494
20,jackie,34.028804655086695
21,band,33.384822198044155
22,bat,31.459003248300448
23,watson,29.70292884108599
24,papadakis,28.61335482325033
25,bart,27.32880327456904
26,uh,25.648244779109262
27,coach,24.825781405820667
28,kuhn,24.584899906425147
29,karen,24.00358348387922
30,melody,23.638392771780474
31,sitters,22.342923216605744
32,ms,22.183388649944725
33,huh,21.05877463266341
34,hit,20.668507914131418
35,jessi,20.039395731614942
36,emily,19.910164267175308
37,twins,19.90033277369436
38,buddy,19.798204497679453
39,andrew,19.730387094904493
40,michelle,19.10004871493569
41,shouted,18.329412704227074
42,member,17.63864008684911
43,row,17.5764953000523
44,official,16.60298876230388
45,charlie,16.2098273451436
46,softball,15.435806787030977
47,third,15.433810075992973
48,eight,14.763825779506082
49,throw,14.196999127841336
50,hate,14.141610678089918
51,jamie,13.367728449288052
52,suzi,13.11857096805016
53,threw,13.053794472083002
54,logan,12.850877283482218
55,sports,12.78871442769626
56,margo,12.510873700918655
57,sam,12.387514489802008
58,box,11.912966115280646
59,neighborhood,11.787879842126436
60,nannie,11.774200871152942
61,played,11.682615712256561
62,plate,11.61572655914291
63,garage,11.315597681773205
64,nicky,11.173235827408076
65,claud,10.801612567745648
66,shrugged,10.686768657962194
67,summer,10.614278387724188
68,street,10.592428335628608
69,van,10.31913086291347
70,boat,10.197335953457578
71,join,10.190411717199755
72,mallory,10.099958694518241
73,mystery,10.053617225454214
74,ground,10.045992202790174
75,rolled,9.833929474344343
76,bag,9.746972276138711
77,games,9.688390771446919
78,braddock,9.659493147700731
79,dinner,9.49103085825391
80,boo,9.43967753059515
81,driveway,9.202126677601937
82,nina,8.959643384361419
83,catch,8.93784072970568
84,pike,8.93784072970568
85,barrett,8.92903005521325
86,wednesday,8.898138414968649
87,insisted,8.830357900404298
88,explained,8.473942668502886
89,baseball,8.379926870556057
90,company,8.363518278913592
91,gabbie,8.3488465186377
92,myriah,8.194966635475048
93,absolutely,8.14127739071153
94,thirteen,7.9258757800442545
95,rules,7.924011428688525
96,dumb,7.887537152230232
97,sms,7.881739564068473
98,missed,7.855523429069743
99,rodowsky,7.818507522470808
100,neither,7.785871113097568
101,meetings,7.751303141613491
102,win,7.726688380355672
103,joined,7.7169050379964865
104,jobs,7.682675140937144
105,music,7.673228656617756
106,crowd,7.6034604286470415
107,brothers,7.580978436996775
108,families,7.568878200346541
109,lessons,7.539400567681169
110,breakfast,7.5003060254048055
111,spread,7.5003060254048055
112,bus,7.46663243068698
113,thomas,7.447641072201915
114,brown,7.414699834940025
115,truth,7.365468890292453
116,brewer,7.299169873172944
117,welcome,7.299169873172944
118,allowed,7.2010750451637655
119,mal,7.1365582945061945
120,yelled,7.10455821865402
121,fingers,7.10455821865402
122,shot,7.041065562670798
123,pants,6.983272392130048
124,daughter,6.9179119842932835
125,island,6.880218533919479
126,ha,6.772588722239782
127,none,6.70338054727926
128,claire,6.6956531714391145
129,dead,6.6956531714391145
130,led,6.673603811226487
131,became,6.643974121382992
132,starting,6.614490032568417
133,lose,6.572947626858526
134,york,6.555952982896228
135,born,6.542736054578713
136,fortunately,6.53217302596096
137,nine,6.526897236041501
138,kit,6.4989778147021795
139,listen,6.497981517425807
140,eye,6.497981517425807
141,yard,6.453181421746061
142,muttered,6.39435721384813
143,apart,6.39435721384813
144,helped,6.3554570013771645
145,monday,6.327353905502607
146,clock,6.327353905502607
147,plastic,6.307398500288785
148,loved,6.307398500288785
149,excuse,6.250255021170671
150,climbed,6.250255021170671
151,legs,6.165745967157655
152,receiver,6.150932306743661
153,machine,6.0610408833354255
154,station,5.9731252564603246
155,lawn,5.9731252564603246
156,whenever,5.920465182211684
157,mention,5.867554635558998
158,expected,5.841307856128281
159,pop,5.829594554382238
160,energy,5.775205027406846
161,bedroom,5.737677203542696
162,sad,5.737677203542696
163,tiffany,5.674032121632352
164,worse,5.6613398428887525
165,party,5.6613398428887525
166,glasses,5.636150872738968
167,maria,5.619234173256123
168,strong,5.613020649829446
169,conversation,5.611088163621245
170,wow,5.611088163621245
171,however,5.586617913704038
172,takes,5.586150456066051
173,lunch,5.586150456066051
174,burst,5.536645101152493
175,grandmother,5.512075027140347
176,song,5.508439529412157
177,decision,5.508439529412157
178,regular,5.487625100669389
179,cry,5.463294152413524
180,thrilled,5.4571567756959105
181,announced,5.4390810300345835
182,super,5.431759864981276
183,giggling,5.406523188208217
184,piece,5.3910037365373755
185,surprise,5.3910037365373755
186,boyfriend,5.367137342774085
187,teeth,5.3565225371512915
188,spotted,5.3565225371512915
189,air,5.343384328981097
190,tossed,5.331754656159607
191,class,5.319743623001367
192,barely,5.319743623001367
193,liked,5.319743623001367
194,flew,5.307139193862094
195,besides,5.296214167814304
196,continued,5.272794921252172
197,headed,5.272794921252172
198,noise,5.210164747422123
199,den,5.1875613511294265
200,wore,5.092162089835331
201,hundred,5.022996101395087
202,plans,5.000204016936537
203,american,4.955005795920803
204,cold,4.888151872025841
205,touch,4.888151872025841
206,themselves,4.888151872025841
207,french,4.874233361026635
208,robert,4.863101905416023
209,tuesday,4.8223969666532005
210,offered,4.800716696775844
211,clients,4.800716696775844
212,track,4.779153302236338
213,gathered,4.757705529670797
214,happens,4.7151519368505745
215,dining,4.659001646450111
216,terrific,4.652158508978017
217,babies,4.636013028213403
218,woman,4.631379241469601
219,exclaimed,4.610707360835831
220,needs,4.610707360835831
221,begin,4.590141762834157
222,junior,4.590141762834157
223,entire,4.569681360167075
224,schafer,4.54932508213719
225,dear,4.545780662501569
226,screamed,4.523640340608702
227,reminded,4.508920698191174
228,backyard,4.479843942345243
229,named,4.46892036485284
230,age,4.46892036485284
231,salad,4.458183198424782
232,houses,4.458183198424782
233,mad,4.4490692074843246
234,managed,4.4490692074843246
235,orange,4.436677729988945
236,ended,4.4293160809219945
237,grinned,4.409660021712278
238,lit,4.394123825013075
239,divorced,4.390100080535511
240,boys,4.390100080535511
241,known,4.390100080535511
242,president,4.390100080535511
243,its,4.390100080535511
244,bent,4.373071107037136
245,drawing,4.373071107037136
246,dream,4.373071107037136
247,handed,4.370635321930819
248,less,4.370635321930819
249,laughter,4.352165099088856
250,junk,4.351264824027667
251,tears,4.351264824027667
252,sitter,4.351264824027667
253,kishi,4.3319876782838715
254,closed,4.3319876782838715
255,likes,4.3128029892299
256,deal,4.3128029892299
257,window,4.293709874219268
258,man,4.293709874219268
259,spoke,4.293709874219268
260,putting,4.274707463184877
261,spent,4.274707463184877
262,admit,4.274707463184877
263,tomorrow,4.274707463184877
264,imagine,4.274707463184877
265,waving,4.24976607998048
266,obviously,4.24976607998048
267,town,4.236971334251443
268,comes,4.236971334251443
269,kinds,4.209765487372085
270,juice,4.209765487372085
271,bowl,4.189963435278028
272,beat,4.189963435278028
273,concerned,4.170291233639551
274,pale,4.131329647059117
275,lips,4.073819898735957
276,tree,4.073819898735957
277,horrible,4.054892391156162
278,officers,3.9803543953965703
279,lifted,3.9620057143442624
280,send,3.943768576115116
281,raced,3.943768576115116
282,whoa,3.9076235605665923
283,center,3.9076235605665923
284,candy,3.9076235605665923
285,schedule,3.871908853047637
286,friendly,3.871908853047637
287,heads,3.8542096866660724
288,boxes,3.8191215673764987
289,embarrassed,3.7844391001732705
