,term,score
0,anna,313.23754609808117
1,kristy,177.40035972217242
2,booth,160.41274139145662
3,melody,73.86997741181398
4,claudia,71.28456454821833
5,mary,65.38265702352693
6,mal,61.85017188572036
7,bsc,59.341393475112376
8,abby,57.7018278124402
9,hannie,53.88894377343103
10,marilyn,51.310245916654786
11,carolyn,49.41525004628627
12,linny,40.71811624513132
13,shannon,37.54251423935681
14,box,32.48990758712904
15,karen,28.804300180655062
16,twins,28.19213809606701
17,bill,26.41184447971716
18,train,25.004172122488818
19,jessi,24.754547668465516
20,music,24.29855741262289
21,art,23.671833665503662
22,bus,22.399897292060942
23,claire,18.74782888002952
24,david,18.692185139610498
25,cars,18.362230452606383
26,stacey,18.08712831820465
27,ms,17.74671091995578
28,michael,16.355661997159185
29,soccer,16.013555131805504
30,cream,14.867938767572596
31,byron,14.647079416710252
32,cake,14.364497487904119
33,ride,13.894137724408802
34,soda,13.704256793892371
35,homework,13.44241764807106
36,brewer,13.381811434150396
37,pictures,13.145895253717052
38,boxes,12.730405224588328
39,camera,12.156515067599083
40,member,12.126565059708764
41,station,11.946250512920649
42,arnold,11.938309202573834
43,helped,11.651671169191468
44,gets,11.630396272445044
45,paint,11.605773597570282
46,round,11.332709546614614
47,although,11.22217632724249
48,emily,11.19946740028611
49,pieces,11.173235827408076
50,margo,11.120776623038804
51,smell,11.016879058824314
52,cat,10.863519729962553
53,picture,10.82996919570968
54,explained,10.592428335628608
55,dinner,10.545589842504343
56,joke,10.516716202973642
57,island,10.320327800879218
58,grin,10.230971542157008
59,adam,10.20383258308665
60,cookies,10.058498642947646
61,pleased,9.963259078557195
62,wonder,9.8777251812049
63,animals,9.84846903696454
64,color,9.820625187056605
65,junk,9.79034585406225
66,vanessa,9.730679545158953
67,immediately,9.644793933306401
68,team,9.644793933306401
69,brown,9.533185502065747
70,dining,9.318003292900222
71,practice,9.287493589258665
72,million,9.287493589258665
73,triplets,9.075997139083189
74,names,8.977741061793992
75,excellent,8.87335545997789
76,famous,8.830650653364707
77,grandmother,8.819320043424556
78,sick,8.819320043424556
79,papadakis,8.804109176384717
80,pikes,8.746142214074272
81,jordan,8.746142214074272
82,york,8.741270643861638
83,surprise,8.6256059784598
84,notebook,8.587419748438537
85,air,8.549414926369755
86,sign,8.549414926369755
87,practically,8.436471874003475
88,nicky,8.379926870556057
89,michelle,8.185735163543866
90,above,8.147639797471914
91,sheet,8.082569772695148
92,moving,8.068737881462704
93,settled,8.032748084959774
94,buy,8.032748084959774
95,watson,7.996942380292381
96,lucky,7.961318893740082
97,forgotten,7.961318893740082
98,join,7.9258757800442545
99,drew,7.890611221834554
100,glasses,7.890611221834554
101,pen,7.765002744083517
102,throw,7.743817706095274
103,entered,7.743817706095274
104,sitter,7.6147134420484175
105,often,7.6147134420484175
106,crowd,7.6034604286470415
107,forward,7.51399227988372
108,page,7.466406570575406
109,pay,7.447641072201915
110,class,7.447641072201915
111,sitters,7.447641072201915
112,ears,7.432508693881204
113,tape,7.430305330707972
114,amazing,7.398895160589185
115,notes,7.358875544470589
116,cold,7.332227808038761
117,dog,7.299169873172944
118,bent,7.288451845061893
119,laughter,7.253608498481427
120,office,7.2010750451637655
121,lights,7.1846418878197476
122,murmured,7.150512062467747
123,emergency,7.116613627540854
124,basement,7.104576400523653
125,calm,7.072727905275862
126,date,7.072727905275862
127,tea,7.028383620640875
128,kinds,7.016275812286807
129,charlie,6.947068862204401
130,neck,6.9179119842932835
131,single,6.885212644251235
132,groaned,6.821445969619888
133,lips,6.789699831226596
134,empty,6.763381047286761
135,dollars,6.737346203511162
136,chocolate,6.6956531714391145
137,neither,6.673603811226487
138,managed,6.673603811226487
139,carefully,6.673603811226487
140,afraid,6.643974121382992
141,burst,6.643974121382992
142,frowned,6.633923992327617
143,edge,6.633923992327617
144,leaned,6.614490032568417
145,starting,6.614490032568417
146,evening,6.614490032568417
147,backpack,6.5994014992264844
148,jobs,6.585150120803267
149,ideas,6.585150120803267
150,ice,6.572947626858526
151,record,6.555952982896228
152,tears,6.526897236041501
153,french,6.4989778147021795
154,closed,6.497981517425807
155,favorite,6.497981517425807
156,eye,6.497981517425807
157,california,6.497981517425807
158,gasped,6.4828550993451355
159,happily,6.453181421746061
160,krushers,6.401013734668996
161,worked,6.383692347601641
162,bet,6.3554570013771645
163,stick,6.336217023872535
164,headed,6.327353905502607
165,calling,6.327353905502607
166,families,6.307398500288785
167,ground,6.278745126743859
168,careful,6.278745126743859
169,bottle,6.242890379642455
170,sam,6.193757244901004
171,pushed,5.920465182211684
172,bought,5.893939921063218
173,logan,5.841307856128281
174,written,5.815198136222522
175,accident,5.802886798785141
176,exclaimed,5.763384201044789
177,fancy,5.747713510255798
178,hurried,5.747713510255798
179,nose,5.737677203542696
180,pair,5.6613398428887525
181,however,5.586617913704038
182,pike,5.586150456066051
183,radio,5.537472062306709
184,wondered,5.536645101152493
185,became,5.536645101152493
186,slow,5.534329587434627
187,plenty,5.512075027140347
188,eating,5.512075027140347
189,grinned,5.512075027140347
190,joined,5.512075027140347
191,rolled,5.463294152413524
192,less,5.463294152413524
193,familiar,5.4571567756959105
194,nine,5.4390810300345835
195,announced,5.4390810300345835
196,guy,5.41498459785484
197,children,5.41498459785484
198,game,5.3910037365373755
199,picnic,5.386686557964045
200,putting,5.343384328981097
201,admit,5.343384328981097
202,jewelry,5.331754656159607
203,younger,5.319743623001367
204,skin,5.307139193862094
205,comes,5.296214167814304
206,town,5.296214167814304
207,street,5.296214167814304
208,lifted,5.28267428579235
209,taken,5.272794921252172
210,birthday,5.215211316444199
211,pizza,5.186284079476108
212,space,5.162545137396849
213,aside,5.068973619098028
214,puppy,5.000834424497764
215,ways,4.955005795920803
