,term,score
0,thanksgiving,361.3722831692439
1,abby,173.1054834373206
2,kristy,123.96651643236144
3,betsy,113.44433008971082
4,stacey,91.49959031562352
5,mary,82.25560077153388
6,jake,78.14271081571536
7,ms,75.42352140981207
8,jessi,73.0848550211839
9,mal,54.71361359121416
10,erica,46.87047199901935
11,bsc,43.597758471511135
12,stage,43.206842709015724
13,third,36.379695179126294
14,class,35.11030791180902
15,squirt,29.653729303301663
16,aunt,27.829450891749477
17,anna,27.514108778885507
18,janine,26.523183316592604
19,watson,26.27566782096068
20,carolyn,24.707625023143134
21,takes,24.57906200669062
22,rehearsal,23.951833085371366
23,sms,22.068870779391723
24,kuhn,21.853244361266796
25,charlotte,21.52826307360281
26,logan,21.02870828206181
27,uncle,20.38508364598404
28,halloween,20.215329564389837
29,claudia,20.215025767405194
30,becca,20.21321759592396
31,dinner,20.036620700758252
32,library,19.60244147597104
33,children,19.493944552277423
34,teachers,18.949974797160923
35,audience,18.45824020768903
36,costume,17.376318057783415
37,sam,17.34252028572281
38,brewer,17.031396370736868
39,york,16.38988245724057
40,charlie,16.2098273451436
41,nannie,16.189526197835296
42,american,16.10376883674261
43,claire,16.069567611453873
44,arnold,15.91774560343178
45,monday,15.818384763756516
46,favorite,15.16195687399355
47,sitters,14.89528214440383
48,picture,14.078959954422583
49,vanessa,13.900970778798506
50,teacher,13.503359632202832
51,marilyn,13.38528154347516
52,buddy,13.198802998452969
53,painting,13.131292049286053
54,brothers,12.995963034851615
55,cookies,12.932355398075545
56,michael,12.850877283482218
57,david,12.850877283482218
58,explained,12.710914002754329
59,emily,12.443852666984567
60,pike,12.28953100334531
61,truth,12.275781483820756
62,students,11.790355856144533
63,triplets,11.669139178821244
64,classes,11.61572655914291
65,lines,11.034435389695862
66,coffee,11.016879058824314
67,michelle,10.914313551391821
68,shannon,10.899439617877784
69,announced,10.878162060069167
70,dining,10.871003841716925
71,including,10.65683732798103
72,brown,10.592428335628608
73,pizza,10.372568158952216
74,seats,10.302425762258824
75,yellow,10.277892497776193
76,list,10.190411717199755
77,soccer,10.00847195737844
78,grinned,9.921735048852625
79,grandmother,9.921735048852625
80,bell,9.910011591841606
81,nicky,9.776581348982067
82,surprise,9.703806725767276
83,sheet,9.699083727234177
84,forward,9.660847216993353
85,history,9.550024357467844
86,angry,9.346092569805249
87,project,9.244680000136611
88,pass,9.244680000136611
89,settled,9.180283525668314
90,candy,9.117788307988715
91,peaches,9.058012852830391
92,mallory,8.977741061793992
93,although,8.977741061793992
94,managed,8.898138414968649
95,notes,8.830650653364707
96,jobs,8.780200161071022
97,pikes,8.746142214074272
98,paint,8.704330198177711
99,quite,8.702529648055334
100,energy,8.662807541110269
101,air,8.549414926369755
102,apartment,8.52030223249558
103,ramsey,8.515698185368434
104,headed,8.436471874003475
105,rose,8.421682754388954
106,margo,8.340582467279102
107,van,8.255304690330776
108,shrieked,8.224073952136493
109,yup,8.224073952136493
110,fortunately,8.1652162824512
111,tree,8.147639797471914
112,signed,8.123722268377724
113,woman,8.1049136725718
114,simple,8.034783805726937
115,frowned,7.960708790793141
116,join,7.9258757800442545
117,names,7.855523429069743
118,math,7.855523429069743
119,parade,7.841617528505898
120,named,7.82061063849247
121,mimi,7.818507522470808
122,wednesday,7.785871113097568
123,wondered,7.751303141613491
124,burst,7.751303141613491
125,member,7.7169050379964865
126,paused,7.708419373332145
127,sitter,7.6147134420484175
128,sign,7.480738060573535
129,thomas,7.447641072201915
130,subject,7.432508693881204
131,news,7.414699834940025
132,byron,7.323539708355126
133,robert,7.294652858124035
134,adam,7.288451845061893
135,faces,7.2335954499798
136,fight,7.2010750451637655
137,hurried,7.1846418878197476
138,barrett,7.1432240441706
139,crying,7.072727905275862
140,visit,6.947068862204401
141,clear,6.947068862204401
142,milk,6.9179119842932835
143,jeans,6.885212644251235
144,island,6.880218533919479
145,letters,6.821445969619888
146,ha,6.772588722239782
147,major,6.758153985260272
148,writing,6.733305796345494
149,lived,6.70338054727926
150,charge,6.70338054727926
151,ben,6.69264077173758
152,became,6.643974121382992
153,joke,6.572947626858526
154,handed,6.555952982896228
155,seat,6.555952982896228
156,ghost,6.53217302596096
157,often,6.526897236041501
158,plate,6.453181421746061
159,notebook,6.440564811328903
160,cleared,6.423682811110121
161,admit,6.412061194777316
162,tomorrow,6.412061194777316
163,changed,6.383692347601641
164,excited,6.383692347601641
165,wore,6.365202612294164
166,awesome,6.337012369283231
167,folded,6.336217023872535
168,taken,6.327353905502607
169,clock,6.327353905502607
170,families,6.307398500288785
171,plans,6.250255021170671
172,breakfast,6.250255021170671
173,sweet,6.250255021170671
174,amazing,6.165745967157655
175,homework,6.110189840032301
176,snow,6.078257533799541
177,taylor,6.041447256024099
178,throat,6.027996208316501
179,study,6.002216293776644
180,orange,5.915570306651927
181,row,5.8588317666841006
182,loud,5.841307856128281
183,bent,5.830761476049514
184,written,5.815198136222522
185,speaking,5.789224051837001
186,english,5.747713510255798
187,nose,5.737677203542696
188,movie,5.737677203542696
189,single,5.737677203542696
190,dress,5.737677203542696
191,chairs,5.720409649974198
192,card,5.693290902032683
193,clean,5.686656352671488
194,boo,5.66380651835709
195,totally,5.6613398428887525
196,extra,5.6613398428887525
197,art,5.636150872738968
198,dewitt,5.619234173256123
199,kinds,5.613020649829446
200,sisters,5.611088163621245
201,married,5.611088163621245
202,secret,5.586150456066051
203,christmas,5.568560423413349
204,afraid,5.536645101152493
205,slow,5.534329587434627
206,evening,5.512075027140347
207,raised,5.487625100669389
208,repeated,5.487625100669389
209,waved,5.463294152413524
210,groaned,5.4571567756959105
211,group,5.4390810300345835
212,junk,5.4390810300345835
213,desk,5.4390810300345835
214,checked,5.4390810300345835
215,movies,5.431759864981276
216,super,5.431759864981276
217,others,5.41498459785484
218,bag,5.41498459785484
219,putting,5.343384328981097
220,style,5.331754656159607
221,main,5.331754656159607
222,worked,5.319743623001367
223,liked,5.319743623001367
224,grabbed,5.319743623001367
225,younger,5.319743623001367
226,practice,5.307139193862094
227,comes,5.296214167814304
228,practically,5.272794921252172
229,kits,5.258358101486821
230,whoa,5.210164747422123
231,responsible,5.186284079476108
232,organized,5.138946248888097
233,locker,5.1061083839315735
234,sugar,5.022996101395087
235,anybody,5.022996101395087
236,spread,5.000204016936537
237,large,4.955005795920803
238,backpack,4.949551124419863
239,associate,4.932596773726123
240,low,4.932596773726123
241,ourselves,4.888151872025841
242,cold,4.888151872025841
243,stories,4.888151872025841
244,using,4.8661132487819625
245,welcome,4.8661132487819625
246,tuesday,4.8223969666532005
247,pushed,4.736372145769347
248,dogs,4.705514206058007
249,blonde,4.673046284902624
250,played,4.673046284902624
251,mentioned,4.631379241469601
252,ride,4.631379241469601
