,term,score
0,henry,323.3962767101656
1,christmas,178.19393354922715
2,kristy,133.58460822452741
3,vanessa,120.938445775547
4,uncle,110.07945168831382
5,jessi,96.66061470543679
6,claire,92.40001376585978
7,margo,87.57611590643059
8,abby,81.57844621758787
9,camera,72.9390904055945
10,nicky,72.6260328781525
11,claudia,63.83692347601641
12,stacey,59.58112857761532
13,mary,54.83706718102259
14,pow,53.978135348806774
15,adam,53.93454365345801
16,tree,47.527898818586166
17,byron,41.01182236678871
18,jordan,39.35763996333422
19,bsc,33.909367700064216
20,matt,28.893566416157718
21,triplets,27.227991417249566
22,haley,25.7124886561656
23,tv,25.021287951754545
24,mallory,24.68878791993348
25,pike,24.57906200669062
26,cecelia,24.165789024096394
27,chocolate,20.086959514317343
28,dewitt,19.66731960639643
29,party,19.24855546582176
30,man,18.248266965431892
31,snow,18.234772601398625
32,uh,18.16750671853573
33,aunt,17.5764953000523
34,bag,17.327950713135486
35,cookies,17.24314053076739
36,yelled,16.577302510192716
37,explained,15.888642503442911
38,dining,15.530005488167035
39,huh,14.865017387762409
40,tape,14.860610661415944
41,shopping,14.730436977166052
42,contest,14.628611612901686
43,shot,14.082131125341595
44,shouted,14.016609714997175
45,eight,13.709266795255648
46,sisters,13.466611592690988
47,brothers,12.995963034851615
48,sang,12.870921712441946
49,helped,12.710914002754329
50,downstairs,12.566623740459455
51,secret,12.28953100334531
52,robert,12.157754763540058
53,announced,11.965978266076084
54,window,11.807702154102987
55,dollars,11.790355856144533
56,sitters,11.703435970603008
57,pikes,11.661522952099029
58,street,11.651671169191468
59,singing,11.605773597570282
60,buy,11.475354407085392
61,mall,11.373211175728814
62,carolyn,11.230738646883243
63,marilyn,11.154401286229302
64,anna,10.58234953034058
65,screamed,10.555160794753636
66,continued,10.545589842504343
67,logan,10.514354141030905
68,van,10.31913086291347
69,hot,10.235981434808677
70,arnold,9.948591002144862
71,hallway,9.776581348982067
72,box,9.746972276138711
73,coffee,9.639769176471274
74,clock,9.49103085825391
75,mood,8.952100099387382
76,boxes,8.911283657211829
77,led,8.898138414968649
78,video,8.832873245573813
79,shop,8.830650653364707
80,insisted,8.830357900404298
81,plastic,8.830357900404298
82,guy,8.663975356567743
83,mumbled,8.539936353049026
84,dog,8.515698185368434
85,store,8.4391946916431
86,bowl,8.379926870556057
87,company,8.363518278913592
88,milk,8.30149438115194
89,song,8.262659294118235
90,roll,8.224073952136493
91,kuhn,8.194966635475048
92,played,8.177830998579593
93,signed,8.123722268377724
94,ew,8.082569772695148
95,exclaimed,8.068737881462704
96,crowded,8.034783805726937
97,writing,7.855523429069743
98,staring,7.82061063849247
99,sense,7.751303141613491
100,entered,7.743817706095274
101,braddock,7.7275945181605845
