,term,score
0,josh,170.77430071582347
1,kristy,157.09549927204424
2,sharon,103.47579435719908
3,sunny,81.68029560013014
4,dr,68.44019191839807
5,logan,67.75917113108805
6,garden,62.40929570045827
7,abby,57.7018278124402
8,claudia,57.453231128414764
9,stacey,50.00559005621285
10,students,47.16142342457813
11,stephie,46.45641464129673
12,letter,38.082406483446654
13,class,37.23820536100957
14,christmas,29.698988924871195
15,project,27.734040000409838
16,office,26.40394183226714
17,dewitt,25.286553779652554
18,sms,25.221566605019113
19,jessi,23.575759684252873
20,filled,20.94588510313332
21,driving,20.851456168197757
22,english,20.11699728589529
23,carol,18.948740527975847
24,alan,18.927421971623776
25,tears,18.492875502117585
26,claud,18.002687612909412
27,mallory,17.955482123587984
28,mary,17.927502732257384
29,accident,17.408660396355423
30,several,17.13630510062653
31,flowers,16.832044581555852
32,ideas,16.462875302008165
33,desk,16.31724309010375
34,hit,16.31724309010375
35,tree,16.29527959494383
36,tigger,16.165139545390296
37,cookies,15.806212153203443
38,murmured,15.731126537429045
39,gasped,15.558852238428324
40,california,15.16195687399355
41,sad,14.917960729211009
42,sitters,14.89528214440383
43,doctor,14.860610661415944
44,news,14.82939966988005
45,brown,14.82939966988005
46,bsc,14.532586157170378
47,group,14.141610678089918
48,clock,13.709266795255648
49,locker,13.61628902381753
50,chocolate,13.391306342878229
51,wonderful,13.170300241606533
52,classes,12.906362843492122
53,continued,12.654707811005213
54,entire,12.566623740459455
55,list,12.454947654355257
56,bell,12.387514489802008
57,stared,12.34439395996674
58,teacher,12.275781483820756
59,spot,12.165283121954907
60,starting,12.126565059708764
61,favorite,11.912966115280646
62,box,11.912966115280646
63,student,11.886017143032788
64,wrote,11.526768402089578
65,nose,11.475354407085392
66,vacation,11.43130279543168
67,radio,11.074944124613419
68,raised,10.975250201338778
69,boys,10.975250201338778
70,less,10.926588304827048
71,letters,10.914313551391821
72,picture,10.82996919570968
73,man,10.73427468554817
74,sweater,10.606821545836995
75,explained,10.592428335628608
76,dinner,10.545589842504343
77,empty,10.145071570930142
78,loved,10.091837600462055
79,age,10.05507082091889
80,plans,10.000408033873073
81,emily,9.955082133587654
82,member,9.921735048852625
83,terrible,9.865193547452247
84,amazing,9.865193547452247
85,cold,9.776303744051681
86,beautiful,9.703806725767276
87,ahead,9.703806725767276
