,term,score
0,robert,230.9973405072611
1,adam,125.36137173506455
2,kristy,118.62313210338034
3,valentine,118.2614682003529
4,mary,108.61957537779475
5,logan,106.31180298153471
6,jessi,63.654551147482756
7,claudia,50.00559005621285
8,stacey,47.87769260701231
9,becca,38.982633934996215
10,snow,34.4434593581974
11,blood,30.603717421010643
12,abby,29.845773006434587
13,vanessa,27.80194155759701
14,bike,24.747755622099316
15,homework,24.440759360129203
16,bus,24.266555399732685
17,mallory,23.56657028720923
18,ring,23.365231424513123
19,dr,22.243062373479376
20,johanssen,20.595290200170503
21,mal,20.220248501100887
22,list,19.24855546582176
23,diabetes,17.489695392499968
24,kit,16.24744453675545
25,jacket,15.582475626595095
26,quint,15.422342567242996
27,fair,15.393209473750378
28,suppose,15.377330766859153
29,stairs,15.365350281874289
30,jobs,15.365350281874289
31,weekend,15.324243794764367
32,weeks,14.98479892271645
33,clock,14.763825779506082
34,bsc,14.532586157170378
35,game,14.016609714997175
36,charlotte,13.839597690173237
37,brown,13.77015683631719
38,sweet,13.750561046575475
39,doorbell,12.932355398075545
40,tonight,12.908620198229796
41,admitted,12.870921712441946
42,sugar,12.557490253487718
43,water,12.454947654355257
44,super,12.221459696207871
45,meetings,12.180619222535485
46,member,12.126565059708764
47,counter,12.122081766670851
48,sitter,11.965978266076084
49,haley,11.867302456691815
50,uh,11.755445523758413
51,dinner,11.600148826754777
52,hurried,11.495427020511595
53,folded,11.405190642970563
54,nicky,11.173235827408076
55,box,10.82996919570968
56,forward,10.73427468554817
57,finger,10.663509312319214
58,younger,10.639487246002734
59,road,10.452969198805569
60,doctor,10.40242746299116
61,beside,10.372568158952216
62,mood,10.230971542157008
63,usual,10.05507082091889
64,pike,10.05507082091889
65,low,9.865193547452247
66,checked,9.79034585406225
67,mcgill,9.746972276138711
68,margo,9.730679545158953
69,tomorrow,9.618091792165973
70,sitters,9.57553852140246
71,barely,9.57553852140246
72,test,9.411028412116014
73,wall,9.221414721671662
74,driveway,9.202126677601937
75,send,9.202126677601937
76,gasped,9.075997139083189
77,yard,9.034453990444486
78,plans,8.75035702963894
79,birthday,8.692018860740331
80,large,8.671260142861405
81,bag,8.663975356567743
82,california,8.663975356567743
83,bottom,8.55426577604522
84,cold,8.55426577604522
85,card,8.539936353049026
86,explained,8.473942668502886
87,eight,8.436471874003475
88,monday,8.436471874003475
89,continued,8.436471874003475
90,rose,8.421682754388954
91,cards,8.334724040829606
92,carrot,8.255304690330776
93,angry,8.177830998579593
94,claire,8.034783805726937
95,buy,8.032748084959774
96,downstairs,7.996942380292381
97,summer,7.960708790793141
98,reminded,7.890611221834554
99,math,7.855523429069743
100,sick,7.7169050379964865
101,filled,7.7169050379964865
102,feelings,7.673228656617756
103,apple,7.650929355252661
104,cry,7.648611813378933
105,handed,7.648611813378933
106,lately,7.638243134752997
