,term,score
0,anna,182.01641192185798
1,ms,118.31140613303853
2,bat,106.17413596301401
3,mary,95.96486756678952
4,test,92.54177938580746
5,claudia,78.73220562042023
6,study,72.02659552531972
7,kristy,67.32664254516182
8,jenny,65.13333223740517
9,abby,45.76351860986637
10,soccer,44.037276612465135
11,marilyn,42.38672488767134
12,haley,41.53555859842135
13,math,41.522052410797215
14,stacey,40.43005153481039
15,bsc,39.96461193221854
16,matt,37.14887110648849
17,jessi,35.36363952637931
18,uncle,34.65464219817287
19,carolyn,31.44606821127308
20,clue,31.204647850229136
21,mal,30.92508594286018
22,vanessa,27.80194155759701
23,jackie,22.018638306232567
24,class,20.215025767405194
25,students,20.212038610533487
26,cake,19.751184045868165
27,aunt,19.041203241723327
28,claire,18.74782888002952
29,twins,18.24197170921983
30,library,18.094561362434806
31,arnold,17.90746380386075
32,mallory,16.833264490863733
33,train,16.669448081659212
34,become,16.173011209612127
35,forward,16.101412028322255
36,chocolate,16.069567611453873
37,brown,14.82939966988005
38,signed,14.622700083079904
39,although,14.588829225415237
40,sheet,14.548625590851266
41,karen,14.402150090327531
42,guy,14.078959954422583
43,margo,13.900970778798506
44,island,13.760437067838957
45,locker,13.61628902381753
46,andrea,13.504050246195451
47,practice,13.267847984655234
48,bought,12.96666782633908
49,david,12.850877283482218
50,taken,12.654707811005213
51,nicky,12.569890305834086
52,truth,12.275781483820756
53,homework,12.220379680064601
54,desk,11.965978266076084
55,mystery,11.729220096363251
56,sitters,11.703435970603008
57,mine,11.651671169191468
58,folded,11.405190642970563
59,audience,11.074944124613419
60,daughter,11.068659174869254
61,joined,11.024150054280694
62,grandmother,11.024150054280694
63,lessons,10.555160794753636
64,monday,10.545589842504343
65,question,10.545589842504343
66,practically,10.545589842504343
67,played,10.514354141030905
68,notes,10.302425762258824
69,music,10.230971542157008
70,pack,10.10660879796198
71,pike,10.05507082091889
72,jobs,9.8777251812049
73,known,9.8777251812049
74,teacher,9.820625187056605
75,shea,9.800972342880655
76,shannon,9.688390771446919
77,braddock,9.659493147700731
78,luck,9.644793933306401
79,stage,9.601520602003493
80,liked,9.57553852140246
81,history,9.550024357467844
82,boo,9.43967753059515
83,hannie,9.371990221466266
84,visit,9.262758482939201
85,jeans,9.180283525668314
86,sweater,9.091561325003138
87,triplets,9.075997139083189
88,pizza,9.075997139083189
89,party,9.058143748622005
90,missed,8.977741061793992
91,excellent,8.87335545997789
92,numbers,8.870703833421548
93,prezzioso,8.745713978700106
94,handed,8.741270643861638
95,less,8.741270643861638
96,becca,8.662807541110269
97,amazing,8.632044354020715
98,shouted,8.6256059784598
99,younger,8.511589796802188
100,dinner,8.436471874003475
101,weekend,8.251515889488505
102,listening,8.251515889488505
103,familiar,8.185735163543866
104,garage,8.082569772695148
105,taylor,8.055263008032131
106,archie,8.048596142966751
107,bedroom,8.032748084959774
108,rules,7.924011428688525
109,gotten,7.82061063849247
110,listened,7.785871113097568
111,classes,7.743817706095274
