,term,score
0,peaches,377.41720220126626
1,marilyn,147.23809697822676
2,carolyn,134.76886376259893
3,abby,127.34196482745423
4,kristy,76.94473433732779
5,mary,72.76456991327997
6,stacey,64.90087220061667
7,claudia,62.772974751416136
8,janine,60.279962083165
9,logan,59.58134013250846
10,ms,51.76124018320436
11,museum,44.19761830395351
12,mimi,43.00179137358945
13,bus,35.46650404576315
14,twins,28.19213809606701
15,camera,22.286944290598317
16,street,22.244099504820078
17,hospital,21.52826307360281
18,trip,19.289587866612802
19,huh,18.581271734703012
20,light,18.248266965431892
21,art,18.035682792764696
22,sleeping,16.99871443678248
23,alan,16.8243750858878
24,machine,16.66786242917242
25,jessi,15.324243794764367
26,seat,15.297223626757866
27,desk,15.229426884096835
28,coffee,15.148208705883432
29,movie,14.917960729211009
30,clock,14.763825779506082
31,bsc,14.532586157170378
32,window,13.954557091212623
33,plastic,13.876276700635326
34,sleep,13.832122082507492
35,tv,13.64797524641157
36,burst,13.287948242765983
37,aunt,13.182371475039226
38,upstairs,13.111905965792456
39,weekend,12.96666782633908
40,uh,12.824122389554631
41,bag,11.912966115280646
42,grabbed,11.703435970603008
43,downstairs,11.424203400417687
44,betsy,11.344433008971082
45,restaurant,10.925058164374297
46,kishi,10.82996919570968
47,beach,10.542575430961314
48,scary,10.155051897873998
49,mallory,10.099958694518241
50,breakfast,10.000408033873073
51,backpack,9.899102248839727
52,teacher,9.820625187056605
53,sitter,9.79034585406225
54,sigh,9.776303744051681
55,field,9.699083727234177
56,grace,9.580733234148546
57,explained,9.533185502065747
58,eight,9.49103085825391
59,dinner,9.49103085825391
60,spotted,9.37391444001476
61,lifted,9.244680000136611
62,awhile,9.221414721671662
63,raced,9.202126677601937
64,bedroom,9.180283525668314
65,rain,9.076824066420972
66,screamed,9.047280681217403
67,green,8.93784072970568
68,ben,8.92352102898344
69,asleep,8.911283657211829
70,became,8.858632161843989
71,video,8.832873245573813
72,regular,8.780200161071022
73,jobs,8.780200161071022
74,teachers,8.746142214074272
75,york,8.741270643861638
76,smart,8.671260142861405
77,guy,8.663975356567743
78,closet,8.515698185368434
79,thomas,8.511589796802188
80,brown,8.473942668502886
81,anna,8.465879624272464
82,bought,8.251515889488505
