,term,score
0,jeff,204.3939890817331
1,mary,142.36546287380864
2,kristy,130.37857762713875
3,abby,125.35224662702527
4,claudia,102.13907756162625
5,stacey,98.94723138782543
6,richard,91.52703721973273
7,jessi,90.76667478437356
8,adam,84.54604140271796
9,andrea,84.40031403872158
10,jenny,72.11190354855573
11,byron,70.3059812002092
12,mallory,61.721969799833694
13,sunny,51.67528905314356
14,haley,43.51344234120332
15,bsc,42.38670962508027
16,carol,37.897481055951694
17,jordan,36.44225922530946
18,sitters,30.85451301340793
19,summer,29.189265566241517
20,sms,26.797914517832808
21,trip,22.906385591602703
22,list,22.64535937155501
23,uh,22.442214181720605
24,logan,21.02870828206181
25,california,19.493944552277423
26,claire,18.74782888002952
27,jobs,18.657925342275924
28,mal,17.841395736265486
29,hundred,17.580486354882805
30,sign,17.09882985273951
31,linny,16.766283159759958
32,matt,16.510609380661553
33,sitter,16.31724309010375
34,triplets,15.558852238428324
35,bag,15.16195687399355
36,dollars,15.159028957900116
37,huh,14.865017387762409
38,crying,14.145455810551724
39,maggie,14.048085433140308
40,shouted,12.9384089676897
41,bedroom,12.622889847793932
42,nicky,12.569890305834086
43,window,11.807702154102987
44,shot,11.735109271117995
45,eight,11.600148826754777
46,twenty,11.526768402089578
47,sweet,11.250459038107207
48,breakfast,11.250459038107207
49,dewitt,11.238468346512246
50,juice,11.226041299658892
51,pike,11.172300912132101
52,vanessa,11.120776623038804
53,charlotte,10.764131536801406
54,camp,10.515234428679875
55,jill,9.855122350029408
56,handed,9.833929474344343
57,announced,9.79034585406225
58,signed,9.74846672205327
59,welcome,9.732226497563925
60,margo,9.730679545158953
61,game,9.703806725767276
62,deal,9.703806725767276
63,field,9.699083727234177
64,braddock,9.659493147700731
65,team,9.644793933306401
66,shrugged,9.618091792165973
67,clients,9.601433393551687
68,pay,9.57553852140246
69,clock,9.49103085825391
70,mirror,9.244680000136611
71,weeks,9.221414721671662
72,joke,9.202126677601937
73,wednesday,8.898138414968649
74,meetings,8.858632161843989
75,burst,8.858632161843989
76,insisted,8.830357900404298
77,tea,8.785479525801094
78,raised,8.780200161071022
79,boys,8.780200161071022
80,regular,8.780200161071022
81,prezzioso,8.745713978700106
82,york,8.741270643861638
83,nine,8.702529648055334
84,junk,8.702529648055334
85,group,8.702529648055334
86,jake,8.682523423968373
87,becca,8.662807541110269
88,cold,8.55426577604522
89,explained,8.473942668502886
90,faces,8.4391946916431
91,monday,8.436471874003475
92,students,8.421682754388954
93,baseball,8.379926870556057
94,sun,8.30149438115194
95,yelled,8.288651255096358
96,bought,8.251515889488505
97,mall,8.123722268377724
98,ew,8.082569772695148
99,glance,8.034783805726937
100,buy,8.032748084959774
101,gym,8.001267168336245
102,finger,7.99763198423941
103,grew,7.996942380292381
104,himself,7.9258757800442545
105,driveway,7.887537152230232
106,sense,7.751303141613491
107,plastic,7.568878200346541
108,become,7.547405231152325
109,boyfriend,7.51399227988372
110,chips,7.502770367220805
111,news,7.414699834940025
112,continued,7.381912889753041
113,stupid,7.365468890292453
114,truth,7.365468890292453
115,robert,7.294652858124035
116,dream,7.288451845061893
117,shannon,7.266293078585189
118,laughter,7.253608498481427
119,fair,7.10455821865402
120,beach,7.028383620640875
121,den,6.916748468172569
122,wall,6.916061041253746
123,decision,6.885549411765196
124,lucky,6.823987623205785
125,groaned,6.821445969619888
126,gorgeous,6.821445969619888
127,thirteen,6.7936078114665035
128,totally,6.7936078114665035
129,ha,6.772588722239782
130,art,6.763381047286761
131,giggling,6.758153985260272
132,missed,6.733305796345494
133,named,6.70338054727926
134,connecticut,6.70338054727926
135,managed,6.673603811226487
136,lifted,6.603342857240437
137,leaving,6.585150120803267
138,tears,6.526897236041501
139,threw,6.526897236041501
140,paid,6.512705934277654
141,candy,6.512705934277654
142,box,6.497981517425807
143,mark,6.431606640768692
144,muttered,6.39435721384813
145,sighed,6.383692347601641
146,warm,6.365202612294164
147,brown,6.3554570013771645
148,street,6.3554570013771645
149,anna,6.349409718204348
150,headed,6.327353905502607
151,alan,6.309140657207926
152,somewhere,6.193757244901004
153,sleeping,6.1813507042845375
154,babies,6.1813507042845375
155,receiver,6.150932306743661
156,dues,6.137890741910378
157,flowers,6.120743484202128
158,ourselves,6.110189840032301
159,closet,6.082641560977454
160,fit,6.055244232154324
161,charges,6.002216293776644
162,lawn,5.9731252564603246
163,helping,5.947131912088496
164,fifteen,5.920465182211684
165,handle,5.893939921063218
166,mention,5.867554635558998
167,mimi,5.863880641853106
168,pikes,5.830761476049514
169,covered,5.815198136222522
170,makeup,5.747713510255798
171,cookies,5.747713510255798
172,nose,5.737677203542696
173,body,5.737677203542696
174,sang,5.720409649974198
175,murmured,5.720409649974198
176,downstairs,5.7121017002088434
177,schafer,5.686656352671488
178,empty,5.636150872738968
179,reminded,5.636150872738968
180,member,5.512075027140347
181,evening,5.512075027140347
182,grinned,5.512075027140347
183,stairs,5.487625100669389
184,wedding,5.476245447413088
185,kuhn,5.463311090316699
186,seat,5.463294152413524
187,rushed,5.4571567756959105
188,hate,5.4390810300345835
189,earth,5.431759864981276
190,tree,5.431759864981276
191,kishi,5.41498459785484
192,listen,5.41498459785484
193,ahead,5.3910037365373755
194,beautiful,5.3910037365373755
195,picnic,5.386686557964045
196,barrett,5.357418033127949
197,pocket,5.3565225371512915
198,basement,5.328432300392739
199,worked,5.319743623001367
200,thomas,5.319743623001367
201,town,5.296214167814304
202,pass,5.28267428579235
203,ones,5.272794921252172
204,john,5.215211316444199
205,boring,5.210164747422123
206,sunday,5.186284079476108
207,organized,5.138946248888097
208,asleep,5.092162089835331
209,disappeared,5.045918800231028
210,ground,5.022996101395087
211,train,5.000834424497764
212,cards,5.000834424497764
213,excuse,5.000204016936537
214,ears,4.955005795920803
215,ways,4.955005795920803
216,painting,4.92423451848227
217,fortunately,4.89912976947072
218,vacation,4.89912976947072
