,term,score
0,robert,461.9946810145222
1,abby,264.6325206570533
2,claudia,174.48759083444486
3,ethan,141.25675368375485
4,henry,126.44064954081661
5,kristy,105.79900971382571
6,grace,83.83141579879978
7,mary,78.03736483453214
8,pete,62.36085064767232
9,mallory,54.9886640034882
10,stacey,52.1334875054134
11,marnie,49.7563421500775
12,jessi,41.257579447442524
13,anna,40.212928215294205
14,apartment,34.08120892998232
15,museum,30.240475681652406
16,president,29.633175543614698
17,barn,27.69037239894757
18,bsc,23.009928082186434
19,dewitt,19.66731960639643
20,train,18.336392889825134
21,lindsey,18.319435015714873
22,guy,17.327950713135486
23,hang,17.290152603134366
24,shea,17.151701600041147
25,suppose,16.915063843545067
26,flowers,16.832044581555852
27,buddy,16.498503748066213
28,emily,16.177008467079936
29,paint,15.957938696659138
30,game,15.09481046230465
31,shouted,15.09481046230465
32,movie,14.917960729211009
33,vanessa,13.900970778798506
34,margo,13.900970778798506
35,station,13.43953182703573
36,wondered,13.287948242765983
37,painting,13.131292049286053
38,becca,12.994211311665405
39,bought,12.96666782633908
40,logan,12.850877283482218
41,expression,12.510873700918655
42,art,12.399531920025728
43,alex,12.353321956388328
44,dues,12.275781483820756
45,movies,12.221459696207871
46,claire,12.052175708590406
47,summer,11.94106318618971
48,liked,11.703435970603008
49,pay,11.703435970603008
50,worked,11.703435970603008
51,laughter,11.605773597570282
52,wore,11.457364702129496
53,somehow,11.22217632724249
54,york,10.926588304827048
55,shannon,10.899439617877784
56,tears,10.878162060069167
57,treasurer,10.704837441759292
58,younger,10.639487246002734
59,camp,10.515234428679875
60,earrings,10.252955591697177
61,park,10.158883083359672
62,although,10.099958694518241
63,taylor,10.069078760040163
64,somewhere,9.910011591841606
65,jobs,9.8777251812049
66,mall,9.74846672205327
67,california,9.746972276138711
68,street,9.533185502065747
69,nearly,9.388087416894397
70,wild,9.304317017956034
71,doorway,9.287493589258665
72,project,9.244680000136611
73,board,9.181115226303191
74,several,9.13936272033415
75,seeing,9.09865016427438
76,entered,9.034453990444486
77,lunch,8.93784072970568
78,charge,8.93784072970568
79,warm,8.911283657211829
80,sense,8.858632161843989
81,insisted,8.830357900404298
82,plans,8.75035702963894
83,drawing,8.746142214074272
84,suzi,8.745713978700106
85,waved,8.741270643861638
86,group,8.702529648055334
87,bag,8.663975356567743
88,deal,8.6256059784598
89,definitely,8.587419748438537
90,tomorrow,8.549414926369755
91,supplies,8.539936353049026
92,closet,8.515698185368434
93,waving,8.49953215996096
94,games,8.477341925016054
95,brown,8.473942668502886
96,janine,8.4391946916431
97,clients,8.401254219357726
98,wide,8.401254219357726
99,baseball,8.379926870556057
100,shouldn,8.288651255096358
101,couch,8.262659294118235
102,bike,8.249251874033106
103,building,8.224073952136493
104,gorgeous,8.185735163543866
105,played,8.177830998579593
106,hugged,8.147639797471914
107,ride,8.1049136725718
108,archie,8.048596142966751
109,bedroom,8.032748084959774
110,buy,8.032748084959774
111,main,7.99763198423941
112,totally,7.9258757800442545
113,water,7.9258757800442545
114,young,7.890611221834554
115,staring,7.82061063849247
116,lived,7.82061063849247
117,gasped,7.779426119214162
118,upset,7.7169050379964865
119,pow,7.7111621926866825
120,leaving,7.682675140937144
121,music,7.673228656617756
122,less,7.648611813378933
123,boat,7.648001965093184
124,nine,7.6147134420484175
125,light,7.51399227988372
126,road,7.466406570575406
127,sitters,7.447641072201915
128,town,7.414699834940025
129,mine,7.414699834940025
130,amazing,7.398895160589185
131,luck,7.2335954499798
132,hurried,7.1846418878197476
133,shy,7.168729953354507
134,admitted,7.150512062467747
135,mal,7.1365582945061945
136,fifteen,7.10455821865402
137,planned,7.072727905275862
138,ring,7.009569427353936
139,cute,6.978237763467026
140,visit,6.947068862204401
141,mentioned,6.947068862204401
142,awhile,6.916061041253746
143,dress,6.885212644251235
144,watson,6.854522040250613
145,hanging,6.823987623205785
146,tough,6.821445969619888
147,history,6.821445969619888
148,super,6.789699831226596
149,dollars,6.737346203511162
150,ben,6.69264077173758
151,afraid,6.643974121382992
152,leaned,6.614490032568417
153,nervous,6.614490032568417
154,stayed,6.614490032568417
155,lifted,6.603342857240437
156,opening,6.603342857240437
157,vacation,6.53217302596096
158,threw,6.526897236041501
159,sitter,6.526897236041501
160,center,6.512705934277654
161,picture,6.497981517425807
162,waited,6.497981517425807
163,yesterday,6.453181421746061
164,man,6.440564811328903
165,window,6.440564811328903
166,imagine,6.412061194777316
167,air,6.412061194777316
168,putting,6.412061194777316
169,helped,6.3554570013771645
170,explained,6.3554570013771645
171,headed,6.327353905502607
172,eight,6.327353905502607
173,sms,6.305391651254778
174,purple,6.305391651254778
175,happening,6.221926333492283
176,van,6.191478517748083
177,terrible,6.165745967157655
178,charlotte,6.150932306743661
179,pink,6.137890741910378
180,color,6.137890741910378
181,pulling,6.082641560977454
182,hug,6.027996208316501
183,office,6.000895870969805
184,offered,6.000895870969805
185,company,5.973941627795423
186,greeted,5.9731252564603246
187,arnold,5.969154601286917
188,tape,5.944244264566377
189,fair,5.920465182211684
190,tonight,5.867554635558998
191,expected,5.841307856128281
192,quick,5.815198136222522
193,quietly,5.789224051837001
194,speaking,5.789224051837001
195,pack,5.775205027406846
196,wrote,5.763384201044789
197,interesting,5.763384201044789
198,exclaimed,5.763384201044789
199,ate,5.763384201044789
200,moving,5.763384201044789
201,lights,5.747713510255798
202,jeans,5.737677203542696
203,booth,5.729026478266308
204,heading,5.720409649974198
205,completely,5.7121017002088434
206,pair,5.6613398428887525
207,artist,5.613020649829446
208,missed,5.611088163621245
209,longer,5.611088163621245
210,writing,5.611088163621245
211,sisters,5.611088163621245
212,conversation,5.611088163621245
213,silly,5.611088163621245
214,pants,5.586617913704038
215,takes,5.586150456066051
216,wednesday,5.561336509355406
217,notice,5.536645101152493
218,official,5.534329587434627
219,member,5.512075027140347
220,sharon,5.446094439852583
221,hate,5.4390810300345835
222,announced,5.4390810300345835
223,checked,5.4390810300345835
224,wished,5.431759864981276
225,lips,5.431759864981276
226,earth,5.431759864981276
227,major,5.406523188208217
228,break,5.3910037365373755
229,rather,5.381444736153836
230,notebook,5.367137342774085
231,spoke,5.367137342774085
232,forward,5.367137342774085
233,spotted,5.3565225371512915
234,spend,5.343384328981097
235,style,5.331754656159607
236,director,5.331754656159607
237,tossed,5.331754656159607
238,sighed,5.319743623001367
239,flew,5.307139193862094
240,besides,5.296214167814304
241,stepped,5.296214167814304
242,rules,5.28267428579235
243,clock,5.272794921252172
244,certainly,5.186284079476108
245,triplets,5.186284079476108
246,friendly,5.162545137396849
247,tall,5.162545137396849
248,worst,5.138946248888097
249,mood,5.115485771078504
250,decide,5.092162089835331
251,crowd,5.068973619098028
252,climbed,5.000204016936537
253,officer,4.977541066793827
254,american,4.955005795920803
255,glass,4.932596773726123
256,lying,4.888151872025841
257,immediately,4.8223969666532005
258,claud,4.800716696775844
259,allowed,4.800716696775844
260,awesome,4.752759276962424
261,fingers,4.736372145769347
262,keeps,4.7151519368505745
263,crying,4.7151519368505745
264,tiny,4.7151519368505745
265,bear,4.705514206058007
266,pull,4.673046284902624
267,mansion,4.673046284902624
268,pen,4.659001646450111
269,covered,4.652158508978017
270,win,4.636013028213403
271,possible,4.610707360835831
272,junior,4.590141762834157
273,sad,4.590141762834157
274,single,4.590141762834157
275,shut,4.569681360167075
276,hot,4.54932508213719
277,rooms,4.523640340608702
278,reminded,4.508920698191174
279,wow,4.488870530896996
280,green,4.46892036485284
281,named,4.46892036485284
282,loves,4.4490692074843246
283,orange,4.436677729988945
284,newspaper,4.436677729988945
285,joined,4.409660021712278
286,evening,4.409660021712278
287,byron,4.394123825013075
288,lit,4.394123825013075
289,spier,4.390100080535511
290,regular,4.390100080535511
291,explain,4.390100080535511
292,its,4.390100080535511
293,ideas,4.390100080535511
294,repeated,4.390100080535511
295,adam,4.373071107037136
296,hiding,4.373071107037136
297,jordan,4.373071107037136
298,seat,4.370635321930819
299,drive,4.370635321930819
300,handed,4.370635321930819
301,eye,4.3319876782838715
302,favorite,4.3319876782838715
303,woke,4.331403770555134
304,piece,4.3128029892299
305,beautiful,4.3128029892299
306,likes,4.3128029892299
307,scene,4.310785132691848
308,boyfriend,4.293709874219268
309,dressed,4.293709874219268
310,sign,4.274707463184877
311,mumbled,4.269968176524513
312,changed,4.255794898401094
313,exciting,4.24976607998048
314,jacket,4.24976607998048
315,news,4.236971334251443
316,awful,4.2182359370017375
317,continued,4.2182359370017375
318,hallway,4.189963435278028
319,dying,4.189963435278028
320,nicky,4.189963435278028
321,pieces,4.189963435278028
322,concerned,4.170291233639551
323,slow,4.15074719057597
324,neck,4.15074719057597
325,matt,4.127652345165388
326,thrilled,4.092867581771933
327,letters,4.092867581771933
328,horrible,4.054892391156162
329,acting,4.054892391156162
330,diabetes,4.036083552115377
331,sounding,4.036083552115377
332,pocket,4.017391902863468
333,jackie,4.003388782951376
334,ball,3.998815992119705
335,jewelry,3.998815992119705
336,frowned,3.9803543953965703
337,officers,3.9803543953965703
338,lay,3.9620057143442624
339,haley,3.9557674855639386
340,pictures,3.943768576115116
341,kits,3.943768576115116
342,certain,3.9076235605665923
343,cover,3.9076235605665923
344,picking,3.889713059607081
345,beside,3.889713059607081
346,sunday,3.889713059607081
347,control,3.8542096866660724
348,organized,3.8542096866660724
349,lately,3.8191215673764987
350,folded,3.8017302143235208
351,realize,3.7672470760463153
352,spread,3.7501530127024028
353,invited,3.7331558000953704
354,large,3.716254346940602
355,jeff,3.716254346940602
356,seriously,3.6994475802945925
357,associate,3.6994475802945925
358,garden,3.671135041203428
359,cold,3.6661139040193804
360,spot,3.649584936586472
361,using,3.649584936586472
362,pointing,3.649584936586472
363,fit,3.6331465392925946
364,information,3.6331465392925946
365,strange,3.6167977249899
366,steps,3.6167977249899
367,yourself,3.5843649766772536
368,barrett,3.5716120220853
369,pushed,3.55227910932701
370,handle,3.536363952637931
371,date,3.536363952637931
372,listening,3.536363952637931
373,video,3.533149298229525
374,vice,3.504784713676968
375,blonde,3.504784713676968
376,unless,3.504784713676968
377,works,3.489118881733513
378,written,3.489118881733513
379,gets,3.489118881733513
380,terrific,3.489118881733513
381,bunch,3.4735344311022005
382,charlie,3.4735344311022005
383,finish,3.458030520626873
384,sleep,3.458030520626873
385,twenty,3.458030520626873
386,interested,3.4272610201253064
387,downstairs,3.4272610201253064
388,forgotten,3.4119938116028923
389,ear,3.4119938116028923
390,tired,3.4119938116028923
391,lucky,3.4119938116028923
392,secretary,3.3968039057332517
393,party,3.3968039057332517
394,join,3.3968039057332517
395,himself,3.3968039057332517
396,thirteen,3.3968039057332517
397,fall,3.3968039057332517
398,eleven,3.3816905236433805
399,glasses,3.3816905236433805
400,gotten,3.35169027363963
401,mad,3.3368019056132434
402,ended,3.321987060691496
403,meetings,3.321987060691496
404,twins,3.31672212894906
405,filled,3.3072450162842086
406,eating,3.3072450162842086
407,boys,3.2925750604016333
408,divorced,3.2925750604016333
409,valentine,3.285040783343136
410,cry,3.277976491448114
411,record,3.277976491448114
412,junk,3.2634486180207505
413,desk,3.2634486180207505
414,mcgill,3.2489907587129037
415,brothers,3.2489907587129037
416,children,3.2489907587129037
417,become,3.234602241922425
418,spent,3.206030597388658
419,figure,3.206030597388658
420,krushers,3.200506867334498
421,grabbed,3.1918461738008204
422,thomas,3.1918461738008204
423,johanssen,3.1685061846416156
424,calling,3.1636769527513033
425,monday,3.1636769527513033
426,test,3.1370094707053378
427,dogs,3.1370094707053378
