,term,score
0,jackie,118.09996909706558
1,kristy,105.79900971382571
2,abby,101.4756282218776
3,class,91.49959031562352
4,hospital,69.19798845086618
5,mary,64.3280980392765
6,halloween,58.39984096379286
7,seventh,57.83861505882765
8,math,56.110881636212454
9,art,55.23427855284188
10,bsc,54.49719808938892
11,claudia,53.19743623001367
12,stacey,50.00559005621285
13,mal,39.25107061978407
14,ms,36.97231441657454
15,costume,34.75263611556683
16,party,32.83577108875477
17,test,31.370094707053376
18,nicky,30.72639852537221
19,dance,29.548940931106557
20,jake,28.94174474656125
21,science,26.076056582220993
22,jessi,25.93333565267816
23,janine,25.317584074929304
24,eighth,25.245779695587864
25,teacher,22.09640667087736
26,margo,20.851456168197757
27,matt,20.63826172582694
28,jordan,20.4076651661733
29,college,18.859382096051707
30,dressed,18.248266965431892
31,nobody,17.52392356838484
32,john,17.384037721480663
33,sms,17.33982704095064
34,desk,16.31724309010375
35,homework,15.886493584083983
36,english,15.806212153203443
37,rodowsky,15.637015044941617
38,students,15.159028957900116
39,terrific,15.119515154178556
40,excellent,14.788925766629816
41,painting,14.77270355544681
42,adam,14.576903690123785
43,apple,13.771672839454789
44,single,13.77042528850247
45,kuhn,13.658277725791748
46,subject,13.626265938782208
47,student,13.206685714480875
48,byron,13.182371475039226
49,teachers,13.119213321111408
50,classes,12.906362843492122
51,ring,12.850877283482218
52,johanssen,12.674024738566462
53,nose,12.622889847793932
54,study,12.004432587553287
55,dr,11.977033585719663
56,haley,11.867302456691815
57,helped,11.651671169191468
58,question,11.600148826754777
59,bunch,11.578448103674003
60,example,11.550410054813693
61,missed,11.22217632724249
62,lunch,11.172300912132101
63,vanessa,11.120776623038804
64,concerned,11.120776623038804
65,awesome,11.089771646245655
66,sense,11.073290202304985
67,sixth,11.04820333543868
68,charlotte,10.764131536801406
69,notebook,10.73427468554817
70,claire,10.713045074302583
71,explained,10.592428335628608
72,parade,10.455490038007865
73,woman,10.420603293306602
74,notes,10.302425762258824
75,drawing,10.20383258308665
76,arnold,9.948591002144862
77,backpack,9.899102248839727
78,glanced,9.833929474344343
79,artist,9.82278613720153
80,shea,9.800972342880655
81,kishi,9.746972276138711
82,piece,9.703806725767276
83,man,9.660847216993353
84,somebody,9.594752944159241
85,worked,9.57553852140246
86,letters,9.550024357467844
87,brown,9.533185502065747
88,headed,9.49103085825391
89,style,9.330570648279313
90,pass,9.244680000136611
91,dumb,9.202126677601937
92,candy,9.117788307988715
93,promise,8.993155935554169
94,somehow,8.977741061793992
95,rock,8.959687884690487
96,ashley,8.959643384361419
97,age,8.93784072970568
98,pike,8.93784072970568
99,loved,8.830357900404298
100,pikes,8.746142214074272
101,paint,8.704330198177711
102,checked,8.702529648055334
103,nine,8.702529648055334
104,group,8.702529648055334
105,becca,8.662807541110269
106,terrible,8.632044354020715
107,color,8.593047038674529
108,impressed,8.580614474961298
109,forever,8.55426577604522
110,putting,8.549414926369755
111,sitters,8.511589796802188
112,jacket,8.49953215996096
113,bet,8.473942668502886
114,softball,8.41953097474417
115,checking,8.41953097474417
116,learned,8.401254219357726
117,cards,8.334724040829606
118,twins,8.29180532237265
119,thrilled,8.185735163543866
120,michael,8.177830998579593
121,david,8.177830998579593
122,acting,8.109784782312325
123,mentioned,8.1049136725718
124,broken,8.072167104230754
125,possible,8.068737881462704
126,project,7.924011428688525
127,usual,7.82061063849247
128,child,7.743817706095274
129,win,7.726688380355672
130,third,7.7169050379964865
131,ideas,7.682675140937144
132,picture,7.580978436996775
133,favorite,7.580978436996775
134,definitely,7.51399227988372
135,thursday,7.5003060254048055
136,figure,7.480738060573535
137,younger,7.447641072201915
138,american,7.432508693881204
139,huh,7.432508693881204
140,mine,7.414699834940025
141,truth,7.365468890292453
142,promised,7.332227808038761
143,welcome,7.299169873172944
144,using,7.299169873172944
145,singing,7.253608498481427
146,accident,7.253608498481427
147,learn,7.2335954499798
148,keeping,7.2335954499798
149,offered,7.2010750451637655
150,track,7.168729953354507
151,problems,7.1365582945061945
152,happens,7.072727905275862
153,mention,7.041065562670798
154,bored,7.016275812286807
155,popcorn,6.990824659241518
156,birthday,6.953615088592265
157,finish,6.916061041253746
158,interesting,6.916061041253746
159,locker,6.808144511908765
160,worse,6.7936078114665035
161,fall,6.7936078114665035
162,extra,6.7936078114665035
163,carolyn,6.738443188129946
164,silly,6.733305796345494
165,none,6.70338054727926
166,simple,6.6956531714391145
167,carefully,6.673603811226487
168,hardly,6.643974121382992
169,upset,6.614490032568417
170,questions,6.614490032568417
171,bike,6.5994014992264844
172,buddy,6.5994014992264844
173,known,6.585150120803267
174,excitement,6.542736054578713
175,fortunately,6.53217302596096
176,junk,6.526897236041501
177,outfit,6.512705934277654
178,game,6.46920448384485
179,uh,6.412061194777316
180,sign,6.412061194777316
181,krushers,6.401013734668996
182,mood,6.39435721384813
183,anna,6.349409718204348
184,dinner,6.327353905502607
185,eight,6.327353905502607
186,purple,6.305391651254778
187,sent,6.193757244901004
188,smart,6.193757244901004
189,note,6.082641560977454
190,suit,6.031520454144935
191,team,6.027996208316501
192,soccer,6.005083174427064
193,charges,6.002216293776644
194,claud,6.000895870969805
195,normal,6.000895870969805
196,barn,5.933651228345908
197,including,5.920465182211684
198,fair,5.920465182211684
199,planned,5.893939921063218
200,nearly,5.867554635558998
201,pull,5.841307856128281
202,logan,5.841307856128281
203,braddock,5.795695888620438
204,clear,5.789224051837001
205,whether,5.763384201044789
206,scene,5.747713510255798
207,jeans,5.737677203542696
208,bright,5.737677203542696
209,jamie,5.729026478266308
210,supplies,5.693290902032683
211,totally,5.6613398428887525
212,speak,5.6613398428887525
213,kinds,5.613020649829446
214,bowl,5.586617913704038
215,staring,5.586150456066051
216,catch,5.586150456066051
217,named,5.586150456066051
218,listened,5.561336509355406
219,notice,5.536645101152493
