,term,score
0,victoria,1120.163678270704
1,sharon,216.02841278081914
2,kristy,159.23285300363668
3,stacey,78.73220562042023
4,thanksgiving,62.71750369052993
5,mary,52.72794921252172
6,claudia,50.00559005621285
7,abby,43.77380040943739
8,linny,40.71811624513132
9,jessi,35.36363952637931
10,hannie,35.1449633304985
11,becca,34.651230164441074
12,michael,31.543062423092714
13,logan,31.543062423092714
14,david,31.543062423092714
15,karen,26.40394183226714
16,uh,23.510891047516825
17,dear,21.21364309167399
18,coat,20.595290200170503
19,bsc,20.5878303893247
20,street,19.066371004131494
21,york,18.57520011820598
22,game,18.329412704227074
23,american,17.34252028572281
24,mall,16.24744453675545
25,store,15.672790141622901
26,charlotte,15.377330766859153
27,spier,15.365350281874289
28,window,15.02798455976744
29,mallory,14.588829225415237
30,moving,13.832122082507492
31,park,13.545177444479563
32,trip,13.261591658296302
33,hate,13.053794472083002
34,shouted,12.9384089676897
35,woman,12.736292914041401
36,tv,12.510643975877272
37,andrew,12.33149193431531
38,named,12.28953100334531
39,ball,11.996447976359114
40,children,11.912966115280646
41,shrugged,11.755445523758413
42,sitters,11.703435970603008
43,child,11.61572655914291
44,eight,11.600148826754777
45,grew,11.424203400417687
46,christmas,11.137120846826697
47,cold,10.998341712058142
48,ramsey,10.948754809759416
49,tree,10.863519729962553
50,team,10.850393174969701
51,grabbed,10.639487246002734
52,bought,10.609091857913793
53,sweater,10.606821545836995
54,brown,10.592428335628608
55,visit,10.420603293306602
56,hot,10.235981434808677
57,adam,10.20383258308665
58,english,10.058498642947646
59,afraid,9.965961182074487
60,rolled,9.833929474344343
61,nine,9.79034585406225
62,quite,9.79034585406225
63,man,9.660847216993353
64,seventh,9.639769176471274
65,tomorrow,9.618091792165973
66,explained,9.533185502065747
67,practically,9.49103085825391
68,restaurant,9.364335569463684
69,museum,9.30476174820074
70,absolutely,9.304317017956034
71,rules,9.244680000136611
72,suppose,9.22639846011549
73,kiss,9.181115226303191
74,boring,9.117788307988715
75,warm,8.911283657211829
76,meetings,8.858632161843989
77,loved,8.830357900404298
78,member,8.819320043424556
79,papadakis,8.804109176384717
80,byron,8.78824765002615
81,tea,8.785479525801094
82,drive,8.741270643861638
83,invited,8.710696866889197
84,announced,8.702529648055334
85,dressed,8.587419748438537
86,normal,8.401254219357726
87,daughter,8.30149438115194
88,van,8.255304690330776
89,shot,8.214576489782598
90,quick,8.14127739071153
91,camera,8.104343378399388
92,cecelia,8.055263008032131
93,sms,7.881739564068473
94,although,7.855523429069743
95,burst,7.751303141613491
96,receiver,7.688665383429576
97,president,7.682675140937144
98,stairs,7.682675140937144
99,mood,7.673228656617756
100,apple,7.650929355252661
101,drove,7.638243134752997
102,california,7.580978436996775
103,become,7.547405231152325
104,screamed,7.539400567681169
105,spoke,7.51399227988372
106,shoulders,7.466311600190741
107,thomas,7.447641072201915
108,silent,7.398895160589185
109,dinner,7.381912889753041
110,stupid,7.365468890292453
111,homework,7.332227808038761
112,lit,7.323539708355126
113,jordan,7.288451845061893
114,hug,7.2335954499798
115,clients,7.2010750451637655
116,yourself,7.168729953354507
117,card,7.116613627540854
118,whenever,7.10455821865402
119,video,7.06629859645905
120,mention,7.041065562670798
121,strong,7.016275812286807
122,loud,7.009569427353936
123,milk,6.9179119842932835
124,exclaimed,6.916061041253746
125,ear,6.823987623205785
126,silly,6.733305796345494
127,windows,6.7268059201922945
128,follow,6.664693320199508
129,jobs,6.585150120803267
130,center,6.512705934277654
131,guy,6.497981517425807
132,eye,6.497981517425807
133,triplets,6.4828550993451355
134,pizza,6.4828550993451355
135,beautiful,6.46920448384485
136,schedule,6.453181421746061
137,news,6.3554570013771645
138,anna,6.349409718204348
139,crowd,6.336217023872535
140,clock,6.327353905502607
141,continued,6.327353905502607
142,alan,6.309140657207926
143,gray,6.307398500288785
144,insisted,6.307398500288785
145,plastic,6.307398500288785
146,squirt,6.242890379642455
147,huh,6.193757244901004
148,sigh,6.110189840032301
149,horse,6.0610408833354255
150,immediately,6.027996208316501
151,missing,6.000895870969805
152,road,5.9731252564603246
153,richard,5.969154601286917
154,um,5.893939921063218
155,poor,5.893939921063218
156,neighborhood,5.893939921063218
157,seats,5.887100435576471
158,hoped,5.841307856128281
159,bedroom,5.737677203542696
160,sad,5.737677203542696
161,sang,5.720409649974198
162,completely,5.7121017002088434
163,reach,5.7121017002088434
164,downstairs,5.7121017002088434
165,watson,5.7121017002088434
166,pleased,5.693290902032683
167,clean,5.686656352671488
168,seeing,5.686656352671488
169,jacket,5.666354773307307
170,party,5.6613398428887525
171,join,5.6613398428887525
172,fall,5.6613398428887525
173,total,5.63959882070412
174,bowl,5.586617913704038
175,staring,5.586150456066051
176,takes,5.586150456066051
177,secret,5.586150456066051
178,plan,5.586150456066051
179,led,5.561336509355406
180,neither,5.561336509355406
181,wednesday,5.561336509355406
182,notice,5.536645101152493
183,official,5.534329587434627
184,questions,5.512075027140347
185,private,5.512075027140347
186,smell,5.508439529412157
187,regular,5.487625100669389
188,wonderful,5.487625100669389
189,building,5.482715968090995
190,wedding,5.476245447413088
191,waved,5.463294152413524
192,seat,5.463294152413524
193,cat,5.431759864981276
194,prepared,5.431759864981276
195,bag,5.41498459785484
196,brothers,5.41498459785484
197,closed,5.41498459785484
198,light,5.367137342774085
199,glance,5.3565225371512915
200,crowded,5.3565225371512915
201,main,5.331754656159607
202,stepsister,5.331754656159607
203,excited,5.319743623001367
204,barely,5.319743623001367
205,million,5.307139193862094
206,comes,5.296214167814304
207,calling,5.272794921252172
208,return,5.23418884366297
209,born,5.23418884366297
210,months,5.210164747422123
211,snack,5.210164747422123
212,friendly,5.162545137396849
213,grin,5.115485771078504
214,muttered,5.115485771078504
215,ha,5.079441541679836
216,aside,5.068973619098028
217,families,5.045918800231028
218,ground,5.022996101395087
219,appeared,5.022996101395087
220,large,4.955005795920803
221,ears,4.955005795920803
222,glass,4.932596773726123
223,foot,4.932596773726123
224,welcome,4.8661132487819625
225,pulling,4.8661132487819625
226,dog,4.8661132487819625
227,field,4.849541863617088
228,sight,4.8223969666532005
229,claud,4.800716696775844
230,shy,4.779153302236338
231,gently,4.757705529670797
232,happens,4.7151519368505745
233,dogs,4.705514206058007
234,bottle,4.682167784731842
235,weather,4.659001646450111
236,works,4.652158508978017
237,mentioned,4.631379241469601
238,charlie,4.631379241469601
239,ate,4.610707360835831
240,possible,4.610707360835831
241,twenty,4.610707360835831
242,awhile,4.610707360835831
243,buy,4.590141762834157
244,dress,4.590141762834157
245,begin,4.590141762834157
246,eighth,4.590141762834157
247,several,4.569681360167075
248,porch,4.568085597964124
249,totally,4.529071874311002
250,speak,4.529071874311002
251,lessons,4.523640340608702
252,young,4.508920698191174
253,charges,4.5016622203324825
254,age,4.46892036485284
255,doctor,4.458183198424782
256,shop,4.415325326682353
257,leaned,4.409660021712278
258,filled,4.409660021712278
259,eating,4.409660021712278
260,leaving,4.390100080535511
261,its,4.390100080535511
262,cry,4.370635321930819
263,asking,4.351264824027667
264,group,4.351264824027667
265,checked,4.351264824027667
266,whitney,4.34109345759245
267,mcgill,4.3319876782838715
268,favorite,4.3319876782838715
269,pack,4.331403770555134
270,likes,4.3128029892299
271,forward,4.293709874219268
272,murmured,4.290307237480649
273,king,4.287737760512461
274,sign,4.274707463184877
275,imagine,4.274707463184877
276,pay,4.255794898401094
277,changed,4.255794898401094
278,area,4.24976607998048
279,hat,4.24976607998048
280,besides,4.236971334251443
281,stepped,4.236971334251443
282,ones,4.2182359370017375
283,awful,4.2182359370017375
284,question,4.2182359370017375
285,dying,4.189963435278028
286,neck,4.15074719057597
287,song,4.131329647059117
288,yup,4.1120369760682465
289,enjoy,4.1120369760682465
290,rushed,4.092867581771933
291,super,4.073819898735957
292,earth,4.073819898735957
293,giggling,4.054892391156162
294,shopping,4.017391902863468
295,soccer,4.003388782951376
296,style,3.998815992119705
297,flew,3.9803543953965703
298,lose,3.943768576115116
299,sea,3.932375406037556
300,lap,3.9076235605665923
301,whoa,3.9076235605665923
302,picking,3.889713059607081
303,earlier,3.889713059607081
304,gasped,3.889713059607081
305,recently,3.871908853047637
306,throw,3.871908853047637
307,tall,3.871908853047637
308,promise,3.8542096866660724
309,worst,3.8542096866660724
310,music,3.836614328308878
311,count,3.836614328308878
312,crossed,3.836614328308878
313,boo,3.77587101223806
314,sugar,3.7672470760463153
315,climbed,3.7501530127024028
316,breakfast,3.7501530127024028
317,excuse,3.7501530127024028
318,sweet,3.7501530127024028
319,act,3.7331558000953704
320,somewhere,3.716254346940602
321,ways,3.716254346940602
322,patrick,3.7124847981700757
323,low,3.6994475802945925
324,truth,3.6827344451462265
325,forever,3.6661139040193804
326,stories,3.6661139040193804
327,shaking,3.649584936586472
328,brewer,3.649584936586472
329,fit,3.6331465392925946
330,information,3.6331465392925946
331,shannon,3.6331465392925946
332,steps,3.6167977249899
333,faces,3.6167977249899
334,throat,3.6167977249899
335,bathroom,3.6167977249899
336,office,3.6005375225818828
337,company,3.5843649766772536
338,gathered,3.5682791472530972
339,basement,3.5522882002618266
340,key,3.5522882002618266
341,including,3.55227910932701
342,tiny,3.536363952637931
343,crying,3.536363952637931
344,tonight,3.520532781335399
345,band,3.5141918103204377
346,unless,3.504784713676968
347,stomach,3.504784713676968
348,expected,3.504784713676968
349,john,3.4768075442961326
350,clear,3.4735344311022005
351,speaking,3.4735344311022005
352,ride,3.4735344311022005
353,den,3.4583742340862846
354,sleep,3.458030520626873
355,nose,3.4426063221256173
356,settled,3.4426063221256173
357,single,3.4426063221256173
358,body,3.4426063221256173
359,island,3.4401092669597393
360,tired,3.4119938116028923
361,thirteen,3.3968039057332517
362,forgot,3.3968039057332517
363,himself,3.3968039057332517
364,eleven,3.3816905236433805
365,empty,3.3816905236433805
366,police,3.368673101755581
367,longer,3.366652898172747
368,stared,3.366652898172747
369,missed,3.366652898172747
370,charge,3.35169027363963
371,lived,3.35169027363963
372,connecticut,3.35169027363963
373,mad,3.3368019056132434
374,train,3.3338896163318426
375,became,3.321987060691496
376,ended,3.321987060691496
377,hardly,3.321987060691496
378,twins,3.31672212894906
379,third,3.3072450162842086
380,upset,3.3072450162842086
381,raised,3.2925750604016333
382,known,3.2925750604016333
383,repeated,3.2925750604016333
384,handed,3.277976491448114
385,glanced,3.277976491448114
386,desk,3.2634486180207505
387,tears,3.2634486180207505
388,threw,3.2634486180207505
389,french,3.2494889073510898
390,waited,3.2489907587129037
391,ahead,3.234602241922425
392,garage,3.233027909078059
393,boyfriend,3.2202824056644515
394,putting,3.206030597388658
395,admit,3.206030597388658
396,krushers,3.200506867334498
397,class,3.1918461738008204
398,mine,3.1777285006885823
399,johanssen,3.1685061846416156
400,monday,3.1636769527513033
401,lines,3.152695825627389
402,bear,3.1370094707053378
403,babies,3.0906753521422687
404,sleeping,3.0906753521422687
405,win,3.0906753521422687
406,board,3.060371742101064
407,soda,3.0453903986427493
408,counter,3.0305204416677127
409,machine,3.0305204416677127
410,stamford,3.0157602270724677
411,suit,3.0157602270724677
412,greeted,2.9865626282301623
413,page,2.9865626282301623
414,lawn,2.9865626282301623
415,ashley,2.9865477947871395
416,tape,2.9721221322831886
