,term,score
0,cecelia,396.72170314558247
1,aunt,285.6180486258499
2,becca,239.67100863738412
3,daddy,234.12278057201289
4,mama,214.6292304791134
5,squirt,201.33321474346917
6,abby,117.39337382530937
7,mallory,76.31079902524894
8,kristy,75.87605747153157
9,mary,74.87368788178084
10,christmas,61.25416465754684
11,john,52.152113164441985
12,hospital,39.981059993833796
13,uncle,36.69315056277127
14,claudia,35.11030791180902
15,dr,34.220095959199035
16,jessi,29.46969960531609
17,shouted,25.8768179353794
18,uh,25.648244779109262
19,bsc,24.220976928617297
20,ramsey,21.897509619518832
21,seat,20.76051777917139
22,american,19.82002318368321
23,sitters,18.08712831820465
24,stacey,18.08712831820465
25,tree,16.29527959494383
26,rosie,16.2124058446217
27,green,15.64122127698494
28,children,15.16195687399355
29,shopping,14.730436977166052
30,rain,14.522918506273555
31,stage,14.40228090300524
32,lights,14.369283775639495
33,kuhn,13.658277725791748
34,huh,13.626265938782208
35,screamed,13.570921021826106
36,yelled,13.025023400865704
37,sheet,12.932111636312236
38,forward,12.881129622657806
39,sang,12.870921712441946
40,grabbed,12.767384695203281
41,explained,12.710914002754329
42,wall,12.679445242298536
43,insisted,12.61479700057757
44,young,12.399531920025728
45,snow,12.156515067599083
46,box,11.912966115280646
47,doctor,11.888488529132754
48,pushed,11.840930364423368
49,snapped,11.831305728345347
50,dinner,11.600148826754777
51,exclaimed,11.526768402089578
52,plastic,11.353317300519812
53,families,11.353317300519812
54,list,11.322679685777505
55,bottle,10.925058164374297
56,bag,10.82996919570968
57,road,10.452969198805569
58,center,10.420329494844246
59,buy,10.327818966376853
60,dance,10.277892497776193
61,accident,10.155051897873998
62,excuse,10.000408033873073
63,announced,9.79034585406225
64,continued,9.49103085825391
65,giggling,9.46141557936438
66,shot,9.388087416894397
67,needs,9.221414721671662
68,present,9.047280681217403
69,grown,9.017841396382348
70,raised,8.780200161071022
71,cry,8.741270643861638
72,jake,8.682523423968373
73,ahead,8.6256059784598
74,light,8.587419748438537
75,stepped,8.473942668502886
76,anna,8.465879624272464
77,mal,8.325984676923895
78,official,8.30149438115194
79,month,8.185735163543866
80,tired,7.961318893740082
81,clean,7.961318893740082
82,ice,7.887537152230232
83,lines,7.881739564068473
84,named,7.82061063849247
85,mimi,7.818507522470808
86,meetings,7.751303141613491
87,sick,7.7169050379964865
88,boys,7.682675140937144
89,nine,7.6147134420484175
90,group,7.6147134420484175
91,sitter,7.6147134420484175
92,hungry,7.6034604286470415
93,favorite,7.580978436996775
94,window,7.51399227988372
95,sign,7.480738060573535
96,headed,7.381912889753041
97,cold,7.332227808038761
98,welcome,7.299169873172944
99,store,7.2335954499798
100,throat,7.2335954499798
101,normal,7.2010750451637655
102,cookies,7.1846418878197476
103,nearly,7.041065562670798
104,juice,7.016275812286807
105,visit,6.947068862204401
106,milk,6.9179119842932835
107,entire,6.854522040250613
108,grew,6.854522040250613
109,hanging,6.823987623205785
110,history,6.821445969619888
111,water,6.7936078114665035
112,eleven,6.763381047286761
113,police,6.737346203511162
114,windows,6.7268059201922945
115,burst,6.643974121382992
116,lifted,6.603342857240437
117,its,6.585150120803267
118,mall,6.4989778147021795
119,eye,6.497981517425807
120,listen,6.497981517425807
121,younger,6.383692347601641
122,drove,6.365202612294164
123,brown,6.3554570013771645
124,sugar,6.278745126743859
125,dining,6.212002195266814
126,silent,6.165745967157655
127,dues,6.137890741910378
128,ourselves,6.110189840032301
129,dog,6.082641560977454
130,counter,6.0610408833354255
131,bathroom,6.027996208316501
132,chips,6.002216293776644
133,richard,5.969154601286917
134,gently,5.947131912088496
135,fingers,5.920465182211684
136,poor,5.893939921063218
137,crying,5.893939921063218
138,shoes,5.893939921063218
139,stomach,5.841307856128281
140,loud,5.841307856128281
141,laughter,5.802886798785141
142,woman,5.789224051837001
143,dress,5.737677203542696
144,begin,5.737677203542696
145,dancing,5.720409649974198
146,party,5.6613398428887525
147,longer,5.611088163621245
148,hallway,5.586617913704038
149,lived,5.586150456066051
150,none,5.586150456066051
151,carefully,5.561336509355406
152,bill,5.560388311519402
153,driving,5.560388311519402
154,audience,5.537472062306709
155,became,5.536645101152493
156,sense,5.536645101152493
157,slow,5.534329587434627
158,nervous,5.512075027140347
159,spier,5.487625100669389
160,explain,5.487625100669389
161,tears,5.4390810300345835
162,super,5.431759864981276
163,closed,5.41498459785484
164,beautiful,5.3910037365373755
165,mail,5.386686557964045
166,spoke,5.367137342774085
167,dead,5.3565225371512915
168,shrugged,5.343384328981097
169,ball,5.331754656159607
170,thomas,5.319743623001367
171,street,5.296214167814304
172,rules,5.28267428579235
173,clock,5.272794921252172
174,raced,5.258358101486821
175,boring,5.210164747422123
176,beside,5.186284079476108
177,boxes,5.092162089835331
178,breakfast,5.000204016936537
179,wears,5.000204016936537
180,sweet,5.000204016936537
181,plans,5.000204016936537
182,giggled,4.955005795920803
183,ears,4.955005795920803
184,backpack,4.949551124419863
185,fortunately,4.89912976947072
186,kit,4.874233361026635
187,shaking,4.8661132487819625
188,using,4.8661132487819625
189,proud,4.844195385723459
190,faces,4.8223969666532005
191,gym,4.8007603010017466
192,softly,4.800716696775844
193,coat,4.752759276962424
194,shouldn,4.736372145769347
195,expected,4.673046284902624
196,written,4.652158508978017
197,babies,4.636013028213403
198,suppose,4.613199230057745
199,twenty,4.610707360835831
200,cars,4.590557613151596
201,apple,4.590557613151596
202,bedroom,4.590141762834157
203,hot,4.54932508213719
204,seeing,4.54932508213719
205,lucky,4.54932508213719
206,join,4.529071874311002
207,stamford,4.523640340608702
208,marnie,4.523303831825228
209,art,4.508920698191174
210,empty,4.508920698191174
211,charges,4.5016622203324825
212,page,4.479843942345243
213,plan,4.46892036485284
214,charge,4.46892036485284
215,managed,4.4490692074843246
216,hardly,4.4293160809219945
217,safe,4.415325326682353
218,eating,4.409660021712278
219,member,4.409660021712278
220,evening,4.409660021712278
221,lit,4.394123825013075
222,president,4.390100080535511
223,jobs,4.390100080535511
224,drive,4.370635321930819
225,rolled,4.370635321930819
226,waved,4.370635321930819
227,singing,4.352165099088856
228,threw,4.351264824027667
229,brothers,4.3319876782838715
230,kishi,4.3319876782838715
231,pay,4.255794898401094
232,sighed,4.255794898401094
233,excited,4.255794898401094
234,bags,4.24976607998048
235,area,4.24976607998048
236,jacket,4.24976607998048
237,town,4.236971334251443
238,helped,4.236971334251443
239,comes,4.236971334251443
240,carried,4.22969911552809
241,eight,4.2182359370017375
242,strong,4.209765487372085
243,nicky,4.189963435278028
244,vanessa,4.170291233639551
245,seventh,4.131329647059117
246,roll,4.1120369760682465
247,add,4.1120369760682465
248,groaned,4.092867581771933
249,rushed,4.092867581771933
250,letters,4.092867581771933
251,honest,4.036083552115377
252,following,4.017391902863468
253,follow,3.998815992119705
254,flew,3.9803543953965703
255,hide,3.9803543953965703
256,million,3.9803543953965703
257,skin,3.9803543953965703
258,doorway,3.9803543953965703
259,project,3.9620057143442624
260,bat,3.932375406037556
261,return,3.9256416327472277
262,candy,3.9076235605665923
263,noise,3.9076235605665923
264,earlier,3.889713059607081
265,sunday,3.889713059607081
266,pop,3.8863963695881587
267,plate,3.871908853047637
268,schedule,3.871908853047637
269,fault,3.871908853047637
270,child,3.871908853047637
271,organized,3.8542096866660724
272,yellow,3.8542096866660724
273,mood,3.836614328308878
274,asleep,3.8191215673764987
275,decide,3.8191215673764987
276,folded,3.8017302143235208
277,aside,3.8017302143235208
278,crowd,3.8017302143235208
279,spread,3.7501530127024028
280,ballet,3.7501530127024028
281,officer,3.7331558000953704
282,involved,3.716254346940602
283,glass,3.6994475802945925
284,legs,3.6994475802945925
285,seriously,3.6994475802945925
286,expect,3.6827344451462265
287,sixth,3.6827344451462265
288,themselves,3.6661139040193804
289,sigh,3.6661139040193804
290,stories,3.6661139040193804
291,pulling,3.649584936586472
292,team,3.6167977249899
293,trip,3.6167977249899
294,learn,3.6167977249899
295,hug,3.6167977249899
296,clients,3.6005375225818828
297,missing,3.6005375225818828
298,company,3.5843649766772536
299,barrett,3.5716120220853
300,helping,3.5682791472530972
301,whenever,3.55227910932701
302,neighborhood,3.536363952637931
303,pull,3.504784713676968
304,covered,3.489118881733513
305,charlie,3.4735344311022005
306,moving,3.458030520626873
307,loudly,3.458030520626873
308,sleep,3.458030520626873
309,settled,3.4426063221256173
310,shut,3.4272610201253064
311,forgotten,3.4119938116028923
312,tv,3.4119938116028923
313,park,3.386294361119891
314,glasses,3.3816905236433805
315,rose,3.368673101755581
316,somehow,3.366652898172747
317,lunch,3.35169027363963
318,connecticut,3.35169027363963
319,pike,3.35169027363963
320,usual,3.35169027363963
321,neither,3.3368019056132434
322,train,3.3338896163318426
323,grandmother,3.3072450162842086
324,stayed,3.3072450162842086
325,leaned,3.3072450162842086
326,bike,3.2997007496132422
327,leaving,3.2925750604016333
328,animals,3.282823012321513
329,record,3.277976491448114
330,upstairs,3.277976491448114
331,vacation,3.26608651298048
332,hit,3.2634486180207505
333,junk,3.2634486180207505
334,others,3.2489907587129037
335,california,3.2489907587129037
336,game,3.234602241922425
337,surprise,3.234602241922425
338,piece,3.234602241922425
339,man,3.2202824056644515
340,dressed,3.2202824056644515
341,air,3.206030597388658
342,figure,3.206030597388658
343,tomorrow,3.206030597388658
344,sergeant,3.201659174404085
345,worked,3.1918461738008204
346,class,3.1918461738008204
347,besides,3.1777285006885823
348,awful,3.1636769527513033
349,taken,3.1636769527513033
350,practically,3.1636769527513033
351,calling,3.1636769527513033
352,weather,3.106001097633407
353,receiver,3.0754661533718304
354,blood,3.060371742101064
355,kiss,3.060371742101064
356,machine,3.0305204416677127
357,lawn,2.9865626282301623
358,station,2.9865626282301623
359,tape,2.9721221322831886
360,letter,2.9294158833420503
361,pack,2.887602513703423
362,fancy,2.873856755127899
363,murmured,2.860204824987099
364,supplies,2.8466454510163417
365,mumbled,2.8466454510163417
366,slid,2.8331773866536536
367,total,2.81979941035206
368,share,2.81979941035206
369,bowl,2.793308956852019
370,expression,2.780194155759701
371,daughter,2.7671647937173134
372,smell,2.7542197647060784
373,pale,2.7542197647060784
374,coffee,2.7542197647060784
375,song,2.7542197647060784
376,somebody,2.7413579840454974
377,shrieked,2.7413579840454974
378,enjoy,2.7413579840454974
379,honey,2.7285783878479553
380,gorgeous,2.7285783878479553
381,thrilled,2.7285783878479553
382,familiar,2.7285783878479553
383,everywhere,2.715879932490638
384,above,2.715879932490638
385,lips,2.715879932490638
386,carol,2.7069629325679783
387,cream,2.7032615941041085
388,acting,2.7032615941041085
389,diabetes,2.690722368076918
390,direction,2.6782612685756457
391,glance,2.6782612685756457
392,spotted,2.6782612685756457
393,crowded,2.6782612685756457
394,jewelry,2.6658773280798034
395,leaning,2.6658773280798034
396,practice,2.653569596931047
397,officers,2.653569596931047
398,twice,2.653569596931047
399,summer,2.653569596931047
400,mistake,2.641337142896175
401,pile,2.641337142896175
402,pass,2.641337142896175
403,born,2.617094421831485
404,parade,2.613872509501966
405,lap,2.6050823737110615
406,certain,2.6050823737110615
407,paid,2.6050823737110615
408,planning,2.6050823737110615
409,picking,2.593142039738054
410,friendly,2.5812725686984246
411,tall,2.5812725686984246
412,promise,2.5694731244440483
413,cleared,2.5694731244440483
414,grinning,2.557742885539252
415,music,2.557742885539252
416,sports,2.557742885539252
417,embarrassed,2.522959400115514
418,carrying,2.522959400115514
419,disappeared,2.522959400115514
420,careful,2.5114980506975435
421,hundred,2.5114980506975435
422,ground,2.5114980506975435
423,feels,2.5001020084682684
424,toys,2.5001020084682684
425,climbed,2.5001020084682684
426,emily,2.4887705333969135
427,shoulders,2.4887705333969135
428,confused,2.4887705333969135
429,jeff,2.4775028979604015
430,low,2.4662983868630617
431,stupid,2.455156296764151
432,lying,2.4440759360129203
433,bottom,2.4440759360129203
434,promised,2.4440759360129203
435,pointing,2.4330566243909812
436,shannon,2.4220976928617297
437,information,2.4220976928617297
438,janine,2.4111984833266003
439,steps,2.4111984833266003
440,strange,2.4111984833266003
441,keeping,2.4111984833266003
442,wide,2.400358348387922
443,office,2.400358348387922
444,learned,2.400358348387922
445,rehearsal,2.3951833085371366
446,track,2.389576651118169
447,gathered,2.3788527648353983
448,fifteen,2.3681860728846735
449,fair,2.3681860728846735
450,weekend,2.3575759684252873
451,tiny,2.3575759684252873
452,date,2.3575759684252873
453,planned,2.3575759684252873
454,keeps,2.3575759684252873
455,silence,2.3575759684252873
456,listening,2.3575759684252873
457,um,2.3575759684252873
458,mention,2.347021854223599
459,logan,2.336523142451312
460,played,2.336523142451312
461,quietly,2.3156896207348003
462,ride,2.3156896207348003
463,interesting,2.3053536804179156
464,possible,2.3053536804179156
465,awhile,2.3053536804179156
466,finish,2.3053536804179156
467,junior,2.2950708814170784
468,body,2.2950708814170784
469,several,2.2848406800835375
470,schafer,2.274662541068595
471,fall,2.264535937155501
472,extra,2.264535937155501
473,worse,2.264535937155501
474,forgot,2.264535937155501
475,pair,2.264535937155501
476,speak,2.264535937155501
477,thirteen,2.264535937155501
478,reminded,2.254460349095587
479,drew,2.254460349095587
480,missed,2.244435265448498
481,stared,2.244435265448498
482,names,2.244435265448498
483,conversation,2.244435265448498
484,wow,2.244435265448498
485,catch,2.23446018242642
486,takes,2.23446018242642
487,led,2.2245346037421623
488,third,2.204830010856139
489,starting,2.204830010856139
490,grinned,2.204830010856139
491,questions,2.204830010856139
492,plenty,2.204830010856139
493,joined,2.204830010856139
494,filled,2.204830010856139
495,private,2.204830010856139
496,divorced,2.1950500402677555
497,ideas,2.1950500402677555
498,wonderful,2.1950500402677555
499,handed,2.1853176609654095
500,often,2.1756324120138335
501,hate,2.1756324120138335
502,waited,2.1659938391419358
503,mcgill,2.1659938391419358
504,break,2.15640149461495
505,notebook,2.146854937109634
506,king,2.1438688802562305
507,putting,2.1373537315924387
508,spent,2.1373537315924387
509,admit,2.1373537315924387
510,barely,2.127897449200547
511,news,2.1184856671257215
512,mine,2.1184856671257215
513,monday,2.1091179685008687
514,camp,2.103046885735975
515,camera,2.026085844599847
516,boo,1.88793550611903
517,war,1.8458240207689032
518,key,1.7761441001309133
519,birthday,1.7384037721480663
520,island,1.7200546334798696
521,twins,1.65836106447453
522,buddy,1.6498503748066211
523,painting,1.6414115061607566
524,garage,1.6165139545390295
525,ew,1.6165139545390295
526,krushers,1.600253433667249
527,envelope,1.600253433667249
528,report,1.5922212619699847
529,test,1.5685047353526689
530,board,1.530185871050532
531,soda,1.5226951993213746
532,porch,1.5226951993213746
533,horse,1.5152602208338564
534,sweater,1.5152602208338564
535,library,1.5078801135362339
536,rock,1.4932813141150811
537,greeted,1.4932813141150811
538,salad,1.4860610661415943
539,ms,1.4788925766629817
540,orange,1.4788925766629817
541,newspaper,1.4788925766629817
542,seats,1.4717751088941178
543,fire,1.4717751088941178
544,famous,1.4717751088941178
545,shop,1.4717751088941178
546,nannie,1.4717751088941178
547,row,1.4647079416710251
548,teachers,1.4576903690123786
549,drawing,1.4576903690123786
550,pikes,1.4576903690123786
551,doors,1.4507216996962853
552,college,1.4507216996962853
553,paint,1.4507216996962853
554,woke,1.4438012568517116
555,example,1.4438012568517116
556,english,1.4369283775639494
557,hurried,1.4369283775639494
558,chairs,1.4301024124935495
559,hat,1.4165886933268268
560,waving,1.4165886933268268
561,pencil,1.4165886933268268
562,artist,1.4032551624573615
563,bored,1.4032551624573615
564,softball,1.4032551624573615
565,stuffed,1.4032551624573615
566,pieces,1.3966544784260095
567,moments,1.3966544784260095
568,dying,1.3966544784260095
569,concerned,1.3900970778798505
570,margo,1.3900970778798505
571,sun,1.3835823968586567
572,nope,1.3706789920227487
573,nancy,1.3706789920227487
574,nearby,1.3706789920227487
575,tough,1.3642891939239776
576,prepared,1.357939966245319
577,wished,1.357939966245319
578,hugged,1.357939966245319
579,earth,1.357939966245319
580,cat,1.357939966245319
581,jumping,1.345361184038459
582,broken,1.345361184038459
583,sounding,1.345361184038459
584,chocolate,1.3391306342878229
585,simple,1.3391306342878229
586,pocket,1.3391306342878229
587,teeth,1.3391306342878229
588,tossed,1.3329386640399017
589,director,1.3329386640399017
590,finger,1.3329386640399017
591,edge,1.3267847984655234
592,frowned,1.3267847984655234
593,opening,1.3206685714480875
594,mirror,1.3206685714480875
595,lay,1.3206685714480875
596,send,1.3145895253717053
597,kits,1.3145895253717053
598,lose,1.3145895253717053
599,excitement,1.3085472109157426
600,snack,1.3025411868555308
601,outfit,1.3025411868555308
602,cover,1.3025411868555308
603,fill,1.3025411868555308
604,pizza,1.296571019869027
605,gasped,1.296571019869027
606,certainly,1.296571019869027
607,happily,1.2906362843492123
608,hasn,1.2906362843492123
609,throw,1.2906362843492123
610,space,1.2906362843492123
611,yard,1.2906362843492123
612,entered,1.2906362843492123
613,control,1.2847365622220241
614,muttered,1.278871442769626
615,discovered,1.278871442769626
616,crossed,1.278871442769626
617,thoughts,1.278871442769626
618,feelings,1.278871442769626
619,warm,1.2730405224588328
620,oldest,1.2730405224588328
621,wore,1.2730405224588328
622,lately,1.2730405224588328
623,realize,1.2557490253487718
624,thursday,1.2500510042341342
625,act,1.2443852666984567
626,invited,1.2443852666984567
627,bell,1.2387514489802007
628,large,1.2387514489802007
629,sam,1.2387514489802007
630,associate,1.2331491934315308
631,amazing,1.2331491934315308
632,foot,1.2331491934315308
633,andrew,1.2331491934315308
634,pink,1.2275781483820756
635,truth,1.2275781483820756
636,color,1.2275781483820756
637,forever,1.2220379680064601
638,touch,1.2220379680064601
639,homework,1.2220379680064601
