,term,score
0,anna,478.3221987713942
1,snow,176.2694684801867
2,kristy,139.99666941930474
3,stacey,114.90646225682953
4,claudia,95.75538521402461
5,dr,75.28421111023788
6,mary,66.43721600777737
7,abby,55.712109612011226
8,mallory,31.422093716278972
9,jessi,27.112123636890804
10,twins,26.53377703159248
11,bsc,21.798879235755567
12,alan,21.03046885735975
13,note,20.68098130732334
14,woman,18.525516965878403
15,driveway,18.404253355203874
16,james,18.09321532730091
17,mall,17.872188990430992
18,chocolate,17.408698245741697
19,booth,17.187079434798925
20,upset,15.433810075992973
21,explained,14.82939966988005
22,hot,14.785306516945868
23,shannon,14.532586157170378
24,tiffany,14.185080304080879
25,test,14.11654261817402
26,maria,14.048085433140308
27,game,14.016609714997175
28,charlotte,13.839597690173237
29,less,13.111905965792456
30,couch,12.393988941177353
31,matt,12.382957035496165
32,suppose,12.301864613487322
33,lindsey,12.212956677143248
34,doctor,11.888488529132754
35,haley,11.867302456691815
36,dollars,11.790355856144533
37,bought,11.787879842126436
38,beside,11.669139178821244
39,charlie,11.578448103674003
40,body,11.475354407085392
41,supplies,11.386581804065367
42,dewitt,11.238468346512246
43,awesome,11.089771646245655
44,handed,10.926588304827048
45,sharon,10.892188879705166
46,window,10.73427468554817
47,eight,10.545589842504343
48,station,10.452969198805569
49,road,10.452969198805569
50,contest,10.449008294929776
51,buy,10.327818966376853
52,becca,10.10660879796198
53,insisted,10.091837600462055
54,pike,10.05507082091889
55,sense,9.965961182074487
56,barn,9.889418713909846
57,offered,9.601433393551687
58,report,9.553327571819908
59,super,9.505579763717234
60,monday,9.49103085825391
61,clock,9.49103085825391
62,twenty,9.221414721671662
63,sports,8.952100099387382
64,gray,8.830357900404298
65,drive,8.741270643861638
66,admitted,8.580614474961298
67,jacket,8.49953215996096
68,information,8.477341925016054
69,brown,8.473942668502886
70,headed,8.436471874003475
71,expression,8.340582467279102
72,helping,8.325984676923895
73,bright,8.032748084959774
74,soccer,8.006777565902752
75,gym,8.001267168336245
76,style,7.99763198423941
77,completely,7.996942380292381
78,richard,7.95887280171589
79,extra,7.9258757800442545
80,afraid,7.751303141613491
81,pow,7.7111621926866825
82,yellow,7.708419373332145
83,apart,7.673228656617756
84,cars,7.650929355252661
85,glanced,7.648611813378933
86,waved,7.648611813378933
87,desk,7.6147134420484175
88,plastic,7.568878200346541
89,hundred,7.5344941520926305
90,definitely,7.51399227988372
91,forward,7.51399227988372
92,putting,7.480738060573535
93,pay,7.447641072201915
94,large,7.432508693881204
95,radio,7.383296083075613
96,cold,7.332227808038761
97,normal,7.2010750451637655
98,office,7.2010750451637655
99,margo,6.950485389399253
100,vanessa,6.950485389399253
101,weeks,6.916061041253746
102,island,6.880218533919479
103,several,6.854522040250613
104,guilty,6.853394960113743
105,tv,6.823987623205785
106,glasses,6.763381047286761
107,reminded,6.763381047286761
108,filled,6.614490032568417
109,joined,6.614490032568417
110,rules,6.603342857240437
111,lifted,6.603342857240437
112,bike,6.5994014992264844
113,its,6.585150120803267
114,ice,6.572947626858526
115,suzi,6.55928548402508
116,group,6.526897236041501
117,tears,6.526897236041501
118,boring,6.512705934277654
119,picture,6.497981517425807
120,earlier,6.4828550993451355
121,picking,6.4828550993451355
122,turning,6.46920448384485
123,break,6.46920448384485
124,shouted,6.46920448384485
125,piece,6.46920448384485
126,dressed,6.440564811328903
127,muttered,6.39435721384813
128,music,6.39435721384813
129,excited,6.383692347601641
130,worked,6.383692347601641
131,sighed,6.383692347601641
132,coat,6.337012369283231
133,taken,6.327353905502607
134,squirt,6.242890379642455
135,shoulders,6.221926333492283
136,ways,6.193757244901004
137,low,6.165745967157655
138,fit,6.055244232154324
139,lawn,5.9731252564603246
140,greeted,5.9731252564603246
141,ashley,5.973095589574279
142,mal,5.947131912088496
143,houses,5.944244264566377
144,excellent,5.915570306651927
145,crying,5.893939921063218
146,notes,5.887100435576471
147,byron,5.8588317666841006
148,blonde,5.841307856128281
149,braddock,5.795695888620438
150,quietly,5.789224051837001
151,wrote,5.763384201044789
152,grew,5.7121017002088434
153,tired,5.686656352671488
154,obviously,5.666354773307307
155,art,5.636150872738968
156,although,5.611088163621245
157,pants,5.586617913704038
158,seems,5.586150456066051
159,wednesday,5.561336509355406
160,neck,5.534329587434627
161,slow,5.534329587434627
162,president,5.487625100669389
163,jobs,5.487625100669389
164,nine,5.4390810300345835
165,hate,5.4390810300345835
166,checked,5.4390810300345835
167,mcgill,5.41498459785484
168,ahead,5.3910037365373755
169,man,5.367137342774085
170,barrett,5.357418033127949
171,uh,5.343384328981097
172,frowned,5.307139193862094
173,video,5.299723947344288
174,town,5.296214167814304
175,besides,5.296214167814304
176,street,5.296214167814304
177,snapped,5.258358101486821
178,joke,5.258358101486821
179,return,5.23418884366297
180,science,5.215211316444199
