,term,score
0,lindsey,241.20589437357916
1,claudia,130.86569312583364
2,ms,130.1425467463424
3,abby,119.38309202573835
4,stacey,81.92405179422106
5,math,67.33305796345493
6,mary,59.05530311802433
7,kristy,57.70855075299585
8,team,56.66316435817511
9,dewitt,50.57310755930511
10,haley,49.44709356954923
11,buddy,44.54596011977877
12,nicky,34.916361960650235
13,vanessa,34.75242694699626
14,stage,32.00506867334498
15,charlotte,30.754661533718306
16,numbers,30.413841714588166
17,mallory,30.29987608355472
18,jessi,29.46969960531609
19,shouted,26.955018682686877
20,suzi,26.23714193610032
21,sheet,24.24770931808544
22,sms,23.645218692205418
23,eight,23.200297653509555
24,bsc,23.009928082186434
25,matt,22.702087898409633
26,problems,21.409674883518583
27,uh,21.373537315924388
28,margo,20.851456168197757
29,emily,19.910164267175308
30,fair,17.76139554663505
31,adam,17.492284428148544
32,mark,17.150951042049844
33,audience,16.61241618692013
34,hundred,16.32473732953403
35,barrett,16.072254099383848
36,marnie,15.831563411388297
37,pike,15.64122127698494
38,tomorrow,14.96147612114707
39,shrugged,14.96147612114707
40,taylor,14.096710264056231
41,victoria,13.886326590132693
42,dinner,13.709266795255648
43,group,13.053794472083002
44,huh,12.387514489802008
45,member,12.126565059708764
46,screamed,12.06304090828987
47,claire,12.052175708590406
48,announced,11.965978266076084
49,twenty,11.526768402089578
50,booth,11.458052956532615
51,downstairs,11.424203400417687
52,crowd,11.405190642970563
53,coat,11.089771646245655
54,third,11.024150054280694
55,mcgill,10.82996919570968
56,ahead,10.782007473074751
57,thomas,10.639487246002734
58,explained,10.592428335628608
59,besides,10.592428335628608
60,anna,10.58234953034058
61,nearly,10.561598344006196
62,charges,10.503878514109127
63,whoa,10.420329494844246
64,exclaimed,10.37409156188062
65,final,10.352248036640871
66,byron,10.252955591697177
67,snow,10.130429222999236
68,stace,10.106019305266743
69,insisted,10.091837600462055
70,became,9.965961182074487
71,seat,9.833929474344343
72,stupid,9.820625187056605
73,nine,9.79034585406225
74,garage,9.699083727234177
75,proud,9.688390771446919
76,company,9.558306604472676
77,street,9.533185502065747
78,question,9.49103085825391
79,yelled,9.472744291538694
80,bus,9.333290538358725
81,eleven,9.017841396382348
82,mood,8.952100099387382
83,muttered,8.952100099387382
84,staring,8.93784072970568
85,oldest,8.911283657211829
86,notes,8.830650653364707
87,seats,8.830650653364707
88,questions,8.819320043424556
89,york,8.741270643861638
90,upstairs,8.741270643861638
91,favorite,8.663975356567743
92,class,8.511589796802188
93,monday,8.436471874003475
94,brain,8.340582467279102
95,daughter,8.30149438115194
96,weekend,8.251515889488505
97,roll,8.224073952136493
98,add,8.224073952136493
99,angry,8.177830998579593
100,star,8.072167104230754
101,eighth,8.032748084959774
102,practice,7.960708790793141
103,project,7.924011428688525
104,johanssen,7.9212654616040385
105,restaurant,7.803612974553069
106,space,7.743817706095274
107,win,7.726688380355672
108,joined,7.7169050379964865
109,nervous,7.7169050379964865
110,hit,7.6147134420484175
111,sugar,7.5344941520926305
112,excuse,7.5003060254048055
113,air,7.480738060573535
114,sitters,7.447641072201915
115,bell,7.432508693881204
116,practically,7.381912889753041
117,clock,7.381912889753041
118,homework,7.332227808038761
119,row,7.323539708355126
120,laughter,7.253608498481427
121,pencil,7.082943466634134
122,wrote,6.916061041253746
123,movie,6.885212644251235
124,entire,6.854522040250613
125,thirteen,6.7936078114665035
126,drew,6.763381047286761
127,somehow,6.733305796345494
128,connecticut,6.70338054727926
129,mad,6.673603811226487
130,meetings,6.643974121382992
131,explain,6.585150120803267
132,lose,6.572947626858526
133,desk,6.526897236041501
134,junk,6.526897236041501
135,center,6.512705934277654
136,box,6.497981517425807
137,broke,6.497981517425807
138,picking,6.4828550993451355
139,triplets,6.4828550993451355
140,window,6.440564811328903
141,figure,6.412061194777316
142,admit,6.412061194777316
143,gym,6.401013734668996
144,sports,6.39435721384813
145,pay,6.383692347601641
146,continued,6.327353905502607
147,test,6.2740189414106755
148,thursday,6.250255021170671
149,officer,6.221926333492283
150,smart,6.193757244901004
151,teacher,6.137890741910378
152,shaking,6.082641560977454
153,genius,6.082641560977454
154,welcome,6.082641560977454
155,using,6.082641560977454
156,peaches,6.038675235220261
157,tuesday,6.027996208316501
158,store,6.027996208316501
159,bathroom,6.027996208316501
160,office,6.000895870969805
161,interrupted,6.000895870969805
162,page,5.9731252564603246
163,richard,5.969154601286917
164,pushed,5.920465182211684
165,um,5.893939921063218
166,jordan,5.830761476049514
167,mumbled,5.693290902032683
168,tv,5.686656352671488
169,totally,5.6613398428887525
170,join,5.6613398428887525
171,total,5.63959882070412
172,young,5.636150872738968
173,stuffed,5.613020649829446
174,stared,5.611088163621245
175,however,5.586617913704038
176,named,5.586150456066051
177,age,5.586150456066051
178,managed,5.561336509355406
179,carefully,5.561336509355406
180,hardly,5.536645101152493
181,burst,5.536645101152493
182,evening,5.512075027140347
183,spier,5.487625100669389
184,divorced,5.487625100669389
185,guilty,5.482715968090995
186,record,5.463294152413524
187,familiar,5.4571567756959105
188,groaned,5.4571567756959105
189,hate,5.4390810300345835
190,closed,5.41498459785484
191,cream,5.406523188208217
192,giggling,5.406523188208217
193,light,5.367137342774085
194,man,5.367137342774085
195,spotted,5.3565225371512915
196,spend,5.343384328981097
197,style,5.331754656159607
198,basement,5.328432300392739
199,younger,5.319743623001367
200,excited,5.319743623001367
201,officers,5.307139193862094
202,video,5.299723947344288
203,news,5.296214167814304
204,town,5.296214167814304
205,rules,5.28267428579235
206,ones,5.272794921252172
207,snapped,5.258358101486821
208,ice,5.258358101486821
209,outfit,5.210164747422123
210,schedule,5.162545137396849
211,friendly,5.162545137396849
212,asleep,5.092162089835331
213,wears,5.000204016936537
214,climbed,5.000204016936537
215,twins,4.97508319342359
216,subject,4.955005795920803
217,involved,4.955005795920803
218,backpack,4.949551124419863
219,signed,4.874233361026635
220,information,4.844195385723459
221,trip,4.8223969666532005
222,luck,4.8223969666532005
223,missing,4.800716696775844
224,softly,4.800716696775844
225,normal,4.800716696775844
226,grace,4.790366617074273
227,yourself,4.779153302236338
228,whenever,4.736372145769347
229,bought,4.7151519368505745
230,mention,4.694043708447198
231,logan,4.673046284902624
232,loud,4.673046284902624
233,expected,4.673046284902624
234,written,4.652158508978017
235,terrific,4.652158508978017
236,kidding,4.610707360835831
237,needs,4.610707360835831
238,sleep,4.610707360835831
239,wall,4.610707360835831
240,hang,4.610707360835831
241,buy,4.590141762834157
242,interested,4.569681360167075
243,watson,4.569681360167075
244,shut,4.569681360167075
245,reach,4.569681360167075
246,tired,4.54932508213719
247,seeing,4.54932508213719
248,party,4.529071874311002
249,missed,4.488870530896996
250,writing,4.488870530896996
251,rock,4.479843942345243
252,road,4.479843942345243
253,newspaper,4.436677729988945
254,ended,4.4293160809219945
255,fire,4.415325326682353
256,shop,4.415325326682353
257,jobs,4.390100080535511
258,wonderful,4.390100080535511
259,president,4.390100080535511
260,its,4.390100080535511
261,drive,4.370635321930819
262,rolled,4.370635321930819
263,paint,4.352165099088856
264,doors,4.352165099088856
265,sitter,4.351264824027667
266,guy,4.3319876782838715
267,picture,4.3319876782838715
268,game,4.3128029892299
269,likes,4.3128029892299
270,become,4.3128029892299
271,lights,4.310785132691848
272,english,4.310785132691848
273,spoke,4.293709874219268
274,notebook,4.293709874219268
275,sign,4.274707463184877
276,card,4.269968176524513
277,apartment,4.26015111624779
278,worked,4.255794898401094
279,changed,4.255794898401094
280,grabbed,4.255794898401094
281,barely,4.255794898401094
282,bags,4.24976607998048
283,round,4.24976607998048
284,brown,4.236971334251443
285,mine,4.236971334251443
286,headed,4.2182359370017375
287,alan,4.20609377147195
288,hallway,4.189963435278028
289,contest,4.17960331797191
290,driving,4.170291233639551
291,bill,4.170291233639551
292,neck,4.15074719057597
293,seventh,4.131329647059117
294,song,4.131329647059117
295,decision,4.131329647059117
296,whose,4.1120369760682465
297,yup,4.1120369760682465
298,building,4.1120369760682465
299,month,4.092867581771933
300,history,4.092867581771933
301,honey,4.092867581771933
302,thrilled,4.092867581771933
303,acting,4.054892391156162
304,jumping,4.036083552115377
305,teeth,4.017391902863468
306,chocolate,4.017391902863468
307,ball,3.998815992119705
308,flew,3.9803543953965703
309,mistake,3.9620057143442624
310,student,3.9620057143442624
311,pile,3.9620057143442624
312,raced,3.943768576115116
313,excitement,3.9256416327472277
314,mimi,3.909253761235404
315,noise,3.9076235605665923
316,beside,3.889713059607081
317,plate,3.871908853047637
318,happily,3.871908853047637
319,braddock,3.8637972590802923
320,heads,3.8542096866660724
321,worst,3.8542096866660724
322,grin,3.836614328308878
323,count,3.836614328308878
324,boxes,3.8191215673764987
325,drove,3.8191215673764987
326,silent,3.6994475802945925
327,glass,3.6994475802945925
328,seriously,3.6994475802945925
329,scared,3.6827344451462265
330,garden,3.671135041203428
331,promised,3.6661139040193804
332,bottom,3.6661139040193804
333,closet,3.649584936586472
334,strange,3.6167977249899
335,faces,3.6167977249899
336,hug,3.6167977249899
337,learn,3.6167977249899
338,offered,3.6005375225818828
339,karen,3.6005375225818828
340,drop,3.5843649766772536
341,mal,3.5682791472530972
342,fifteen,3.55227910932701
343,calm,3.536363952637931
344,step,3.536363952637931
345,planned,3.536363952637931
346,david,3.504784713676968
347,stomach,3.504784713676968
348,vice,3.504784713676968
349,michael,3.504784713676968
350,absolutely,3.489118881733513
351,works,3.489118881733513
352,bunch,3.4735344311022005
353,charlie,3.4735344311022005
354,finish,3.458030520626873
355,interesting,3.458030520626873
356,moving,3.458030520626873
357,bright,3.4426063221256173
358,grew,3.4272610201253064
359,several,3.4272610201253064
360,dr,3.4220095959199037
361,hot,3.4119938116028923
362,locker,3.4040722559543823
363,list,3.3968039057332517
364,park,3.386294361119891
365,ha,3.386294361119891
366,reminded,3.3816905236433805
367,glasses,3.3816905236433805
368,students,3.368673101755581
369,wow,3.366652898172747
370,conversation,3.366652898172747
371,plan,3.35169027363963
372,secret,3.35169027363963
373,usual,3.35169027363963
374,neither,3.3368019056132434
375,sense,3.321987060691496
376,afraid,3.321987060691496
377,leaned,3.3072450162842086
378,grinned,3.3072450162842086
379,grandmother,3.3072450162842086
380,tears,3.2634486180207505
381,french,3.2494889073510898
382,listen,3.2489907587129037
383,california,3.2489907587129037
384,surprise,3.234602241922425
385,krushers,3.200506867334498
386,liked,3.1918461738008204
387,sighed,3.1918461738008204
388,taken,3.1636769527513033
389,calling,3.1636769527513033
390,bottle,3.1214451898212277
391,cheese,3.106001097633407
392,suppose,3.0754661533718304
393,cars,3.060371742101064
394,counter,3.0305204416677127
395,horse,3.0305204416677127
396,excellent,2.9577851533259634
397,lit,2.9294158833420503
398,accident,2.9014433993925706
399,college,2.9014433993925706
400,fashion,2.9014433993925706
401,singing,2.9014433993925706
402,example,2.887602513703423
403,doorbell,2.873856755127899
404,fancy,2.873856755127899
405,murmured,2.860204824987099
406,dancing,2.860204824987099
407,chairs,2.860204824987099
408,waving,2.8331773866536536
409,jacket,2.8331773866536536
410,strong,2.806510324914723
411,juice,2.806510324914723
412,checking,2.806510324914723
413,kinds,2.806510324914723
414,luckily,2.793308956852019
415,pants,2.793308956852019
416,beat,2.793308956852019
417,expression,2.780194155759701
418,milk,2.7671647937173134
419,official,2.7671647937173134
420,coffee,2.7542197647060784
421,enjoy,2.7413579840454974
422,nearby,2.7413579840454974
423,rushed,2.7285783878479553
424,tough,2.7285783878479553
425,prepared,2.715879932490638
426,super,2.715879932490638
427,hugged,2.715879932490638
428,above,2.715879932490638
429,major,2.7032615941041085
430,windows,2.690722368076918
431,diabetes,2.690722368076918
432,simple,2.6782612685756457
433,pocket,2.6782612685756457
434,tossed,2.6658773280798034
435,hide,2.653569596931047
436,frowned,2.653569596931047
437,mirror,2.641337142896175
438,lifted,2.641337142896175
439,opening,2.641337142896175
440,kits,2.6291790507434105
441,dumb,2.6291790507434105
442,born,2.617094421831485
443,months,2.6050823737110615
444,fill,2.6050823737110615
445,sunday,2.593142039738054
446,throw,2.5812725686984246
447,entered,2.5812725686984246
448,dance,2.5694731244440483
449,relief,2.557742885539252
450,apart,2.557742885539252
451,lately,2.5460810449176656
452,disappeared,2.522959400115514
453,loved,2.522959400115514
454,gray,2.522959400115514
455,families,2.522959400115514
456,plans,2.5001020084682684
457,breakfast,2.5001020084682684
458,act,2.4887705333969135
459,shoulders,2.4887705333969135
460,large,2.4775028979604015
461,american,2.4775028979604015
462,associate,2.4662983868630617
463,andrew,2.4662983868630617
464,terrible,2.4662983868630617
465,foot,2.4662983868630617
466,dues,2.455156296764151
467,pink,2.455156296764151
468,shea,2.450243085720164
469,themselves,2.4440759360129203
470,pointing,2.4330566243909812
471,shannon,2.4220976928617297
472,immediately,2.4111984833266003
473,throat,2.4111984833266003
474,steps,2.4111984833266003
475,clients,2.400358348387922
476,shy,2.389576651118169
477,track,2.389576651118169
478,gathered,2.3788527648353983
479,gently,2.3788527648353983
480,including,2.3681860728846735
481,shoes,2.3575759684252873
482,happens,2.3575759684252873
483,poor,2.3575759684252873
484,silence,2.3575759684252873
485,pull,2.336523142451312
486,quick,2.3260792544890085
487,wondering,2.3260792544890085
488,woman,2.3156896207348003
489,ride,2.3156896207348003
490,quietly,2.3156896207348003
491,awhile,2.3053536804179156
492,loudly,2.3053536804179156
493,single,2.2950708814170784
494,nose,2.2950708814170784
495,body,2.2950708814170784
496,jeans,2.2950708814170784
497,bedroom,2.2950708814170784
498,bart,2.277400272880753
499,forgotten,2.274662541068595
500,lucky,2.274662541068595
501,schafer,2.274662541068595
502,ear,2.274662541068595
503,himself,2.264535937155501
504,forgot,2.264535937155501
505,water,2.264535937155501
506,grown,2.254460349095587
507,sisters,2.244435265448498
508,married,2.244435265448498
509,silly,2.244435265448498
510,names,2.244435265448498
511,green,2.23446018242642
512,takes,2.23446018242642
513,lunch,2.23446018242642
514,none,2.23446018242642
515,listened,2.2245346037421623
516,loves,2.2245346037421623
517,wednesday,2.2245346037421623
518,upset,2.204830010856139
519,stayed,2.204830010856139
520,starting,2.204830010856139
521,private,2.204830010856139
522,repeated,2.1950500402677555
523,stairs,2.1950500402677555
524,less,2.1853176609654095
525,glanced,2.1853176609654095
526,often,2.1756324120138335
527,quite,2.1756324120138335
528,threw,2.1756324120138335
529,asking,2.1756324120138335
530,others,2.1659938391419358
531,kishi,2.1659938391419358
532,bag,2.1659938391419358
533,turning,2.15640149461495
534,deal,2.15640149461495
535,beautiful,2.15640149461495
536,dressed,2.146854937109634
537,forward,2.146854937109634
538,definitely,2.146854937109634
539,boyfriend,2.146854937109634
540,king,2.1438688802562305
541,spent,2.1373537315924387
542,imagine,2.1373537315924387
543,helped,2.1184856671257215
544,stepped,2.1184856671257215
545,awful,2.1091179685008687
546,bat,1.966187703018778
547,rodowsky,1.954626880617702
548,pop,1.9431981847940794
549,radio,1.8458240207689032
550,war,1.8458240207689032
551,clue,1.835567520601714
552,cake,1.7955621859880149
553,mail,1.7955621859880149
554,band,1.7570959051602189
555,den,1.7291871170431423
556,island,1.7200546334798696
557,dollars,1.6843365508777906
558,police,1.6843365508777906
559,rose,1.6843365508777906
560,train,1.6669448081659213
561,mall,1.6247444536755449
562,field,1.6165139545390295
563,envelope,1.600253433667249
564,report,1.5922212619699847
565,lines,1.5763479128136946
566,pen,1.5530005488167036
567,babies,1.5453376760711344
568,receiver,1.5377330766859152
569,kiss,1.530185871050532
570,flowers,1.530185871050532
571,apple,1.530185871050532
572,board,1.530185871050532
573,porch,1.5226951993213746
574,machine,1.5152602208338564
575,lessons,1.5078801135362339
576,study,1.500554073444161
577,greeted,1.4932813141150811
578,salad,1.4860610661415943
579,doctor,1.4860610661415943
580,tape,1.4860610661415943
581,houses,1.4860610661415943
582,nannie,1.4717751088941178
583,famous,1.4717751088941178
584,hiding,1.4576903690123786
585,drawing,1.4576903690123786
586,woke,1.4438012568517116
587,hurried,1.4369283775639494
588,cookies,1.4369283775639494
589,scene,1.4369283775639494
590,impressed,1.4301024124935495
591,sang,1.4301024124935495
592,pleased,1.4233227255081708
593,emergency,1.4233227255081708
594,area,1.4165886933268268
595,hat,1.4165886933268268
596,slid,1.4165886933268268
597,softball,1.4032551624573615
598,dying,1.3966544784260095
599,baseball,1.3966544784260095
600,bowl,1.3966544784260095
601,concerned,1.3900970778798505
602,slow,1.3835823968586567
603,smell,1.3771098823530392
604,nancy,1.3706789920227487
605,michelle,1.3642891939239776
606,letters,1.3642891939239776
607,gorgeous,1.3642891939239776
608,everywhere,1.357939966245319
609,tree,1.357939966245319
610,earth,1.357939966245319
611,horrible,1.3516307970520542
612,rather,1.345361184038459
613,broken,1.345361184038459
614,following,1.3391306342878229
615,crowded,1.3391306342878229
616,glance,1.3391306342878229
617,forth,1.3391306342878229
618,jewelry,1.3329386640399017
619,director,1.3329386640399017
620,doorway,1.3267847984655234
621,pass,1.3206685714480875
622,joke,1.3145895253717053
623,driveway,1.3145895253717053
624,candy,1.3025411868555308
625,boring,1.3025411868555308
626,snack,1.3025411868555308
627,earlier,1.296571019869027
628,gasped,1.296571019869027
629,certainly,1.296571019869027
630,disappointed,1.2906362843492123
631,classes,1.2906362843492123
632,hasn,1.2906362843492123
633,recently,1.2906362843492123
634,tall,1.2906362843492123
635,child,1.2906362843492123
636,yesterday,1.2906362843492123
637,yellow,1.2847365622220241
638,cleared,1.2847365622220241
639,promise,1.2847365622220241
640,grinning,1.278871442769626
641,discovered,1.278871442769626
642,feelings,1.278871442769626
643,thoughts,1.278871442769626
644,music,1.278871442769626
645,wore,1.2730405224588328
646,aside,1.267243404774507
647,carrying,1.261479700057757
648,embarrassed,1.261479700057757
649,plastic,1.261479700057757
650,appeared,1.2557490253487718
651,ground,1.2557490253487718
652,realize,1.2557490253487718
653,toys,1.2500510042341342
654,spread,1.2500510042341342
655,ballet,1.2500510042341342
656,feels,1.2500510042341342
657,confused,1.2443852666984567
658,ears,1.2387514489802007
659,jeff,1.2387514489802007
660,sam,1.2387514489802007
661,ways,1.2387514489802007
662,sent,1.2387514489802007
663,low,1.2331491934315308
664,amazing,1.2331491934315308
665,sixth,1.2275781483820756
666,sigh,1.2220379680064601
667,cold,1.2220379680064601
668,stories,1.2220379680064601
669,touch,1.2220379680064601
670,forever,1.2220379680064601
671,dog,1.2165283121954906
672,brewer,1.2165283121954906
673,note,1.2165283121954906
674,spot,1.2165283121954906
675,ramsey,1.2165283121954906
676,closer,1.2165283121954906
677,fit,1.2110488464308649
678,games,1.2110488464308649
679,bruno,1.2110488464308649
680,keeping,1.2055992416633001
681,hoping,1.2055992416633001
682,janine,1.2055992416633001
683,sight,1.2055992416633001
684,wide,1.200179174193961
685,claud,1.200179174193961
686,learned,1.200179174193961
687,allowed,1.200179174193961
688,mostly,1.1894263824176992
689,helping,1.1894263824176992
690,treasurer,1.1894263824176992
691,fingers,1.1840930364423368
