,term,score
0,sean,543.6375754953156
1,josh,419.5107821932186
2,mark,353.738365242278
3,corrie,211.80979448256727
4,abby,206.93069284461313
5,kristy,112.21107090860303
6,king,87.89862409050545
7,stacey,87.24379541722243
8,mary,85.41927772428518
9,claudia,72.3485132728186
10,seventh,63.34705458823981
11,sitter,33.722302386214416
12,gym,30.40481523967773
13,jessi,29.46969960531609
14,bsc,29.065172314340757
15,music,28.13517174093177
16,uh,25.648244779109262
17,kiss,24.482973936808513
18,sitters,24.47082066580629
19,class,23.406871941206017
20,homework,21.996683424116284
21,huh,19.82002318368321
22,ms,19.225603496618763
23,mallory,17.955482123587984
24,eighth,17.21303161062809
25,plan,16.758451368198152
26,shouted,16.173011209612127
27,shrugged,16.03015298694329
28,joke,15.775074304460464
29,song,15.148208705883432
30,totally,14.719483591510757
31,turning,14.016609714997175
32,ha,13.545177444479563
33,math,13.466611592690988
34,lunch,13.40676109455852
35,cute,12.793435899689547
36,hate,11.965978266076084
37,snapped,11.831305728345347
38,practically,11.600148826754777
39,drive,10.926588304827048
40,dumb,10.516716202973642
41,loud,10.514354141030905
42,grin,10.230971542157008
43,murmured,10.010716887454846
44,hallway,9.776581348982067
45,signed,9.74846672205327
46,guy,9.746972276138711
47,sheet,9.699083727234177
48,luck,9.644793933306401
49,explained,9.533185502065747
50,monday,9.49103085825391
51,win,9.272026056426807
52,exclaimed,9.221414721671662
53,burst,8.858632161843989
54,insisted,8.830357900404298
55,president,8.780200161071022
56,group,8.702529648055334
57,announced,8.702529648055334
58,desk,8.702529648055334
59,den,8.645935585215712
60,sigh,8.55426577604522
61,lying,8.55426577604522
62,sign,8.549414926369755
63,barely,8.511589796802188
64,total,8.45939823105618
65,continued,8.436471874003475
66,yelled,8.288651255096358
67,shot,8.214576489782598
68,wild,8.14127739071153
69,mentioned,8.1049136725718
70,stage,8.001267168336245
71,himself,7.9258757800442545
72,reminded,7.890611221834554
73,sms,7.881739564068473
74,named,7.82061063849247
75,restaurant,7.803612974553069
76,sense,7.751303141613491
77,dance,7.708419373332145
78,explain,7.682675140937144
79,muttered,7.673228656617756
80,seat,7.648611813378933
81,closed,7.580978436996775
82,kishi,7.580978436996775
83,machine,7.576301104169282
84,embarrassed,7.568878200346541
85,air,7.480738060573535
86,rock,7.466406570575406
87,thomas,7.447641072201915
88,sent,7.432508693881204
89,tape,7.430305330707972
90,brown,7.414699834940025
91,town,7.414699834940025
92,news,7.414699834940025
93,headed,7.381912889753041
94,stupid,7.365468890292453
95,fire,7.358875544470589
96,fashion,7.253608498481427
97,softly,7.2010750451637655
98,chairs,7.150512062467747
99,mal,7.1365582945061945
100,fair,7.10455821865402
101,mention,7.041065562670798
102,angry,7.009569427353936
103,bunch,6.947068862204401
104,kidding,6.916061041253746
105,whether,6.916061041253746
106,shut,6.854522040250613
107,groaned,6.821445969619888
108,locker,6.808144511908765
109,list,6.7936078114665035
110,tree,6.789699831226596
111,lips,6.789699831226596
112,age,6.70338054727926
113,glance,6.6956531714391145
114,slipped,6.6956531714391145
115,managed,6.673603811226487
116,wednesday,6.673603811226487
117,meetings,6.643974121382992
118,twice,6.633923992327617
119,backpack,6.5994014992264844
120,mall,6.4989778147021795
121,picking,6.4828550993451355
122,throw,6.453181421746061
123,window,6.440564811328903
124,admit,6.412061194777316
125,envelope,6.401013734668996
126,crossed,6.39435721384813
127,worked,6.383692347601641
128,grabbed,6.383692347601641
129,excited,6.383692347601641
130,decide,6.365202612294164
131,helped,6.3554570013771645
132,anna,6.349409718204348
133,coat,6.337012369283231
134,contest,6.2694049769578655
135,seriously,6.165745967157655
136,receiver,6.150932306743661
137,suppose,6.150932306743661
138,bottom,6.110189840032301
139,shaking,6.082641560977454
140,faces,6.027996208316501
141,strange,6.027996208316501
142,whenever,5.920465182211684
143,date,5.893939921063218
144,nearly,5.867554635558998
145,stomach,5.841307856128281
146,doors,5.802886798785141
147,charlie,5.789224051837001
148,thinks,5.763384201044789
149,wall,5.763384201044789
150,english,5.747713510255798
151,buy,5.737677203542696
152,downstairs,5.7121017002088434
153,hanging,5.686656352671488
154,thirteen,5.6613398428887525
155,forgot,5.6613398428887525
156,grown,5.636150872738968
157,dying,5.586617913704038
158,staring,5.586150456066051
159,green,5.586150456066051
160,secret,5.586150456066051
161,expression,5.560388311519402
162,audience,5.537472062306709
163,became,5.536645101152493
164,official,5.534329587434627
165,milk,5.534329587434627
166,member,5.512075027140347
167,questions,5.512075027140347
168,nervous,5.512075027140347
169,smell,5.508439529412157
170,repeated,5.487625100669389
171,raised,5.487625100669389
172,regular,5.487625100669389
173,boys,5.487625100669389
174,cry,5.463294152413524
175,rolled,5.463294152413524
176,month,5.4571567756959105
177,threw,5.4390810300345835
178,nine,5.4390810300345835
179,junk,5.4390810300345835
180,tears,5.4390810300345835
181,others,5.41498459785484
182,listen,5.41498459785484
183,acting,5.406523188208217
184,major,5.406523188208217
185,giggling,5.406523188208217
186,deal,5.3910037365373755
187,surprise,5.3910037365373755
188,honest,5.381444736153836
189,boyfriend,5.367137342774085
190,direction,5.3565225371512915
191,teeth,5.3565225371512915
192,tomorrow,5.343384328981097
193,figure,5.343384328981097
194,sighed,5.319743623001367
195,besides,5.296214167814304
196,pile,5.28267428579235
197,ones,5.272794921252172
198,raced,5.258358101486821
199,whoa,5.210164747422123
200,schedule,5.162545137396849
201,classes,5.162545137396849
202,control,5.138946248888097
203,asleep,5.092162089835331
204,numbers,5.068973619098028
205,climbed,5.000204016936537
206,ways,4.955005795920803
207,smart,4.955005795920803
208,bell,4.955005795920803
209,animals,4.92423451848227
210,teacher,4.910312593528302
211,information,4.844195385723459
212,janine,4.8223969666532005
213,throat,4.8223969666532005
214,hug,4.8223969666532005
215,clients,4.800716696775844
216,drop,4.779153302236338
217,happens,4.7151519368505745
218,flowers,4.590557613151596
219,dress,4.590141762834157
220,bedroom,4.590141762834157
221,watson,4.569681360167075
