,term,score
0,charlie,397.14076995601823
1,abby,115.4036556248804
2,kristy,68.39531941095804
3,claudia,67.02876964981722
4,mary,64.3280980392765
5,jessi,56.581823242206895
6,field,48.49541863617088
7,bat,47.18850487245067
8,michael,45.56220127780059
9,david,45.56220127780059
10,krushers,44.80709614268297
11,linny,43.113299553668455
12,practice,42.45711355089675
13,watson,42.26955258154544
14,team,42.195973458215505
15,ball,39.98815992119705
16,bart,36.43840436609205
17,claire,36.15652712577122
18,sam,35.92379202042582
19,jamie,30.554807884086976
20,coach,30.554807884086976
21,uh,29.92295224229414
22,hit,27.19540515017292
23,nina,26.878930153084255
24,softball,25.258592924232506
25,buddy,24.747755622099316
26,jake,23.153395797248997
27,shouted,22.642215693456976
28,kuhn,21.853244361266796
29,plate,20.650180549587397
30,jackie,20.01694391475688
31,officer,19.910164267175308
32,suzi,19.67785645207524
33,drive,19.667858948688686
34,stacey,19.15107704280492
35,police,18.527702059655695
36,bsc,18.165732696462975
37,nannie,17.661301306729413
38,radio,16.61241618692013
39,mallory,15.711046858139486
40,pike,15.64122127698494
41,karen,15.602329264521492
42,junk,15.229426884096835
43,station,14.932813141150811
44,alan,14.721328200151827
45,hannie,14.057985332199399
46,baseball,13.966544784260096
47,thomas,13.831333419803554
48,huh,13.626265938782208
49,college,13.056495297266567
50,tomorrow,12.824122389554631
51,anna,12.698819436408696
52,barrett,12.500642077298549
53,catch,12.28953100334531
54,uncle,12.231050187590425
55,stamford,12.06304090828987
56,chips,12.004432587553287
57,sitters,11.703435970603008
58,singing,11.605773597570282
59,green,11.172300912132101
60,stupid,11.04820333543868
61,papadakis,11.005136470480895
62,rolled,10.926588304827048
63,center,10.420329494844246
64,matt,10.31913086291347
65,age,10.05507082091889
66,climbed,10.000408033873073
67,bike,9.899102248839727
68,strong,9.82278613720153
69,truth,9.820625187056605
70,vacation,9.79825953894144
71,sitter,9.79034585406225
72,driving,9.730679545158953
73,game,9.703806725767276
74,official,9.685076778010597
75,envelope,9.601520602003493
76,pay,9.57553852140246
77,mal,9.515411059341593
78,clock,9.49103085825391
79,bottle,9.364335569463684
80,angry,9.346092569805249
81,ride,9.262758482939201
82,grown,9.017841396382348
83,sports,8.952100099387382
84,third,8.819320043424556
85,upset,8.819320043424556
86,adam,8.746142214074272
87,legs,8.632044354020715
88,break,8.6256059784598
89,deal,8.6256059784598
90,helped,8.473942668502886
91,dinner,8.436471874003475
92,dewitt,8.428851259884183
93,loud,8.177830998579593
94,super,8.147639797471914
95,hang,8.068737881462704
96,taylor,8.055263008032131
97,teeth,8.034783805726937
98,tossed,7.99763198423941
99,richard,7.95887280171589
100,totally,7.9258757800442545
101,raced,7.887537152230232
102,dumb,7.887537152230232
103,notice,7.751303141613491
104,glanced,7.648611813378933
105,bag,7.580978436996775
106,broke,7.580978436996775
107,lessons,7.539400567681169
108,ground,7.5344941520926305
109,breakfast,7.5003060254048055
110,grabbed,7.447641072201915
111,besides,7.414699834940025
112,stepped,7.414699834940025
113,eight,7.381912889753041
114,question,7.381912889753041
115,shannon,7.266293078585189
116,accident,7.253608498481427
117,mail,7.1822487439520595
118,waving,7.082943466634134
119,mention,7.041065562670798
120,clear,6.947068862204401
121,jeans,6.885212644251235
122,himself,6.7936078114665035
123,forgot,6.7936078114665035
124,ha,6.772588722239782
125,conversation,6.733305796345494
126,lunch,6.70338054727926
127,million,6.633923992327617
128,starting,6.614490032568417
129,spier,6.585150120803267
130,born,6.542736054578713
131,fortunately,6.53217302596096
132,boyfriend,6.440564811328903
133,forward,6.440564811328903
134,mood,6.39435721384813
135,music,6.39435721384813
136,news,6.3554570013771645
137,explained,6.3554570013771645
138,calling,6.327353905502607
139,wears,6.250255021170671
140,brewer,6.082641560977454
141,machine,6.0610408833354255
142,screamed,6.031520454144935
143,store,6.027996208316501
144,company,5.973941627795423
145,backyard,5.9731252564603246
146,shot,5.867554635558998
147,rodowsky,5.863880641853106
148,pull,5.841307856128281
149,played,5.841307856128281
150,pikes,5.830761476049514
151,fashion,5.802886798785141
152,needs,5.763384201044789
153,murmured,5.720409649974198
154,empty,5.636150872738968
155,nicky,5.586617913704038
156,bowl,5.586617913704038
157,seems,5.586150456066051
158,managed,5.561336509355406
159,member,5.512075027140347
160,newton,5.506702561805142
161,garden,5.506702561805142
162,upstairs,5.463294152413524
163,seat,5.463294152413524
164,tough,5.4571567756959105
165,familiar,5.4571567756959105
166,nine,5.4390810300345835
167,announced,5.4390810300345835
168,others,5.41498459785484
169,closed,5.41498459785484
170,turning,5.3910037365373755
171,likes,5.3910037365373755
172,surprise,5.3910037365373755
173,jumping,5.381444736153836
174,air,5.343384328981097
175,edge,5.307139193862094
176,brown,5.296214167814304
177,practically,5.272794921252172
178,snack,5.210164747422123
179,earlier,5.186284079476108
180,throw,5.162545137396849
181,happily,5.162545137396849
182,drove,5.092162089835331
183,insisted,5.045918800231028
184,gray,5.045918800231028
185,loved,5.045918800231028
186,emily,4.977541066793827
187,giggled,4.955005795920803
188,sent,4.955005795920803
189,andrew,4.932596773726123
190,silent,4.932596773726123
191,dues,4.910312593528302
192,note,4.8661132487819625
193,games,4.844195385723459
194,allowed,4.800716696775844
195,gently,4.757705529670797
196,date,4.7151519368505745
197,nearly,4.694043708447198
198,expected,4.673046284902624
199,receiver,4.613199230057745
200,single,4.590141762834157
201,grew,4.569681360167075
202,downstairs,4.569681360167075
203,ear,4.54932508213719
204,thirteen,4.529071874311002
205,reminded,4.508920698191174
206,charges,4.5016622203324825
207,rock,4.479843942345243
208,doctor,4.458183198424782
209,mad,4.4490692074843246
210,meetings,4.4293160809219945
211,safe,4.415325326682353
212,seats,4.415325326682353
213,private,4.409660021712278
214,questions,4.409660021712278
215,sick,4.409660021712278
216,president,4.390100080535511
217,jordan,4.373071107037136
218,record,4.370635321930819
219,threw,4.351264824027667
220,tears,4.351264824027667
221,mcgill,4.3319876782838715
222,brothers,4.3319876782838715
223,listen,4.3319876782838715
224,kishi,4.3319876782838715
225,energy,4.331403770555134
226,ahead,4.3128029892299
227,heading,4.290307237480649
228,king,4.287737760512461
229,figure,4.274707463184877
230,mumbled,4.269968176524513
231,excited,4.255794898401094
232,mine,4.236971334251443
233,street,4.236971334251443
234,total,4.22969911552809
235,pants,4.189963435278028
236,vanessa,4.170291233639551
237,brain,4.170291233639551
238,margo,4.170291233639551
239,bill,4.170291233639551
240,slow,4.15074719057597
241,smell,4.131329647059117
242,above,4.073819898735957
243,lips,4.073819898735957
244,cream,4.054892391156162
245,broken,4.036083552115377
246,crowded,4.017391902863468
247,pocket,4.017391902863468
248,stepsister,3.998815992119705
249,flew,3.9803543953965703
250,lifted,3.9620057143442624
251,ice,3.943768576115116
252,snapped,3.943768576115116
253,excitement,3.9256416327472277
254,mimi,3.909253761235404
255,fill,3.9076235605665923
256,pizza,3.889713059607081
257,triplets,3.889713059607081
258,pop,3.8863963695881587
259,tall,3.871908853047637
260,braddock,3.8637972590802923
261,cleared,3.8542096866660724
262,worst,3.8542096866660724
263,apart,3.836614328308878
264,muttered,3.836614328308878
265,numbers,3.8017302143235208
266,embarrassed,3.7844391001732705
267,sugar,3.7672470760463153
268,appeared,3.7672470760463153
269,spread,3.7501530127024028
270,excuse,3.7501530127024028
271,patrick,3.7124847981700757
272,foot,3.6994475802945925
273,audience,3.6916480415378063
