,term,score
0,justin,193.81740621724504
1,kristy,133.58460822452741
2,class,130.86569312583364
3,abby,113.41393742445143
4,parade,107.16877288958061
5,jessi,81.33637091067241
6,buddy,79.19281799071781
7,claudia,74.47641072201914
8,band,72.04093211156898
9,stacey,70.22061582361805
10,mary,64.3280980392765
11,taylor,52.35920955220885
12,lindsey,39.69210920071556
13,mallory,39.277617145348714
14,children,38.987889104554846
15,mal,36.87221785494867
16,sixth,36.82734445146227
17,dewitt,36.5250221261648
18,barrett,35.716120220853
19,report,35.02886776333966
20,booth,34.37415886959785
21,raised,34.02327562415021
22,anna,33.863518497089856
23,student,33.01671428620219
24,library,31.665482384260912
25,several,30.845349181127755
26,boys,29.633175543614698
27,adam,29.15380738024757
28,sms,28.374262430646503
29,sitters,27.66266683960711
30,suzi,26.23714193610032
31,desk,25.019772738159084
32,marnie,24.87817107503875
33,claud,24.00358348387922
34,students,23.580711712289066
35,group,22.84414032614525
36,explained,22.244099504820078
37,dollars,21.896375161411278
38,row,20.505911183394353
39,entire,19.42114578071007
40,field,19.398167454468354
41,claire,18.74782888002952
42,hannie,18.743980442932532
43,bell,17.34252028572281
44,favorite,17.327950713135486
45,coach,17.187079434798925
46,johnson,17.022096364897056
47,linny,16.766283159759958
48,pike,16.758451368198152
49,margo,16.681164934558204
50,leaned,16.53622508142104
51,bike,16.498503748066213
52,shouted,16.173011209612127
53,teacher,15.958515928966982
54,supplies,15.65654998058988
55,nicky,15.363199262686106
56,hit,15.229426884096835
57,loud,15.187400425933529
58,box,15.16195687399355
59,air,14.96147612114707
60,continued,14.763825779506082
61,join,14.719483591510757
62,speak,14.719483591510757
63,officers,14.594632783120758
64,bsc,14.532586157170378
65,gasped,14.262281218559297
66,seat,14.20456479627516
67,break,14.016609714997175
68,spent,13.892799255350852
69,plastic,13.876276700635326
70,charlotte,13.839597690173237
71,monday,13.709266795255648
72,ears,13.626265938782208
73,giggled,13.626265938782208
74,takes,13.40676109455852
75,project,13.206685714480875
76,ideas,13.170300241606533
77,raced,13.145895253717052
78,waved,13.111905965792456
79,notebook,12.881129622657806
80,wild,12.793435899689547
81,news,12.710914002754329
82,sharon,12.70755369298936
83,eighth,12.622889847793932
84,luckily,12.569890305834086
85,smart,12.387514489802008
86,van,12.382957035496165
87,sisters,12.34439395996674
88,announced,11.965978266076084
89,candy,11.722870681699778
90,grin,11.509842984926633
91,hurried,11.495427020511595
92,ear,11.373312705342975
93,waving,11.332709546614614
94,stared,11.22217632724249
95,baseball,11.173235827408076
96,subject,11.148763040821807
97,brain,11.120776623038804
98,building,10.96543193618199
99,brothers,10.82996919570968
100,spoke,10.73427468554817
101,shrugged,10.686768657962194
102,grabbed,10.639487246002734
103,practice,10.614278387724188
104,town,10.592428335628608
105,tape,10.40242746299116
106,wore,10.184324179670663
107,murmured,10.010716887454846
108,starting,9.921735048852625
109,grinned,9.921735048852625
110,repeated,9.8777251812049
111,president,9.8777251812049
112,stupid,9.820625187056605
113,checked,9.79034585406225
114,picture,9.746972276138711
115,throat,9.644793933306401
116,office,9.601433393551687
117,logan,9.346092569805249
118,covered,9.304317017956034
119,edge,9.287493589258665
120,weeks,9.221414721671662
121,music,8.952100099387382
122,catch,8.93784072970568
123,lunch,8.93784072970568
124,plan,8.93784072970568
125,crowd,8.870703833421548
126,teachers,8.746142214074272
127,huh,8.671260142861405
128,eye,8.663975356567743
129,bag,8.663975356567743
130,foot,8.632044354020715
131,homework,8.55426577604522
132,liked,8.511589796802188
133,worked,8.511589796802188
134,total,8.45939823105618
135,eight,8.436471874003475
136,vanessa,8.340582467279102
137,song,8.262659294118235
138,shot,8.214576489782598
139,major,8.109784782312325
140,grew,7.996942380292381
141,water,7.9258757800442545
142,pictures,7.887537152230232
143,cover,7.815247121133185
144,afraid,7.751303141613491
145,classes,7.743817706095274
146,joined,7.7169050379964865
147,control,7.708419373332145
148,flowers,7.650929355252661
149,rolled,7.648611813378933
150,jamie,7.638701971021744
151,boxes,7.638243134752997
152,folded,7.6034604286470415
153,surprise,7.547405231152325
154,page,7.466406570575406
155,shoulders,7.466311600190741
156,comes,7.414699834940025
157,mine,7.414699834940025
158,byron,7.323539708355126
159,jordan,7.288451845061893
160,proud,7.266293078585189
161,paint,7.253608498481427
162,team,7.2335954499798
163,becca,7.219006284258558
164,sang,7.150512062467747
165,basement,7.104576400523653
166,yelled,7.10455821865402
167,pencil,7.082943466634134
168,shoes,7.072727905275862
169,jenny,6.978571311150555
170,cute,6.978237763467026
171,quick,6.978237763467026
172,written,6.978237763467026
173,quietly,6.947068862204401
174,milk,6.9179119842932835
175,thinks,6.916061041253746
176,decision,6.885549411765196
177,begin,6.885212644251235
178,body,6.885212644251235
179,groaned,6.821445969619888
180,secretary,6.7936078114665035
181,extra,6.7936078114665035
182,park,6.772588722239782
183,glasses,6.763381047286761
184,usual,6.70338054727926
185,spotted,6.6956531714391145
186,carefully,6.673603811226487
187,listened,6.673603811226487
188,hardly,6.643974121382992
189,frowned,6.633923992327617
190,upset,6.614490032568417
191,filled,6.614490032568417
192,papadakis,6.603081882288538
193,prezzioso,6.55928548402508
194,nine,6.526897236041501
195,fill,6.512705934277654
196,earlier,6.4828550993451355
197,beside,6.4828550993451355
198,triplets,6.4828550993451355
199,piece,6.46920448384485
200,forward,6.440564811328903
201,paused,6.423682811110121
202,cleared,6.423682811110121
203,sergeant,6.40331834880817
204,sports,6.39435721384813
205,crossed,6.39435721384813
206,brown,6.3554570013771645
207,stick,6.336217023872535
208,calling,6.327353905502607
209,seconds,6.307398500288785
210,appeared,6.278745126743859
211,squirt,6.242890379642455
212,dining,6.212002195266814
213,carrot,6.191478517748083
214,pointing,6.082641560977454
215,camera,6.078257533799541
216,charges,6.002216293776644
217,rock,5.9731252564603246
218,richard,5.969154601286917
219,pushed,5.920465182211684
220,fifteen,5.920465182211684
221,tiny,5.893939921063218
222,weekend,5.893939921063218
223,nearly,5.867554635558998
224,lit,5.8588317666841006
225,stomach,5.841307856128281
226,clear,5.789224051837001
227,speaking,5.789224051837001
228,twenty,5.763384201044789
229,settled,5.737677203542696
230,shut,5.7121017002088434
231,watson,5.7121017002088434
232,round,5.666354773307307
233,himself,5.6613398428887525
234,young,5.636150872738968
235,maria,5.619234173256123
236,softball,5.613020649829446
237,secret,5.586150456066051
238,staring,5.586150456066051
239,green,5.586150456066051
240,wednesday,5.561336509355406
241,neck,5.534329587434627
242,questions,5.512075027140347
243,member,5.512075027140347
244,garden,5.506702561805142
245,jobs,5.487625100669389
246,cokie,5.463311090316699
247,record,5.463294152413524
248,tough,5.4571567756959105
249,gorgeous,5.4571567756959105
250,lips,5.431759864981276
251,tree,5.431759864981276
252,hugged,5.431759864981276
253,listen,5.41498459785484
254,others,5.41498459785484
255,waited,5.41498459785484
256,giggling,5.406523188208217
257,definitely,5.367137342774085
258,uh,5.343384328981097
259,finger,5.331754656159607
260,barely,5.319743623001367
261,pay,5.319743623001367
262,question,5.272794921252172
263,clock,5.272794921252172
264,heads,5.138946248888097
265,organized,5.138946248888097
266,dr,5.133014393879856
267,count,5.115485771078504
268,muttered,5.115485771078504
269,mystery,5.026808612727107
270,hundred,5.022996101395087
271,act,4.977541066793827
272,terrible,4.932596773726123
273,amazing,4.932596773726123
274,painting,4.92423451848227
275,spot,4.8661132487819625
276,bathroom,4.8223969666532005
277,tuesday,4.8223969666532005
278,gym,4.8007603010017466
279,allowed,4.800716696775844
280,grace,4.790366617074273
281,drop,4.779153302236338
282,johanssen,4.752759276962424
283,whenever,4.736372145769347
284,fingers,4.736372145769347
285,planned,4.7151519368505745
286,bought,4.7151519368505745
287,mention,4.694043708447198
288,played,4.673046284902624
289,mess,4.673046284902624
290,pen,4.659001646450111
291,cheese,4.659001646450111
292,babies,4.636013028213403
293,wall,4.610707360835831
294,kidding,4.610707360835831
295,board,4.590557613151596
296,cars,4.590557613151596
297,buy,4.590141762834157
298,nose,4.590141762834157
299,completely,4.569681360167075
300,reach,4.569681360167075
