,term,score
0,logan,188.09011296733064
1,abby,143.259710430886
2,claudia,100.0111801124257
3,kristy,92.97488732427108
4,alan,79.91578165796706
5,jamie,72.56766872470656
6,sharon,70.79922771808359
7,mary,50.61883124402085
8,pool,43.92253633337503
9,stacey,43.621897708611215
10,james,42.97138640233966
11,dr,41.06411515103885
12,bruno,37.54251423935681
13,class,37.23820536100957
14,emergency,35.583068137704274
15,johanssen,34.85356803105777
16,bsc,33.909367700064216
17,lucy,30.209971711233592
18,jackie,28.02372148065963
19,man,27.909114182425245
20,fire,26.49195196009412
21,jessi,24.754547668465516
22,uh,24.579567913313046
23,blood,24.482973936808513
24,newton,23.86237776782228
25,melody,23.638392771780474
26,bike,23.097905247292694
27,water,21.51309140297726
28,air,21.373537315924388
29,mallory,21.32213502176073
30,fair,21.31367465596206
31,camp,21.03046885735975
32,linny,19.161466468297093
33,summer,18.57498717851733
34,crowd,17.741407666843095
35,jeff,17.34252028572281
36,shouted,17.2512119569196
37,body,17.21303161062809
38,hot,17.059969058014463
39,tears,15.229426884096835
40,announced,15.229426884096835
41,center,14.327953055410838
42,hannie,14.057985332199399
43,bill,13.900970778798506
44,pete,13.85796681059385
45,huh,13.626265938782208
46,woman,12.736292914041401
47,anna,12.698819436408696
48,hospital,12.301864613487322
49,pike,12.28953100334531
50,throat,12.055992416633002
51,yelled,11.840930364423368
52,candy,11.722870681699778
53,child,11.61572655914291
54,accident,11.605773597570282
55,exclaimed,11.526768402089578
56,murmured,11.440819299948396
57,climbed,11.250459038107207
58,nicky,11.173235827408076
59,ben,11.154401286229302
60,hate,10.878162060069167
61,claire,10.713045074302583
62,street,10.592428335628608
63,ice,10.516716202973642
64,charges,10.503878514109127
65,moving,10.37409156188062
66,totally,10.190411717199755
67,gray,10.091837600462055
68,ground,10.045992202790174
69,burst,9.965961182074487
70,tigger,9.699083727234177
71,official,9.685076778010597
72,window,9.660847216993353
73,mal,9.515411059341593
74,continued,9.49103085825391
75,horrible,9.46141557936438
76,cream,9.46141557936438
77,broken,9.417528288269212
78,stomach,9.346092569805249
79,babies,9.272026056426807
80,ride,9.262758482939201
81,rules,9.244680000136611
82,screamed,9.047280681217403
83,young,9.017841396382348
84,cake,8.977810929940075
85,muttered,8.952100099387382
86,became,8.858632161843989
87,questions,8.819320043424556
88,sugar,8.790243177441402
89,boys,8.780200161071022
90,adam,8.746142214074272
91,glanced,8.741270643861638
92,seat,8.741270643861638
93,nine,8.702529648055334
94,eye,8.663975356567743
95,turning,8.6256059784598
96,scared,8.593047038674529
97,forward,8.587419748438537
98,shrugged,8.549414926369755
99,brown,8.473942668502886
100,team,8.4391946916431
101,practically,8.436471874003475
102,vanessa,8.340582467279102
103,gently,8.325984676923895
104,shot,8.214576489782598
105,giggling,8.109784782312325
106,field,8.082569772695148
107,chocolate,8.034783805726937
108,seeing,7.961318893740082
109,conversation,7.855523429069743
110,mimi,7.818507522470808
111,restaurant,7.803612974553069
112,cheese,7.765002744083517
113,member,7.7169050379964865
114,its,7.682675140937144
115,cars,7.650929355252661
116,rolled,7.648611813378933
117,desk,7.6147134420484175
118,hit,7.6147134420484175
119,brothers,7.580978436996775
120,dear,7.576301104169282
121,disappeared,7.568878200346541
122,insisted,7.568878200346541
123,backyard,7.466406570575406
124,road,7.466406570575406
125,grabbed,7.447641072201915
126,explained,7.414699834940025
127,legs,7.398895160589185
128,ones,7.381912889753041
129,stupid,7.365468890292453
130,safe,7.358875544470589
131,pulling,7.299169873172944
132,jordan,7.288451845061893
133,college,7.253608498481427
134,track,7.168729953354507
135,yourself,7.168729953354507
136,whenever,7.10455821865402
137,crying,7.072727905275862
138,pants,6.983272392130048
139,baseball,6.983272392130048
140,margo,6.950485389399253
141,smell,6.885549411765196
142,begin,6.885212644251235
143,month,6.821445969619888
144,thirteen,6.7936078114665035
145,list,6.7936078114665035
146,police,6.737346203511162
147,lunch,6.70338054727926
148,snapped,6.572947626858526
149,born,6.542736054578713
150,listen,6.497981517425807
151,become,6.46920448384485
152,deal,6.46920448384485
153,friendly,6.453181421746061
154,light,6.440564811328903
155,worst,6.423682811110121
156,younger,6.383692347601641
157,comes,6.3554570013771645
158,awful,6.327353905502607
159,taken,6.327353905502607
160,plastic,6.307398500288785
161,hundred,6.278745126743859
162,dogs,6.2740189414106755
163,excuse,6.250255021170671
164,uncle,6.115525093795212
165,cold,6.110189840032301
166,dog,6.082641560977454
167,learn,6.027996208316501
168,chips,6.002216293776644
169,fight,6.000895870969805
170,clients,6.000895870969805
171,wide,6.000895870969805
172,normal,6.000895870969805
173,drop,5.973941627795423
174,doctor,5.944244264566377
175,pushed,5.920465182211684
176,calm,5.893939921063218
177,happens,5.893939921063218
178,byron,5.8588317666841006
179,loud,5.841307856128281
180,jump,5.830761476049514
181,quick,5.815198136222522
182,wall,5.763384201044789
183,nose,5.737677203542696
184,sang,5.720409649974198
185,heading,5.720409649974198
186,entire,5.7121017002088434
187,hat,5.666354773307307
188,waving,5.666354773307307
189,himself,5.6613398428887525
190,reminded,5.636150872738968
191,staring,5.586150456066051
192,age,5.586150456066051
193,managed,5.561336509355406
194,war,5.537472062306709
195,sense,5.536645101152493
196,meetings,5.536645101152493
197,nervous,5.512075027140347
198,raised,5.487625100669389
199,jobs,5.487625100669389
200,nearby,5.482715968090995
201,asking,5.4390810300345835
202,tree,5.431759864981276
203,super,5.431759864981276
204,favorite,5.41498459785484
205,closed,5.41498459785484
206,kishi,5.41498459785484
207,california,5.41498459785484
208,spotted,5.3565225371512915
209,dead,5.3565225371512915
210,thomas,5.319743623001367
211,pay,5.319743623001367
212,changed,5.319743623001367
213,practice,5.307139193862094
214,officers,5.307139193862094
215,edge,5.307139193862094
216,video,5.299723947344288
217,news,5.296214167814304
218,town,5.296214167814304
219,besides,5.296214167814304
220,lay,5.28267428579235
221,lose,5.258358101486821
222,lap,5.210164747422123
223,throw,5.162545137396849
224,island,5.160163900439609
225,feelings,5.115485771078504
226,relief,5.115485771078504
227,sports,5.115485771078504
228,asleep,5.092162089835331
229,warm,5.092162089835331
230,rose,5.053009652633372
231,ways,4.955005795920803
232,ears,4.955005795920803
233,buddy,4.949551124419863
234,backpack,4.949551124419863
235,foot,4.932596773726123
236,sigh,4.888151872025841
237,tuesday,4.8223969666532005
238,company,4.779153302236338
239,problems,4.757705529670797
240,gathered,4.757705529670797
241,poor,4.7151519368505745
242,step,4.7151519368505745
243,test,4.705514206058007
244,mention,4.694043708447198
245,angry,4.673046284902624
246,flowers,4.590557613151596
247,grew,4.569681360167075
248,completely,4.569681360167075
249,hanging,4.54932508213719
250,catch,4.46892036485284
251,green,4.46892036485284
252,orange,4.436677729988945
253,hardly,4.4293160809219945
254,shop,4.415325326682353
255,starting,4.409660021712278
256,joined,4.409660021712278
257,president,4.390100080535511
258,leaving,4.390100080535511
259,wonderful,4.390100080535511
260,dream,4.373071107037136
261,prezzioso,4.372856989350053
262,cry,4.370635321930819
263,york,4.370635321930819
264,laughter,4.352165099088856
265,quite,4.351264824027667
266,broke,4.3319876782838715
267,guy,4.3319876782838715
268,example,4.331403770555134
269,energy,4.331403770555134
270,break,4.3128029892299
271,ahead,4.3128029892299
272,piece,4.3128029892299
273,spoke,4.293709874219268
274,chairs,4.290307237480649
275,sighed,4.255794898401094
276,sitters,4.255794898401094
277,total,4.22969911552809
278,monday,4.2182359370017375
279,clock,4.2182359370017375
280,headed,4.2182359370017375
281,strong,4.209765487372085
282,dying,4.189963435278028
283,beat,4.189963435278028
284,brain,4.170291233639551
285,sun,4.15074719057597
286,decision,4.131329647059117
287,roll,4.1120369760682465
288,enjoy,4.1120369760682465
289,nope,4.1120369760682465
290,rushed,4.092867581771933
291,cat,4.073819898735957
292,major,4.054892391156162
293,jumping,4.036083552115377
294,direction,4.017391902863468
295,pocket,4.017391902863468
296,shopping,4.017391902863468
297,leaning,3.998815992119705
298,twice,3.9803543953965703
299,sea,3.932375406037556
300,noise,3.9076235605665923
301,whoa,3.9076235605665923
302,cover,3.9076235605665923
303,planning,3.9076235605665923
304,triplets,3.889713059607081
305,gasped,3.889713059607081
306,classes,3.871908853047637
