,term,score
0,coach,194.78690026105448
1,team,155.5223021745657
2,soccer,152.12877375215228
3,kristy,134.65328509032364
4,anna,84.65879624272463
5,abby,79.5887280171589
6,game,67.92664708037093
7,ball,66.64693320199508
8,field,63.04404422702215
9,mary,60.10986210227476
10,claudia,57.453231128414764
11,karen,52.80788366453428
12,bsc,47.23090501080373
13,linny,33.532566319519916
14,hannie,32.80196577513193
15,practice,31.842835163172563
16,shannon,30.27622116077162
17,david,26.870016138190092
18,island,24.080764868718177
19,stacey,23.406871941206017
20,michael,22.196969853287467
21,purple,20.492522866578028
22,jessi,20.039395731614942
23,forward,18.248266965431892
24,shot,17.602663906676995
25,stupid,17.186094077349058
26,games,16.954683850032108
27,played,16.355661997159185
28,track,15.532248232268099
29,mallory,14.588829225415237
30,center,14.327953055410838
31,shouted,14.016609714997175
32,jackie,14.011860740329816
33,vanessa,13.900970778798506
34,haley,13.845186199473785
35,water,13.587215622933007
36,although,13.466611592690988
37,member,13.228980065136835
38,driveway,13.145895253717052
39,pizza,12.965710198690271
40,foot,12.33149193431531
41,charlotte,12.301864613487322
42,ride,11.578448103674003
43,james,11.30825957956307
44,truth,11.04820333543868
45,papadakis,11.005136470480895
46,known,10.975250201338778
47,rain,10.892188879705166
48,win,10.81736373249794
49,cream,10.813046376416434
50,fight,10.801612567745648
51,younger,10.639487246002734
52,pass,10.5653485715847
53,logan,10.514354141030905
54,visit,10.420603293306602
55,moving,10.37409156188062
56,nannie,10.302425762258824
57,several,10.281783060375918
58,sports,10.230971542157008
59,glasses,10.145071570930142
60,grandmother,9.921735048852625
61,york,9.833929474344343
62,pink,9.820625187056605
63,box,9.746972276138711
64,surprise,9.703806725767276
65,ice,9.202126677601937
66,tall,9.034453990444486
67,gotten,8.93784072970568
68,warm,8.911283657211829
69,grinned,8.819320043424556
70,california,8.663975356567743
71,ha,8.465735902799727
72,shouldn,8.288651255096358
73,coffee,8.262659294118235
74,van,8.255304690330776
75,fortunately,8.1652162824512
76,krushers,8.001267168336245
77,stepsister,7.99763198423941
78,rules,7.924011428688525
79,pike,7.82061063849247
80,cars,7.650929355252661
81,waved,7.648611813378933
82,wore,7.638243134752997
83,bag,7.580978436996775
84,ground,7.5344941520926305
85,brown,7.414699834940025
86,famous,7.358875544470589
87,fashion,7.253608498481427
88,keeping,7.2335954499798
89,example,7.219006284258558
90,office,7.2010750451637655
91,mal,7.1365582945061945
92,pushed,7.10455821865402
93,angry,7.009569427353936
94,single,6.885212644251235
95,extra,6.7936078114665035
96,park,6.772588722239782
97,green,6.70338054727926
98,charge,6.70338054727926
99,staring,6.70338054727926
100,train,6.667779232663685
101,notice,6.643974121382992
102,jobs,6.585150120803267
103,its,6.585150120803267
104,lose,6.572947626858526
105,kits,6.572947626858526
106,plate,6.453181421746061
107,letting,6.423682811110121
108,sitters,6.383692347601641
109,worked,6.383692347601641
110,sighed,6.383692347601641
111,awesome,6.337012369283231
112,anybody,6.278745126743859
113,ballet,6.250255021170671
114,plans,6.250255021170671
115,restaurant,6.242890379642455
116,weather,6.212002195266814
117,ears,6.193757244901004
118,brewer,6.082641560977454
119,dog,6.082641560977454
120,learned,6.000895870969805
121,station,5.9731252564603246
122,problems,5.947131912088496
123,including,5.920465182211684
124,excellent,5.915570306651927
125,listening,5.893939921063218
126,handle,5.893939921063218
127,dream,5.830761476049514
128,gets,5.815198136222522
129,clear,5.789224051837001
130,pack,5.775205027406846
131,finish,5.763384201044789
132,buy,5.737677203542696
133,total,5.63959882070412
134,softball,5.613020649829446
135,wow,5.611088163621245
136,age,5.586150456066051
137,ended,5.536645101152493
138,eating,5.512075027140347
139,plenty,5.512075027140347
140,president,5.487625100669389
141,nearby,5.482715968090995
142,rolled,5.463294152413524
143,glanced,5.463294152413524
144,less,5.463294152413524
145,often,5.4390810300345835
146,others,5.41498459785484
147,eye,5.41498459785484
148,deal,5.3910037365373755
149,ahead,5.3910037365373755
150,become,5.3910037365373755
151,star,5.381444736153836
152,spoke,5.367137342774085
153,air,5.343384328981097
154,sign,5.343384328981097
155,barely,5.319743623001367
156,edge,5.307139193862094
157,frowned,5.307139193862094
158,mistake,5.28267428579235
159,dinner,5.272794921252172
160,joke,5.258358101486821
161,organized,5.138946248888097
162,yellow,5.138946248888097
163,large,4.955005795920803
164,sent,4.955005795920803
165,glass,4.932596773726123
166,associate,4.932596773726123
167,spot,4.8661132487819625
168,trip,4.8223969666532005
169,learn,4.8223969666532005
170,johanssen,4.752759276962424
171,fair,4.736372145769347
172,test,4.705514206058007
173,loudly,4.610707360835831
174,flowers,4.590557613151596
175,nose,4.590141762834157
176,lucky,4.54932508213719
177,counter,4.545780662501569
178,join,4.529071874311002
179,screamed,4.523640340608702
180,drew,4.508920698191174
181,art,4.508920698191174
182,charges,4.5016622203324825
183,somehow,4.488870530896996
184,missed,4.488870530896996
185,stared,4.488870530896996
186,lived,4.46892036485284
187,catch,4.46892036485284
188,connecticut,4.46892036485284
189,tape,4.458183198424782
190,meetings,4.4293160809219945
191,burst,4.4293160809219945
192,hardly,4.4293160809219945
193,earrings,4.394123825013075
194,leaving,4.390100080535511
195,spier,4.390100080535511
196,ideas,4.390100080535511
197,raised,4.390100080535511
198,cry,4.370635321930819
199,accident,4.352165099088856
200,asking,4.351264824027667
201,quite,4.351264824027667
202,picture,4.3319876782838715
203,brothers,4.3319876782838715
204,energy,4.331403770555134
205,beautiful,4.3128029892299
206,putting,4.274707463184877
207,admit,4.274707463184877
208,card,4.269968176524513
209,pleased,4.269968176524513
210,explained,4.236971334251443
211,street,4.236971334251443
212,comes,4.236971334251443
213,eight,4.2182359370017375
214,however,4.189963435278028
215,slow,4.15074719057597
216,roll,4.1120369760682465
217,groaned,4.092867581771933
218,prepared,4.073819898735957
219,teeth,4.017391902863468
220,direction,4.017391902863468
221,style,3.998815992119705
222,skin,3.9803543953965703
223,snapped,3.943768576115116
224,sunday,3.889713059607081
225,fault,3.871908853047637
226,recently,3.871908853047637
227,paused,3.8542096866660724
228,worst,3.8542096866660724
229,mood,3.836614328308878
230,crossed,3.836614328308878
231,grin,3.836614328308878
232,drove,3.8191215673764987
233,families,3.7844391001732705
234,careful,3.7672470760463153
235,sugar,3.7672470760463153
236,appeared,3.7672470760463153
237,breakfast,3.7501530127024028
238,excuse,3.7501530127024028
239,bus,3.73331621534349
240,happening,3.7331558000953704
241,andrew,3.6994475802945925
242,amazing,3.6994475802945925
243,audience,3.6916480415378063
244,expect,3.6827344451462265
245,ramsey,3.649584936586472
246,closet,3.649584936586472
247,immediately,3.6167977249899
248,softly,3.6005375225818828
249,wide,3.6005375225818828
250,mostly,3.5682791472530972
251,keeps,3.536363952637931
252,weekend,3.536363952637931
253,mention,3.520532781335399
254,tea,3.5141918103204377
255,loud,3.504784713676968
256,hoped,3.504784713676968
257,blonde,3.504784713676968
258,quick,3.489118881733513
259,written,3.489118881733513
260,birthday,3.4768075442961326
261,charlie,3.4735344311022005
262,kidding,3.458030520626873
263,hang,3.458030520626873
264,needs,3.458030520626873
265,junior,3.4426063221256173
266,reach,3.4272610201253064
267,ear,3.4119938116028923
268,clean,3.4119938116028923
269,speak,3.3968039057332517
270,young,3.3816905236433805
271,math,3.366652898172747
272,silly,3.366652898172747
273,managed,3.3368019056132434
274,puppy,3.3338896163318426
275,cards,3.3338896163318426
276,wondered,3.321987060691496
277,sick,3.3072450162842086
278,joined,3.3072450162842086
279,filled,3.3072450162842086
280,starting,3.3072450162842086
281,leaned,3.3072450162842086
282,ghost,3.26608651298048
283,announced,3.2634486180207505
284,junk,3.2634486180207505
285,hit,3.2634486180207505
286,tears,3.2634486180207505
287,checked,3.2634486180207505
288,closed,3.2489907587129037
289,kishi,3.2489907587129037
290,guy,3.2489907587129037
291,waited,3.2489907587129037
292,break,3.234602241922425
293,tigger,3.233027909078059
294,notebook,3.2202824056644515
295,uh,3.206030597388658
296,tomorrow,3.206030597388658
297,class,3.1918461738008204
298,changed,3.1918461738008204
299,town,3.1777285006885823
300,news,3.1777285006885823
301,taken,3.1636769527513033
302,clock,3.1636769527513033
303,headed,3.1636769527513033
304,board,3.060371742101064
305,study,3.001108146888322
306,orange,2.9577851533259634
307,jump,2.915380738024757
308,drawing,2.915380738024757
309,adam,2.915380738024757
310,becca,2.887602513703423
311,jacket,2.8331773866536536
312,hat,2.8331773866536536
313,waving,2.8331773866536536
314,share,2.81979941035206
315,stuffed,2.806510324914723
316,juice,2.806510324914723
317,strong,2.806510324914723
318,baseball,2.793308956852019
319,milk,2.7671647937173134
320,song,2.7542197647060784
321,pale,2.7542197647060784
322,nancy,2.7413579840454974
323,guilty,2.7413579840454974
324,month,2.7285783878479553
325,familiar,2.7285783878479553
326,michelle,2.7285783878479553
327,everywhere,2.715879932490638
328,hugged,2.715879932490638
329,tree,2.715879932490638
330,acting,2.7032615941041085
331,major,2.7032615941041085
332,diabetes,2.690722368076918
333,jumping,2.690722368076918
334,simple,2.6782612685756457
335,dead,2.6782612685756457
336,twice,2.653569596931047
337,lay,2.641337142896175
338,neat,2.641337142896175
339,mirror,2.641337142896175
340,raced,2.6291790507434105
341,dumb,2.6291790507434105
342,excitement,2.617094421831485
343,cover,2.6050823737110615
344,gasped,2.593142039738054
345,responsible,2.593142039738054
346,triplets,2.593142039738054
347,yesterday,2.5812725686984246
348,happily,2.5812725686984246
349,friendly,2.5812725686984246
350,cleared,2.5694731244440483
351,heads,2.5694731244440483
352,relief,2.557742885539252
353,muttered,2.557742885539252
354,numbers,2.534486809549014
355,crowd,2.534486809549014
356,embarrassed,2.522959400115514
357,wears,2.5001020084682684
358,sweet,2.5001020084682684
359,emily,2.4887705333969135
360,giggled,2.4775028979604015
361,jeff,2.4775028979604015
362,silent,2.4662983868630617
363,seriously,2.4662983868630617
364,terrible,2.4662983868630617
365,low,2.4662983868630617
366,color,2.455156296764151
367,homework,2.4440759360129203
368,ourselves,2.4440759360129203
369,themselves,2.4440759360129203
370,note,2.4330566243909812
371,welcome,2.4330566243909812
372,genius,2.4330566243909812
373,henry,2.4315509527080117
374,faces,2.4111984833266003
375,janine,2.4111984833266003
376,luck,2.4111984833266003
377,clients,2.400358348387922
378,claud,2.400358348387922
379,allowed,2.400358348387922
380,grace,2.3951833085371366
381,fifteen,2.3681860728846735
382,tiny,2.3575759684252873
383,crying,2.3575759684252873
384,tonight,2.347021854223599
385,vice,2.336523142451312
386,expected,2.336523142451312
387,pull,2.336523142451312
388,covered,2.3260792544890085
389,bunch,2.3156896207348003
390,sleep,2.3053536804179156
391,interesting,2.3053536804179156
392,wall,2.3053536804179156
393,exclaimed,2.3053536804179156
394,bright,2.2950708814170784
395,body,2.2950708814170784
396,shut,2.2848406800835375
397,watson,2.2848406800835375
398,entire,2.2848406800835375
399,interested,2.2848406800835375
400,schafer,2.274662541068595
401,forgotten,2.274662541068595
402,hot,2.274662541068595
403,pair,2.264535937155501
404,worse,2.264535937155501
405,fall,2.264535937155501
406,reminded,2.254460349095587
407,halloween,2.2461477293766485
408,married,2.244435265448498
409,longer,2.244435265448498
410,none,2.23446018242642
411,listened,2.2245346037421623
412,led,2.2245346037421623
413,became,2.2146580404609972
414,sense,2.2146580404609972
415,stayed,2.204830010856139
416,upset,2.204830010856139
417,questions,2.204830010856139
418,stairs,2.1950500402677555
419,repeated,2.1950500402677555
420,divorced,2.1950500402677555
421,wonder,2.1950500402677555
422,regular,2.1950500402677555
423,record,2.1853176609654095
424,sitter,2.1756324120138335
425,mcgill,2.1659938391419358
426,piece,2.15640149461495
427,turning,2.15640149461495
428,likes,2.15640149461495
429,man,2.146854937109634
430,definitely,2.146854937109634
431,boyfriend,2.146854937109634
432,light,2.146854937109634
433,window,2.146854937109634
434,spend,2.1373537315924387
435,grabbed,2.127897449200547
436,thomas,2.127897449200547
437,monday,2.1091179685008687
438,question,2.1091179685008687
439,calling,2.1091179685008687
440,practically,2.1091179685008687
441,awful,2.1091179685008687
442,snow,2.026085844599847
443,sea,1.966187703018778
444,rodowsky,1.954626880617702
445,braddock,1.9318986295401461
446,clue,1.835567520601714
447,wedding,1.825415149137696
448,basement,1.7761441001309133
449,students,1.6843365508777906
450,daddy,1.6843365508777906
451,rose,1.6843365508777906
452,mystery,1.6756028709090358
453,sunny,1.6669448081659213
454,bike,1.6498503748066211
455,painting,1.6414115061607566
456,animals,1.6414115061607566
457,french,1.6247444536755449
458,garage,1.6165139545390295
459,envelope,1.600253433667249
460,sms,1.5763479128136946
461,dogs,1.5685047353526689
462,cheese,1.5530005488167036
463,hospital,1.5377330766859152
464,kiss,1.530185871050532
465,soda,1.5226951993213746
466,machine,1.5152602208338564
467,lessons,1.5078801135362339
468,present,1.5078801135362339
469,suit,1.5078801135362339
470,chips,1.500554073444161
471,road,1.4932813141150811
472,houses,1.4860610661415943
473,seats,1.4717751088941178
474,safe,1.4717751088941178
475,fire,1.4717751088941178
476,notes,1.4717751088941178
477,aunt,1.4647079416710251
478,byron,1.4647079416710251
479,jordan,1.4576903690123786
480,paint,1.4507216996962853
481,laughter,1.4507216996962853
482,woke,1.4438012568517116
483,fancy,1.4369283775639494
484,dancing,1.4301024124935495
485,heading,1.4301024124935495
486,supplies,1.4233227255081708
487,emergency,1.4233227255081708
488,area,1.4165886933268268
489,slid,1.4165886933268268
490,obviously,1.4165886933268268
491,round,1.4165886933268268
492,carried,1.40989970517603
493,artist,1.4032551624573615
494,luckily,1.3966544784260095
495,moments,1.3966544784260095
496,dying,1.3966544784260095
497,beat,1.3966544784260095
