,term,score
0,jackie,166.1406344924821
1,abby,107.44478282316452
2,claudia,104.2669750108268
3,archie,83.16882681065644
4,nicky,69.83272392130047
5,alan,56.78226591487133
6,kristy,45.95310522923743
7,game,42.04982914499153
8,pink,36.82734445146227
9,shea,36.75364628580246
10,king,34.30190208409969
11,mallory,33.66652898172747
12,locker,30.63665030358944
13,mary,29.527651559012163
14,boys,25.243075463079187
15,sms,23.645218692205418
16,suppose,23.06599615028873
17,bsc,23.009928082186434
18,glasses,22.544603490955872
19,cokie,21.853244361266796
20,rodowsky,21.500895686794724
21,jessi,20.039395731614942
22,stacey,19.15107704280492
23,class,17.023179593604375
24,art,16.908452618216902
25,expression,16.681164934558204
26,gray,16.39923610075084
27,outfit,15.63049424226637
28,member,15.433810075992973
29,field,14.548625590851266
30,project,14.527354285928961
31,yard,14.196999127841336
32,taylor,14.096710264056231
33,bag,14.078959954422583
34,jeff,13.626265938782208
35,tree,13.579399662453191
36,strange,13.261591658296302
37,bus,13.066606753702215
38,paint,13.056495297266567
39,tomorrow,12.824122389554631
40,jacket,12.74929823994144
41,erica,12.498792533071827
42,emily,12.443852666984567
43,hoped,11.682615712256561
44,angry,11.682615712256561
45,bright,11.475354407085392
46,wore,11.457364702129496
47,spread,11.250459038107207
48,pike,11.172300912132101
49,interested,10.281783060375918
50,accident,10.155051897873998
51,makeup,10.058498642947646
52,glanced,9.833929474344343
53,handed,9.833929474344343
54,french,9.74846672205327
55,couch,9.639769176471274
56,uh,9.618091792165973
57,yesterday,9.034453990444486
58,plan,8.93784072970568
59,ideas,8.780200161071022
60,laughter,8.704330198177711
61,fashion,8.704330198177711
62,group,8.702529648055334
63,large,8.671260142861405
64,shouted,8.6256059784598
65,hurried,8.621570265383696
66,english,8.621570265383696
67,murmured,8.580614474961298
68,explained,8.473942668502886
69,guilty,8.224073952136493
70,spotted,8.034783805726937
71,pass,7.924011428688525
72,seems,7.82061063849247
73,joined,7.7169050379964865
74,seat,7.648611813378933
75,desk,7.6147134420484175
76,ground,7.5344941520926305
77,definitely,7.51399227988372
78,climbed,7.5003060254048055
79,greeted,7.466406570575406
80,liked,7.447641072201915
81,excellent,7.394462883314908
82,taken,7.381912889753041
83,wide,7.2010750451637655
84,sang,7.150512062467747
85,date,7.072727905275862
86,mess,7.009569427353936
87,covered,6.978237763467026
88,needs,6.916061041253746
89,completely,6.854522040250613
90,several,6.854522040250613
91,named,6.70338054727926
92,claire,6.6956531714391145
93,wednesday,6.673603811226487
94,sense,6.643974121382992
95,skin,6.633923992327617
96,regular,6.585150120803267
97,record,6.555952982896228
98,mall,6.4989778147021795
99,beside,6.4828550993451355
100,plate,6.453181421746061
101,forward,6.440564811328903
102,window,6.440564811328903
103,worked,6.383692347601641
104,sitters,6.383692347601641
105,helped,6.3554570013771645
106,brown,6.3554570013771645
107,anna,6.349409718204348
108,crowd,6.336217023872535
109,hungry,6.336217023872535
110,awful,6.327353905502607
111,insisted,6.307398500288785
112,embarrassed,6.307398500288785
113,restaurant,6.242890379642455
114,pulling,6.082641560977454
115,helping,5.947131912088496
116,pushed,5.920465182211684
