,term,score
0,tiffany,482.2927303387499
1,maria,427.06179716746533
2,shannon,227.6771831290026
3,dance,118.19576372442623
4,claudia,97.88328266322516
5,abby,79.5887280171589
6,mark,55.74059088666199
7,war,44.299776498453674
8,melody,41.36718735061583
9,bsc,39.96461193221854
10,linny,35.92774962805705
11,jordan,32.06918811827233
12,gym,30.40481523967773
13,emily,28.620861134064505
14,alan,25.236562628831702
15,dancing,22.881638599896792
16,mary,22.14573866925912
17,dinner,22.14573866925912
18,kristy,21.373537315924388
19,sisters,21.32213502176073
20,sweater,21.21364309167399
21,bill,19.461359090317906
22,stacey,19.15107704280492
23,hannie,18.743980442932532
24,nobody,18.692185139610498
25,charlotte,18.45279692023098
26,claud,18.002687612909412
27,music,17.904200198774763
28,pike,16.758451368198152
29,yelled,16.577302510192716
30,date,16.50303177897701
31,adam,16.034594059136165
32,watson,15.993884760584763
33,karen,15.602329264521492
34,michelle,15.007181133163755
35,mall,14.622700083079904
36,becca,14.438012568517117
37,cookies,14.369283775639495
38,boys,14.26782526174041
39,purple,14.187131215323252
40,charlie,13.894137724408802
41,song,13.771098823530393
42,cokie,13.658277725791748
43,list,13.587215622933007
44,dog,13.381811434150396
45,sports,12.78871442769626
46,grinned,12.126565059708764
47,shouted,11.860208220382226
48,center,11.722870681699778
49,outfit,11.722870681699778
50,kit,11.373211175728814
51,french,11.373211175728814
52,awesome,11.089771646245655
53,member,11.024150054280694
54,guy,10.82996919570968
55,thomas,10.639487246002734
56,jessi,10.609091857913793
57,nearly,10.561598344006196
58,cute,10.467356645200539
59,planning,10.420329494844246
60,makeup,10.058498642947646
61,ended,9.965961182074487
62,stairs,9.8777251812049
63,glanced,9.833929474344343
64,store,9.644793933306401
65,figure,9.618091792165973
66,explained,9.533185502065747
67,mal,9.515411059341593
68,garden,9.17783760300857
69,interested,9.13936272033415
70,fill,9.117788307988715
71,pair,9.058143748622005
72,named,8.93784072970568
73,seconds,8.830357900404298
74,plenty,8.819320043424556
75,byron,8.78824765002615
76,explain,8.780200161071022
77,plans,8.75035702963894
78,group,8.702529648055334
79,sitter,8.702529648055334
80,nine,8.702529648055334
81,imagine,8.549414926369755
82,pulling,8.515698185368434
83,younger,8.511589796802188
84,excited,8.511589796802188
85,class,8.511589796802188
86,brown,8.473942668502886
87,beat,8.379926870556057
88,puppy,8.334724040829606
89,sun,8.30149438115194
90,seventh,8.262659294118235
91,shoes,8.251515889488505
92,backpack,8.249251874033106
93,rather,8.072167104230754
94,shopping,8.034783805726937
95,ball,7.99763198423941
96,downstairs,7.996942380292381
97,plan,7.82061063849247
98,mad,7.785871113097568
99,loves,7.785871113097568
100,pizza,7.779426119214162
101,its,7.682675140937144
102,president,7.682675140937144
103,stick,7.6034604286470415
104,listen,7.580978436996775
105,insisted,7.568878200346541
106,gray,7.568878200346541
107,charges,7.502770367220805
108,barely,7.447641072201915
109,sighed,7.447641072201915
110,grabbed,7.447641072201915
111,worked,7.447641072201915
112,news,7.414699834940025
113,monday,7.381912889753041
114,headed,7.381912889753041
115,question,7.381912889753041
116,ones,7.381912889753041
117,louie,7.350729257160491
118,themselves,7.332227808038761
119,shaking,7.299169873172944
