,term,score
0,josh,705.3721116523144
1,mark,334.443545319972
2,war,112.5952652669031
3,kristy,109.00504031121437
4,abby,87.54760081887478
5,color,78.56500149645284
6,claudia,72.3485132728186
7,stacey,69.15666709901778
8,orange,62.11348821984523
9,seventh,57.83861505882765
10,eighth,51.639094831884265
11,linny,50.298849479279866
12,mary,49.56427225977041
13,alan,46.267031486191456
14,peaches,42.270726646541824
15,jake,40.51844264518574
16,hannie,39.83095844123163
17,team,37.373576491562304
18,jackie,34.028804655086695
19,field,32.33027909078059
20,gym,32.00506867334498
21,contest,31.347024884789327
22,bsc,29.065172314340757
23,shouted,28.03321942999435
24,decision,27.542197647060785
25,lindsey,27.47915252357231
26,jessi,27.112123636890804
27,uh,26.716921644905483
28,locker,25.530541919657868
29,class,23.406871941206017
30,mallory,22.44435265448498
31,ms,22.183388649944725
32,bat,19.66187703018778
33,boyfriend,17.174839496877073
34,hallway,16.759853741112114
35,brain,16.681164934558204
36,teachers,16.034594059136165
37,adam,16.034594059136165
38,sms,15.763479128136947
39,murmured,15.731126537429045
40,jamie,15.277403942043488
41,gray,15.137756400693082
42,anna,14.815289342476813
43,office,14.402150090327531
44,dewitt,14.048085433140308
45,kuhn,13.658277725791748
46,sixth,13.503359632202832
47,ball,13.329386640399017
48,papadakis,13.206163764577076
49,king,12.863213281537384
50,ideas,12.072775221472655
51,shopping,12.052175708590406
52,date,11.787879842126436
53,rodowsky,11.727761283706212
54,liked,11.703435970603008
55,explained,11.651671169191468
56,sheet,11.315597681773205
57,guy,10.82996919570968
58,barrett,10.714836066255899
59,shrugged,10.686768657962194
60,math,10.099958694518241
61,sense,9.965961182074487
62,buddy,9.899102248839727
63,hit,9.79034585406225
64,kishi,9.746972276138711
65,note,9.732226497563925
66,janine,9.644793933306401
67,air,9.618091792165973
68,gently,9.515411059341593
69,absolutely,9.304317017956034
70,shut,9.13936272033415
71,hanging,9.09865016427438
72,classes,9.034453990444486
73,named,8.93784072970568
74,crowd,8.870703833421548
75,insisted,8.830357900404298
76,suzi,8.745713978700106
77,fashion,8.704330198177711
78,threw,8.702529648055334
79,total,8.45939823105618
80,awful,8.436471874003475
81,vanessa,8.340582467279102
82,fair,8.288651255096358
83,yelled,8.288651255096358
84,including,8.288651255096358
85,step,8.251515889488505
86,backpack,8.249251874033106
87,painting,8.207057530803784
88,uncle,8.154033458393616
89,cute,8.14127739071153
90,moving,8.068737881462704
91,twenty,8.068737881462704
92,leaning,7.99763198423941
93,report,7.9611063098499235
94,flew,7.960708790793141
95,richard,7.95887280171589
96,arnold,7.95887280171589
97,raced,7.887537152230232
98,pike,7.82061063849247
99,mimi,7.818507522470808
100,candy,7.815247121133185
101,member,7.7169050379964865
102,stayed,7.7169050379964865
103,waved,7.648611813378933
104,decide,7.638243134752997
105,announced,7.6147134420484175
106,listen,7.580978436996775
107,bag,7.580978436996775
108,game,7.547405231152325
109,screamed,7.539400567681169
110,ground,7.5344941520926305
111,huh,7.432508693881204
112,doctor,7.430305330707972
113,christmas,7.424747231217799
114,practically,7.381912889753041
115,shop,7.358875544470589
116,homework,7.332227808038761
117,tuesday,7.2335954499798
118,softly,7.2010750451637655
119,mal,7.1365582945061945
120,softball,7.016275812286807
121,baseball,6.983272392130048
122,pants,6.983272392130048
123,neck,6.9179119842932835
124,exclaimed,6.916061041253746
125,ha,6.772588722239782
126,art,6.763381047286761
127,acting,6.758153985260272
128,conversation,6.733305796345494
129,lunch,6.70338054727926
130,marilyn,6.69264077173758
131,mad,6.673603811226487
132,starting,6.614490032568417
133,rules,6.603342857240437
134,desk,6.526897236041501
135,likes,6.46920448384485
136,throw,6.453181421746061
137,dance,6.423682811110121
138,muttered,6.39435721384813
139,grinning,6.39435721384813
140,sitters,6.383692347601641
141,changed,6.383692347601641
142,grabbed,6.383692347601641
143,news,6.3554570013771645
144,question,6.327353905502607
145,embarrassed,6.307398500288785
146,thursday,6.250255021170671
147,feels,6.250255021170671
148,involved,6.193757244901004
