,term,score
0,sharon,90.76824066420971
1,mall,82.8619671374528
2,kristy,82.28811866630889
3,abby,77.59900981672992
4,christmas,68.67891188876463
5,stacey,63.83692347601641
6,logan,58.4130785612828
7,charlotte,55.35839076069295
8,toys,42.50173414396056
9,card,39.85303631422878
10,mary,36.9095644487652
11,archie,34.87724995285593
12,jessi,34.18485154216667
13,ms,34.014529263248576
14,costume,32.580596358343904
15,claudia,30.85451301340793
16,tree,28.5167392911517
17,dr,27.37607676735923
18,johanssen,26.932302569453732
19,jackie,26.022027089183943
20,bsc,25.43202577504816
21,bus,24.266555399732685
22,bought,22.39697170004023
23,shea,22.052187771481474
24,bag,21.65993839141936
25,pay,20.215025767405194
26,shopping,18.74782888002952
27,jeff,18.581271734703012
28,bags,16.99906431992192
29,dewitt,16.857702519768367
30,becca,15.881813825368827
31,squirt,15.607225949106137
32,booth,15.277403942043488
33,box,15.16195687399355
34,thanksgiving,14.932738973935697
35,mallory,14.588829225415237
36,hurried,14.369283775639495
37,handed,13.111905965792456
38,spend,12.824122389554631
39,explained,12.710914002754329
40,weeks,12.679445242298536
41,secret,12.28953100334531
42,store,12.055992416633002
43,town,11.651671169191468
44,terrible,11.098342740883778
45,tomorrow,10.686768657962194
46,fair,10.65683732798103
47,woman,10.420603293306602
48,buy,10.327818966376853
49,tired,10.235981434808677
50,rodowsky,9.77313440308851
51,california,9.746972276138711
52,pulling,9.732226497563925
53,bill,9.730679545158953
54,imagine,9.618091792165973
55,envelope,9.601520602003493
56,gym,9.601520602003493
57,awesome,9.505518553924848
58,frowned,9.287493589258665
59,suppose,9.22639846011549
60,barrett,8.92903005521325
61,paint,8.704330198177711
62,admitted,8.580614474961298
63,comes,8.473942668502886
64,headed,8.436471874003475
65,brain,8.340582467279102
66,couch,8.262659294118235
67,slightly,8.185735163543866
68,several,7.996942380292381
69,art,7.890611221834554
70,parade,7.841617528505898
71,candy,7.815247121133185
72,schedule,7.743817706095274
73,wonderful,7.682675140937144
74,record,7.648611813378933
75,eye,7.580978436996775
76,turning,7.547405231152325
77,shouted,7.547405231152325
78,spoke,7.51399227988372
79,forward,7.51399227988372
80,notebook,7.51399227988372
81,uh,7.480738060573535
82,stepped,7.414699834940025
83,taken,7.381912889753041
84,shop,7.358875544470589
85,newton,7.342270082406856
86,offered,7.2010750451637655
87,clients,7.2010750451637655
88,office,7.2010750451637655
89,dancing,7.150512062467747
90,slid,7.082943466634134
91,waving,7.082943466634134
92,crying,7.072727905275862
93,nearly,7.041065562670798
94,ride,6.947068862204401
95,movie,6.885212644251235
96,watson,6.854522040250613
97,lucky,6.823987623205785
98,hugged,6.789699831226596
99,sense,6.643974121382992
100,flew,6.633923992327617
101,stairs,6.585150120803267
102,return,6.542736054578713
103,desk,6.526897236041501
104,checked,6.526897236041501
105,gasped,6.4828550993451355
106,beside,6.4828550993451355
107,break,6.46920448384485
108,yesterday,6.453181421746061
109,man,6.440564811328903
110,dressed,6.440564811328903
111,excited,6.383692347601641
112,mine,6.3554570013771645
113,anna,6.349409718204348
114,monday,6.327353905502607
115,plastic,6.307398500288785
116,large,6.193757244901004
117,hospital,6.150932306743661
118,promised,6.110189840032301
119,cold,6.110189840032301
120,bruno,6.055244232154324
121,suit,6.031520454144935
122,richard,5.969154601286917
123,shot,5.867554635558998
124,earrings,5.8588317666841006
125,pull,5.841307856128281
126,moving,5.763384201044789
127,makeup,5.747713510255798
128,impressed,5.720409649974198
129,completely,5.7121017002088434
130,grew,5.7121017002088434
131,clean,5.686656352671488
132,join,5.6613398428887525
133,eleven,5.636150872738968
134,plan,5.586150456066051
135,green,5.586150456066051
136,concerned,5.560388311519402
137,filled,5.512075027140347
138,member,5.512075027140347
139,questions,5.512075027140347
140,nervous,5.512075027140347
141,sitter,5.4390810300345835
142,brothers,5.41498459785484
143,picture,5.41498459785484
144,spent,5.343384328981097
145,shrugged,5.343384328981097
146,stepsister,5.331754656159607
147,sitters,5.319743623001367
148,doorway,5.307139193862094
149,helped,5.296214167814304
150,brown,5.296214167814304
151,news,5.296214167814304
152,besides,5.296214167814304
153,continued,5.272794921252172
154,send,5.258358101486821
155,center,5.210164747422123
156,paid,5.210164747422123
157,pizza,5.186284079476108
158,sunday,5.186284079476108
159,friendly,5.162545137396849
160,locker,5.1061083839315735
161,cards,5.000834424497764
162,dues,4.910312593528302
163,truth,4.910312593528302
164,bottom,4.888151872025841
165,using,4.8661132487819625
166,ramsey,4.8661132487819625
167,garage,4.849541863617088
168,information,4.844195385723459
169,report,4.776663785909954
170,pushed,4.736372145769347
171,handle,4.7151519368505745
172,win,4.636013028213403
173,kidding,4.610707360835831
174,possible,4.610707360835831
175,hanging,4.54932508213719
176,seeing,4.54932508213719
177,extra,4.529071874311002
178,forgot,4.529071874311002
179,young,4.508920698191174
180,empty,4.508920698191174
181,reminded,4.508920698191174
182,grown,4.508920698191174
183,charges,4.5016622203324825
184,wow,4.488870530896996
185,stared,4.488870530896996
186,staring,4.46892036485284
187,charge,4.46892036485284
188,takes,4.46892036485284
189,notice,4.4293160809219945
190,hardly,4.4293160809219945
191,sick,4.409660021712278
192,grinned,4.409660021712278
193,leaving,4.390100080535511
194,spier,4.390100080535511
195,jobs,4.390100080535511
196,upstairs,4.370635321930819
197,waved,4.370635321930819
198,drive,4.370635321930819
199,cry,4.370635321930819
200,fashion,4.352165099088856
201,hit,4.351264824027667
202,group,4.351264824027667
203,often,4.351264824027667
204,tears,4.351264824027667
205,beautiful,4.3128029892299
206,likes,4.3128029892299
207,boyfriend,4.293709874219268
208,definitely,4.293709874219268
209,putting,4.274707463184877
210,pleased,4.269968176524513
211,grabbed,4.255794898401094
212,total,4.22969911552809
213,clock,4.2182359370017375
214,luckily,4.189963435278028
215,expression,4.170291233639551
216,seventh,4.131329647059117
217,carrot,4.127652345165388
218,month,4.092867581771933
219,horrible,4.054892391156162
220,camera,4.052171689199694
221,snow,4.052171689199694
222,cecelia,4.027631504016066
223,spotted,4.017391902863468
224,jewelry,3.998815992119705
225,practice,3.9803543953965703
226,lifted,3.9620057143442624
227,mistake,3.9620057143442624
228,project,3.9620057143442624
229,pictures,3.943768576115116
230,raced,3.943768576115116
231,fill,3.9076235605665923
232,earlier,3.889713059607081
233,happily,3.871908853047637
234,child,3.871908853047637
235,heads,3.8542096866660724
236,relief,3.836614328308878
237,grinning,3.836614328308878
238,music,3.836614328308878
239,oldest,3.8191215673764987
240,crowd,3.8017302143235208
241,insisted,3.7844391001732705
242,realize,3.7672470760463153
243,excuse,3.7501530127024028
244,act,3.7331558000953704
245,happening,3.7331558000953704
246,shoulders,3.7331558000953704
247,amazing,3.6994475802945925
248,associate,3.6994475802945925
249,expect,3.6827344451462265
250,sixth,3.6827344451462265
251,stories,3.6661139040193804
252,spot,3.649584936586472
253,shannon,3.6331465392925946
254,fit,3.6331465392925946
255,hoping,3.6167977249899
