,term,score
0,quint,424.1144205991824
1,cecelia,149.02236564859444
2,becca,132.82971563035747
3,mallory,112.22176327242491
4,michael,110.98484926643734
5,aunt,109.85309562532689
6,mama,107.3146152395567
7,daddy,85.90116409476732
8,jessi,68.36970308433334
9,squirt,67.1110715811564
10,mal,63.03959826813806
11,dance,61.66735498665716
12,york,59.00357684606605
13,claudia,51.069538780813126
14,kristy,36.33501343707146
15,ballet,36.25147912278989
16,claire,34.81739649148339
17,bsc,32.69831885363335
18,abby,31.83549120686356
19,apartment,27.69098225561063
20,tyler,27.549398446389997
21,pike,23.46183191547741
22,stacey,22.342923216605744
23,mary,22.14573866925912
24,adam,20.4076651661733
25,ramsey,17.031396370736868
26,machine,16.66786242917242
27,uh,16.03015298694329
28,stage,16.00253433667249
29,class,15.959230869004102
30,coat,15.842530923208077
31,den,15.562684053388281
32,pow,15.422324385373365
33,students,15.159028957900116
34,train,15.002503273493291
35,station,14.932813141150811
36,dinner,14.763825779506082
37,video,14.1325971929181
38,nearly,14.082131125341595
39,byron,13.182371475039226
40,shouted,12.9384089676897
41,audience,12.920768145382322
42,nicky,12.569890305834086
43,hallway,12.569890305834086
44,boyfriend,11.807702154102987
45,dream,11.661522952099029
46,party,11.322679685777505
47,margo,11.120776623038804
48,become,10.782007473074751
49,window,10.73427468554817
50,tomorrow,10.686768657962194
51,whenever,10.65683732798103
52,practice,10.614278387724188
53,loud,10.514354141030905
54,friendly,10.325090274793698
55,pikes,10.20383258308665
56,teachers,10.20383258308665
57,warm,10.184324179670663
58,eleven,10.145071570930142
59,loved,10.091837600462055
60,nine,9.79034585406225
61,homework,9.776303744051681
62,shrugged,9.618091792165973
63,month,9.550024357467844
64,yelled,9.472744291538694
65,david,9.346092569805249
66,visit,9.262758482939201
67,weeks,9.221414721671662
68,downstairs,9.13936272033415
69,excellent,8.87335545997789
70,insisted,8.830357900404298
71,college,8.704330198177711
72,doors,8.704330198177711
73,group,8.702529648055334
74,hate,8.702529648055334
75,huh,8.671260142861405
76,surprise,8.6256059784598
77,murmured,8.580614474961298
78,sitters,8.511589796802188
79,grabbed,8.511589796802188
80,explained,8.473942668502886
81,anna,8.465879624272464
82,company,8.363518278913592
83,vanessa,8.340582467279102
84,building,8.224073952136493
85,played,8.177830998579593
86,fortunately,8.1652162824512
87,giggling,8.109784782312325
88,wall,8.068737881462704
89,totally,7.9258757800442545
90,center,7.815247121133185
91,tall,7.743817706095274
92,music,7.673228656617756
93,announced,7.6147134420484175
94,guy,7.580978436996775
95,eye,7.580978436996775
96,man,7.51399227988372
97,besides,7.414699834940025
98,eight,7.381912889753041
99,practically,7.381912889753041
100,truth,7.365468890292453
101,famous,7.358875544470589
102,sigh,7.332227808038761
103,cold,7.332227808038761
104,robert,7.294652858124035
105,steps,7.2335954499798
106,lights,7.1846418878197476
107,mail,7.1822487439520595
108,dancing,7.150512062467747
109,neighborhood,7.072727905275862
110,weekend,7.072727905275862
111,woman,6.947068862204401
112,seventh,6.885549411765196
113,island,6.880218533919479
114,seeing,6.823987623205785
115,young,6.763381047286761
116,art,6.763381047286761
117,star,6.7268059201922945
118,notice,6.643974121382992
119,hardly,6.643974121382992
120,skin,6.633923992327617
121,joined,6.614490032568417
122,leaned,6.614490032568417
123,lifted,6.603342857240437
124,mistake,6.603342857240437
125,jobs,6.585150120803267
126,tears,6.526897236041501
127,hit,6.526897236041501
128,kit,6.4989778147021795
129,bag,6.497981517425807
130,others,6.497981517425807
131,sunday,6.4828550993451355
132,pizza,6.4828550993451355
133,muttered,6.39435721384813
134,changed,6.383692347601641
135,headed,6.327353905502607
136,thursday,6.250255021170671
137,feels,6.250255021170671
138,restaurant,6.242890379642455
139,american,6.193757244901004
140,ears,6.193757244901004
141,charlotte,6.150932306743661
142,themselves,6.110189840032301
143,stories,6.110189840032301
144,forever,6.110189840032301
145,places,6.082641560977454
146,welcome,6.082641560977454
147,pulling,6.082641560977454
148,dear,6.0610408833354255
149,shannon,6.055244232154324
150,rooms,6.031520454144935
151,strange,6.027996208316501
152,tape,5.944244264566377
153,haley,5.933651228345908
154,final,5.915570306651927
155,um,5.893939921063218
156,shop,5.887100435576471
157,tonight,5.867554635558998
158,mimi,5.863880641853106
159,letter,5.8588317666841006
160,jordan,5.830761476049514
161,mentioned,5.789224051837001
162,sleep,5.763384201044789
163,exclaimed,5.763384201044789
164,cookies,5.747713510255798
165,sad,5.737677203542696
166,movie,5.737677203542696
167,bedroom,5.737677203542696
168,several,5.7121017002088434
169,schafer,5.686656352671488
170,strong,5.613020649829446
171,silly,5.611088163621245
172,names,5.611088163621245
173,takes,5.586150456066051
174,lived,5.586150456066051
175,lunch,5.586150456066051
176,brain,5.560388311519402
177,radio,5.537472062306709
178,afraid,5.536645101152493
179,burst,5.536645101152493
180,official,5.534329587434627
181,private,5.512075027140347
182,decision,5.508439529412157
183,stairs,5.487625100669389
184,upstairs,5.463294152413524
185,gorgeous,5.4571567756959105
186,asking,5.4390810300345835
187,above,5.431759864981276
188,hugged,5.431759864981276
189,closed,5.41498459785484
190,acting,5.406523188208217
191,game,5.3910037365373755
192,light,5.367137342774085
193,glance,5.3565225371512915
194,style,5.331754656159607
195,liked,5.319743623001367
196,excited,5.319743623001367
197,barely,5.319743623001367
198,thomas,5.319743623001367
199,stepped,5.296214167814304
