,term,score
0,lou,940.6151755267442
1,sean,381.70297853926417
2,corrie,296.5337122755942
3,mary,105.45589842504344
4,claudia,97.88328266322516
5,kristy,97.24959478745596
6,project,84.5227885726776
7,stacey,67.02876964981722
8,hannie,60.91793643953073
9,abby,43.77380040943739
10,bsc,41.1756607786494
11,mal,38.06164423736637
12,camera,32.41737351359755
13,aunt,29.294158833420504
14,jessi,28.290911621103447
15,uncle,26.500608739779253
16,history,24.557205490631596
17,papadakis,24.211300235057973
18,linny,23.951833085371366
19,nicky,23.74312613324216
20,king,23.582557682818535
21,pizza,23.338278357642487
22,anna,23.281168966749277
23,although,22.44435265448498
24,boxes,19.095607836882493
25,moving,18.442829443343324
26,library,18.094561362434806
27,vanessa,18.071262012438055
28,video,17.665746491147626
29,adam,17.492284428148544
30,box,17.327950713135486
31,den,17.291871170431424
32,sitters,17.023179593604375
33,brown,15.888642503442911
34,sitter,15.229426884096835
35,ms,14.788925766629816
36,karen,14.402150090327531
37,month,13.642891939239776
38,art,13.526762094573522
39,glanced,13.111905965792456
40,worst,12.847365622220241
41,large,12.387514489802008
42,mallory,12.34439395996674
43,pike,12.28953100334531
44,shea,12.251215428600819
45,popcorn,12.233943153672657
46,snow,12.156515067599083
47,jackie,12.010166348854128
48,soccer,12.010166348854128
49,booth,11.458052956532615
50,water,11.322679685777505
51,charge,11.172300912132101
52,subject,11.148763040821807
53,coat,11.089771646245655
54,member,11.024150054280694
55,homework,10.998341712058142
56,raised,10.975250201338778
57,explained,10.592428335628608
58,news,10.592428335628608
59,logan,10.514354141030905
60,crowd,10.137947238196055
61,scene,10.058498642947646
62,green,10.05507082091889
63,wears,10.000408033873073
64,barn,9.889418713909846
65,boys,9.8777251812049
66,game,9.703806725767276
67,shannon,9.688390771446919
68,grabbed,9.57553852140246
69,report,9.553327571819908
70,practically,9.49103085825391
71,tiny,9.430303873701149
72,plate,9.034453990444486
73,picnic,8.977810929940075
74,sports,8.952100099387382
75,gotten,8.93784072970568
76,tape,8.916366396849565
77,burst,8.858632161843989
78,became,8.858632161843989
79,filled,8.819320043424556
80,careful,8.790243177441402
81,waved,8.741270643861638
82,nine,8.702529648055334
83,glass,8.632044354020715
84,deal,8.6256059784598
85,dog,8.515698185368434
86,class,8.511589796802188
87,town,8.473942668502886
88,puppy,8.334724040829606
89,pale,8.262659294118235
90,shot,8.214576489782598
91,style,7.99763198423941
92,several,7.996942380292381
93,glasses,7.890611221834554
94,send,7.887537152230232
95,lived,7.82061063849247
96,named,7.82061063849247
97,mimi,7.818507522470808
98,center,7.815247121133185
99,triplets,7.779426119214162
100,grinned,7.7169050379964865
101,organized,7.708419373332145
102,president,7.682675140937144
103,leaving,7.682675140937144
104,announced,7.6147134420484175
105,quite,7.6147134420484175
106,often,7.6147134420484175
107,screamed,7.539400567681169
108,dressed,7.51399227988372
109,sighed,7.447641072201915
110,involved,7.432508693881204
111,mine,7.414699834940025
112,audience,7.383296083075613
113,taken,7.381912889753041
114,cold,7.332227808038761
115,byron,7.323539708355126
116,welcome,7.299169873172944
117,offered,7.2010750451637655
118,cookies,7.1846418878197476
119,hurried,7.1846418878197476
120,neighborhood,7.072727905275862
121,silence,7.072727905275862
122,calm,7.072727905275862
123,pull,7.009569427353936
124,blonde,7.009569427353936
125,however,6.983272392130048
126,exclaimed,6.916061041253746
127,enjoy,6.853394960113743
128,list,6.7936078114665035
129,somehow,6.733305796345494
130,longer,6.733305796345494
131,carefully,6.673603811226487
132,neat,6.603342857240437
133,hate,6.526897236041501
134,bag,6.497981517425807
135,earlier,6.4828550993451355
136,become,6.46920448384485
137,child,6.453181421746061
138,sergeant,6.40331834880817
139,helped,6.3554570013771645
140,dinner,6.327353905502607
141,families,6.307398500288785
142,appeared,6.278745126743859
143,spread,6.250255021170671
144,ballet,6.250255021170671
145,breakfast,6.250255021170671
146,teacher,6.137890741910378
147,places,6.082641560977454
148,information,6.055244232154324
149,relieved,6.000895870969805
150,clients,6.000895870969805
151,problems,5.947131912088496
152,jordan,5.830761476049514
153,accident,5.802886798785141
154,clear,5.789224051837001
155,ride,5.789224051837001
156,finish,5.763384201044789
157,nose,5.737677203542696
158,boo,5.66380651835709
159,drew,5.636150872738968
160,artist,5.613020649829446
161,juice,5.613020649829446
162,bowl,5.586617913704038
163,secret,5.586150456066051
164,led,5.561336509355406
165,war,5.537472062306709
166,spier,5.487625100669389
167,ideas,5.487625100669389
168,known,5.487625100669389
169,hit,5.4390810300345835
170,picture,5.41498459785484
171,brothers,5.41498459785484
172,ahead,5.3910037365373755
173,notebook,5.367137342774085
174,archie,5.365730761977835
175,chocolate,5.3565225371512915
176,putting,5.343384328981097
177,younger,5.319743623001367
178,liked,5.319743623001367
179,student,5.28267428579235
180,ones,5.272794921252172
181,ice,5.258358101486821
182,raced,5.258358101486821
183,kits,5.258358101486821
184,planning,5.210164747422123
185,island,5.160163900439609
186,cleared,5.138946248888097
187,insisted,5.045918800231028
188,officer,4.977541066793827
189,sent,4.955005795920803
190,expect,4.910312593528302
191,pink,4.910312593528302
192,fortunately,4.89912976947072
193,stories,4.888151872025841
194,bottom,4.888151872025841
195,genius,4.8661132487819625
196,closet,4.8661132487819625
197,henry,4.863101905416023
198,team,4.8223969666532005
199,missing,4.800716696775844
200,learned,4.800716696775844
201,gently,4.757705529670797
202,sms,4.729043738441083
203,dogs,4.705514206058007
204,tonight,4.694043708447198
205,weather,4.659001646450111
206,cheese,4.659001646450111
207,quick,4.652158508978017
208,woman,4.631379241469601
209,charlie,4.631379241469601
210,wall,4.610707360835831
211,reach,4.569681360167075
212,hot,4.54932508213719
213,tired,4.54932508213719
214,tv,4.54932508213719
215,schafer,4.54932508213719
216,machine,4.545780662501569
217,sweater,4.545780662501569
218,dear,4.545780662501569
219,extra,4.529071874311002
220,fall,4.529071874311002
221,party,4.529071874311002
222,names,4.488870530896996
223,math,4.488870530896996
224,road,4.479843942345243
225,takes,4.46892036485284
226,age,4.46892036485284
227,excellent,4.436677729988945
228,fire,4.415325326682353
229,famous,4.415325326682353
230,safe,4.415325326682353
231,joined,4.409660021712278
232,grandmother,4.409660021712278
233,letter,4.394123825013075
234,record,4.370635321930819
235,group,4.351264824027667
236,california,4.3319876782838715
237,eye,4.3319876782838715
238,others,4.3319876782838715
239,energy,4.331403770555134
240,pack,4.331403770555134
241,break,4.3128029892299
242,turning,4.3128029892299
243,shouted,4.3128029892299
244,doorbell,4.310785132691848
245,forward,4.293709874219268
246,chairs,4.290307237480649
247,sign,4.274707463184877
248,admit,4.274707463184877
249,uh,4.274707463184877
250,pleased,4.269968176524513
251,worked,4.255794898401094
252,besides,4.236971334251443
253,share,4.22969911552809
254,clock,4.2182359370017375
255,monday,4.2182359370017375
256,eight,4.2182359370017375
257,pieces,4.189963435278028
258,expression,4.170291233639551
259,decision,4.131329647059117
260,familiar,4.092867581771933
261,cat,4.073819898735957
262,everywhere,4.073819898735957
263,super,4.073819898735957
264,lips,4.073819898735957
265,acting,4.054892391156162
266,windows,4.036083552115377
267,broken,4.036083552115377
268,star,4.036083552115377
269,direction,4.017391902863468
270,glance,4.017391902863468
271,finger,3.998815992119705
272,skin,3.9803543953965703
273,edge,3.9803543953965703
274,mistake,3.9620057143442624
275,recently,3.871908853047637
276,yard,3.871908853047637
277,tall,3.871908853047637
278,classes,3.871908853047637
279,friendly,3.871908853047637
280,control,3.8542096866660724
281,promise,3.8542096866660724
282,discovered,3.836614328308878
283,grin,3.836614328308878
284,drove,3.8191215673764987
285,numbers,3.8017302143235208
286,plastic,3.7844391001732705
287,sugar,3.7672470760463153
288,anybody,3.7672470760463153
289,plans,3.7501530127024028
290,truth,3.6827344451462265
291,forever,3.6661139040193804
292,promised,3.6661139040193804
293,pulling,3.649584936586472
294,brewer,3.649584936586472
295,games,3.6331465392925946
296,faces,3.6167977249899
297,immediately,3.6167977249899
298,throat,3.6167977249899
299,keeping,3.6167977249899
300,claud,3.6005375225818828
301,mail,3.5911243719760297
302,drop,3.5843649766772536
303,gathered,3.5682791472530972
304,key,3.5522882002618266
305,including,3.55227910932701
306,happens,3.536363952637931
307,step,3.536363952637931
308,crying,3.536363952637931
309,susan,3.5301632413761213
310,angry,3.504784713676968
311,mess,3.504784713676968
312,david,3.504784713676968
313,stomach,3.504784713676968
314,michael,3.504784713676968
315,gets,3.489118881733513
316,visit,3.4735344311022005
317,wrote,3.458030520626873
318,possible,3.458030520626873
319,loudly,3.458030520626873
320,interesting,3.458030520626873
321,body,3.4426063221256173
322,watson,3.4272610201253064
323,himself,3.3968039057332517
324,pair,3.3968039057332517
325,ha,3.386294361119891
326,young,3.3816905236433805
327,rose,3.368673101755581
328,students,3.368673101755581
329,sisters,3.366652898172747
330,wow,3.366652898172747
331,married,3.366652898172747
332,seems,3.35169027363963
333,catch,3.35169027363963
334,connecticut,3.35169027363963
335,staring,3.35169027363963
336,mystery,3.3512057418180716
337,listened,3.3368019056132434
338,mad,3.3368019056132434
339,wondered,3.321987060691496
340,meetings,3.321987060691496
341,notice,3.321987060691496
342,afraid,3.321987060691496
343,questions,3.3072450162842086
344,sick,3.3072450162842086
345,nervous,3.3072450162842086
346,repeated,3.2925750604016333
347,stairs,3.2925750604016333
348,wonder,3.2925750604016333
349,cabin,3.285040783343136
350,valentine,3.285040783343136
351,handed,3.277976491448114
352,junk,3.2634486180207505
353,checked,3.2634486180207505
354,threw,3.2634486180207505
355,desk,3.2634486180207505
356,favorite,3.2489907587129037
357,closed,3.2489907587129037
358,children,3.2489907587129037
359,surprise,3.234602241922425
360,piece,3.234602241922425
361,sheet,3.233027909078059
362,definitely,3.2202824056644515
363,man,3.2202824056644515
364,light,3.2202824056644515
365,shrugged,3.206030597388658
366,figure,3.206030597388658
367,tomorrow,3.206030597388658
368,street,3.1777285006885823
369,awful,3.1636769527513033
370,lines,3.152695825627389
371,pen,3.106001097633407
372,board,3.060371742101064
373,apple,3.060371742101064
374,counter,3.0305204416677127
375,stamford,3.0157602270724677
376,lessons,3.0157602270724677
377,rooms,3.0157602270724677
378,charges,3.001108146888322
379,newspaper,2.9577851533259634
380,orange,2.9577851533259634
381,nannie,2.9435502177882356
382,earrings,2.9294158833420503
383,hiding,2.915380738024757
384,drawing,2.915380738024757
385,pikes,2.915380738024757
386,fashion,2.9014433993925706
387,becca,2.887602513703423
388,makeup,2.873856755127899
389,card,2.8466454510163417
390,softball,2.806510324914723
391,checking,2.806510324914723
392,baseball,2.793308956852019
393,beat,2.793308956852019
394,milk,2.7671647937173134
395,add,2.7413579840454974
396,yup,2.7413579840454974
397,building,2.7413579840454974
398,tough,2.7285783878479553
399,letters,2.7285783878479553
400,hugged,2.715879932490638
401,giggling,2.7032615941041085
402,major,2.7032615941041085
403,diabetes,2.690722368076918
404,simple,2.6782612685756457
405,main,2.6658773280798034
406,officers,2.653569596931047
407,doorway,2.653569596931047
408,lifted,2.641337142896175
409,opening,2.641337142896175
410,lay,2.641337142896175
411,lake,2.6363453653540248
412,joke,2.6291790507434105
413,lose,2.6291790507434105
414,outfit,2.6050823737110615
415,fault,2.5812725686984246
416,music,2.557742885539252
417,grinning,2.557742885539252
418,count,2.557742885539252
419,muttered,2.557742885539252
420,oldest,2.5460810449176656
421,decide,2.5460810449176656
422,folded,2.534486809549014
423,disappeared,2.522959400115514
424,carrying,2.522959400115514
425,realize,2.5114980506975435
426,hundred,2.5114980506975435
427,toys,2.5001020084682684
428,emily,2.4887705333969135
429,act,2.4887705333969135
430,huh,2.4775028979604015
431,ways,2.4775028979604015
432,ears,2.4775028979604015
433,associate,2.4662983868630617
434,foot,2.4662983868630617
435,amazing,2.4662983868630617
436,dues,2.455156296764151
437,stupid,2.455156296764151
438,louie,2.450243085720164
439,spot,2.4330566243909812
440,pointing,2.4330566243909812
441,ramsey,2.4330566243909812
442,closer,2.4330566243909812
443,note,2.4330566243909812
444,fit,2.4220976928617297
445,bruno,2.4220976928617297
446,tuesday,2.4111984833266003
447,steps,2.4111984833266003
448,wide,2.400358348387922
449,yourself,2.389576651118169
450,track,2.389576651118169
451,company,2.389576651118169
452,treasurer,2.3788527648353983
453,whenever,2.3681860728846735
454,handle,2.3575759684252873
455,keeps,2.3575759684252873
456,shoes,2.3575759684252873
457,played,2.336523142451312
458,museum,2.326190437050185
459,jenny,2.326190437050185
460,works,2.3260792544890085
461,terrific,2.3260792544890085
462,absolutely,2.3260792544890085
463,speaking,2.3156896207348003
464,mentioned,2.3156896207348003
465,pete,2.309661135098975
466,ate,2.3053536804179156
467,kidding,2.3053536804179156
468,hang,2.3053536804179156
469,thinks,2.3053536804179156
470,twenty,2.3053536804179156
471,junior,2.2950708814170784
472,sad,2.2950708814170784
473,grew,2.2848406800835375
474,entire,2.2848406800835375
475,clean,2.274662541068595
476,lucky,2.274662541068595
477,seeing,2.274662541068595
478,thirteen,2.264535937155501
479,speak,2.264535937155501
480,reminded,2.254460349095587
481,grown,2.254460349095587
482,empty,2.254460349095587
483,stared,2.244435265448498
484,conversation,2.244435265448498
485,silly,2.244435265448498
486,usual,2.23446018242642
487,loves,2.2245346037421623
488,managed,2.2245346037421623
489,sense,2.2146580404609972
490,eating,2.204830010856139
491,regular,2.1950500402677555
492,jobs,2.1950500402677555
493,prezzioso,2.1864284946750265
494,cry,2.1853176609654095
495,york,2.1853176609654095
496,tears,2.1756324120138335
497,asking,2.1756324120138335
498,costume,2.172039757222927
499,kishi,2.1659938391419358
500,listen,2.1659938391419358
501,waited,2.1659938391419358
502,mcgill,2.1659938391419358
503,likes,2.15640149461495
504,boyfriend,2.146854937109634
505,spoke,2.146854937109634
506,imagine,2.1373537315924387
507,air,2.1373537315924387
508,thomas,2.127897449200547
509,bet,2.1184856671257215
510,stepped,2.1184856671257215
511,question,2.1091179685008687
512,headed,2.1091179685008687
513,van,2.063826172582694
514,cecelia,2.013815752008033
515,arnold,1.9897182004289724
516,christmas,1.8561868078044497
517,clue,1.835567520601714
518,rain,1.8153648132841944
519,basement,1.7761441001309133
520,tea,1.7570959051602189
521,john,1.7384037721480663
522,police,1.6843365508777906
523,daddy,1.6843365508777906
524,train,1.6669448081659213
525,animals,1.6414115061607566
526,painting,1.6414115061607566
527,ghost,1.63304325649024
528,signed,1.6247444536755449
529,french,1.6247444536755449
530,field,1.6165139545390295
531,garage,1.6165139545390295
532,tigger,1.6165139545390295
533,stage,1.600253433667249
534,krushers,1.600253433667249
535,gym,1.600253433667249
536,purple,1.5763479128136946
537,test,1.5685047353526689
538,squirt,1.5607225949106138
539,dining,1.5530005488167036
540,sleeping,1.5453376760711344
541,babies,1.5453376760711344
542,flowers,1.530185871050532
543,porch,1.5226951993213746
544,horse,1.5152602208338564
545,suit,1.5078801135362339
546,study,1.500554073444161
547,rock,1.4932813141150811
548,lawn,1.4932813141150811
549,station,1.4932813141150811
550,backyard,1.4932813141150811
551,greeted,1.4932813141150811
552,final,1.4788925766629817
553,notes,1.4717751088941178
554,seats,1.4717751088941178
555,jump,1.4576903690123786
556,bent,1.4576903690123786
557,scary,1.4507216996962853
558,doors,1.4507216996962853
559,paint,1.4507216996962853
560,laughter,1.4507216996962853
561,example,1.4438012568517116
562,english,1.4369283775639494
563,heading,1.4301024124935495
564,murmured,1.4301024124935495
565,supplies,1.4233227255081708
566,mumbled,1.4233227255081708
567,waving,1.4165886933268268
568,slid,1.4165886933268268
569,carried,1.40989970517603
570,kinds,1.4032551624573615
571,bored,1.4032551624573615
572,pants,1.3966544784260095
573,hallway,1.3966544784260095
574,dying,1.3966544784260095
575,luckily,1.3966544784260095
576,concerned,1.3900970778798505
577,margo,1.3900970778798505
578,neck,1.3835823968586567
579,slow,1.3835823968586567
580,coffee,1.3771098823530392
581,song,1.3771098823530392
582,roll,1.3706789920227487
583,shrieked,1.3706789920227487
584,nancy,1.3706789920227487
585,nearby,1.3706789920227487
586,groaned,1.3642891939239776
587,michelle,1.3642891939239776
588,slightly,1.3642891939239776
589,honey,1.3642891939239776
590,rushed,1.3642891939239776
591,prepared,1.357939966245319
592,above,1.357939966245319
593,cream,1.3516307970520542
594,rather,1.345361184038459
595,honest,1.345361184038459
596,jumping,1.345361184038459
597,sounding,1.345361184038459
598,claire,1.3391306342878229
599,crowded,1.3391306342878229
600,slipped,1.3391306342878229
601,forth,1.3391306342878229
602,ball,1.3329386640399017
603,follow,1.3329386640399017
604,director,1.3329386640399017
605,flew,1.3267847984655234
606,summer,1.3267847984655234
607,twice,1.3267847984655234
608,practice,1.3267847984655234
609,pile,1.3206685714480875
610,snapped,1.3145895253717053
611,driveway,1.3145895253717053
612,pictures,1.3145895253717053
613,return,1.3085472109157426
614,certain,1.3025411868555308
615,candy,1.3025411868555308
616,snack,1.3025411868555308
617,whoa,1.3025411868555308
618,fill,1.3025411868555308
619,lap,1.3025411868555308
620,noise,1.3025411868555308
621,months,1.3025411868555308
622,certainly,1.296571019869027
623,beside,1.296571019869027
624,responsible,1.296571019869027
625,throw,1.2906362843492123
626,happily,1.2906362843492123
627,paused,1.2847365622220241
628,dance,1.2847365622220241
629,yellow,1.2847365622220241
630,relief,1.278871442769626
631,feelings,1.278871442769626
632,apart,1.278871442769626
633,wore,1.2730405224588328
634,warm,1.2730405224588328
635,aside,1.267243404774507
636,stick,1.267243404774507
637,hungry,1.267243404774507
638,seconds,1.261479700057757
639,gray,1.261479700057757
640,sweet,1.2500510042341342
641,shoulders,1.2443852666984567
642,happening,1.2443852666984567
643,somewhere,1.2387514489802007
644,jeff,1.2387514489802007
645,sam,1.2387514489802007
646,giggled,1.2387514489802007
647,seriously,1.2331491934315308
648,low,1.2331491934315308
649,legs,1.2331491934315308
650,andrew,1.2331491934315308
651,color,1.2275781483820756
652,sixth,1.2275781483820756
653,sigh,1.2220379680064601
654,touch,1.2220379680064601
655,shaking,1.2165283121954906
656,proud,1.2110488464308649
657,luck,1.2055992416633001
658,janine,1.2055992416633001
659,hoping,1.2055992416633001
660,strange,1.2055992416633001
661,softly,1.200179174193961
662,shy,1.1947883255590845
663,helping,1.1894263824176992
664,mostly,1.1894263824176992
665,pushed,1.1840930364423368
666,fingers,1.1840930364423368
667,shouldn,1.1840930364423368
668,fair,1.1840930364423368
669,date,1.1787879842126436
670,poor,1.1787879842126436
671,bought,1.1787879842126436
672,nobody,1.168261571225656
673,mansion,1.168261571225656
674,vice,1.168261571225656
675,hoped,1.168261571225656
676,ring,1.168261571225656
677,expected,1.168261571225656
678,written,1.1630396272445043
679,cute,1.1630396272445043
680,wild,1.1630396272445043
681,awhile,1.1526768402089578
682,sleep,1.1526768402089578
683,bright,1.1475354407085392
684,movie,1.1475354407085392
685,settled,1.1475354407085392
686,eighth,1.1475354407085392
687,jeans,1.1475354407085392
688,completely,1.1424203400417687
689,interested,1.1424203400417687
690,hanging,1.1373312705342975
691,forgot,1.1322679685777506
692,secretary,1.1322679685777506
693,join,1.1322679685777506
694,worse,1.1322679685777506
695,totally,1.1322679685777506
696,eleven,1.1272301745477935
697,writing,1.122217632724249
698,missed,1.122217632724249
699,plan,1.11723009121321
700,none,1.11723009121321
701,wednesday,1.1122673018710811
702,ended,1.1073290202304986
703,leaned,1.1024150054280695
704,private,1.1024150054280695
705,stayed,1.1024150054280695
706,starting,1.1024150054280695
707,upset,1.1024150054280695
708,explain,1.0975250201338778
709,wonderful,1.0975250201338778
710,divorced,1.0975250201338778
