,term,score
0,erica,112.48913279764643
1,kristy,106.86768657962193
2,boys,105.36240193285226
3,abby,73.61957341587198
4,parade,70.57455775655309
5,mal,59.47131912088496
6,patrick,55.68727197255114
7,stacey,42.557948984010935
8,bsc,38.753563085787675
9,claudia,37.23820536100957
10,jessi,35.36363952637931
11,mary,33.7458874960139
12,peaches,33.21271379371143
13,claire,32.13913522290775
14,eye,23.825932230561293
15,maggie,22.47693669302449
16,jackie,22.018638306232567
17,costume,21.720397572229267
18,archie,21.46292304791134
19,paint,18.859382096051707
20,pow,17.99271178293559
21,safe,17.661301306729413
22,garage,16.165139545390296
23,library,15.078801135362339
24,snack,14.327953055410838
25,margo,13.900970778798506
26,charlotte,13.839597690173237
27,explained,13.77015683631719
28,green,13.40676109455852
29,nobody,12.850877283482218
30,desk,11.965978266076084
31,children,11.912966115280646
32,rules,11.886017143032788
33,mine,11.651671169191468
34,becca,11.550410054813693
35,dancing,11.440819299948396
36,juice,11.226041299658892
37,andrew,11.098342740883778
38,glanced,10.926588304827048
39,clients,10.801612567745648
40,deal,10.782007473074751
41,bet,10.592428335628608
42,quietly,10.420603293306602
43,downstairs,10.281783060375918
44,drawing,10.20383258308665
45,warm,10.184324179670663
46,puppy,10.001668848995529
47,upset,9.921735048852625
48,stairs,9.8777251812049
49,tears,9.79034585406225
50,rodowsky,9.77313440308851
51,brown,9.533185502065747
52,dinner,9.49103085825391
53,crying,9.430303873701149
54,terrific,9.304317017956034
55,woman,9.262758482939201
56,sleep,9.221414721671662
57,child,9.034453990444486
58,charges,9.003324440664965
59,aunt,8.78824765002615
60,tea,8.785479525801094
61,adam,8.746142214074272
62,sitter,8.702529648055334
63,box,8.663975356567743
64,cookies,8.621570265383696
65,imagine,8.549414926369755
66,figure,8.549414926369755
67,emergency,8.539936353049026
68,jacket,8.49953215996096
69,anna,8.465879624272464
70,janine,8.4391946916431
71,eight,8.436471874003475
72,police,8.421682754388954
73,stuffed,8.41953097474417
74,office,8.401254219357726
75,nicky,8.379926870556057
76,yelled,8.288651255096358
77,shoes,8.251515889488505
78,clean,7.961318893740082
79,lou,7.871256698968571
80,mimi,7.818507522470808
81,carefully,7.785871113097568
82,cry,7.648611813378933
83,bag,7.580978436996775
84,careful,7.5344941520926305
85,younger,7.447641072201915
86,sighed,7.447641072201915
87,shea,7.350729257160491
88,allowed,7.2010750451637655
89,quick,6.978237763467026
90,vanessa,6.950485389399253
91,lived,6.70338054727926
92,glance,6.6956531714391145
93,marilyn,6.69264077173758
94,hide,6.633923992327617
95,nervous,6.614490032568417
96,opening,6.603342857240437
97,lay,6.603342857240437
98,ideas,6.585150120803267
99,known,6.585150120803267
100,driveway,6.572947626858526
101,seat,6.555952982896228
102,upstairs,6.555952982896228
103,junk,6.526897236041501
104,hit,6.526897236041501
105,planning,6.512705934277654
106,kit,6.4989778147021795
107,closed,6.497981517425807
108,field,6.466055818156118
109,yard,6.453181421746061
110,happily,6.453181421746061
111,recently,6.453181421746061
112,uh,6.412061194777316
113,sitters,6.383692347601641
114,liked,6.383692347601641
115,excited,6.383692347601641
116,taken,6.327353905502607
117,calling,6.327353905502607
118,headed,6.327353905502607
119,toys,6.250255021170671
120,bottle,6.242890379642455
121,confused,6.221926333492283
122,sleeping,6.1813507042845375
123,win,6.1813507042845375
124,scared,6.137890741910378
125,uncle,6.115525093795212
126,homework,6.110189840032301
127,promised,6.110189840032301
128,counter,6.0610408833354255
129,suit,6.031520454144935
130,hoping,6.027996208316501
131,offered,6.000895870969805
132,claud,6.000895870969805
133,lawn,5.9731252564603246
134,excellent,5.915570306651927
135,handle,5.893939921063218
136,unless,5.841307856128281
137,pikes,5.830761476049514
138,ride,5.789224051837001
139,single,5.737677203542696
140,settled,5.737677203542696
141,ear,5.686656352671488
142,fall,5.6613398428887525
143,drew,5.636150872738968
144,somehow,5.611088163621245
145,conversation,5.611088163621245
146,none,5.586150456066051
147,loves,5.561336509355406
148,concerned,5.560388311519402
149,driving,5.560388311519402
150,burst,5.536645101152493
151,ended,5.536645101152493
152,sun,5.534329587434627
153,joined,5.512075027140347
154,explain,5.487625100669389
155,its,5.487625100669389
156,regular,5.487625100669389
157,somebody,5.482715968090995
158,checked,5.4390810300345835
159,kishi,5.41498459785484
160,horrible,5.406523188208217
161,game,5.3910037365373755
162,dressed,5.367137342774085
163,mama,5.365730761977835
164,teeth,5.3565225371512915
165,following,5.3565225371512915
166,admit,5.343384328981097
167,shrugged,5.343384328981097
168,grabbed,5.319743623001367
169,helped,5.296214167814304
170,street,5.296214167814304
171,monday,5.272794921252172
172,question,5.272794921252172
173,candy,5.210164747422123
174,plate,5.162545137396849
175,control,5.138946248888097
176,heads,5.138946248888097
177,asleep,5.092162089835331
178,stick,5.068973619098028
179,folded,5.068973619098028
180,gray,5.045918800231028
181,happening,4.977541066793827
182,bike,4.949551124419863
183,fortunately,4.89912976947072
184,closet,4.8661132487819625
185,closer,4.8661132487819625
186,sight,4.8223969666532005
187,wide,4.800716696775844
188,karen,4.800716696775844
189,shy,4.779153302236338
190,report,4.776663785909954
191,problems,4.757705529670797
192,pushed,4.736372145769347
193,um,4.7151519368505745
194,tiny,4.7151519368505745
195,calm,4.7151519368505745
196,happens,4.7151519368505745
197,dogs,4.705514206058007
198,bear,4.705514206058007
199,pull,4.673046284902624
200,cute,4.652158508978017
201,babies,4.636013028213403
202,speaking,4.631379241469601
203,wall,4.610707360835831
204,apple,4.590557613151596
205,sad,4.590141762834157
206,several,4.569681360167075
207,speak,4.529071874311002
208,stamford,4.523640340608702
209,reminded,4.508920698191174
210,carolyn,4.492295458753297
211,math,4.488870530896996
212,sisters,4.488870530896996
213,page,4.479843942345243
214,rock,4.479843942345243
215,pike,4.46892036485284
216,plan,4.46892036485284
217,mad,4.4490692074843246
218,ms,4.436677729988945
219,wondered,4.4293160809219945
220,afraid,4.4293160809219945
221,notes,4.415325326682353
222,grinned,4.409660021712278
223,grandmother,4.409660021712278
224,plenty,4.409660021712278
225,byron,4.394123825013075
226,row,4.394123825013075
227,jobs,4.390100080535511
228,wonder,4.390100080535511
229,president,4.390100080535511
230,york,4.370635321930819
231,handed,4.370635321930819
232,threw,4.351264824027667
233,picture,4.3319876782838715
234,brothers,4.3319876782838715
235,energy,4.331403770555134
236,piece,4.3128029892299
237,shouted,4.3128029892299
238,notebook,4.293709874219268
239,spoke,4.293709874219268
240,forward,4.293709874219268
241,light,4.293709874219268
242,sang,4.290307237480649
243,spent,4.274707463184877
244,sign,4.274707463184877
245,worked,4.255794898401094
246,class,4.255794898401094
247,hat,4.24976607998048
248,carried,4.22969911552809
249,clock,4.2182359370017375
250,awful,4.2182359370017375
251,checking,4.209765487372085
252,contest,4.17960331797191
253,nearby,4.1120369760682465
254,nancy,4.1120369760682465
255,groaned,4.092867581771933
256,tree,4.073819898735957
257,hugged,4.073819898735957
258,director,3.998815992119705
259,stepsister,3.998815992119705
260,arnold,3.979436400857945
261,return,3.9256416327472277
262,responsible,3.889713059607081
263,pop,3.8863963695881587
264,sean,3.855585641810749
265,dance,3.8542096866660724
266,promise,3.8542096866660724
267,grinning,3.836614328308878
268,boxes,3.8191215673764987
269,drove,3.8191215673764987
270,hungry,3.8017302143235208
271,seconds,3.7844391001732705
272,sugar,3.7672470760463153
273,plans,3.7501530127024028
274,feels,3.7501530127024028
275,josh,3.7124847981700757
276,truth,3.6827344451462265
277,cold,3.6661139040193804
278,forever,3.6661139040193804
279,pointing,3.649584936586472
280,welcome,3.649584936586472
281,spot,3.649584936586472
282,pulling,3.649584936586472
283,note,3.649584936586472
284,games,3.6331465392925946
285,learn,3.6167977249899
286,faces,3.6167977249899
287,softly,3.6005375225818828
288,yourself,3.5843649766772536
289,track,3.5843649766772536
290,company,3.5843649766772536
291,gently,3.5682791472530972
292,helping,3.5682791472530972
293,treasurer,3.5682791472530972
294,step,3.536363952637931
295,corrie,3.5301632413761213
296,tonight,3.520532781335399
297,mention,3.520532781335399
298,band,3.5141918103204377
299,david,3.504784713676968
300,michael,3.504784713676968
301,hoped,3.504784713676968
302,stomach,3.504784713676968
303,mess,3.504784713676968
304,works,3.489118881733513
305,bunch,3.4735344311022005
306,wrote,3.458030520626873
307,needs,3.458030520626873
308,hang,3.458030520626873
309,moving,3.458030520626873
310,buy,3.4426063221256173
311,entire,3.4272610201253064
312,lucky,3.4119938116028923
313,hot,3.4119938116028923
314,hanging,3.4119938116028923
315,tired,3.4119938116028923
316,tv,3.4119938116028923
317,totally,3.3968039057332517
318,forgot,3.3968039057332517
319,join,3.3968039057332517
320,grown,3.3816905236433805
321,young,3.3816905236433805
322,catch,3.35169027363963
323,listened,3.3368019056132434
324,train,3.3338896163318426
325,notice,3.321987060691496
326,meetings,3.321987060691496
327,twins,3.31672212894906
328,evening,3.3072450162842086
329,leaned,3.3072450162842086
330,leaving,3.2925750604016333
331,animals,3.282823012321513
332,drive,3.277976491448114
333,rolled,3.277976491448114
334,vacation,3.26608651298048
335,nine,3.2634486180207505
336,likes,3.234602241922425
337,window,3.2202824056644515
338,boyfriend,3.2202824056644515
339,putting,3.206030597388658
340,stage,3.200506867334498
341,barely,3.1918461738008204
342,continued,3.1636769527513033
343,restaurant,3.1214451898212277
344,pen,3.106001097633407
345,weather,3.106001097633407
346,kiss,3.060371742101064
347,porch,3.0453903986427493
348,machine,3.0305204416677127
349,chips,3.001108146888322
350,road,2.9865626282301623
351,salad,2.9721221322831886
352,newspaper,2.9577851533259634
353,lit,2.9294158833420503
354,jordan,2.915380738024757
355,hiding,2.915380738024757
356,scary,2.9014433993925706
357,fashion,2.9014433993925706
358,doorbell,2.873856755127899
359,scene,2.873856755127899
360,chairs,2.860204824987099
361,admitted,2.860204824987099
362,area,2.8331773866536536
363,exciting,2.8331773866536536
364,obviously,2.8331773866536536
365,kinds,2.806510324914723
366,however,2.793308956852019
367,bowl,2.793308956852019
368,moments,2.793308956852019
369,bill,2.780194155759701
370,expression,2.780194155759701
371,official,2.7671647937173134
372,milk,2.7671647937173134
373,daughter,2.7671647937173134
374,nope,2.7413579840454974
375,building,2.7413579840454974
