,term,score
0,mark,240.11331458869782
1,dog,166.6643787707822
2,abby,155.19801963345984
3,puppy,126.68780542061002
4,mary,103.34678045654258
5,dogs,90.9732746504548
6,stacey,77.66825689581997
7,claudia,60.64507730221559
8,watson,58.2634373421302
9,shannon,55.70824693581979
10,karen,51.60770449034032
11,kristy,28.854275376497924
12,ball,26.658773280798034
13,bsc,25.43202577504816
14,ben,24.53968282970446
15,jessi,22.39697170004023
16,jackie,22.018638306232567
17,class,21.278974492005467
18,woman,19.683361776245803
19,soccer,18.01524952328119
20,mal,17.841395736265486
21,nannie,17.661301306729413
22,jake,17.365046847936746
23,store,16.8783893832862
24,practice,15.921417581586281
25,video,15.899171842032862
26,james,15.831563411388297
27,learn,15.672790141622901
28,member,14.331395070564904
29,kuhn,13.658277725791748
30,glasses,13.526762094573522
31,mallory,13.466611592690988
32,michael,12.850877283482218
33,david,12.850877283482218
34,brown,12.710914002754329
35,young,12.399531920025728
36,named,12.28953100334531
37,popcorn,12.233943153672657
38,horse,12.122081766670851
39,den,12.104309819301996
40,raised,12.072775221472655
41,pet,11.938309202573834
42,shoes,11.787879842126436
43,krushers,11.201774035670743
44,glanced,10.926588304827048
45,sitter,10.878162060069167
46,team,10.850393174969701
47,skin,10.614278387724188
48,rules,10.5653485715847
49,backyard,10.452969198805569
50,park,10.158883083359672
51,insisted,10.091837600462055
52,shouted,9.703806725767276
53,beautiful,9.703806725767276
54,grace,9.580733234148546
55,coach,9.54837746377718
56,explained,9.533185502065747
57,boo,9.43967753059515
58,direction,9.37391444001476
59,angry,9.346092569805249
60,charlie,9.262758482939201
61,several,9.13936272033415
62,staring,8.93784072970568
63,doctor,8.916366396849565
64,often,8.702529648055334
65,costume,8.688159028891707
66,brothers,8.663975356567743
67,cookies,8.621570265383696
68,man,8.587419748438537
69,younger,8.511589796802188
70,street,8.473942668502886
71,anna,8.465879624272464
72,clients,8.401254219357726
73,baseball,8.379926870556057
74,pale,8.262659294118235
75,calm,8.251515889488505
76,gets,8.14127739071153
77,visit,8.1049136725718
78,camera,8.104343378399388
79,chocolate,8.034783805726937
80,although,7.855523429069743
81,responsible,7.779426119214162
82,plate,7.743817706095274
83,sports,7.673228656617756
84,rolled,7.648611813378933
85,closed,7.580978436996775
86,window,7.51399227988372
87,air,7.480738060573535
88,ears,7.432508693881204
89,foot,7.398895160589185
90,audience,7.383296083075613
91,taken,7.381912889753041
92,garden,7.342270082406856
93,immediately,7.2335954499798
94,offered,7.2010750451637655
95,softball,7.016275812286807
96,slow,6.9179119842932835
97,daughter,6.9179119842932835
98,coffee,6.885549411765196
99,slightly,6.821445969619888
100,michelle,6.821445969619888
101,water,6.7936078114665035
102,everywhere,6.789699831226596
103,missed,6.733305796345494
104,gotten,6.70338054727926
105,seems,6.70338054727926
106,age,6.70338054727926
107,meetings,6.643974121382992
108,regular,6.585150120803267
109,its,6.585150120803267
110,boys,6.585150120803267
111,quite,6.526897236041501
112,snack,6.512705934277654
113,center,6.512705934277654
114,surprise,6.46920448384485
