,term,score
0,robert,675.9711648528272
1,kristy,82.28811866630889
2,ethan,82.1260195835784
3,claudia,76.60430817121969
4,papadakis,55.02568235240448
5,abby,49.74295501072431
6,team,42.195973458215505
7,alex,40.148296358262066
8,linny,38.322932936594185
9,baseball,34.916361960650235
10,coach,34.37415886959785
11,mary,27.418533590511295
12,stacey,26.598718115006836
13,mallory,25.811005552657726
14,dr,25.66507196939928
15,jessi,24.754547668465516
16,locker,23.828505791680676
17,claire,22.76522078289299
18,pike,22.344601824264203
19,bsc,20.5878303893247
20,broke,18.410947632706453
21,nicky,16.759853741112114
22,hannie,16.400982887565966
23,sick,15.433810075992973
24,dance,15.41683874666429
25,genius,14.598339746345887
26,practice,14.594632783120758
27,guy,14.078959954422583
28,logan,14.019138854707872
29,margo,13.900970778798506
30,sitters,13.831333419803554
31,involved,13.626265938782208
32,sense,13.287948242765983
33,valentine,13.140163133372544
34,radio,12.920768145382322
35,boyfriend,12.881129622657806
36,insisted,12.61479700057757
37,upset,12.126565059708764
38,ashley,11.946191179148558
39,game,11.860208220382226
40,win,10.81736373249794
41,suppose,10.764131536801406
42,machine,10.606821545836995
43,himself,10.190411717199755
44,math,10.099958694518241
45,hit,9.79034585406225
46,mall,9.74846672205327
47,tomorrow,9.618091792165973
48,awhile,9.221414721671662
49,picking,9.075997139083189
50,art,9.017841396382348
51,although,8.977741061793992
52,station,8.959687884690487
53,paint,8.704330198177711
54,bag,8.663975356567743
55,becca,8.662807541110269
56,terrible,8.632044354020715
57,window,8.587419748438537
58,definitely,8.587419748438537
59,forever,8.55426577604522
60,worked,8.511589796802188
61,question,8.436471874003475
62,clock,8.436471874003475
63,offered,8.401254219357726
64,expression,8.340582467279102
65,vanessa,8.340582467279102
66,nearly,8.214576489782598
67,hoped,8.177830998579593
68,completely,7.996942380292381
69,reminded,7.890611221834554
70,green,7.82061063849247
71,months,7.815247121133185
72,squirt,7.803612974553069
73,dining,7.765002744083517
74,jobs,7.682675140937144
75,checked,7.6147134420484175
76,class,7.447641072201915
77,liked,7.447641072201915
78,doctor,7.430305330707972
79,truth,7.365468890292453
80,college,7.253608498481427
81,hurried,7.1846418878197476
82,yourself,7.168729953354507
83,admitted,7.150512062467747
84,problems,7.1365582945061945
85,date,7.072727905275862
86,clear,6.947068862204401
87,hang,6.916061041253746
88,watson,6.854522040250613
89,enjoy,6.853394960113743
90,hanging,6.823987623205785
91,seeing,6.823987623205785
92,tough,6.821445969619888
93,conversation,6.733305796345494
94,broken,6.7268059201922945
95,spotted,6.6956531714391145
96,shopping,6.6956531714391145
97,summer,6.633923992327617
98,stayed,6.614490032568417
99,ideas,6.585150120803267
100,return,6.542736054578713
101,nine,6.526897236041501
102,deal,6.46920448384485
103,field,6.466055818156118
104,classes,6.453181421746061
105,spoke,6.440564811328903
106,shrugged,6.412061194777316
107,mood,6.39435721384813
108,changed,6.383692347601641
109,grabbed,6.383692347601641
110,explained,6.3554570013771645
111,helped,6.3554570013771645
112,dinner,6.327353905502607
113,cecelia,6.041447256024099
114,trip,6.027996208316501
115,fight,6.000895870969805
116,excellent,5.915570306651927
117,weekend,5.893939921063218
118,angry,5.841307856128281
119,possible,5.763384201044789
120,ate,5.763384201044789
121,whether,5.763384201044789
122,dress,5.737677203542696
123,shut,5.7121017002088434
124,interested,5.7121017002088434
125,speak,5.6613398428887525
126,longer,5.611088163621245
127,wow,5.611088163621245
128,bus,5.5999743230152355
129,listened,5.561336509355406
130,meetings,5.536645101152493
131,wondered,5.536645101152493
132,daughter,5.534329587434627
133,eating,5.512075027140347
134,leaned,5.512075027140347
135,couch,5.508439529412157
136,clue,5.506702561805142
137,upstairs,5.463294152413524
138,cry,5.463294152413524
139,york,5.463294152413524
140,less,5.463294152413524
141,rolled,5.463294152413524
142,seat,5.463294152413524
143,glanced,5.463294152413524
144,sitter,5.4390810300345835
145,often,5.4390810300345835
146,announced,5.4390810300345835
147,diabetes,5.381444736153836
148,uh,5.343384328981097
149,younger,5.319743623001367
150,pay,5.319743623001367
151,news,5.296214167814304
152,project,5.28267428579235
153,monday,5.272794921252172
154,calling,5.272794921252172
155,lose,5.258358101486821
156,friendly,5.162545137396849
157,feelings,5.115485771078504
158,apart,5.115485771078504
159,warm,5.092162089835331
160,lately,5.092162089835331
161,park,5.079441541679836
162,ha,5.079441541679836
163,loved,5.045918800231028
164,train,5.000834424497764
165,thursday,5.000204016936537
166,happening,4.977541066793827
167,giggled,4.955005795920803
168,teacher,4.910312593528302
169,shaking,4.8661132487819625
170,store,4.8223969666532005
171,clients,4.800716696775844
172,report,4.776663785909954
173,bought,4.7151519368505745
174,test,4.705514206058007
175,played,4.673046284902624
176,woman,4.631379241469601
177,sleep,4.610707360835831
178,interesting,4.610707360835831
179,bedroom,4.590141762834157
180,eighth,4.590141762834157
181,buy,4.590141762834157
182,several,4.569681360167075
183,lucky,4.54932508213719
184,water,4.529071874311002
185,totally,4.529071874311002
186,stared,4.488870530896996
187,staring,4.46892036485284
188,lunch,4.46892036485284
189,plan,4.46892036485284
190,takes,4.46892036485284
191,lived,4.46892036485284
192,wednesday,4.4490692074843246
193,mad,4.4490692074843246
194,notice,4.4293160809219945
195,filled,4.409660021712278
196,plenty,4.409660021712278
197,aunt,4.394123825013075
198,spier,4.390100080535511
199,known,4.390100080535511
200,stairs,4.390100080535511
201,divorced,4.390100080535511
202,jump,4.373071107037136
203,record,4.370635321930819
204,tears,4.351264824027667
205,group,4.351264824027667
206,beautiful,4.3128029892299
207,likes,4.3128029892299
208,break,4.3128029892299
