,term,score
0,victoria,884.096126238448
1,kristy,221.2161112198174
2,abby,189.02322904075237
3,claudia,145.76097527023745
4,stacey,104.2669750108268
5,karen,54.00806283872824
6,mary,53.782508196772156
7,sharon,52.645579585241634
8,summer,51.744607140155416
9,logan,51.40350913392887
10,bsc,46.01985616437287
11,trip,42.195973458215505
12,jobs,41.70595076508735
13,mallory,38.15539951262447
14,alan,37.85484394324755
15,jessi,34.18485154216667
16,jeff,30.968786224505017
17,linny,28.74219970244564
18,animals,27.903995604732863
19,cokie,24.584899906425147
20,hannie,23.429975553665663
21,american,21.05877463266341
22,stuffed,19.64557227440306
23,ms,19.225603496618763
24,muttered,19.183071641544387
25,shannon,18.165732696462975
26,party,18.11628749724401
27,class,17.023179593604375
28,maria,16.857702519768367
29,camp,16.8243750858878
30,luckily,16.759853741112114
31,sports,16.62532875600514
32,insisted,16.39923610075084
33,mall,16.24744453675545
34,barn,15.823069942255755
35,english,15.806212153203443
36,plenty,15.433810075992973
37,michael,15.187400425933529
38,david,15.187400425933529
39,shouted,15.09481046230465
40,visit,15.051982534776203
41,chips,15.00554073444161
42,ashley,14.932738973935697
43,cream,14.867938767572596
44,announced,14.141610678089918
45,dogs,14.11654261817402
46,sighed,13.831333419803554
47,young,13.526762094573522
48,final,13.310033189966836
49,team,13.261591658296302
50,ice,13.145895253717052
51,nine,13.053794472083002
52,favorite,12.995963034851615
53,news,12.710914002754329
54,erica,12.498792533071827
55,board,12.241486968404256
56,soccer,12.010166348854128
57,moving,11.526768402089578
58,gym,11.201774035670743
59,pink,11.04820333543868
60,garden,11.013405123610283
61,often,10.878162060069167
62,bag,10.82996919570968
63,mal,10.704837441759292
64,excited,10.639487246002734
65,sitters,10.639487246002734
66,brown,10.592428335628608
67,tea,10.542575430961314
68,charges,10.503878514109127
69,van,10.31913086291347
70,mad,10.010405716839731
71,california,9.746972276138711
72,note,9.732226497563925
73,information,9.688390771446919
74,younger,9.57553852140246
75,besides,9.533185502065747
76,explained,9.533185502065747
77,clock,9.49103085825391
78,continued,9.49103085825391
79,including,9.472744291538694
80,bought,9.430303873701149
81,snapped,9.202126677601937
82,eighth,9.180283525668314
83,organized,8.993155935554169
84,meetings,8.858632161843989
85,gray,8.830357900404298
86,filled,8.819320043424556
87,papadakis,8.804109176384717
88,large,8.671260142861405
89,becca,8.662807541110269
90,game,8.6256059784598
91,notebook,8.587419748438537
92,uh,8.549414926369755
93,tomorrow,8.549414926369755
94,johnson,8.511048182448528
95,anna,8.465879624272464
96,store,8.4391946916431
97,monday,8.436471874003475
98,students,8.421682754388954
99,softball,8.41953097474417
100,juice,8.41953097474417
101,gorgeous,8.185735163543866
102,thrilled,8.185735163543866
103,french,8.123722268377724
104,carol,8.120888797703934
105,acting,8.109784782312325
106,interested,7.996942380292381
107,reminded,7.890611221834554
108,stared,7.855523429069743
109,math,7.855523429069743
110,lunch,7.82061063849247
111,certainly,7.779426119214162
112,earlier,7.779426119214162
113,yard,7.743817706095274
114,upset,7.7169050379964865
115,charlotte,7.688665383429576
116,boxes,7.638243134752997
117,junk,7.6147134420484175
118,hungry,7.6034604286470415
119,forward,7.51399227988372
120,admit,7.480738060573535
121,teacher,7.365468890292453
122,shea,7.350729257160491
123,pointing,7.299169873172944
124,hoping,7.2335954499798
125,bathroom,7.2335954499798
126,waving,7.082943466634134
127,exciting,7.082943466634134
128,jenny,6.978571311150555
129,island,6.880218533919479
130,hot,6.823987623205785
131,groaned,6.821445969619888
132,pair,6.7936078114665035
133,rose,6.737346203511162
134,honest,6.7268059201922945
135,named,6.70338054727926
136,chocolate,6.6956531714391145
137,grinned,6.614490032568417
138,wonderful,6.585150120803267
139,leaving,6.585150120803267
140,kits,6.572947626858526
141,less,6.555952982896228
142,outfit,6.512705934277654
143,planning,6.512705934277654
144,pizza,6.4828550993451355
145,plate,6.453181421746061
146,decide,6.365202612294164
147,ones,6.327353905502607
148,hundred,6.278745126743859
149,plans,6.250255021170671
150,carrot,6.191478517748083
151,stories,6.110189840032301
152,games,6.055244232154324
153,planned,5.893939921063218
154,shoes,5.893939921063218
155,neighborhood,5.893939921063218
156,angry,5.841307856128281
157,charlie,5.789224051837001
158,buy,5.737677203542696
159,coach,5.729026478266308
160,admitted,5.720409649974198
161,several,5.7121017002088434
162,green,5.586150456066051
163,christmas,5.568560423413349
164,became,5.536645101152493
165,hardly,5.536645101152493
166,notice,5.536645101152493
167,waved,5.463294152413524
168,york,5.463294152413524
169,rushed,5.4571567756959105
170,others,5.41498459785484
171,turning,5.3910037365373755
172,definitely,5.367137342774085
173,air,5.343384328981097
174,putting,5.343384328981097
175,sign,5.343384328981097
176,shrugged,5.343384328981097
177,stepsister,5.331754656159607
178,practice,5.307139193862094
179,helped,5.296214167814304
180,town,5.296214167814304
181,lose,5.258358101486821
182,triplets,5.186284079476108
183,friendly,5.162545137396849
184,grinning,5.115485771078504
185,locker,5.1061083839315735
186,lately,5.092162089835331
187,wore,5.092162089835331
188,stick,5.068973619098028
189,dollars,5.053009652633372
190,sugar,5.022996101395087
191,wears,5.000204016936537
192,toys,5.000204016936537
193,act,4.977541066793827
194,subject,4.955005795920803
195,associate,4.932596773726123
196,dog,4.8661132487819625
197,welcome,4.8661132487819625
198,tigger,4.849541863617088
199,tuesday,4.8223969666532005
200,clients,4.800716696775844
201,interrupted,4.800716696775844
202,relieved,4.800716696775844
203,grace,4.790366617074273
204,expected,4.673046284902624
205,played,4.673046284902624
206,mansion,4.673046284902624
207,cheese,4.659001646450111
208,loudly,4.610707360835831
209,exclaimed,4.610707360835831
210,wrote,4.610707360835831
211,begin,4.590141762834157
212,downstairs,4.569681360167075
213,entire,4.569681360167075
214,tv,4.54932508213719
215,clean,4.54932508213719
216,extra,4.529071874311002
217,list,4.529071874311002
218,glasses,4.508920698191174
219,art,4.508920698191174
220,writing,4.488870530896996
221,greeted,4.479843942345243
222,pike,4.46892036485284
223,age,4.46892036485284
224,led,4.4490692074843246
225,wednesday,4.4490692074843246
226,seats,4.415325326682353
227,nervous,4.409660021712278
228,eating,4.409660021712278
229,leaned,4.409660021712278
230,member,4.409660021712278
231,earrings,4.394123825013075
232,ideas,4.390100080535511
233,raised,4.390100080535511
234,teachers,4.373071107037136
235,rolled,4.370635321930819
236,tears,4.351264824027667
237,example,4.331403770555134
238,likes,4.3128029892299
239,king,4.287737760512461
240,spent,4.274707463184877
241,spend,4.274707463184877
242,pleased,4.269968176524513
243,barely,4.255794898401094
244,hat,4.24976607998048
245,mine,4.236971334251443
246,comes,4.236971334251443
247,carried,4.22969911552809
248,headed,4.2182359370017375
249,calling,4.2182359370017375
250,taken,4.2182359370017375
251,hallway,4.189963435278028
252,sun,4.15074719057597
253,seventh,4.131329647059117
254,couch,4.131329647059117
255,shrieked,4.1120369760682465
256,nancy,4.1120369760682465
257,familiar,4.092867581771933
258,month,4.092867581771933
259,history,4.092867581771933
260,movies,4.073819898735957
261,rather,4.036083552115377
262,sounding,4.036083552115377
263,hide,3.9803543953965703
264,twice,3.9803543953965703
265,doorway,3.9803543953965703
266,pictures,3.943768576115116
267,snack,3.9076235605665923
268,lap,3.9076235605665923
269,months,3.9076235605665923
270,fault,3.871908853047637
271,recently,3.871908853047637
272,disappointed,3.871908853047637
273,feelings,3.836614328308878
274,booth,3.819350985510872
275,loved,3.7844391001732705
276,breakfast,3.7501530127024028
277,bell,3.716254346940602
278,dues,3.6827344451462265
279,sixth,3.6827344451462265
280,ramsey,3.649584936586472
281,brewer,3.649584936586472
282,janine,3.6167977249899
283,softly,3.6005375225818828
284,missing,3.6005375225818828
285,cake,3.5911243719760297
286,shy,3.5843649766772536
287,track,3.5843649766772536
288,helping,3.5682791472530972
289,fingers,3.55227910932701
290,shouldn,3.55227910932701
291,whenever,3.55227910932701
292,fair,3.55227910932701
293,happens,3.536363952637931
294,loud,3.504784713676968
295,gets,3.489118881733513
296,wild,3.489118881733513
297,covered,3.489118881733513
298,written,3.489118881733513
299,speaking,3.4735344311022005
300,bunch,3.4735344311022005
301,thinks,3.458030520626873
302,awhile,3.458030520626873
303,whether,3.458030520626873
304,dress,3.4426063221256173
305,seeing,3.4119938116028923
306,speak,3.3968039057332517
307,conversation,3.366652898172747
308,carefully,3.3368019056132434
309,loves,3.3368019056132434
310,listened,3.3368019056132434
311,sunny,3.3338896163318426
312,third,3.3072450162842086
313,backpack,3.2997007496132422
314,repeated,3.2925750604016333
315,its,3.2925750604016333
316,wonder,3.2925750604016333
317,president,3.2925750604016333
318,ghost,3.26608651298048
319,quite,3.2634486180207505
