,term,score
0,anna,150.26936333083623
1,kristy,71.6013500083467
2,beach,70.28383620640875
3,mary,67.4917749920278
4,party,62.27473827177628
5,mallory,54.9886640034882
6,abby,47.753236810295334
7,stacey,44.68584643321149
8,vacation,44.09216792523648
9,pike,42.45474346610198
10,aunt,39.54711442511768
11,water,31.703503120177018
12,costume,30.408556601120978
13,tree,29.87467925739702
14,jessi,27.112123636890804
15,claudia,25.534769390406563
16,town,25.421828005508658
17,vanessa,25.02174740183731
18,island,24.080764868718177
19,summer,21.228556775448375
20,nicky,20.949817176390145
21,margo,19.461359090317906
22,letter,19.041203241723327
23,pikes,18.949974797160923
24,stairs,18.657925342275924
25,list,18.11628749724401
26,music,16.62532875600514
27,uncle,16.308066916787233
28,dining,15.530005488167035
29,logan,15.187400425933529
30,claire,14.730436977166052
31,adam,14.576903690123785
32,information,14.532586157170378
33,van,14.446783208078859
34,sea,13.763313921131445
35,triplets,12.965710198690271
36,yard,12.906362843492122
37,expression,12.510873700918655
38,dressed,11.807702154102987
39,clock,11.600148826754777
40,strong,11.226041299658892
41,mad,11.122673018710811
42,joined,11.024150054280694
43,sick,11.024150054280694
44,king,10.719344401281152
45,stepped,10.592428335628608
46,band,10.542575430961314
47,beside,10.372568158952216
48,seems,10.05507082091889
49,secret,10.05507082091889
50,cards,10.001668848995529
51,bags,9.916120853287788
52,large,9.910011591841606
53,tears,9.79034585406225
54,bag,9.746972276138711
55,box,9.746972276138711
56,bsc,9.688390771446919
57,window,9.660847216993353
58,bathroom,9.644793933306401
59,sitters,9.57553852140246
60,pool,9.54837746377718
61,explained,9.533185502065747
62,awesome,9.505518553924848
63,sleeping,9.272026056426807
64,suppose,9.22639846011549
65,board,9.181115226303191
66,bedroom,9.180283525668314
67,seeing,9.09865016427438
68,sisters,8.977741061793992
69,although,8.977741061793992
70,backyard,8.959687884690487
71,lived,8.93784072970568
72,plan,8.93784072970568
73,ben,8.92352102898344
74,appeared,8.790243177441402
75,spread,8.75035702963894
76,jordan,8.746142214074272
77,upstairs,8.741270643861638
78,nine,8.702529648055334
79,terrible,8.632044354020715
80,light,8.587419748438537
81,imagine,8.549414926369755
82,brown,8.473942668502886
83,learned,8.401254219357726
84,sun,8.30149438115194
85,slightly,8.185735163543866
86,super,8.147639797471914
87,quick,8.14127739071153
88,himself,7.9258757800442545
89,lifted,7.924011428688525
90,pictures,7.887537152230232
91,longer,7.855523429069743
92,member,7.7169050379964865
93,letting,7.708419373332145
94,wore,7.638243134752997
95,porch,7.613475996606873
96,brothers,7.580978436996775
97,shouted,7.547405231152325
98,library,7.539400567681169
99,forward,7.51399227988372
100,breakfast,7.5003060254048055
101,invited,7.466311600190741
102,eight,7.381912889753041
103,notes,7.358875544470589
104,byron,7.323539708355126
105,pulling,7.299169873172944
106,rain,7.261459253136778
107,wide,7.2010750451637655
108,hat,7.082943466634134
109,calm,7.072727905275862
110,woman,6.947068862204401
111,bright,6.885212644251235
112,dress,6.885212644251235
113,gorgeous,6.821445969619888
114,hugged,6.789699831226596
115,style,6.664693320199508
116,follow,6.664693320199508
117,became,6.643974121382992
118,sense,6.643974121382992
119,burst,6.643974121382992
120,flew,6.633923992327617
121,twins,6.63344425789812
122,evening,6.614490032568417
123,pass,6.603342857240437
124,president,6.585150120803267
125,sitter,6.526897236041501
126,deal,6.46920448384485
127,discovered,6.39435721384813
128,drove,6.365202612294164
129,headed,6.327353905502607
130,camp,6.309140657207926
131,insisted,6.307398500288785
132,climbed,6.250255021170671
133,wears,6.250255021170671
134,charlotte,6.150932306743661
135,hospital,6.150932306743661
136,cecelia,6.041447256024099
137,hoping,6.027996208316501
138,trip,6.027996208316501
139,sight,6.027996208316501
140,doctor,5.944244264566377
141,silence,5.893939921063218
142,hoped,5.841307856128281
143,expected,5.841307856128281
144,wild,5.815198136222522
145,becca,5.775205027406846
146,hurried,5.747713510255798
147,buy,5.737677203542696
148,watson,5.7121017002088434
149,reach,5.7121017002088434
150,reminded,5.636150872738968
151,drew,5.636150872738968
152,glasses,5.636150872738968
153,silly,5.611088163621245
154,wow,5.611088163621245
155,stared,5.611088163621245
156,led,5.561336509355406
157,listened,5.561336509355406
158,driving,5.560388311519402
159,meetings,5.536645101152493
160,upset,5.512075027140347
161,wonderful,5.487625100669389
162,regular,5.487625100669389
163,known,5.487625100669389
164,waved,5.463294152413524
165,history,5.4571567756959105
166,often,5.4390810300345835
167,prepared,5.431759864981276
168,picture,5.41498459785484
169,piece,5.3910037365373755
170,dead,5.3565225371512915
171,figure,5.343384328981097
172,sighed,5.319743623001367
173,younger,5.319743623001367
174,comes,5.296214167814304
175,lay,5.28267428579235
176,driveway,5.258358101486821
177,raced,5.258358101486821
178,snapped,5.258358101486821
179,fill,5.210164747422123
180,pizza,5.186284079476108
181,certainly,5.186284079476108
182,thoughts,5.115485771078504
183,mood,5.115485771078504
184,families,5.045918800231028
185,carrying,5.045918800231028
186,sunny,5.000834424497764
187,happening,4.977541066793827
188,spot,4.8661132487819625
189,fight,4.800716696775844
190,problems,4.757705529670797
191,listening,4.7151519368505745
192,tiny,4.7151519368505745
193,nearly,4.694043708447198
194,david,4.673046284902624
195,michael,4.673046284902624
196,pull,4.673046284902624
197,weather,4.659001646450111
198,ride,4.631379241469601
199,interesting,4.610707360835831
200,possible,4.610707360835831
201,moving,4.610707360835831
202,wall,4.610707360835831
203,apple,4.590557613151596
204,several,4.569681360167075
205,shut,4.569681360167075
206,downstairs,4.569681360167075
207,completely,4.569681360167075
208,extra,4.529071874311002
209,james,4.523303831825228
210,empty,4.508920698191174
211,eleven,4.508920698191174
212,married,4.488870530896996
213,greeted,4.479843942345243
214,leaned,4.409660021712278
215,stayed,4.409660021712278
216,leaving,4.390100080535511
217,wonder,4.390100080535511
218,jobs,4.390100080535511
219,ideas,4.390100080535511
220,boys,4.390100080535511
221,york,4.370635321930819
222,handed,4.370635321930819
223,seat,4.370635321930819
224,laughter,4.352165099088856
225,threw,4.351264824027667
226,hit,4.351264824027667
227,energy,4.331403770555134
228,game,4.3128029892299
229,surprise,4.3128029892299
230,become,4.3128029892299
231,fancy,4.310785132691848
232,spoke,4.293709874219268
233,pleased,4.269968176524513
234,grabbed,4.255794898401094
235,obviously,4.24976607998048
236,helped,4.236971334251443
237,calling,4.2182359370017375
238,taken,4.2182359370017375
239,practically,4.2182359370017375
240,pieces,4.189963435278028
241,slow,4.15074719057597
242,couch,4.131329647059117
243,guilty,4.1120369760682465
244,building,4.1120369760682465
245,earth,4.073819898735957
246,horrible,4.054892391156162
247,soccer,4.003388782951376
248,tossed,3.998815992119705
249,skin,3.9803543953965703
250,student,3.9620057143442624
251,lose,3.943768576115116
252,lap,3.9076235605665923
253,planning,3.9076235605665923
254,months,3.9076235605665923
255,outfit,3.9076235605665923
256,earlier,3.889713059607081
257,recently,3.871908853047637
258,throw,3.871908853047637
259,yesterday,3.871908853047637
260,hasn,3.871908853047637
261,disappointed,3.871908853047637
262,sports,3.836614328308878
263,oldest,3.8191215673764987
264,hungry,3.8017302143235208
265,plastic,3.7844391001732705
266,loved,3.7844391001732705
267,gray,3.7844391001732705
268,sweet,3.7501530127024028
269,involved,3.716254346940602
270,smart,3.716254346940602
271,associate,3.6994475802945925
272,amazing,3.6994475802945925
273,low,3.6994475802945925
274,war,3.6916480415378063
275,truth,3.6827344451462265
276,garden,3.671135041203428
277,bottom,3.6661139040193804
278,themselves,3.6661139040193804
279,sigh,3.6661139040193804
280,lying,3.6661139040193804
281,mommy,3.650830298275392
282,welcome,3.649584936586472
283,closer,3.649584936586472
284,bruno,3.6331465392925946
285,keeping,3.6167977249899
286,team,3.6167977249899
287,faces,3.6167977249899
288,learn,3.6167977249899
289,softly,3.6005375225818828
290,offered,3.6005375225818828
291,office,3.6005375225818828
292,allowed,3.6005375225818828
293,mal,3.5682791472530972
294,including,3.55227910932701
295,step,3.536363952637931
296,poor,3.536363952637931
297,planned,3.536363952637931
298,shot,3.520532781335399
299,tea,3.5141918103204377
300,angry,3.504784713676968
301,mansion,3.504784713676968
302,played,3.504784713676968
303,gets,3.489118881733513
304,works,3.489118881733513
305,wondering,3.489118881733513
306,john,3.4768075442961326
307,visit,3.4735344311022005
308,bunch,3.4735344311022005
309,awhile,3.458030520626873
310,movie,3.4426063221256173
311,sad,3.4426063221256173
312,settled,3.4426063221256173
313,grew,3.4272610201253064
314,interested,3.4272610201253064
315,tired,3.4119938116028923
316,schafer,3.4119938116028923
317,forgotten,3.4119938116028923
318,forgot,3.3968039057332517
319,worse,3.3968039057332517
320,thirteen,3.3968039057332517
321,art,3.3816905236433805
322,writing,3.366652898172747
323,names,3.366652898172747
324,conversation,3.366652898172747
325,staring,3.35169027363963
326,charge,3.35169027363963
327,notice,3.321987060691496
328,wondered,3.321987060691496
329,third,3.3072450162842086
330,grinned,3.3072450162842086
331,glanced,3.277976491448114
332,drive,3.277976491448114
333,junk,3.2634486180207505
334,checked,3.2634486180207505
335,eye,3.2489907587129037
336,mcgill,3.2489907587129037
337,guy,3.2489907587129037
338,waited,3.2489907587129037
339,others,3.2489907587129037
340,beautiful,3.234602241922425
341,garage,3.233027909078059
342,definitely,3.2202824056644515
343,man,3.2202824056644515
344,notebook,3.2202824056644515
345,putting,3.206030597388658
346,pay,3.1918461738008204
347,changed,3.1918461738008204
348,thomas,3.1918461738008204
349,question,3.1636769527513033
350,squirt,3.1214451898212277
351,cars,3.060371742101064
352,machine,3.0305204416677127
353,dear,3.0305204416677127
354,road,2.9865626282301623
355,rock,2.9865626282301623
356,lawn,2.9865626282301623
357,orange,2.9577851533259634
358,fire,2.9435502177882356
359,shop,2.9435502177882356
360,lit,2.9294158833420503
361,jump,2.915380738024757
362,bent,2.915380738024757
363,pack,2.887602513703423
364,makeup,2.873856755127899
365,scene,2.873856755127899
366,chairs,2.860204824987099
367,sang,2.860204824987099
368,admitted,2.860204824987099
369,impressed,2.860204824987099
370,heading,2.860204824987099
371,waving,2.8331773866536536
372,jacket,2.8331773866536536
373,share,2.81979941035206
374,hallway,2.793308956852019
375,neck,2.7671647937173134
376,pale,2.7542197647060784
377,seventh,2.7542197647060784
378,nancy,2.7413579840454974
379,thrilled,2.7285783878479553
380,familiar,2.7285783878479553
381,letters,2.7285783878479553
382,honey,2.7285783878479553
383,rushed,2.7285783878479553
384,major,2.7032615941041085
385,honest,2.690722368076918
386,direction,2.6782612685756457
387,glance,2.6782612685756457
388,spotted,2.6782612685756457
389,pocket,2.6782612685756457
390,crowded,2.6782612685756457
391,leaning,2.6658773280798034
392,doorway,2.653569596931047
393,officers,2.653569596931047
394,million,2.653569596931047
395,frowned,2.653569596931047
396,project,2.641337142896175
397,opening,2.641337142896175
