,term,score
0,cary,340.79555724552665
1,class,165.97600103764265
2,abby,145.249428631315
3,mallory,141.3994217232554
4,vanessa,126.4988340870664
5,ms,106.48026551973469
6,soccer,70.05930370164907
7,mary,69.60089296052867
8,margo,69.50485389399252
9,gym,68.8108976476917
10,teacher,55.2410166771934
11,cokie,49.16979981285029
12,claire,48.208702834361624
13,teachers,45.18840143938374
14,claudia,43.621897708611215
15,plan,43.57197355731519
16,stacey,42.557948984010935
17,nicky,40.502979874354274
18,students,37.05540411931139
19,alan,33.6487501717756
20,student,29.054708571857923
21,team,25.317584074929304
22,anna,23.281168966749277
23,bsc,23.009928082186434
24,young,22.544603490955872
25,shouted,20.485814198842025
26,locker,20.424433535726294
27,english,20.11699728589529
28,jessi,18.860607747402298
29,emily,18.66577900047685
30,ball,17.32820263251872
31,kristy,17.09882985273951
32,classes,16.77827169653976
33,warm,16.549526791964826
34,pike,15.64122127698494
35,extra,14.719483591510757
36,grace,14.37109985122282
37,game,14.016609714997175
38,spoke,13.954557091212623
39,seventh,13.771098823530393
40,writing,13.466611592690988
41,mal,13.08369020659469
42,control,12.847365622220241
43,continued,12.654707811005213
44,expression,12.510873700918655
45,couch,12.393988941177353
46,worked,11.703435970603008
47,explained,11.651671169191468
48,yesterday,11.61572655914291
49,hurried,11.495427020511595
50,insisted,11.353317300519812
51,field,11.315597681773205
52,james,11.30825957956307
53,thursday,11.250459038107207
54,expect,11.04820333543868
55,seat,10.926588304827048
56,desk,10.878162060069167
57,win,10.81736373249794
58,karen,10.801612567745648
59,jumping,10.762889472307672
60,board,10.711301097353724
61,eighth,10.327818966376853
62,reminded,10.145071570930142
63,named,10.05507082091889
64,plans,10.000408033873073
65,stairs,9.8777251812049
66,handed,9.833929474344343
67,box,9.746972276138711
68,robert,9.726203810832047
69,shannon,9.688390771446919
70,office,9.601433393551687
71,coach,9.54837746377718
72,follow,9.330570648279313
73,snapped,9.202126677601937
74,lunch,8.93784072970568
75,salad,8.916366396849565
76,wondered,8.858632161843989
77,gray,8.830357900404298
78,grinned,8.819320043424556
79,glanced,8.741270643861638
80,sign,8.549414926369755
81,learn,8.4391946916431
82,monday,8.436471874003475
83,learned,8.401254219357726
84,shot,8.214576489782598
85,expected,8.177830998579593
86,prepared,8.147639797471914
87,sheet,8.082569772695148
88,tv,7.961318893740082
89,report,7.9611063098499235
90,flew,7.960708790793141
91,pass,7.924011428688525
92,sms,7.881739564068473
93,although,7.855523429069743
94,math,7.855523429069743
95,pow,7.7111621926866825
96,music,7.673228656617756
97,sports,7.673228656617756
98,folded,7.6034604286470415
99,act,7.466311600190741
100,war,7.383296083075613
101,pikes,7.288451845061893
102,example,7.219006284258558
103,pleased,7.116613627540854
104,key,7.104576400523653
105,yelled,7.10455821865402
106,total,7.04949852588015
107,david,7.009569427353936
108,michael,7.009569427353936
109,possible,6.916061041253746
110,wrote,6.916061041253746
111,super,6.789699831226596
112,art,6.763381047286761
113,charge,6.70338054727926
114,pocket,6.6956531714391145
115,nervous,6.614490032568417
116,joined,6.614490032568417
117,raised,6.585150120803267
118,jobs,6.585150120803267
119,boys,6.585150120803267
120,dumb,6.572947626858526
121,group,6.526897236041501
122,sitter,6.526897236041501
123,planning,6.512705934277654
124,guy,6.497981517425807
125,listen,6.497981517425807
126,eye,6.497981517425807
127,beside,6.4828550993451355
128,deal,6.46920448384485
129,definitely,6.440564811328903
130,light,6.440564811328903
131,tomorrow,6.412061194777316
132,mood,6.39435721384813
133,headed,6.327353905502607
134,calling,6.327353905502607
135,lines,6.305391651254778
136,shoulders,6.221926333492283
137,legs,6.165745967157655
138,low,6.165745967157655
139,cold,6.110189840032301
140,tape,5.944244264566377
141,fifteen,5.920465182211684
142,excellent,5.915570306651927
143,listening,5.893939921063218
144,row,5.8588317666841006
145,nobody,5.841307856128281
146,written,5.815198136222522
147,begin,5.737677203542696
148,admitted,5.720409649974198
149,impressed,5.720409649974198
150,completely,5.7121017002088434
151,interested,5.7121017002088434
152,mumbled,5.693290902032683
153,slid,5.666354773307307
154,bus,5.5999743230152355
155,luckily,5.586617913704038
156,sense,5.536645101152493
157,sick,5.512075027140347
158,announced,5.4390810300345835
159,notebook,5.367137342774085
160,direction,5.3565225371512915
161,thomas,5.319743623001367
162,brown,5.296214167814304
163,mine,5.296214167814304
