,term,score
0,josh,623.6974460925727
1,melody,301.389507840201
2,janine,291.7550164825186
3,abby,191.01294724118134
4,bill,155.69087272254325
5,peaches,141.90886802767614
6,mary,106.51045740929388
7,stacey,84.0519492434216
8,ethan,78.84097880023526
9,kristy,74.80738060573536
10,bsc,53.286149242958054
11,claudia,46.813743882412034
12,pizza,46.676556715284974
13,pete,41.573900431781546
14,party,39.62937890022127
15,logan,36.21610870799534
16,cookies,35.923209439098734
17,homework,31.772987168167965
18,den,31.125368106776563
19,mal,30.92508594286018
20,erica,28.12228319941161
21,seventh,27.542197647060785
22,bag,27.074922989274196
23,jessi,25.93333565267816
24,earrings,24.90003500840743
25,backpack,23.097905247292694
26,ice,22.34802193131899
27,anna,21.16469906068116
28,group,19.5806917081245
29,control,19.271048433330364
30,tomorrow,19.236183584331947
31,dinner,18.98206171650782
32,dining,18.636006585800445
33,grabbed,18.08712831820465
34,david,17.52392356838484
35,michael,17.52392356838484
36,upstairs,17.482541287723276
37,counter,16.66786242917242
38,cream,16.21956956462465
39,video,15.899171842032862
40,math,15.711046858139486
41,weekend,15.324243794764367
42,broken,14.798973024423049
43,evening,13.228980065136835
44,closed,12.995963034851615
45,jacket,12.74929823994144
46,continued,12.654707811005213
47,movie,12.622889847793932
48,clean,12.510643975877272
49,key,12.433008700916393
50,cat,12.221459696207871
51,shannon,12.110488464308649
52,handed,12.019247135309753
53,children,11.912966115280646
54,yelled,11.840930364423368
55,aunt,11.717663533368201
56,beside,11.669139178821244
57,join,11.322679685777505
58,art,11.272301745477936
59,emily,11.19946740028611
60,glass,11.098342740883778
61,joined,11.024150054280694
62,leaned,11.024150054280694
63,nervous,11.024150054280694
64,cheese,10.871003841716925
65,team,10.850393174969701
66,chocolate,10.713045074302583
67,pushed,10.65683732798103
68,tonight,10.561598344006196
69,headed,10.545589842504343
70,eighth,10.327818966376853
71,downstairs,10.281783060375918
72,locker,10.212216767863147
73,reminded,10.145071570930142
74,hit,9.79034585406225
75,hallway,9.776581348982067
76,favorite,9.746972276138711
