,term,score
0,john,189.48601116413923
1,abby,149.22886503217293
2,kristy,67.32664254516182
3,claudia,62.772974751416136
4,mallory,53.86644637076395
5,thanksgiving,53.75786030616851
6,ethan,45.99057096680391
7,mary,40.073241401516505
8,study,37.513851836104024
9,stacey,35.11030791180902
10,anna,25.397638872817392
11,couch,24.787977882354706
12,date,21.218183715827585
13,offered,20.403045961297337
14,jessi,20.039395731614942
15,stairs,17.560400322142044
16,tv,15.922637787480165
17,explained,15.888642503442911
18,guy,14.078959954422583
19,suppose,13.839597690173237
20,liked,13.831333419803554
21,mcgill,12.995963034851615
22,class,12.767384695203281
23,wrote,12.679445242298536
24,terrible,12.33149193431531
25,became,12.180619222535485
26,stamford,12.06304090828987
27,spoke,11.807702154102987
28,worked,11.703435970603008
29,dinner,11.600148826754777
30,admitted,11.440819299948396
31,downstairs,11.424203400417687
32,loved,11.353317300519812
33,wondered,11.073290202304985
34,divorced,10.975250201338778
35,hate,10.878162060069167
36,dining,10.871003841716925
37,tomorrow,10.686768657962194
38,monday,10.545589842504343
39,alan,10.515234428679875
40,angry,10.514354141030905
41,finish,10.37409156188062
42,drive,9.833929474344343
43,upstairs,9.833929474344343
44,expression,9.730679545158953
45,bsc,9.688390771446919
46,light,9.660847216993353
47,envelope,9.601520602003493
48,movie,9.180283525668314
49,beside,9.075997139083189
50,reminded,9.017841396382348
51,writing,8.977741061793992
52,insisted,8.830357900404298
53,evening,8.819320043424556
54,jobs,8.780200161071022
55,less,8.741270643861638
56,sitter,8.702529648055334
57,amazing,8.632044354020715
58,tuesday,8.4391946916431
59,train,8.334724040829606
60,slightly,8.185735163543866
61,completely,7.996942380292381
62,watson,7.996942380292381
63,shut,7.996942380292381
64,snapped,7.887537152230232
65,although,7.855523429069743
66,conversation,7.855523429069743
67,takes,7.82061063849247
68,sense,7.751303141613491
69,fault,7.743817706095274
70,york,7.648611813378933
71,asleep,7.638243134752997
72,group,7.6147134420484175
73,man,7.51399227988372
74,greeted,7.466406570575406
75,taken,7.381912889753041
76,earrings,7.323539708355126
77,closet,7.299169873172944
78,track,7.168729953354507
79,basement,7.104576400523653
80,weekend,7.072727905275862
81,tea,7.028383620640875
82,thinks,6.916061041253746
83,nose,6.885212644251235
84,eighth,6.885212644251235
85,seeing,6.823987623205785
86,gorgeous,6.821445969619888
87,math,6.733305796345494
88,green,6.70338054727926
89,eating,6.614490032568417
90,opening,6.603342857240437
91,ice,6.572947626858526
92,cover,6.512705934277654
93,bag,6.497981517425807
94,likes,6.46920448384485
95,game,6.46920448384485
96,surprise,6.46920448384485
97,window,6.440564811328903
98,imagine,6.412061194777316
99,feelings,6.39435721384813
100,music,6.39435721384813
101,apartment,6.390226674371684
102,town,6.3554570013771645
103,brown,6.3554570013771645
104,eight,6.327353905502607
105,sms,6.305391651254778
106,sweet,6.250255021170671
107,large,6.193757244901004
108,smart,6.193757244901004
109,bell,6.193757244901004
110,clients,6.000895870969805
111,wide,6.000895870969805
112,station,5.9731252564603246
113,bought,5.893939921063218
114,crying,5.893939921063218
115,tonight,5.867554635558998
116,rodowsky,5.863880641853106
117,hoped,5.841307856128281
118,gets,5.815198136222522
119,visit,5.789224051837001
120,sleep,5.763384201044789
121,sad,5.737677203542696
122,impressed,5.720409649974198
123,interested,5.7121017002088434
124,tired,5.686656352671488
125,jacket,5.666354773307307
126,art,5.636150872738968
127,young,5.636150872738968
128,wow,5.611088163621245
129,none,5.586150456066051
130,radio,5.537472062306709
131,afraid,5.536645101152493
132,daughter,5.534329587434627
133,upset,5.512075027140347
134,wonder,5.487625100669389
135,tears,5.4390810300345835
136,nine,5.4390810300345835
137,picture,5.41498459785484
138,horrible,5.406523188208217
139,deal,5.3910037365373755
140,beautiful,5.3910037365373755
141,become,5.3910037365373755
142,break,5.3910037365373755
143,rather,5.381444736153836
144,spotted,5.3565225371512915
145,sitters,5.319743623001367
146,changed,5.319743623001367
147,video,5.299723947344288
148,stepped,5.296214167814304
149,comes,5.296214167814304
150,besides,5.296214167814304
151,mirror,5.28267428579235
152,continued,5.272794921252172
153,calling,5.272794921252172
154,sunday,5.186284079476108
155,island,5.160163900439609
156,yellow,5.138946248888097
157,relief,5.115485771078504
158,discovered,5.115485771078504
159,rose,5.053009652633372
160,feels,5.000204016936537
161,breakfast,5.000204016936537
162,thursday,5.000204016936537
163,involved,4.955005795920803
164,bike,4.949551124419863
165,backpack,4.949551124419863
166,expect,4.910312593528302
167,cold,4.888151872025841
168,homework,4.888151872025841
169,pulling,4.8661132487819625
170,genius,4.8661132487819625
171,team,4.8223969666532005
172,office,4.800716696775844
173,mal,4.757705529670797
174,awesome,4.752759276962424
175,fair,4.736372145769347
176,yelled,4.736372145769347
177,shouldn,4.736372145769347
178,fifteen,4.736372145769347
179,silence,4.7151519368505745
180,restaurant,4.682167784731842
181,expected,4.673046284902624
182,museum,4.65238087410037
183,cute,4.652158508978017
184,absolutely,4.652158508978017
185,covered,4.652158508978017
186,ride,4.631379241469601
187,interesting,4.610707360835831
188,board,4.590557613151596
189,bedroom,4.590141762834157
190,single,4.590141762834157
191,several,4.569681360167075
192,totally,4.529071874311002
193,drew,4.508920698191174
194,grown,4.508920698191174
195,glasses,4.508920698191174
196,sisters,4.488870530896996
197,stared,4.488870530896996
198,wednesday,4.4490692074843246
199,loves,4.4490692074843246
200,meetings,4.4293160809219945
201,notice,4.4293160809219945
202,famous,4.415325326682353
203,leaned,4.409660021712278
204,filled,4.409660021712278
205,joined,4.409660021712278
206,letter,4.394123825013075
207,handed,4.370635321930819
208,laughter,4.352165099088856
209,announced,4.351264824027667
210,junk,4.351264824027667
211,checked,4.351264824027667
212,broke,4.3319876782838715
213,california,4.3319876782838715
214,brothers,4.3319876782838715
215,listen,4.3319876782838715
216,boyfriend,4.293709874219268
217,forward,4.293709874219268
218,putting,4.274707463184877
219,spend,4.274707463184877
220,spent,4.274707463184877
221,exciting,4.24976607998048
222,news,4.236971334251443
223,awful,4.2182359370017375
224,headed,4.2182359370017375
225,clock,4.2182359370017375
226,decision,4.131329647059117
227,month,4.092867581771933
228,movies,4.073819898735957
229,acting,4.054892391156162
230,claire,4.017391902863468
231,simple,4.017391902863468
