,term,score
0,mallory,401.7539125152812
1,jessi,234.57880885831608
2,kristy,111.14239404280681
3,abby,107.44478282316452
4,claire,58.92174790866421
5,margo,51.43359188155447
6,stacey,51.069538780813126
7,claudia,50.00559005621285
8,vanessa,43.093009414275365
9,dewitt,33.71540503953673
10,nicky,33.51970748222423
11,ben,33.463203858687905
12,mal,30.92508594286018
13,pike,27.93075228033025
14,bsc,26.643074621479027
15,party,24.909895308710514
16,christmas,22.274241693653394
17,locker,22.126469663703485
18,leaving,21.950500402677555
19,mary,20.036620700758252
20,ms,17.74671091995578
21,sisters,16.833264490863733
22,dance,16.701575308886312
23,greeted,16.426094455265893
24,james,15.831563411388297
25,sms,15.763479128136947
26,admitted,15.731126537429045
27,suppose,15.377330766859153
28,expression,15.291067856678355
29,brothers,15.16195687399355
30,tree,14.93733962869851
31,shot,14.082131125341595
32,explained,13.77015683631719
33,eight,13.709266795255648
34,joined,13.228980065136835
35,tears,13.053794472083002
36,writing,12.34439395996674
37,uncle,12.231050187590425
38,chocolate,12.052175708590406
39,york,12.019247135309753
40,triplets,11.669139178821244
41,quint,11.566756925432248
42,couch,11.016879058824314
43,decision,11.016879058824314
44,cry,10.926588304827048
45,stayed,9.921735048852625
46,upset,9.921735048852625
47,member,9.921735048852625
48,shea,9.800972342880655
49,shannon,9.688390771446919
50,changed,9.57553852140246
51,bet,9.533185502065747
52,besides,9.533185502065747
53,acting,9.46141557936438
54,sharon,9.076824066420972
55,barrett,8.92903005521325
56,mad,8.898138414968649
57,letter,8.78824765002615
58,pikes,8.746142214074272
59,expect,8.593047038674529
60,supplies,8.539936353049026
61,younger,8.511589796802188
62,jacket,8.49953215996096
63,stepped,8.473942668502886
64,cards,8.334724040829606
65,angry,8.177830998579593
66,mall,8.123722268377724
67,whether,8.068737881462704
68,jackie,8.006777565902752
69,envelope,8.001267168336245
70,watson,7.996942380292381
71,project,7.924011428688525
72,young,7.890611221834554
73,rodowsky,7.818507522470808
74,became,7.751303141613491
75,meetings,7.751303141613491
76,fault,7.743817706095274
77,wonderful,7.682675140937144
78,jobs,7.682675140937144
79,muttered,7.673228656617756
80,hate,7.6147134420484175
81,group,7.6147134420484175
82,listen,7.580978436996775
83,forward,7.51399227988372
84,spoke,7.51399227988372
85,emily,7.466311600190741
86,class,7.447641072201915
87,worked,7.447641072201915
88,sitters,7.447641072201915
89,clock,7.381912889753041
90,continued,7.381912889753041
91,information,7.266293078585189
92,softly,7.2010750451637655
93,fight,7.2010750451637655
94,mail,7.1822487439520595
95,expected,7.009569427353936
96,covered,6.978237763467026
97,sad,6.885212644251235
98,several,6.854522040250613
99,worse,6.7936078114665035
100,totally,6.7936078114665035
101,reminded,6.763381047286761
102,stared,6.733305796345494
103,glance,6.6956531714391145
104,loves,6.673603811226487
105,buddy,6.5994014992264844
106,boys,6.585150120803267
107,yesterday,6.453181421746061
108,street,6.3554570013771645
109,anna,6.349409718204348
110,awesome,6.337012369283231
111,appeared,6.278745126743859
112,erica,6.249396266535913
113,terrible,6.165745967157655
114,sixth,6.137890741910378
115,closet,6.082641560977454
116,using,6.082641560977454
117,company,5.973941627795423
118,weekend,5.893939921063218
119,nearly,5.867554635558998
120,adam,5.830761476049514
121,written,5.815198136222522
122,bunch,5.789224051837001
123,speaking,5.789224051837001
124,becca,5.775205027406846
125,doorbell,5.747713510255798
126,sang,5.720409649974198
127,shut,5.7121017002088434
128,card,5.693290902032683
129,forgotten,5.686656352671488
130,seems,5.586150456066051
131,usual,5.586150456066051
132,milk,5.534329587434627
133,wonder,5.487625100669389
134,stairs,5.487625100669389
135,michelle,5.4571567756959105
136,checked,5.4390810300345835
137,hugged,5.431759864981276
138,california,5.41498459785484
139,bag,5.41498459785484
140,become,5.3910037365373755
141,picnic,5.386686557964045
142,jumping,5.381444736153836
143,star,5.381444736153836
144,archie,5.365730761977835
145,imagine,5.343384328981097
146,summer,5.307139193862094
147,helped,5.296214167814304
148,comes,5.296214167814304
149,headed,5.272794921252172
150,return,5.23418884366297
151,beside,5.186284079476108
152,plate,5.162545137396849
153,crossed,5.115485771078504
154,feelings,5.115485771078504
155,apart,5.115485771078504
156,carrying,5.045918800231028
157,feels,5.000204016936537
158,spread,5.000204016936537
159,invited,4.977541066793827
160,subject,4.955005795920803
161,truth,4.910312593528302
162,cold,4.888151872025841
163,ramsey,4.8661132487819625
164,tuesday,4.8223969666532005
165,offered,4.800716696775844
166,gently,4.757705529670797
167,crying,4.7151519368505745
168,silence,4.7151519368505745
169,logan,4.673046284902624
170,sleeping,4.636013028213403
171,visit,4.631379241469601
172,charlotte,4.613199230057745
173,possible,4.610707360835831
174,thinks,4.610707360835831
175,nose,4.590141762834157
176,eighth,4.590141762834157
177,completely,4.569681360167075
178,soda,4.568085597964124
179,dear,4.545780662501569
180,extra,4.529071874311002
181,stamford,4.523640340608702
182,marnie,4.523303831825228
183,drew,4.508920698191174
184,eleven,4.508920698191174
185,longer,4.488870530896996
186,road,4.479843942345243
187,plan,4.46892036485284
188,charge,4.46892036485284
189,takes,4.46892036485284
190,gotten,4.46892036485284
191,green,4.46892036485284
192,tape,4.458183198424782
193,excellent,4.436677729988945
194,raised,4.390100080535511
195,jordan,4.373071107037136
196,rolled,4.370635321930819
197,glanced,4.370635321930819
198,handed,4.370635321930819
199,waited,4.3319876782838715
200,deal,4.3128029892299
201,ahead,4.3128029892299
202,beautiful,4.3128029892299
203,light,4.293709874219268
204,spend,4.274707463184877
205,shrugged,4.274707463184877
206,thomas,4.255794898401094
207,sighed,4.255794898401094
208,round,4.24976607998048
209,mine,4.236971334251443
210,monday,4.2182359370017375
211,question,4.2182359370017375
212,juice,4.209765487372085
213,driving,4.170291233639551
214,slow,4.15074719057597
215,guilty,4.1120369760682465
216,month,4.092867581771933
217,lips,4.073819898735957
218,taylor,4.027631504016066
219,cecelia,4.027631504016066
220,shopping,4.017391902863468
221,following,4.017391902863468
222,spotted,4.017391902863468
223,style,3.998815992119705
224,director,3.998815992119705
225,dumb,3.943768576115116
226,planning,3.9076235605665923
227,months,3.9076235605665923
228,certain,3.9076235605665923
229,paid,3.9076235605665923
230,gasped,3.889713059607081
231,hasn,3.871908853047637
232,heads,3.8542096866660724
233,drove,3.8191215673764987
234,decide,3.8191215673764987
235,stick,3.8017302143235208
236,loved,3.7844391001732705
237,insisted,3.7844391001732705
238,wears,3.7501530127024028
239,excuse,3.7501530127024028
240,officer,3.7331558000953704
241,happening,3.7331558000953704
242,large,3.716254346940602
