,term,score
0,haley,452.93537709707095
1,josh,334.1236318353068
2,kristy,127.1725470297501
3,abby,125.35224662702527
4,braddock,121.70961366102921
5,matt,103.19130862913471
6,stacey,90.43564159102324
7,homework,63.54597433633593
8,vanessa,50.04349480367462
9,mary,48.50971327551998
10,claudia,45.74979515781176
11,shea,41.65413245724278
12,archie,37.56011533384484
13,report,33.43664650136968
14,tv,31.84527557496033
15,jessi,27.112123636890804
16,game,24.798617188071926
17,lying,21.996683424116284
18,team,21.700786349939403
19,bsc,20.5878303893247
20,becca,20.21321759592396
21,anna,19.048229154613043
22,insisted,16.39923610075084
23,jackie,16.013555131805504
24,kiss,15.301858710505321
25,video,14.1325971929181
26,expression,13.900970778798506
27,charlotte,13.839597690173237
28,seventh,13.771098823530393
29,movie,13.77042528850247
30,math,13.466611592690988
31,practice,13.267847984655234
32,stairs,13.170300241606533
33,boyfriend,12.881129622657806
34,younger,11.703435970603008
35,explained,11.651671169191468
36,admitted,11.440819299948396
37,signed,11.373211175728814
38,nicky,11.173235827408076
39,mark,10.719344401281152
40,ball,10.663509312319214
41,changed,10.639487246002734
42,greeted,10.452969198805569
43,sunday,10.372568158952216
44,hiding,10.20383258308665
45,boat,10.197335953457578
46,pencil,9.916120853287788
47,ethan,9.855122350029408
48,truth,9.820625187056605
49,garage,9.699083727234177
50,sheet,9.699083727234177
51,spoke,9.660847216993353
52,couch,9.639769176471274
53,tomorrow,9.618091792165973
54,nancy,9.594752944159241
55,rain,9.076824066420972
56,sitter,8.702529648055334
57,birthday,8.692018860740331
58,sitters,8.511589796802188
59,stepped,8.473942668502886
60,janine,8.4391946916431
61,brain,8.340582467279102
62,tonight,8.214576489782598
63,movies,8.147639797471914
64,awhile,8.068737881462704
65,downstairs,7.996942380292381
66,totally,7.9258757800442545
67,writing,7.855523429069743
68,although,7.855523429069743
69,mallory,7.855523429069743
70,rodowsky,7.818507522470808
71,upset,7.7169050379964865
72,control,7.708419373332145
73,feelings,7.673228656617756
74,muttered,7.673228656617756
75,coach,7.638701971021744
76,hate,7.6147134420484175
77,bag,7.580978436996775
78,shouted,7.547405231152325
79,worked,7.447641072201915
80,ramsey,7.299169873172944
81,closet,7.299169873172944
82,karen,7.2010750451637655
83,possible,6.916061041253746
84,several,6.854522040250613
85,forgot,6.7936078114665035
86,park,6.772588722239782
87,art,6.763381047286761
88,acting,6.758153985260272
89,rather,6.7268059201922945
90,takes,6.70338054727926
91,charge,6.70338054727926
92,pike,6.70338054727926
93,gotten,6.70338054727926
94,director,6.664693320199508
95,meetings,6.643974121382992
96,sense,6.643974121382992
97,backpack,6.5994014992264844
98,known,6.585150120803267
99,jobs,6.585150120803267
100,drive,6.555952982896228
101,checked,6.526897236041501
102,guy,6.497981517425807
103,figure,6.412061194777316
104,sign,6.412061194777316
105,sports,6.39435721384813
106,johanssen,6.337012369283231
107,folded,6.336217023872535
108,dinner,6.327353905502607
109,excuse,6.250255021170671
110,terrible,6.165745967157655
111,foot,6.165745967157655
112,strange,6.027996208316501
113,rock,5.9731252564603246
114,problems,5.947131912088496
115,fair,5.920465182211684
116,pushed,5.920465182211684
117,teachers,5.830761476049514
