,term,score
0,watson,209.06292222764367
1,camp,153.52242265872619
2,bill,148.740387333144
3,matt,132.08487504529242
4,michael,108.64832612398602
5,david,106.31180298153471
6,abby,91.52703721973273
7,coach,89.7547481595055
8,field,85.67523959056857
9,baseball,85.19592318398658
10,cards,73.34557155930054
11,team,72.335954499798
12,card,66.89616809888403
13,ball,61.31517854583548
14,game,58.222840354603655
15,dream,56.849924391482766
16,claudia,48.94164133161258
17,mary,43.23691835426781
18,group,40.24919962225592
19,kristy,35.26633657127524
20,karen,34.80519605162487
21,jake,34.73009369587349
22,andrew,30.82872983578827
23,softball,26.66184808668987
24,practice,26.535695969310467
25,hit,26.107588944166004
26,bat,25.560440139244115
27,excellent,25.14117380327069
28,bsc,24.220976928617297
29,dinner,21.091179685008687
30,charlie,20.841206586613204
31,kit,19.49693344410654
32,dining,17.08300603698374
33,headed,16.87294374800695
34,throw,16.77827169653976
35,vacation,16.3304325649024
36,box,16.24495379356452
37,proud,15.743635003601243
38,joined,15.433810075992973
39,daughter,15.219406365445224
40,played,15.187400425933529
41,peaches,15.096688088050652
42,breakfast,15.000612050809611
43,stacey,13.831333419803554
44,major,13.516307970520543
45,catch,13.40676109455852
46,nannie,13.24597598004706
47,buddy,13.198802998452969
48,guy,12.995963034851615
49,plate,12.906362843492122
50,nobody,12.850877283482218
51,shrugged,12.824122389554631
52,krushers,12.802027469337991
53,warm,12.730405224588328
54,awesome,12.674024738566462
55,strong,12.629296462116253
56,himself,12.454947654355257
57,wow,12.34439395996674
58,handed,12.019247135309753
59,definitely,11.807702154102987
60,excited,11.703435970603008
61,impressed,11.440819299948396
62,emily,11.19946740028611
63,lunch,11.172300912132101
64,sms,11.034435389695862
65,third,11.024150054280694
66,michelle,10.914313551391821
67,learned,10.801612567745648
68,man,10.73427468554817
69,spotted,10.713045074302583
70,anna,10.58234953034058
71,famous,10.302425762258824
72,seeing,10.235981434808677
73,sam,9.910011591841606
74,quite,9.79034585406225
75,threw,9.79034585406225
76,stories,9.776303744051681
77,pop,9.715990923970397
78,deal,9.703806725767276
79,hug,9.644793933306401
80,younger,9.57553852140246
81,thrilled,9.550024357467844
82,terrific,9.304317017956034
83,whether,9.221414721671662
84,certainly,9.075997139083189
85,organized,8.993155935554169
86,sports,8.952100099387382
87,carefully,8.898138414968649
88,led,8.898138414968649
89,plastic,8.830357900404298
90,spent,8.549414926369755
91,admit,8.549414926369755
92,locker,8.510180639885956
93,ones,8.436471874003475
94,gathered,8.325984676923895
95,jessi,8.251515889488505
96,honey,8.185735163543866
97,groaned,8.185735163543866
98,awhile,8.068737881462704
99,glance,8.034783805726937
100,soccer,8.006777565902752
101,envelope,8.001267168336245
102,ended,7.751303141613491
103,wondered,7.751303141613491
104,grinned,7.7169050379964865
105,plenty,7.7169050379964865
106,member,7.7169050379964865
107,favorite,7.580978436996775
108,notebook,7.51399227988372
109,forward,7.51399227988372
110,spend,7.480738060573535
111,sign,7.480738060573535
112,thomas,7.447641072201915
113,josh,7.424969596340151
114,bet,7.414699834940025
115,helped,7.414699834940025
116,taken,7.381912889753041
117,ourselves,7.332227808038761
118,pulling,7.299169873172944
119,yourself,7.168729953354507
120,gently,7.1365582945061945
121,round,7.082943466634134
122,listening,7.072727905275862
123,um,7.072727905275862
124,bored,7.016275812286807
125,hoped,7.009569427353936
126,tv,6.823987623205785
127,tough,6.821445969619888
128,join,6.7936078114665035
129,list,6.7936078114665035
130,wished,6.789699831226596
131,james,6.7849557477378415
132,star,6.7268059201922945
133,mad,6.673603811226487
134,main,6.664693320199508
135,hardly,6.643974121382992
136,nervous,6.614490032568417
137,pile,6.603342857240437
138,president,6.585150120803267
139,glanced,6.555952982896228
140,less,6.555952982896228
141,rolled,6.555952982896228
142,signed,6.4989778147021795
143,recently,6.453181421746061
144,paused,6.423682811110121
145,pay,6.383692347601641
146,stepped,6.3554570013771645
147,brown,6.3554570013771645
148,loved,6.307398500288785
149,expect,6.137890741910378
150,truth,6.137890741910378
151,uncle,6.115525093795212
152,shaking,6.082641560977454
153,rooms,6.031520454144935
154,learn,6.027996208316501
155,hoping,6.027996208316501
156,jackie,6.005083174427064
157,relieved,6.000895870969805
158,happens,5.893939921063218
159,logan,5.841307856128281
160,quick,5.815198136222522
161,movie,5.737677203542696
162,sad,5.737677203542696
163,body,5.737677203542696
164,interested,5.7121017002088434
165,grew,5.7121017002088434
166,mumbled,5.693290902032683
167,johnson,5.674032121632352
168,share,5.63959882070412
169,art,5.636150872738968
170,reminded,5.636150872738968
171,names,5.611088163621245
172,silly,5.611088163621245
173,usual,5.586150456066051
174,staring,5.586150456066051
175,age,5.586150456066051
176,loves,5.561336509355406
177,wednesday,5.561336509355406
178,sense,5.536645101152493
179,notice,5.536645101152493
180,meetings,5.536645101152493
181,slow,5.534329587434627
182,starting,5.512075027140347
183,filled,5.512075027140347
184,regular,5.487625100669389
185,its,5.487625100669389
186,enjoy,5.482715968090995
187,kuhn,5.463311090316699
188,bag,5.41498459785484
189,beautiful,5.3910037365373755
190,cake,5.386686557964045
191,boyfriend,5.367137342774085
192,spoke,5.367137342774085
193,barrett,5.357418033127949
194,putting,5.343384328981097
195,figure,5.343384328981097
196,tossed,5.331754656159607
197,finger,5.331754656159607
198,sitters,5.319743623001367
199,changed,5.319743623001367
200,sighed,5.319743623001367
201,video,5.299723947344288
202,explained,5.296214167814304
203,mine,5.296214167814304
204,monday,5.272794921252172
205,continued,5.272794921252172
206,birthday,5.215211316444199
207,yesterday,5.162545137396849
208,lately,5.092162089835331
209,carrying,5.045918800231028
210,thursday,5.000204016936537
